Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
total;total;ambos sexos;1995TIV;3.710,4
total;total;ambos sexos;1995TIII;3.689,7
total;total;ambos sexos;1995TII;3.668,1
total;total;ambos sexos;1995TI;3.794,1
total;total;ambos sexos;1994TIV;3.856,7
total;total;ambos sexos;1994TIII;3.835,2
total;total;ambos sexos;1994TII;3.895,5
total;total;ambos sexos;1994TI;3.932,9
total;total;ambos sexos;1993TIV;3.817,0
total;total;ambos sexos;1993TIII;3.653,6
total;total;ambos sexos;1993TII;3.510,2
total;total;ambos sexos;1993TI;3.414,3
total;total;ambos sexos;1992TIV;3.161,0
total;total;ambos sexos;1992TIII;2.877,1
total;total;ambos sexos;1992TII;2.775,7
total;total;ambos sexos;1992TI;2.719,8
total;total;ambos sexos;1991TIV;2.653,0
total;total;ambos sexos;1991TIII;2.560,2
total;total;ambos sexos;1991TII;2.466,8
total;total;ambos sexos;1991TI;2.500,7
total;total;ambos sexos;1990TIV;2.499,8
total;total;ambos sexos;1990TIII;2.454,1
total;total;ambos sexos;1990TII;2.503,6
total;total;ambos sexos;1990TI;2.584,4
total;total;ambos sexos;1989TIV;2.596,5
total;total;ambos sexos;1989TIII;2.538,1
total;total;ambos sexos;1989TII;2.623,0
total;total;ambos sexos;1989TI;2.772,2
total;total;ambos sexos;1988TIV;2.773,6
total;total;ambos sexos;1988TIII;2.896,5
total;total;ambos sexos;1988TII;2.954,7
total;total;ambos sexos;1988TI;3.001,1
total;total;ambos sexos;1987TIV;2.955,2
total;total;ambos sexos;1987TIII;2.964,1
total;total;ambos sexos;1987TII;2.959,7
total;total;ambos sexos;1987TI;3.027,9
total;total;ambos sexos;1986TIV;2.954,8
total;total;ambos sexos;1986TIII;2.924,1
total;total;ambos sexos;1986TII;2.968,5
total;total;ambos sexos;1986TI;3.053,1
total;total;ambos sexos;1985TIV;3.024,4
total;total;ambos sexos;1985TIII;2.985,2
total;total;ambos sexos;1985TII;3.003,7
total;total;ambos sexos;1985TI;3.007,0
total;total;ambos sexos;1984TIV;2.948,4
total;total;ambos sexos;1984TIII;2.779,8
total;total;ambos sexos;1984TII;2.722,7
total;total;ambos sexos;1984TI;2.723,2
total;total;ambos sexos;1983TIV;2.501,1
total;total;ambos sexos;1983TIII;2.384,3
total;total;ambos sexos;1983TII;2.318,4
total;total;ambos sexos;1983TI;2.373,6
total;total;ambos sexos;1982TIV;2.285,9
total;total;ambos sexos;1982TIII;2.178,5
total;total;ambos sexos;1982TII;2.077,6
total;total;ambos sexos;1982TI;2.105,3
total;total;ambos sexos;1981TIV;2.031,9
total;total;ambos sexos;1981TIII;1.905,0
total;total;ambos sexos;1981TII;1.829,2
total;total;ambos sexos;1981TI;1.800,2
total;total;ambos sexos;1980TIV;1.674,0
total;total;ambos sexos;1980TIII;1.541,6
total;total;ambos sexos;1980TII;1.487,5
total;total;ambos sexos;1980TI;1.428,2
total;total;ambos sexos;1979TIV;1.279,5
total;total;ambos sexos;1979TIII;1.169,5
total;total;ambos sexos;1979TII;1.086,5
total;total;ambos sexos;1979TI;1.087,8
total;total;ambos sexos;1978TIV;1.016,3
total;total;ambos sexos;1978TIII;942,6
total;total;ambos sexos;1978TII;877,6
total;total;ambos sexos;1978TI;862,0
total;total;ambos sexos;1977TIV;760,1
total;total;ambos sexos;1977TIII;710,9
total;total;ambos sexos;1977TII;631,4
total;total;ambos sexos;1977TI;654,1
total;total;ambos sexos;1976TIV;628,0
total;total;ambos sexos;1976TIII;589,0
total;total;varones;1995TIV;1.815,8
total;total;varones;1995TIII;1.790,7
total;total;varones;1995TII;1.790,8
total;total;varones;1995TI;1.857,5
total;total;varones;1994TIV;1.908,4
total;total;varones;1994TIII;1.927,3
total;total;varones;1994TII;1.993,7
total;total;varones;1994TI;2.067,6
total;total;varones;1993TIV;1.999,2
total;total;varones;1993TIII;1.924,0
total;total;varones;1993TII;1.852,1
total;total;varones;1993TI;1.776,0
total;total;varones;1992TIV;1.600,8
total;total;varones;1992TIII;1.434,4
total;total;varones;1992TII;1.352,7
total;total;varones;1992TI;1.313,5
total;total;varones;1991TIV;1.279,0
total;total;varones;1991TIII;1.220,7
total;total;varones;1991TII;1.191,5
total;total;varones;1991TI;1.201,8
total;total;varones;1990TIV;1.186,4
total;total;varones;1990TIII;1.149,2
total;total;varones;1990TII;1.195,2
total;total;varones;1990TI;1.248,9
total;total;varones;1989TIV;1.269,8
total;total;varones;1989TIII;1.209,9
total;total;varones;1989TII;1.290,9
total;total;varones;1989TI;1.374,3
total;total;varones;1988TIV;1.378,5
total;total;varones;1988TIII;1.463,1
total;total;varones;1988TII;1.519,2
total;total;varones;1988TI;1.557,4
total;total;varones;1987TIV;1.552,6
total;total;varones;1987TIII;1.590,1
total;total;varones;1987TII;1.628,5
total;total;varones;1987TI;1.840,3
total;total;varones;1986TIV;1.815,8
total;total;varones;1986TIII;1.831,2
total;total;varones;1986TII;1.892,5
total;total;varones;1986TI;1.959,0
total;total;varones;1985TIV;1.928,4
total;total;varones;1985TIII;1.912,9
total;total;varones;1985TII;1.958,2
total;total;varones;1985TI;1.964,8
total;total;varones;1984TIV;1.912,5
total;total;varones;1984TIII;1.800,8
total;total;varones;1984TII;1.793,5
total;total;varones;1984TI;1.791,6
total;total;varones;1983TIV;1.613,1
total;total;varones;1983TIII;1.536,2
total;total;varones;1983TII;1.505,0
total;total;varones;1983TI;1.536,0
total;total;varones;1982TIV;1.477,1
total;total;varones;1982TIII;1.418,5
total;total;varones;1982TII;1.373,6
total;total;varones;1982TI;1.410,2
total;total;varones;1981TIV;1.335,9
total;total;varones;1981TIII;1.277,3
total;total;varones;1981TII;1.242,2
total;total;varones;1981TI;1.220,3
total;total;varones;1980TIV;1.112,0
total;total;varones;1980TIII;1.023,8
total;total;varones;1980TII;1.013,1
total;total;varones;1980TI;966,5
total;total;varones;1979TIV;855,0
total;total;varones;1979TIII;781,2
total;total;varones;1979TII;741,7
total;total;varones;1979TI;734,0
total;total;varones;1978TIV;675,9
total;total;varones;1978TIII;624,5
total;total;varones;1978TII;598,6
total;total;varones;1978TI;584,1
total;total;varones;1977TIV;521,6
total;total;varones;1977TIII;485,6
total;total;varones;1977TII;446,8
total;total;varones;1977TI;465,2
total;total;varones;1976TIV;441,4
total;total;varones;1976TIII;406,9
total;total;mujeres;1995TIV;1.894,6
total;total;mujeres;1995TIII;1.899,0
total;total;mujeres;1995TII;1.877,3
total;total;mujeres;1995TI;1.936,6
total;total;mujeres;1994TIV;1.948,3
total;total;mujeres;1994TIII;1.907,9
total;total;mujeres;1994TII;1.901,7
total;total;mujeres;1994TI;1.865,3
total;total;mujeres;1993TIV;1.817,8
total;total;mujeres;1993TIII;1.729,6
total;total;mujeres;1993TII;1.658,1
total;total;mujeres;1993TI;1.638,3
total;total;mujeres;1992TIV;1.560,1
total;total;mujeres;1992TIII;1.442,8
total;total;mujeres;1992TII;1.423,0
total;total;mujeres;1992TI;1.406,2
total;total;mujeres;1991TIV;1.374,1
total;total;mujeres;1991TIII;1.339,5
total;total;mujeres;1991TII;1.275,3
total;total;mujeres;1991TI;1.299,0
total;total;mujeres;1990TIV;1.313,4
total;total;mujeres;1990TIII;1.304,9
total;total;mujeres;1990TII;1.308,3
total;total;mujeres;1990TI;1.335,5
total;total;mujeres;1989TIV;1.326,7
total;total;mujeres;1989TIII;1.328,1
total;total;mujeres;1989TII;1.332,1
total;total;mujeres;1989TI;1.397,8
total;total;mujeres;1988TIV;1.395,1
total;total;mujeres;1988TIII;1.433,3
total;total;mujeres;1988TII;1.435,5
total;total;mujeres;1988TI;1.443,7
total;total;mujeres;1987TIV;1.402,6
total;total;mujeres;1987TIII;1.374,0
total;total;mujeres;1987TII;1.331,2
total;total;mujeres;1987TI;1.187,6
total;total;mujeres;1986TIV;1.139,0
total;total;mujeres;1986TIII;1.092,9
total;total;mujeres;1986TII;1.076,0
total;total;mujeres;1986TI;1.094,1
total;total;mujeres;1985TIV;1.096,1
total;total;mujeres;1985TIII;1.072,3
total;total;mujeres;1985TII;1.045,5
total;total;mujeres;1985TI;1.042,2
total;total;mujeres;1984TIV;1.035,9
total;total;mujeres;1984TIII;979,1
total;total;mujeres;1984TII;929,1
total;total;mujeres;1984TI;931,6
total;total;mujeres;1983TIV;888,0
total;total;mujeres;1983TIII;848,1
total;total;mujeres;1983TII;813,4
total;total;mujeres;1983TI;837,6
total;total;mujeres;1982TIV;808,9
total;total;mujeres;1982TIII;760,0
total;total;mujeres;1982TII;704,0
total;total;mujeres;1982TI;695,1
total;total;mujeres;1981TIV;696,0
total;total;mujeres;1981TIII;627,7
total;total;mujeres;1981TII;587,0
total;total;mujeres;1981TI;580,0
total;total;mujeres;1980TIV;562,1
total;total;mujeres;1980TIII;517,8
total;total;mujeres;1980TII;474,3
total;total;mujeres;1980TI;461,7
total;total;mujeres;1979TIV;424,5
total;total;mujeres;1979TIII;388,4
total;total;mujeres;1979TII;344,8
total;total;mujeres;1979TI;353,8
total;total;mujeres;1978TIV;340,4
total;total;mujeres;1978TIII;318,1
total;total;mujeres;1978TII;279,0
total;total;mujeres;1978TI;277,9
total;total;mujeres;1977TIV;238,4
total;total;mujeres;1977TIII;225,2
total;total;mujeres;1977TII;184,6
total;total;mujeres;1977TI;188,9
total;total;mujeres;1976TIV;186,6
total;total;mujeres;1976TIII;182,1
total;menos de 6 meses;ambos sexos;1995TIV;1.087,2
total;menos de 6 meses;ambos sexos;1995TIII;990,6
total;menos de 6 meses;ambos sexos;1995TII;900,4
total;menos de 6 meses;ambos sexos;1995TI;1.033,6
total;menos de 6 meses;ambos sexos;1994TIV;1.066,5
total;menos de 6 meses;ambos sexos;1994TIII;966,5
total;menos de 6 meses;ambos sexos;1994TII;967,2
total;menos de 6 meses;ambos sexos;1994TI;1.105,3
total;menos de 6 meses;ambos sexos;1993TIV;1.150,0
total;menos de 6 meses;ambos sexos;1993TIII;1.031,9
total;menos de 6 meses;ambos sexos;1993TII;1.012,4
total;menos de 6 meses;ambos sexos;1993TI;1.132,2
total;menos de 6 meses;ambos sexos;1992TIV;1.074,7
total;menos de 6 meses;ambos sexos;1992TIII;920,3
total;menos de 6 meses;ambos sexos;1992TII;922,4
total;menos de 6 meses;ambos sexos;1992TI;949,4
total;menos de 6 meses;ambos sexos;1991TIV;859,0
total;menos de 6 meses;ambos sexos;1991TIII;787,0
total;menos de 6 meses;ambos sexos;1991TII;724,7
total;menos de 6 meses;ambos sexos;1991TI;813,5
total;menos de 6 meses;ambos sexos;1990TIV;809,4
total;menos de 6 meses;ambos sexos;1990TIII;686,0
total;menos de 6 meses;ambos sexos;1990TII;682,3
total;menos de 6 meses;ambos sexos;1990TI;770,8
total;menos de 6 meses;ambos sexos;1989TIV;814,5
total;menos de 6 meses;ambos sexos;1989TIII;651,5
total;menos de 6 meses;ambos sexos;1989TII;617,1
total;menos de 6 meses;ambos sexos;1989TI;752,6
total;menos de 6 meses;ambos sexos;1988TIV;749,8
total;menos de 6 meses;ambos sexos;1988TIII;706,7
total;menos de 6 meses;ambos sexos;1988TII;677,4
total;menos de 6 meses;ambos sexos;1988TI;749,8
total;menos de 6 meses;ambos sexos;1987TIV;763,0
total;menos de 6 meses;ambos sexos;1987TIII;691,3
total;menos de 6 meses;ambos sexos;1987TII;610,0
total;menos de 6 meses;ambos sexos;1987TI;826,6
total;menos de 6 meses;ambos sexos;1986TIV;805,9
total;menos de 6 meses;ambos sexos;1986TIII;702,9
total;menos de 6 meses;ambos sexos;1986TII;693,1
total;menos de 6 meses;ambos sexos;1986TI;786,4
total;menos de 6 meses;ambos sexos;1985TIV;785,5
total;menos de 6 meses;ambos sexos;1985TIII;715,6
total;menos de 6 meses;ambos sexos;1985TII;717,8
total;menos de 6 meses;ambos sexos;1985TI;783,1
total;menos de 6 meses;ambos sexos;1984TIV;800,3
total;menos de 6 meses;ambos sexos;1984TIII;697,6
total;menos de 6 meses;ambos sexos;1984TII;719,3
total;menos de 6 meses;ambos sexos;1984TI;787,0
total;menos de 6 meses;ambos sexos;1983TIV;725,3
total;menos de 6 meses;ambos sexos;1983TIII;623,1
total;menos de 6 meses;ambos sexos;1983TII;562,9
total;menos de 6 meses;ambos sexos;1983TI;674,9
total;menos de 6 meses;ambos sexos;1982TIV;713,2
total;menos de 6 meses;ambos sexos;1982TIII;643,9
total;menos de 6 meses;ambos sexos;1982TII;555,9
total;menos de 6 meses;ambos sexos;1982TI;669,1
total;menos de 6 meses;ambos sexos;1981TIV;677,9
total;menos de 6 meses;ambos sexos;1981TIII;641,3
total;menos de 6 meses;ambos sexos;1981TII;631,0
total;menos de 6 meses;ambos sexos;1981TI;708,8
total;menos de 6 meses;ambos sexos;1980TIV;684,0
total;menos de 6 meses;ambos sexos;1980TIII;625,2
total;menos de 6 meses;ambos sexos;1980TII;596,1
total;menos de 6 meses;ambos sexos;1980TI;624,5
total;menos de 6 meses;ambos sexos;1979TIV;601,6
total;menos de 6 meses;ambos sexos;1979TIII;531,7
total;menos de 6 meses;ambos sexos;1979TII;468,7
total;menos de 6 meses;ambos sexos;1979TI;496,2
total;menos de 6 meses;ambos sexos;1978TIV;505,8
total;menos de 6 meses;ambos sexos;1978TIII;450,6
total;menos de 6 meses;ambos sexos;1978TII;402,1
total;menos de 6 meses;ambos sexos;1978TI;438,0
total;menos de 6 meses;ambos sexos;1977TIV;419,0
total;menos de 6 meses;ambos sexos;1977TIII;378,7
total;menos de 6 meses;ambos sexos;1977TII;313,4
total;menos de 6 meses;ambos sexos;1977TI;363,6
total;menos de 6 meses;ambos sexos;1976TIV;366,6
total;menos de 6 meses;ambos sexos;1976TIII;318,3
total;menos de 6 meses;varones;1995TIV;622,0
total;menos de 6 meses;varones;1995TIII;573,5
total;menos de 6 meses;varones;1995TII;539,7
total;menos de 6 meses;varones;1995TI;590,0
total;menos de 6 meses;varones;1994TIV;606,7
total;menos de 6 meses;varones;1994TIII;576,9
total;menos de 6 meses;varones;1994TII;600,9
total;menos de 6 meses;varones;1994TI;685,0
total;menos de 6 meses;varones;1993TIV;696,6
total;menos de 6 meses;varones;1993TIII;627,5
total;menos de 6 meses;varones;1993TII;647,4
total;menos de 6 meses;varones;1993TI;700,5
total;menos de 6 meses;varones;1992TIV;640,0
total;menos de 6 meses;varones;1992TIII;558,3
total;menos de 6 meses;varones;1992TII;553,3
total;menos de 6 meses;varones;1992TI;563,7
total;menos de 6 meses;varones;1991TIV;497,9
total;menos de 6 meses;varones;1991TIII;448,1
total;menos de 6 meses;varones;1991TII;434,9
total;menos de 6 meses;varones;1991TI;475,1
total;menos de 6 meses;varones;1990TIV;468,3
total;menos de 6 meses;varones;1990TIII;399,8
total;menos de 6 meses;varones;1990TII;403,8
total;menos de 6 meses;varones;1990TI;453,4
total;menos de 6 meses;varones;1989TIV;486,4
total;menos de 6 meses;varones;1989TIII;366,4
total;menos de 6 meses;varones;1989TII;377,7
total;menos de 6 meses;varones;1989TI;457,0
total;menos de 6 meses;varones;1988TIV;442,0
total;menos de 6 meses;varones;1988TIII;421,9
total;menos de 6 meses;varones;1988TII;429,8
total;menos de 6 meses;varones;1988TI;470,4
total;menos de 6 meses;varones;1987TIV;467,5
total;menos de 6 meses;varones;1987TIII;423,9
total;menos de 6 meses;varones;1987TII;398,1
total;menos de 6 meses;varones;1987TI;554,1
total;menos de 6 meses;varones;1986TIV;543,0
total;menos de 6 meses;varones;1986TIII;481,8
total;menos de 6 meses;varones;1986TII;503,4
total;menos de 6 meses;varones;1986TI;565,8
total;menos de 6 meses;varones;1985TIV;537,7
total;menos de 6 meses;varones;1985TIII;491,4
total;menos de 6 meses;varones;1985TII;516,6
total;menos de 6 meses;varones;1985TI;558,8
total;menos de 6 meses;varones;1984TIV;558,0
total;menos de 6 meses;varones;1984TIII;480,9
total;menos de 6 meses;varones;1984TII;528,2
total;menos de 6 meses;varones;1984TI;563,3
total;menos de 6 meses;varones;1983TIV;500,4
total;menos de 6 meses;varones;1983TIII;437,3
total;menos de 6 meses;varones;1983TII;413,7
total;menos de 6 meses;varones;1983TI;483,0
total;menos de 6 meses;varones;1982TIV;494,1
total;menos de 6 meses;varones;1982TIII;452,7
total;menos de 6 meses;varones;1982TII;409,3
total;menos de 6 meses;varones;1982TI;490,2
total;menos de 6 meses;varones;1981TIV;481,2
total;menos de 6 meses;varones;1981TIII;469,4
total;menos de 6 meses;varones;1981TII;485,3
total;menos de 6 meses;varones;1981TI;520,1
total;menos de 6 meses;varones;1980TIV;482,1
total;menos de 6 meses;varones;1980TIII;442,0
total;menos de 6 meses;varones;1980TII;444,6
total;menos de 6 meses;varones;1980TI;459,9
total;menos de 6 meses;varones;1979TIV;428,3
total;menos de 6 meses;varones;1979TIII;384,8
total;menos de 6 meses;varones;1979TII;355,4
total;menos de 6 meses;varones;1979TI;362,6
total;menos de 6 meses;varones;1978TIV;357,4
total;menos de 6 meses;varones;1978TIII;319,2
total;menos de 6 meses;varones;1978TII;294,4
total;menos de 6 meses;varones;1978TI;313,8
total;menos de 6 meses;varones;1977TIV;297,4
total;menos de 6 meses;varones;1977TIII;270,4
total;menos de 6 meses;varones;1977TII;228,8
total;menos de 6 meses;varones;1977TI;263,6
total;menos de 6 meses;varones;1976TIV;256,4
total;menos de 6 meses;varones;1976TIII;220,8
total;menos de 6 meses;mujeres;1995TIV;465,2
total;menos de 6 meses;mujeres;1995TIII;417,0
total;menos de 6 meses;mujeres;1995TII;360,8
total;menos de 6 meses;mujeres;1995TI;443,7
total;menos de 6 meses;mujeres;1994TIV;459,8
total;menos de 6 meses;mujeres;1994TIII;389,6
total;menos de 6 meses;mujeres;1994TII;366,3
total;menos de 6 meses;mujeres;1994TI;420,3
total;menos de 6 meses;mujeres;1993TIV;453,4
total;menos de 6 meses;mujeres;1993TIII;404,4
total;menos de 6 meses;mujeres;1993TII;365,1
total;menos de 6 meses;mujeres;1993TI;431,7
total;menos de 6 meses;mujeres;1992TIV;434,7
total;menos de 6 meses;mujeres;1992TIII;361,9
total;menos de 6 meses;mujeres;1992TII;369,1
total;menos de 6 meses;mujeres;1992TI;385,7
total;menos de 6 meses;mujeres;1991TIV;361,1
total;menos de 6 meses;mujeres;1991TIII;338,9
total;menos de 6 meses;mujeres;1991TII;289,8
total;menos de 6 meses;mujeres;1991TI;338,4
total;menos de 6 meses;mujeres;1990TIV;341,0
total;menos de 6 meses;mujeres;1990TIII;286,3
total;menos de 6 meses;mujeres;1990TII;278,5
total;menos de 6 meses;mujeres;1990TI;317,3
total;menos de 6 meses;mujeres;1989TIV;328,1
total;menos de 6 meses;mujeres;1989TIII;285,1
total;menos de 6 meses;mujeres;1989TII;239,4
total;menos de 6 meses;mujeres;1989TI;295,6
total;menos de 6 meses;mujeres;1988TIV;307,8
total;menos de 6 meses;mujeres;1988TIII;284,8
total;menos de 6 meses;mujeres;1988TII;247,5
total;menos de 6 meses;mujeres;1988TI;279,4
total;menos de 6 meses;mujeres;1987TIV;295,5
total;menos de 6 meses;mujeres;1987TIII;267,3
total;menos de 6 meses;mujeres;1987TII;212,0
total;menos de 6 meses;mujeres;1987TI;272,5
total;menos de 6 meses;mujeres;1986TIV;262,9
total;menos de 6 meses;mujeres;1986TIII;221,0
total;menos de 6 meses;mujeres;1986TII;189,7
total;menos de 6 meses;mujeres;1986TI;220,6
total;menos de 6 meses;mujeres;1985TIV;247,8
total;menos de 6 meses;mujeres;1985TIII;224,2
total;menos de 6 meses;mujeres;1985TII;201,2
total;menos de 6 meses;mujeres;1985TI;224,3
total;menos de 6 meses;mujeres;1984TIV;242,3
total;menos de 6 meses;mujeres;1984TIII;216,7
total;menos de 6 meses;mujeres;1984TII;191,1
total;menos de 6 meses;mujeres;1984TI;223,6
total;menos de 6 meses;mujeres;1983TIV;224,9
total;menos de 6 meses;mujeres;1983TIII;185,8
total;menos de 6 meses;mujeres;1983TII;149,2
total;menos de 6 meses;mujeres;1983TI;191,9
total;menos de 6 meses;mujeres;1982TIV;219,2
total;menos de 6 meses;mujeres;1982TIII;191,2
total;menos de 6 meses;mujeres;1982TII;146,6
total;menos de 6 meses;mujeres;1982TI;178,8
total;menos de 6 meses;mujeres;1981TIV;196,7
total;menos de 6 meses;mujeres;1981TIII;171,9
total;menos de 6 meses;mujeres;1981TII;145,7
total;menos de 6 meses;mujeres;1981TI;188,7
total;menos de 6 meses;mujeres;1980TIV;201,8
total;menos de 6 meses;mujeres;1980TIII;183,3
total;menos de 6 meses;mujeres;1980TII;151,5
total;menos de 6 meses;mujeres;1980TI;164,6
total;menos de 6 meses;mujeres;1979TIV;173,3
total;menos de 6 meses;mujeres;1979TIII;146,9
total;menos de 6 meses;mujeres;1979TII;113,3
total;menos de 6 meses;mujeres;1979TI;133,7
total;menos de 6 meses;mujeres;1978TIV;148,4
total;menos de 6 meses;mujeres;1978TIII;131,4
total;menos de 6 meses;mujeres;1978TII;107,7
total;menos de 6 meses;mujeres;1978TI;124,2
total;menos de 6 meses;mujeres;1977TIV;121,6
total;menos de 6 meses;mujeres;1977TIII;108,3
total;menos de 6 meses;mujeres;1977TII;84,6
total;menos de 6 meses;mujeres;1977TI;100,0
total;menos de 6 meses;mujeres;1976TIV;110,2
total;menos de 6 meses;mujeres;1976TIII;97,4
total;de 6 meses a 1 año;ambos sexos;1995TIV;543,9
total;de 6 meses a 1 año;ambos sexos;1995TIII;595,6
total;de 6 meses a 1 año;ambos sexos;1995TII;632,5
total;de 6 meses a 1 año;ambos sexos;1995TI;553,4
total;de 6 meses a 1 año;ambos sexos;1994TIV;558,0
total;de 6 meses a 1 año;ambos sexos;1994TIII;666,9
total;de 6 meses a 1 año;ambos sexos;1994TII;761,4
total;de 6 meses a 1 año;ambos sexos;1994TI;667,6
total;de 6 meses a 1 año;ambos sexos;1993TIV;652,6
total;de 6 meses a 1 año;ambos sexos;1993TIII;762,9
total;de 6 meses a 1 año;ambos sexos;1993TII;767,5
total;de 6 meses a 1 año;ambos sexos;1993TI;615,6
total;de 6 meses a 1 año;ambos sexos;1992TIV;572,4
total;de 6 meses a 1 año;ambos sexos;1992TIII;595,3
total;de 6 meses a 1 año;ambos sexos;1992TII;528,3
total;de 6 meses a 1 año;ambos sexos;1992TI;440,8
total;de 6 meses a 1 año;ambos sexos;1991TIV;432,6
total;de 6 meses a 1 año;ambos sexos;1991TIII;451,8
total;de 6 meses a 1 año;ambos sexos;1991TII;450,1
total;de 6 meses a 1 año;ambos sexos;1991TI;410,2
total;de 6 meses a 1 año;ambos sexos;1990TIV;369,2
total;de 6 meses a 1 año;ambos sexos;1990TIII;393,2
total;de 6 meses a 1 año;ambos sexos;1990TII;438,7
total;de 6 meses a 1 año;ambos sexos;1990TI;399,2
total;de 6 meses a 1 año;ambos sexos;1989TIV;329,5
total;de 6 meses a 1 año;ambos sexos;1989TIII;358,6
total;de 6 meses a 1 año;ambos sexos;1989TII;405,2
total;de 6 meses a 1 año;ambos sexos;1989TI;384,5
total;de 6 meses a 1 año;ambos sexos;1988TIV;353,7
total;de 6 meses a 1 año;ambos sexos;1988TIII;381,9
total;de 6 meses a 1 año;ambos sexos;1988TII;423,8
total;de 6 meses a 1 año;ambos sexos;1988TI;400,8
total;de 6 meses a 1 año;ambos sexos;1987TIV;355,4
total;de 6 meses a 1 año;ambos sexos;1987TIII;374,0
total;de 6 meses a 1 año;ambos sexos;1987TII;396,1
total;de 6 meses a 1 año;ambos sexos;1987TI;481,7
total;de 6 meses a 1 año;ambos sexos;1986TIV;464,8
total;de 6 meses a 1 año;ambos sexos;1986TIII;515,8
total;de 6 meses a 1 año;ambos sexos;1986TII;530,0
total;de 6 meses a 1 año;ambos sexos;1986TI;509,5
total;de 6 meses a 1 año;ambos sexos;1985TIV;512,3
total;de 6 meses a 1 año;ambos sexos;1985TIII;557,8
total;de 6 meses a 1 año;ambos sexos;1985TII;545,4
total;de 6 meses a 1 año;ambos sexos;1985TI;552,7
total;de 6 meses a 1 año;ambos sexos;1984TIV;562,5
total;de 6 meses a 1 año;ambos sexos;1984TIII;537,4
total;de 6 meses a 1 año;ambos sexos;1984TII;541,5
total;de 6 meses a 1 año;ambos sexos;1984TI;506,7
total;de 6 meses a 1 año;ambos sexos;1983TIV;437,9
total;de 6 meses a 1 año;ambos sexos;1983TIII;451,1
total;de 6 meses a 1 año;ambos sexos;1983TII;504,1
total;de 6 meses a 1 año;ambos sexos;1983TI;523,1
total;de 6 meses a 1 año;ambos sexos;1982TIV;451,6
total;de 6 meses a 1 año;ambos sexos;1982TIII;454,3
total;de 6 meses a 1 año;ambos sexos;1982TII;483,2
total;de 6 meses a 1 año;ambos sexos;1982TI;473,4
total;de 6 meses a 1 año;ambos sexos;1981TIV;463,9
total;de 6 meses a 1 año;ambos sexos;1981TIII;451,9
total;de 6 meses a 1 año;ambos sexos;1981TII;488,2
total;de 6 meses a 1 año;ambos sexos;1981TI;436,5
total;de 6 meses a 1 año;ambos sexos;1980TIV;403,4
total;de 6 meses a 1 año;ambos sexos;1980TIII;377,6
total;de 6 meses a 1 año;ambos sexos;1980TII;401,2
total;de 6 meses a 1 año;ambos sexos;1980TI;365,6
total;de 6 meses a 1 año;ambos sexos;1979TIV;305,9
total;de 6 meses a 1 año;ambos sexos;1979TIII;281,0
total;de 6 meses a 1 año;ambos sexos;1979TII;279,5
total;de 6 meses a 1 año;ambos sexos;1979TI;269,9
total;de 6 meses a 1 año;ambos sexos;1978TIV;226,9
total;de 6 meses a 1 año;ambos sexos;1978TIII;233,9
total;de 6 meses a 1 año;ambos sexos;1978TII;245,1
total;de 6 meses a 1 año;ambos sexos;1978TI;211,2
total;de 6 meses a 1 año;ambos sexos;1977TIV;171,5
total;de 6 meses a 1 año;ambos sexos;1977TIII;171,3
total;de 6 meses a 1 año;ambos sexos;1977TII;168,0
total;de 6 meses a 1 año;ambos sexos;1977TI;151,0
total;de 6 meses a 1 año;ambos sexos;1976TIV;126,9
total;de 6 meses a 1 año;ambos sexos;1976TIII;131,5
total;de 6 meses a 1 año;varones;1995TIV;295,3
total;de 6 meses a 1 año;varones;1995TIII;301,1
total;de 6 meses a 1 año;varones;1995TII;311,0
total;de 6 meses a 1 año;varones;1995TI;293,9
total;de 6 meses a 1 año;varones;1994TIV;308,1
total;de 6 meses a 1 año;varones;1994TIII;376,7
total;de 6 meses a 1 año;varones;1994TII;412,3
total;de 6 meses a 1 año;varones;1994TI;389,6
total;de 6 meses a 1 año;varones;1993TIV;384,5
total;de 6 meses a 1 año;varones;1993TIII;460,6
total;de 6 meses a 1 año;varones;1993TII;449,6
total;de 6 meses a 1 año;varones;1993TI;347,2
total;de 6 meses a 1 año;varones;1992TIV;336,3
total;de 6 meses a 1 año;varones;1992TIII;330,1
total;de 6 meses a 1 año;varones;1992TII;276,6
total;de 6 meses a 1 año;varones;1992TI;216,5
total;de 6 meses a 1 año;varones;1991TIV;229,3
total;de 6 meses a 1 año;varones;1991TIII;239,0
total;de 6 meses a 1 año;varones;1991TII;235,3
total;de 6 meses a 1 año;varones;1991TI;214,3
total;de 6 meses a 1 año;varones;1990TIV;192,4
total;de 6 meses a 1 año;varones;1990TIII;201,4
total;de 6 meses a 1 año;varones;1990TII;219,1
total;de 6 meses a 1 año;varones;1990TI;210,0
total;de 6 meses a 1 año;varones;1989TIV;177,4
total;de 6 meses a 1 año;varones;1989TIII;199,1
total;de 6 meses a 1 año;varones;1989TII;214,1
total;de 6 meses a 1 año;varones;1989TI;199,3
total;de 6 meses a 1 año;varones;1988TIV;197,1
total;de 6 meses a 1 año;varones;1988TIII;210,4
total;de 6 meses a 1 año;varones;1988TII;228,5
total;de 6 meses a 1 año;varones;1988TI;211,8
total;de 6 meses a 1 año;varones;1987TIV;193,3
total;de 6 meses a 1 año;varones;1987TIII;210,9
