Sexo;Grupo de edad (4);Sector económico ( 5);Periodo;Total
ambos sexos;de 16 a 19;construcción;1981TIII;5,02
ambos sexos;de 16 a 19;construcción;1981TII;5,29
ambos sexos;de 16 a 19;construcción;1981TI;6,59
ambos sexos;de 16 a 19;construcción;1980TIV;6,26
ambos sexos;de 16 a 19;construcción;1980TIII;6,10
ambos sexos;de 16 a 19;construcción;1980TII;6,39
ambos sexos;de 16 a 19;construcción;1980TI;5,82
ambos sexos;de 16 a 19;construcción;1979TIV;5,87
ambos sexos;de 16 a 19;construcción;1979TIII;6,97
ambos sexos;de 16 a 19;construcción;1979TII;6,69
ambos sexos;de 16 a 19;construcción;1979TI;8,77
ambos sexos;de 16 a 19;construcción;1978TIV;7,76
ambos sexos;de 16 a 19;construcción;1978TIII;7,94
ambos sexos;de 16 a 19;construcción;1978TII;7,62
ambos sexos;de 16 a 19;construcción;1978TI;9,50
ambos sexos;de 16 a 19;construcción;1977TIV;8,20
ambos sexos;de 16 a 19;construcción;1977TIII;8,77
ambos sexos;de 16 a 19;construcción;1977TII;8,16
ambos sexos;de 16 a 19;construcción;1977TI;7,33
ambos sexos;de 16 a 19;construcción;1976TIV;6,91
ambos sexos;de 16 a 19;construcción;1976TIII;7,32
ambos sexos;de 16 a 19;servicios;1995TIV;5,33
ambos sexos;de 16 a 19;servicios;1995TIII;5,55
ambos sexos;de 16 a 19;servicios;1995TII;5,18
ambos sexos;de 16 a 19;servicios;1995TI;5,63
ambos sexos;de 16 a 19;servicios;1994TIV;6,02
ambos sexos;de 16 a 19;servicios;1994TIII;6,23
ambos sexos;de 16 a 19;servicios;1994TII;6,64
ambos sexos;de 16 a 19;servicios;1994TI;7,37
ambos sexos;de 16 a 19;servicios;1993TIV;7,81
ambos sexos;de 16 a 19;servicios;1993TIII;7,95
ambos sexos;de 16 a 19;servicios;1993TII;8,17
ambos sexos;de 16 a 19;servicios;1993TI;8,28
ambos sexos;de 16 a 19;servicios;1992TIV;7,88
ambos sexos;de 16 a 19;servicios;1992TIII;8,18
ambos sexos;de 16 a 19;servicios;1992TII;8,54
ambos sexos;de 16 a 19;servicios;1992TI;8,42
ambos sexos;de 16 a 19;servicios;1991TIV;7,76
ambos sexos;de 16 a 19;servicios;1991TIII;8,33
ambos sexos;de 16 a 19;servicios;1991TII;8,49
ambos sexos;de 16 a 19;servicios;1991TI;8,92
ambos sexos;de 16 a 19;servicios;1990TIV;8,47
ambos sexos;de 16 a 19;servicios;1990TIII;9,15
ambos sexos;de 16 a 19;servicios;1990TII;9,25
ambos sexos;de 16 a 19;servicios;1990TI;9,85
ambos sexos;de 16 a 19;servicios;1989TIV;8,35
ambos sexos;de 16 a 19;servicios;1989TIII;9,82
ambos sexos;de 16 a 19;servicios;1989TII;8,78
ambos sexos;de 16 a 19;servicios;1989TI;9,22
ambos sexos;de 16 a 19;servicios;1988TIV;9,58
ambos sexos;de 16 a 19;servicios;1988TIII;9,65
ambos sexos;de 16 a 19;servicios;1988TII;10,00
ambos sexos;de 16 a 19;servicios;1988TI;10,09
ambos sexos;de 16 a 19;servicios;1987TIV;10,09
ambos sexos;de 16 a 19;servicios;1987TIII;9,76
