Sexo;Edad;Tiempo de búsqueda de empleo;Periodo;Total
Ambos sexos;Total;Ya ha encontrado empleo;2015T3;309,5
Ambos sexos;Total;Ya ha encontrado empleo;2015T2;258
Ambos sexos;Total;Ya ha encontrado empleo;2015T1;251,2
Ambos sexos;Total;Ya ha encontrado empleo;2014T4;204
Ambos sexos;Total;Ya ha encontrado empleo;2014T3;318,4
Ambos sexos;Total;Ya ha encontrado empleo;2014T2;269
Ambos sexos;Total;Ya ha encontrado empleo;2014T1;236,8
Ambos sexos;Total;Ya ha encontrado empleo;2013T4;243,2
Ambos sexos;Total;Ya ha encontrado empleo;2013T3;308,7
Ambos sexos;Total;Ya ha encontrado empleo;2013T2;267,5
Ambos sexos;Total;Ya ha encontrado empleo;2013T1;230,1
Ambos sexos;Total;Ya ha encontrado empleo;2012T4;234,9
Ambos sexos;Total;Ya ha encontrado empleo;2012T3;311,7
Ambos sexos;Total;Ya ha encontrado empleo;2012T2;264,6
Ambos sexos;Total;Ya ha encontrado empleo;2012T1;232,7
Ambos sexos;Total;Ya ha encontrado empleo;2011T4;224,6
Ambos sexos;Total;Ya ha encontrado empleo;2011T3;316,5
Ambos sexos;Total;Ya ha encontrado empleo;2011T2;259
Ambos sexos;Total;Ya ha encontrado empleo;2011T1;264,6
Ambos sexos;Total;Ya ha encontrado empleo;2010T4;249,9
Ambos sexos;Total;Ya ha encontrado empleo;2010T3;311,5
Ambos sexos;Total;Ya ha encontrado empleo;2010T2;273
Ambos sexos;Total;Ya ha encontrado empleo;2010T1;212,2
Ambos sexos;Total;Ya ha encontrado empleo;2009T4;224
Ambos sexos;Total;Ya ha encontrado empleo;2009T3;280,2
Ambos sexos;Total;Ya ha encontrado empleo;2009T2;254,2
Ambos sexos;Total;Ya ha encontrado empleo;2009T1;216,9
Ambos sexos;Total;Ya ha encontrado empleo;2008T4;247,4
Ambos sexos;Total;Ya ha encontrado empleo;2008T3;301,6
Ambos sexos;Total;Ya ha encontrado empleo;2008T2;264,1
Ambos sexos;Total;Ya ha encontrado empleo;2008T1;254,6
Ambos sexos;Total;Ya ha encontrado empleo;2007T4;253,4
Ambos sexos;Total;Ya ha encontrado empleo;2007T3;299,7
Ambos sexos;Total;Ya ha encontrado empleo;2007T2;251
Ambos sexos;Total;Ya ha encontrado empleo;2007T1;248,3
Ambos sexos;Total;Ya ha encontrado empleo;2006T4;240,6
Ambos sexos;Total;Ya ha encontrado empleo;2006T3;277,9
Ambos sexos;Total;Ya ha encontrado empleo;2006T2;252,8
Ambos sexos;Total;Ya ha encontrado empleo;2006T1;207,1
Ambos sexos;Total;Ya ha encontrado empleo;2005T4;191,2
Ambos sexos;Total;Ya ha encontrado empleo;2005T3;227
Ambos sexos;Total;Ya ha encontrado empleo;2005T2;239,2
Ambos sexos;Total;Ya ha encontrado empleo;2005T1;203,6
Ambos sexos;Total;Ya ha encontrado empleo;2004T4;146,5
Ambos sexos;Total;Ya ha encontrado empleo;2004T3;195,1
Ambos sexos;Total;Ya ha encontrado empleo;2004T2;148,4
Ambos sexos;Total;Ya ha encontrado empleo;2004T1;171,9
Ambos sexos;Total;Ya ha encontrado empleo;2003T4;136,7
Ambos sexos;Total;Ya ha encontrado empleo;2003T3;180,9
Ambos sexos;Total;Ya ha encontrado empleo;2003T2;130,8
Ambos sexos;Total;Ya ha encontrado empleo;2003T1;161,2
Ambos sexos;Total;Ya ha encontrado empleo;2002T4;127,7
Ambos sexos;Total;Ya ha encontrado empleo;2002T3;184,6
Ambos sexos;Total;Ya ha encontrado empleo;2002T2;140
Ambos sexos;Total;Ya ha encontrado empleo;2002T1;143,9
Ambos sexos;Total;Menos de 1 mes;2025T4;207,4
Ambos sexos;Total;Menos de 1 mes;2025T3;292,8
Ambos sexos;Total;Menos de 1 mes;2025T2;225,5
Ambos sexos;Total;Menos de 1 mes;2025T1;228,8
Ambos sexos;Total;Menos de 1 mes;2024T4;228,9
Ambos sexos;Total;Menos de 1 mes;2024T3;284,5
Ambos sexos;Total;Menos de 1 mes;2024T2;233,9
Ambos sexos;Total;Menos de 1 mes;2024T1;244
Ambos sexos;Total;Menos de 1 mes;2023T4;242,5
Ambos sexos;Total;Menos de 1 mes;2023T3;261,6
Ambos sexos;Total;Menos de 1 mes;2023T2;242,3
Ambos sexos;Total;Menos de 1 mes;2023T1;216,1
Ambos sexos;Total;Menos de 1 mes;2022T4;231,1
Ambos sexos;Total;Menos de 1 mes;2022T3;256,5
Ambos sexos;Total;Menos de 1 mes;2022T2;235,7
Ambos sexos;Total;Menos de 1 mes;2022T1;223,3
Ambos sexos;Total;Menos de 1 mes;2021T4;221,3
Ambos sexos;Total;Menos de 1 mes;2021T3;226
Ambos sexos;Total;Menos de 1 mes;2021T2;233,4
Ambos sexos;Total;Menos de 1 mes;2021T1;215,7
Ambos sexos;Total;Menos de 1 mes;2020T4;192
Ambos sexos;Total;Menos de 1 mes;2020T3;207,7
Ambos sexos;Total;Menos de 1 mes;2020T2;238,2
Ambos sexos;Total;Menos de 1 mes;2020T1;221,9
Ambos sexos;Total;Menos de 1 mes;2019T4;217
Ambos sexos;Total;Menos de 1 mes;2019T3;230,1
Ambos sexos;Total;Menos de 1 mes;2019T2;173,6
Ambos sexos;Total;Menos de 1 mes;2019T1;182,1
Ambos sexos;Total;Menos de 1 mes;2018T4;222,7
Ambos sexos;Total;Menos de 1 mes;2018T3;219,3
Ambos sexos;Total;Menos de 1 mes;2018T2;185,1
Ambos sexos;Total;Menos de 1 mes;2018T1;218,2
Ambos sexos;Total;Menos de 1 mes;2017T4;194
Ambos sexos;Total;Menos de 1 mes;2017T3;228,2
Ambos sexos;Total;Menos de 1 mes;2017T2;177,8
Ambos sexos;Total;Menos de 1 mes;2017T1;184,9
Ambos sexos;Total;Menos de 1 mes;2016T4;199,4
Ambos sexos;Total;Menos de 1 mes;2016T3;213,8
Ambos sexos;Total;Menos de 1 mes;2016T2;186,7
Ambos sexos;Total;Menos de 1 mes;2016T1;193,8
Ambos sexos;Total;Menos de 1 mes;2015T4;202,9
Ambos sexos;Total;Menos de 1 mes;2015T3;210,6
Ambos sexos;Total;Menos de 1 mes;2015T2;181,7
Ambos sexos;Total;Menos de 1 mes;2015T1;182,9
Ambos sexos;Total;Menos de 1 mes;2014T4;207,4
Ambos sexos;Total;Menos de 1 mes;2014T3;212,1
Ambos sexos;Total;Menos de 1 mes;2014T2;174,5
Ambos sexos;Total;Menos de 1 mes;2014T1;193,5
Ambos sexos;Total;Menos de 1 mes;2013T4;227,2
Ambos sexos;Total;Menos de 1 mes;2013T3;234,4
Ambos sexos;Total;Menos de 1 mes;2013T2;198,1
Ambos sexos;Total;Menos de 1 mes;2013T1;209,4
Ambos sexos;Total;Menos de 1 mes;2012T4;245,9
Ambos sexos;Total;Menos de 1 mes;2012T3;253,9
Ambos sexos;Total;Menos de 1 mes;2012T2;227,4
Ambos sexos;Total;Menos de 1 mes;2012T1;204,4
Ambos sexos;Total;Menos de 1 mes;2011T4;249,6
Ambos sexos;Total;Menos de 1 mes;2011T3;252
Ambos sexos;Total;Menos de 1 mes;2011T2;241,7
Ambos sexos;Total;Menos de 1 mes;2011T1;239,2
Ambos sexos;Total;Menos de 1 mes;2010T4;239,2
Ambos sexos;Total;Menos de 1 mes;2010T3;233,5
Ambos sexos;Total;Menos de 1 mes;2010T2;234,9
Ambos sexos;Total;Menos de 1 mes;2010T1;230,7
Ambos sexos;Total;Menos de 1 mes;2009T4;286,9
Ambos sexos;Total;Menos de 1 mes;2009T3;280,4
