Edad;Sexo;Periodo;Total
70 y más años;Hombres;2020T3;1,15
70 y más años;Hombres;2020T2;1,23
70 y más años;Hombres;2020T1;1,4
70 y más años;Hombres;2019T4;1,35
70 y más años;Hombres;2019T3;1,36
70 y más años;Hombres;2019T2;1,32
70 y más años;Hombres;2019T1;1,31
70 y más años;Hombres;2018T4;1,3
70 y más años;Hombres;2018T3;1,21
70 y más años;Hombres;2018T2;1,08
70 y más años;Hombres;2018T1;1,08
70 y más años;Hombres;2017T4;0,98
70 y más años;Hombres;2017T3;0,95
70 y más años;Hombres;2017T2;0,96
70 y más años;Hombres;2017T1;0,96
70 y más años;Hombres;2016T4;0,87
70 y más años;Hombres;2016T3;0,89
70 y más años;Hombres;2016T2;0,87
70 y más años;Hombres;2016T1;0,88
70 y más años;Hombres;2015T4;0,91
70 y más años;Hombres;2015T3;0,87
70 y más años;Hombres;2015T2;0,91
70 y más años;Hombres;2015T1;0,77
70 y más años;Hombres;2014T4;0,8
70 y más años;Hombres;2014T3;0,85
70 y más años;Hombres;2014T2;0,82
70 y más años;Hombres;2014T1;0,8
70 y más años;Hombres;2013T4;0,76
70 y más años;Hombres;2013T3;0,78
70 y más años;Hombres;2013T2;0,83
70 y más años;Hombres;2013T1;0,82
70 y más años;Hombres;2012T4;0,88
70 y más años;Hombres;2012T3;0,96
70 y más años;Hombres;2012T2;1,07
70 y más años;Hombres;2012T1;0,94
70 y más años;Hombres;2011T4;1,04
70 y más años;Hombres;2011T3;1,04
70 y más años;Hombres;2011T2;1,05
70 y más años;Hombres;2011T1;1,14
70 y más años;Hombres;2010T4;1,18
70 y más años;Hombres;2010T3;1,14
70 y más años;Hombres;2010T2;1,11
70 y más años;Hombres;2010T1;0,98
70 y más años;Hombres;2009T4;1,12
70 y más años;Hombres;2009T3;1,06
70 y más años;Hombres;2009T2;1,07
70 y más años;Hombres;2009T1;1,1
70 y más años;Hombres;2008T4;1
70 y más años;Hombres;2008T3;1,15
70 y más años;Hombres;2008T2;1,15
70 y más años;Hombres;2008T1;1,1
70 y más años;Hombres;2007T4;1,54
70 y más años;Hombres;2007T3;1,44
70 y más años;Hombres;2007T2;1,42
70 y más años;Hombres;2007T1;1,64
70 y más años;Hombres;2006T4;1,38
70 y más años;Hombres;2006T3;1,69
70 y más años;Hombres;2006T2;1,71
70 y más años;Hombres;2006T1;1,54
70 y más años;Hombres;2005T4;1,79
70 y más años;Hombres;2005T3;1,51
70 y más años;Hombres;2005T2;1,57
70 y más años;Hombres;2005T1;1,69
70 y más años;Hombres;2004T4;1,13
70 y más años;Hombres;2004T3;1,14
70 y más años;Hombres;2004T2;1,05
70 y más años;Hombres;2004T1;0,92
70 y más años;Hombres;2003T4;0,91
70 y más años;Hombres;2003T3;1,03
70 y más años;Hombres;2003T2;1,1
70 y más años;Hombres;2003T1;0,92
70 y más años;Hombres;2002T4;1,02
70 y más años;Hombres;2002T3;0,96
70 y más años;Hombres;2002T2;0,98
70 y más años;Hombres;2002T1;1,01
70 y más años;Mujeres;2025T4;0,61
70 y más años;Mujeres;2025T3;0,58
70 y más años;Mujeres;2025T2;0,54
70 y más años;Mujeres;2025T1;0,54
70 y más años;Mujeres;2024T4;0,45
70 y más años;Mujeres;2024T3;0,39
70 y más años;Mujeres;2024T2;0,43
70 y más años;Mujeres;2024T1;0,34
70 y más años;Mujeres;2023T4;0,39
70 y más años;Mujeres;2023T3;0,46
70 y más años;Mujeres;2023T2;0,41
70 y más años;Mujeres;2023T1;0,51
70 y más años;Mujeres;2022T4;0,56
70 y más años;Mujeres;2022T3;0,54
70 y más años;Mujeres;2022T2;0,53
70 y más años;Mujeres;2022T1;0,57
70 y más años;Mujeres;2021T4;0,57
70 y más años;Mujeres;2021T3;0,49
70 y más años;Mujeres;2021T2;0,4
70 y más años;Mujeres;2021T1;0,32
70 y más años;Mujeres;2020T4;0,39
70 y más años;Mujeres;2020T3;0,5
70 y más años;Mujeres;2020T2;0,52
70 y más años;Mujeres;2020T1;0,61
70 y más años;Mujeres;2019T4;0,5
70 y más años;Mujeres;2019T3;0,5
70 y más años;Mujeres;2019T2;0,53
70 y más años;Mujeres;2019T1;0,46
70 y más años;Mujeres;2018T4;0,45
70 y más años;Mujeres;2018T3;0,4
70 y más años;Mujeres;2018T2;0,42
70 y más años;Mujeres;2018T1;0,46
70 y más años;Mujeres;2017T4;0,47
70 y más años;Mujeres;2017T3;0,5
70 y más años;Mujeres;2017T2;0,49
70 y más años;Mujeres;2017T1;0,42
70 y más años;Mujeres;2016T4;0,4
70 y más años;Mujeres;2016T3;0,33
70 y más años;Mujeres;2016T2;0,42
70 y más años;Mujeres;2016T1;0,37
70 y más años;Mujeres;2015T4;0,39
70 y más años;Mujeres;2015T3;0,34
70 y más años;Mujeres;2015T2;0,3
70 y más años;Mujeres;2015T1;0,3
70 y más años;Mujeres;2014T4;0,39
70 y más años;Mujeres;2014T3;0,41
70 y más años;Mujeres;2014T2;0,36
70 y más años;Mujeres;2014T1;0,32
70 y más años;Mujeres;2013T4;0,35
70 y más años;Mujeres;2013T3;0,41
70 y más años;Mujeres;2013T2;0,48
70 y más años;Mujeres;2013T1;0,43
70 y más años;Mujeres;2012T4;0,46
70 y más años;Mujeres;2012T3;0,62
70 y más años;Mujeres;2012T2;0,56
70 y más años;Mujeres;2012T1;0,6
70 y más años;Mujeres;2011T4;0,54
70 y más años;Mujeres;2011T3;0,56
70 y más años;Mujeres;2011T2;0,48
70 y más años;Mujeres;2011T1;0,55
70 y más años;Mujeres;2010T4;0,5
70 y más años;Mujeres;2010T3;0,46
70 y más años;Mujeres;2010T2;0,51
70 y más años;Mujeres;2010T1;0,5
70 y más años;Mujeres;2009T4;0,53
70 y más años;Mujeres;2009T3;0,38
70 y más años;Mujeres;2009T2;0,4
70 y más años;Mujeres;2009T1;0,48
70 y más años;Mujeres;2008T4;0,55
70 y más años;Mujeres;2008T3;0,59
70 y más años;Mujeres;2008T2;0,45
70 y más años;Mujeres;2008T1;0,49
70 y más años;Mujeres;2007T4;0,46
70 y más años;Mujeres;2007T3;0,44
70 y más años;Mujeres;2007T2;0,38
70 y más años;Mujeres;2007T1;0,45
70 y más años;Mujeres;2006T4;0,45
70 y más años;Mujeres;2006T3;0,43
70 y más años;Mujeres;2006T2;0,5
70 y más años;Mujeres;2006T1;0,53
70 y más años;Mujeres;2005T4;0,52
70 y más años;Mujeres;2005T3;0,58
70 y más años;Mujeres;2005T2;0,5
70 y más años;Mujeres;2005T1;0,57
70 y más años;Mujeres;2004T4;0,39
70 y más años;Mujeres;2004T3;0,36
70 y más años;Mujeres;2004T2;0,34
70 y más años;Mujeres;2004T1;0,32
70 y más años;Mujeres;2003T4;0,4
70 y más años;Mujeres;2003T3;0,38
70 y más años;Mujeres;2003T2;0,39
70 y más años;Mujeres;2003T1;0,35
70 y más años;Mujeres;2002T4;0,31
70 y más años;Mujeres;2002T3;0,33
70 y más años;Mujeres;2002T2;0,25
70 y más años;Mujeres;2002T1;0,24
