Sexo;Edad;Nacionalidad;Periodo;Total
Ambos sexos;Total;Española;2010T3;40.517
Ambos sexos;Total;Española;2010T2;40.473
Ambos sexos;Total;Española;2010T1;40.479,1
Ambos sexos;Total;Española;2009T4;40.430
Ambos sexos;Total;Española;2009T3;40.362
Ambos sexos;Total;Española;2009T2;40.297,8
Ambos sexos;Total;Española;2009T1;40.282,5
Ambos sexos;Total;Española;2008T4;40.291
Ambos sexos;Total;Española;2008T3;40.197,5
Ambos sexos;Total;Española;2008T2;40.147,6
Ambos sexos;Total;Española;2008T1;40.099,8
Ambos sexos;Total;Española;2007T4;40.068,9
Ambos sexos;Total;Española;2007T3;39.976,3
Ambos sexos;Total;Española;2007T2;39.943
Ambos sexos;Total;Española;2007T1;39.885,2
Ambos sexos;Total;Española;2006T4;39.849,2
Ambos sexos;Total;Española;2006T3;39.823,4
Ambos sexos;Total;Española;2006T2;39.769,6
Ambos sexos;Total;Española;2006T1;39.727,5
Ambos sexos;Total;Española;2005T4;39.748,6
Ambos sexos;Total;Española;2005T3;39.630,4
Ambos sexos;Total;Española;2005T2;39.582,4
Ambos sexos;Total;Española;2005T1;39.587,8
Ambos sexos;Total;Española;2004T4;39.588,9
Ambos sexos;Total;Española;2004T3;39.537
Ambos sexos;Total;Española;2004T2;39.503,5
Ambos sexos;Total;Española;2004T1;39.434,3
Ambos sexos;Total;Española;2003T4;39.412,8
Ambos sexos;Total;Española;2003T3;39.388,7
Ambos sexos;Total;Española;2003T2;39.355,4
Ambos sexos;Total;Española;2003T1;39.295,2
Ambos sexos;Total;Española;2002T4;39.267,2
Ambos sexos;Total;Española;2002T3;39.200,2
Ambos sexos;Total;Española;2002T2;39.120,3
Ambos sexos;Total;Española;2002T1;39.081,1
Ambos sexos;Total;Doble nacionalidad;2025T4;2.144,1
Ambos sexos;Total;Doble nacionalidad;2025T3;2.189,2
Ambos sexos;Total;Doble nacionalidad;2025T2;2.146,6
Ambos sexos;Total;Doble nacionalidad;2025T1;2.139
Ambos sexos;Total;Doble nacionalidad;2024T4;2.074,7
Ambos sexos;Total;Doble nacionalidad;2024T3;2.076,5
Ambos sexos;Total;Doble nacionalidad;2024T2;1.995,1
Ambos sexos;Total;Doble nacionalidad;2024T1;1.879,8
Ambos sexos;Total;Doble nacionalidad;2023T4;1.771,3
Ambos sexos;Total;Doble nacionalidad;2023T3;1.781,4
Ambos sexos;Total;Doble nacionalidad;2023T2;1.737,6
Ambos sexos;Total;Doble nacionalidad;2023T1;1.657,5
Ambos sexos;Total;Doble nacionalidad;2022T4;1.614,1
Ambos sexos;Total;Doble nacionalidad;2022T3;1.638,2
Ambos sexos;Total;Doble nacionalidad;2022T2;1.614,6
Ambos sexos;Total;Doble nacionalidad;2022T1;1.588,7
Ambos sexos;Total;Doble nacionalidad;2021T4;1.552,3
Ambos sexos;Total;Doble nacionalidad;2021T3;1.561,5
Ambos sexos;Total;Doble nacionalidad;2021T2;1.532,2
Ambos sexos;Total;Doble nacionalidad;2021T1;1.510,3
Ambos sexos;Total;Doble nacionalidad;2020T4;1.376,2
Ambos sexos;Total;Doble nacionalidad;2020T3;1.401,7
Ambos sexos;Total;Doble nacionalidad;2020T2;1.373,1
Ambos sexos;Total;Doble nacionalidad;2020T1;1.372,8
Ambos sexos;Total;Doble nacionalidad;2019T4;1.340,7
Ambos sexos;Total;Doble nacionalidad;2019T3;1.299
Ambos sexos;Total;Doble nacionalidad;2019T2;1.242,2
Ambos sexos;Total;Doble nacionalidad;2019T1;1.223,4
Ambos sexos;Total;Doble nacionalidad;2018T4;1.213,9
Ambos sexos;Total;Doble nacionalidad;2018T3;1.204,4
Ambos sexos;Total;Doble nacionalidad;2018T2;1.165,5
Ambos sexos;Total;Doble nacionalidad;2018T1;1.134,7
Ambos sexos;Total;Doble nacionalidad;2017T4;1.097,3
Ambos sexos;Total;Doble nacionalidad;2017T3;1.101,6
Ambos sexos;Total;Doble nacionalidad;2017T2;1.065,8
Ambos sexos;Total;Doble nacionalidad;2017T1;1.062,9
Ambos sexos;Total;Doble nacionalidad;2016T4;1.113,5
Ambos sexos;Total;Doble nacionalidad;2016T3;1.105,3
Ambos sexos;Total;Doble nacionalidad;2016T2;1.067,3
Ambos sexos;Total;Doble nacionalidad;2016T1;1.041,4
Ambos sexos;Total;Doble nacionalidad;2015T4;1.038,3
Ambos sexos;Total;Doble nacionalidad;2015T3;1.012,3
Ambos sexos;Total;Doble nacionalidad;2015T2;935,7
Ambos sexos;Total;Doble nacionalidad;2015T1;897,8
Ambos sexos;Total;Doble nacionalidad;2014T4;863
Ambos sexos;Total;Doble nacionalidad;2014T3;828
Ambos sexos;Total;Doble nacionalidad;2014T2;804
Ambos sexos;Total;Doble nacionalidad;2014T1;804,8
Ambos sexos;Total;Doble nacionalidad;2013T4;783
Ambos sexos;Total;Doble nacionalidad;2013T3;753,9
Ambos sexos;Total;Doble nacionalidad;2013T2;709,7
Ambos sexos;Total;Doble nacionalidad;2013T1;699,8
Ambos sexos;Total;Doble nacionalidad;2012T4;702,9
Ambos sexos;Total;Doble nacionalidad;2012T3;700,7
Ambos sexos;Total;Doble nacionalidad;2012T2;685
Ambos sexos;Total;Doble nacionalidad;2012T1;675,7
Ambos sexos;Total;Doble nacionalidad;2011T4;663,2
Ambos sexos;Total;Doble nacionalidad;2011T3;661,2
Ambos sexos;Total;Doble nacionalidad;2011T2;633,9
Ambos sexos;Total;Doble nacionalidad;2011T1;624,1
Ambos sexos;Total;Doble nacionalidad;2010T4;599,6
Ambos sexos;Total;Doble nacionalidad;2010T3;569,6
Ambos sexos;Total;Doble nacionalidad;2010T2;547,1
Ambos sexos;Total;Doble nacionalidad;2010T1;493,7
Ambos sexos;Total;Doble nacionalidad;2009T4;481,1
Ambos sexos;Total;Doble nacionalidad;2009T3;477
Ambos sexos;Total;Doble nacionalidad;2009T2;472,1
Ambos sexos;Total;Doble nacionalidad;2009T1;442,2
Ambos sexos;Total;Doble nacionalidad;2008T4;408,4
Ambos sexos;Total;Doble nacionalidad;2008T3;420,7
Ambos sexos;Total;Doble nacionalidad;2008T2;411,1
Ambos sexos;Total;Doble nacionalidad;2008T1;400
Ambos sexos;Total;Doble nacionalidad;2007T4;376,3
Ambos sexos;Total;Doble nacionalidad;2007T3;373,2
Ambos sexos;Total;Doble nacionalidad;2007T2;374,4
Ambos sexos;Total;Doble nacionalidad;2007T1;367,1
Ambos sexos;Total;Doble nacionalidad;2006T4;354,5
Ambos sexos;Total;Doble nacionalidad;2006T3;313
Ambos sexos;Total;Doble nacionalidad;2006T2;302,2
Ambos sexos;Total;Doble nacionalidad;2006T1;302,3
Ambos sexos;Total;Doble nacionalidad;2005T4;256,1
Ambos sexos;Total;Doble nacionalidad;2005T3;266,5
Ambos sexos;Total;Doble nacionalidad;2005T2;265,4
Ambos sexos;Total;Doble nacionalidad;2005T1;239
Ambos sexos;Total;Doble nacionalidad;2004T4;215,8
Ambos sexos;Total;Doble nacionalidad;2004T3;211,2
Ambos sexos;Total;Doble nacionalidad;2004T2;199,6
Ambos sexos;Total;Doble nacionalidad;2004T1;198,8
Ambos sexos;Total;Doble nacionalidad;2003T4;182,9
Ambos sexos;Total;Doble nacionalidad;2003T3;157,1
Ambos sexos;Total;Doble nacionalidad;2003T2;154,7
Ambos sexos;Total;Doble nacionalidad;2003T1;151,4
Ambos sexos;Total;Doble nacionalidad;2002T4;151,5
Ambos sexos;Total;Doble nacionalidad;2002T3;152
Ambos sexos;Total;Doble nacionalidad;2002T2;169
Ambos sexos;Total;Doble nacionalidad;2002T1;159
Ambos sexos;Total;Extranjera: Total;2025T4;7.070,7
Ambos sexos;Total;Extranjera: Total;2025T3;6.942,3
Ambos sexos;Total;Extranjera: Total;2025T2;6.885,7
Ambos sexos;Total;Extranjera: Total;2025T1;6.798,2
Ambos sexos;Total;Extranjera: Total;2024T4;6.728,7
Ambos sexos;Total;Extranjera: Total;2024T3;6.608,9
Ambos sexos;Total;Extranjera: Total;2024T2;6.494,3
Ambos sexos;Total;Extranjera: Total;2024T1;6.449,4
Ambos sexos;Total;Extranjera: Total;2023T4;6.385,7
Ambos sexos;Total;Extranjera: Total;2023T3;6.307,6
Ambos sexos;Total;Extranjera: Total;2023T2;6.196,7
Ambos sexos;Total;Extranjera: Total;2023T1;6.088,5
Ambos sexos;Total;Extranjera: Total;2022T4;5.960,2
Ambos sexos;Total;Extranjera: Total;2022T3;5.781,2
Ambos sexos;Total;Extranjera: Total;2022T2;5.634
Ambos sexos;Total;Extranjera: Total;2022T1;5.493,8
Ambos sexos;Total;Extranjera: Total;2021T4;5.335,1
Ambos sexos;Total;Extranjera: Total;2021T3;5.273,6
Ambos sexos;Total;Extranjera: Total;2021T2;5.225,8
Ambos sexos;Total;Extranjera: Total;2021T1;5.229,3
Ambos sexos;Total;Extranjera: Total;2020T4;4.985,1
Ambos sexos;Total;Extranjera: Total;2020T3;4.967,7
Ambos sexos;Total;Extranjera: Total;2020T2;4.961,4
Ambos sexos;Total;Extranjera: Total;2020T1;4.965,4
Ambos sexos;Total;Extranjera: Total;2019T4;4.915,8
Ambos sexos;Total;Extranjera: Total;2019T3;4.815,3
Ambos sexos;Total;Extranjera: Total;2019T2;4.723,5
Ambos sexos;Total;Extranjera: Total;2019T1;4.642,9
Ambos sexos;Total;Extranjera: Total;2018T4;4.576,6
Ambos sexos;Total;Extranjera: Total;2018T3;4.497,2
Ambos sexos;Total;Extranjera: Total;2018T2;4.429
Ambos sexos;Total;Extranjera: Total;2018T1;4.362,2
Ambos sexos;Total;Extranjera: Total;2017T4;4.337,4
Ambos sexos;Total;Extranjera: Total;2017T3;4.299,5
