Ocupación CNO-11;Sexo;Unidad;Periodo;Total
Total;Hombres;Valor absoluto;2019T3;5.541,1
Total;Hombres;Valor absoluto;2019T2;5.487,2
Total;Hombres;Valor absoluto;2019T1;5.540,7
Total;Hombres;Valor absoluto;2018T4;5.472,8
Total;Hombres;Valor absoluto;2018T3;5.397,7
Total;Hombres;Valor absoluto;2018T2;5.387,1
Total;Hombres;Valor absoluto;2018T1;5.456
Total;Hombres;Valor absoluto;2017T4;5.429,8
Total;Hombres;Valor absoluto;2017T3;5.352,7
Total;Hombres;Valor absoluto;2017T2;5.358,7
Total;Hombres;Valor absoluto;2017T1;5.387
Total;Hombres;Valor absoluto;2016T4;5.351,8
Total;Hombres;Valor absoluto;2016T3;5.264,6
Total;Hombres;Valor absoluto;2016T2;5.253,7
Total;Hombres;Valor absoluto;2016T1;5.257,8
Total;Hombres;Valor absoluto;2015T4;5.252,4
Total;Hombres;Valor absoluto;2015T3;5.187,6
Total;Hombres;Valor absoluto;2015T2;5.151
Total;Hombres;Valor absoluto;2015T1;5.222,5
Total;Hombres;Valor absoluto;2014T4;5.198
Total;Hombres;Valor absoluto;2014T3;5.195,4
Total;Hombres;Valor absoluto;2014T2;5.203,9
Total;Hombres;Valor absoluto;2014T1;5.286,5
Total;Hombres;Valor absoluto;2013T4;5.217,7
Total;Hombres;Valor absoluto;2013T3;5.156,6
Total;Hombres;Valor absoluto;2013T2;5.207
Total;Hombres;Valor absoluto;2013T1;5.179,2
Total;Hombres;Valor absoluto;2012T4;5.142,8
Total;Hombres;Valor absoluto;2012T3;5.069
Total;Hombres;Valor absoluto;2012T2;5.049
Total;Hombres;Valor absoluto;2012T1;5.134,6
Total;Hombres;Valor absoluto;2011T4;5.062,6
Total;Hombres;Valor absoluto;2011T3;5.047,1
Total;Hombres;Valor absoluto;2011T2;5.070,6
Total;Hombres;Valor absoluto;2011T1;5.080,9
Total;Hombres;Porcentaje;2025T4;100
Total;Hombres;Porcentaje;2025T3;100
Total;Hombres;Porcentaje;2025T2;100
Total;Hombres;Porcentaje;2025T1;100
Total;Hombres;Porcentaje;2024T4;100
Total;Hombres;Porcentaje;2024T3;100
Total;Hombres;Porcentaje;2024T2;100
Total;Hombres;Porcentaje;2024T1;100
Total;Hombres;Porcentaje;2023T4;100
Total;Hombres;Porcentaje;2023T3;100
Total;Hombres;Porcentaje;2023T2;100
Total;Hombres;Porcentaje;2023T1;100
Total;Hombres;Porcentaje;2022T4;100
Total;Hombres;Porcentaje;2022T3;100
Total;Hombres;Porcentaje;2022T2;100
Total;Hombres;Porcentaje;2022T1;100
Total;Hombres;Porcentaje;2021T4;100
Total;Hombres;Porcentaje;2021T3;100
Total;Hombres;Porcentaje;2021T2;100
Total;Hombres;Porcentaje;2021T1;100
Total;Hombres;Porcentaje;2020T4;100
Total;Hombres;Porcentaje;2020T3;100
Total;Hombres;Porcentaje;2020T2;100
Total;Hombres;Porcentaje;2020T1;100
Total;Hombres;Porcentaje;2019T4;100
Total;Hombres;Porcentaje;2019T3;100
Total;Hombres;Porcentaje;2019T2;100
Total;Hombres;Porcentaje;2019T1;100
Total;Hombres;Porcentaje;2018T4;100
Total;Hombres;Porcentaje;2018T3;100
Total;Hombres;Porcentaje;2018T2;100
Total;Hombres;Porcentaje;2018T1;100
Total;Hombres;Porcentaje;2017T4;100
Total;Hombres;Porcentaje;2017T3;100
Total;Hombres;Porcentaje;2017T2;100
Total;Hombres;Porcentaje;2017T1;100
Total;Hombres;Porcentaje;2016T4;100
Total;Hombres;Porcentaje;2016T3;100
Total;Hombres;Porcentaje;2016T2;100
Total;Hombres;Porcentaje;2016T1;100
Total;Hombres;Porcentaje;2015T4;100
Total;Hombres;Porcentaje;2015T3;100
Total;Hombres;Porcentaje;2015T2;100
Total;Hombres;Porcentaje;2015T1;100
Total;Hombres;Porcentaje;2014T4;100
Total;Hombres;Porcentaje;2014T3;100
Total;Hombres;Porcentaje;2014T2;100
Total;Hombres;Porcentaje;2014T1;100
Total;Hombres;Porcentaje;2013T4;100
Total;Hombres;Porcentaje;2013T3;100
Total;Hombres;Porcentaje;2013T2;100
Total;Hombres;Porcentaje;2013T1;100
Total;Hombres;Porcentaje;2012T4;100
Total;Hombres;Porcentaje;2012T3;100
Total;Hombres;Porcentaje;2012T2;100
Total;Hombres;Porcentaje;2012T1;100
Total;Hombres;Porcentaje;2011T4;100
Total;Hombres;Porcentaje;2011T3;100
Total;Hombres;Porcentaje;2011T2;100
Total;Hombres;Porcentaje;2011T1;100
Total;Mujeres;Valor absoluto;2025T4;6.650,9
Total;Mujeres;Valor absoluto;2025T3;6.575,8
Total;Mujeres;Valor absoluto;2025T2;6.520,5
Total;Mujeres;Valor absoluto;2025T1;6.552,4
Total;Mujeres;Valor absoluto;2024T4;6.622,3
Total;Mujeres;Valor absoluto;2024T3;6.588,5
Total;Mujeres;Valor absoluto;2024T2;6.483
Total;Mujeres;Valor absoluto;2024T1;6.570,9
Total;Mujeres;Valor absoluto;2023T4;6.511,3
Total;Mujeres;Valor absoluto;2023T3;6.459,8
Total;Mujeres;Valor absoluto;2023T2;6.439,4
Total;Mujeres;Valor absoluto;2023T1;6.455,9
Total;Mujeres;Valor absoluto;2022T4;6.478,2
Total;Mujeres;Valor absoluto;2022T3;6.449,4
Total;Mujeres;Valor absoluto;2022T2;6.356,3
Total;Mujeres;Valor absoluto;2022T1;6.384,2
Total;Mujeres;Valor absoluto;2021T4;6.363,5
Total;Mujeres;Valor absoluto;2021T3;6.302,9
Total;Mujeres;Valor absoluto;2021T2;6.332,4
Total;Mujeres;Valor absoluto;2021T1;6.500,7
Total;Mujeres;Valor absoluto;2020T4;6.619,7
Total;Mujeres;Valor absoluto;2020T3;6.773,7
Total;Mujeres;Valor absoluto;2020T2;7.180,8
Total;Mujeres;Valor absoluto;2020T1;6.528,5
Total;Mujeres;Valor absoluto;2019T4;6.398,1
Total;Mujeres;Valor absoluto;2019T3;6.382,9
Total;Mujeres;Valor absoluto;2019T2;6.299,7
Total;Mujeres;Valor absoluto;2019T1;6.382,2
Total;Mujeres;Valor absoluto;2018T4;6.313,2
Total;Mujeres;Valor absoluto;2018T3;6.297,6
Total;Mujeres;Valor absoluto;2018T2;6.173,1
Total;Mujeres;Valor absoluto;2018T1;6.220
Total;Mujeres;Valor absoluto;2017T4;6.164,4
Total;Mujeres;Valor absoluto;2017T3;6.184,5
Total;Mujeres;Valor absoluto;2017T2;6.136,3
Total;Mujeres;Valor absoluto;2017T1;6.130,2
Total;Mujeres;Valor absoluto;2016T4;6.062,7
Total;Mujeres;Valor absoluto;2016T3;6.035,9
Total;Mujeres;Valor absoluto;2016T2;5.906,6
Total;Mujeres;Valor absoluto;2016T1;5.948,1
Total;Mujeres;Valor absoluto;2015T4;5.964,7
Total;Mujeres;Valor absoluto;2015T3;6.064,2
Total;Mujeres;Valor absoluto;2015T2;5.901,4
Total;Mujeres;Valor absoluto;2015T1;5.958,6
Total;Mujeres;Valor absoluto;2014T4;5.930,1
Total;Mujeres;Valor absoluto;2014T3;6.015,8
Total;Mujeres;Valor absoluto;2014T2;5.931,3
Total;Mujeres;Valor absoluto;2014T1;5.927,4
Total;Mujeres;Valor absoluto;2013T4;5.890,9
Total;Mujeres;Valor absoluto;2013T3;5.965,1
Total;Mujeres;Valor absoluto;2013T2;5.879,4
Total;Mujeres;Valor absoluto;2013T1;5.841,9
Total;Mujeres;Valor absoluto;2012T4;5.810,6
Total;Mujeres;Valor absoluto;2012T3;5.892,9
Total;Mujeres;Valor absoluto;2012T2;5.869,9
Total;Mujeres;Valor absoluto;2012T1;5.906,3
Total;Mujeres;Valor absoluto;2011T4;5.945,3
Total;Mujeres;Valor absoluto;2011T3;5.980,6
Total;Mujeres;Valor absoluto;2011T2;5.909
Total;Mujeres;Valor absoluto;2011T1;5.967,7
Total;Mujeres;Porcentaje;2025T4;100
Total;Mujeres;Porcentaje;2025T3;100
Total;Mujeres;Porcentaje;2025T2;100
Total;Mujeres;Porcentaje;2025T1;100
Total;Mujeres;Porcentaje;2024T4;100
Total;Mujeres;Porcentaje;2024T3;100
Total;Mujeres;Porcentaje;2024T2;100
Total;Mujeres;Porcentaje;2024T1;100
Total;Mujeres;Porcentaje;2023T4;100
Total;Mujeres;Porcentaje;2023T3;100
Total;Mujeres;Porcentaje;2023T2;100
Total;Mujeres;Porcentaje;2023T1;100
Total;Mujeres;Porcentaje;2022T4;100
Total;Mujeres;Porcentaje;2022T3;100
Total;Mujeres;Porcentaje;2022T2;100
Total;Mujeres;Porcentaje;2022T1;100
Total;Mujeres;Porcentaje;2021T4;100
Total;Mujeres;Porcentaje;2021T3;100
Total;Mujeres;Porcentaje;2021T2;100
Total;Mujeres;Porcentaje;2021T1;100
Total;Mujeres;Porcentaje;2020T4;100
Total;Mujeres;Porcentaje;2020T3;100
Total;Mujeres;Porcentaje;2020T2;100
Total;Mujeres;Porcentaje;2020T1;100
Total;Mujeres;Porcentaje;2019T4;100
Total;Mujeres;Porcentaje;2019T3;100
Total;Mujeres;Porcentaje;2019T2;100
Total;Mujeres;Porcentaje;2019T1;100
Total;Mujeres;Porcentaje;2018T4;100
Total;Mujeres;Porcentaje;2018T3;100
Total;Mujeres;Porcentaje;2018T2;100
Total;Mujeres;Porcentaje;2018T1;100
Total;Mujeres;Porcentaje;2017T4;100
Total;Mujeres;Porcentaje;2017T3;100
Total;Mujeres;Porcentaje;2017T2;100
Total;Mujeres;Porcentaje;2017T1;100
Total;Mujeres;Porcentaje;2016T4;100
Total;Mujeres;Porcentaje;2016T3;100
Total;Mujeres;Porcentaje;2016T2;100
Total;Mujeres;Porcentaje;2016T1;100
Total;Mujeres;Porcentaje;2015T4;100
Total;Mujeres;Porcentaje;2015T3;100
Total;Mujeres;Porcentaje;2015T2;100
Total;Mujeres;Porcentaje;2015T1;100
Total;Mujeres;Porcentaje;2014T4;100
Total;Mujeres;Porcentaje;2014T3;100
Total;Mujeres;Porcentaje;2014T2;100
Total;Mujeres;Porcentaje;2014T1;100
Total;Mujeres;Porcentaje;2013T4;100
Total;Mujeres;Porcentaje;2013T3;100
Total;Mujeres;Porcentaje;2013T2;100
Total;Mujeres;Porcentaje;2013T1;100
Total;Mujeres;Porcentaje;2012T4;100
Total;Mujeres;Porcentaje;2012T3;100
Total;Mujeres;Porcentaje;2012T2;100
Total;Mujeres;Porcentaje;2012T1;100
Total;Mujeres;Porcentaje;2011T4;100
Total;Mujeres;Porcentaje;2011T3;100
Total;Mujeres;Porcentaje;2011T2;100
Total;Mujeres;Porcentaje;2011T1;100
1 Directores y gerentes;Ambos sexos;Valor absoluto;2025T4;27,3
1 Directores y gerentes;Ambos sexos;Valor absoluto;2025T3;19
1 Directores y gerentes;Ambos sexos;Valor absoluto;2025T2;28,3
1 Directores y gerentes;Ambos sexos;Valor absoluto;2025T1;24,6
1 Directores y gerentes;Ambos sexos;Valor absoluto;2024T4;22,7
1 Directores y gerentes;Ambos sexos;Valor absoluto;2024T3;21,4
1 Directores y gerentes;Ambos sexos;Valor absoluto;2024T2;25,7
1 Directores y gerentes;Ambos sexos;Valor absoluto;2024T1;25,4
1 Directores y gerentes;Ambos sexos;Valor absoluto;2023T4;20,7
1 Directores y gerentes;Ambos sexos;Valor absoluto;2023T3;23,3
1 Directores y gerentes;Ambos sexos;Valor absoluto;2023T2;21,4
1 Directores y gerentes;Ambos sexos;Valor absoluto;2023T1;30,4
1 Directores y gerentes;Ambos sexos;Valor absoluto;2022T4;29
1 Directores y gerentes;Ambos sexos;Valor absoluto;2022T3;22
1 Directores y gerentes;Ambos sexos;Valor absoluto;2022T2;29,2
1 Directores y gerentes;Ambos sexos;Valor absoluto;2022T1;32,1
1 Directores y gerentes;Ambos sexos;Valor absoluto;2021T4;25,2
1 Directores y gerentes;Ambos sexos;Valor absoluto;2021T3;19,1
1 Directores y gerentes;Ambos sexos;Valor absoluto;2021T2;22,5
1 Directores y gerentes;Ambos sexos;Valor absoluto;2021T1;31,8
1 Directores y gerentes;Ambos sexos;Valor absoluto;2020T4;18,2
1 Directores y gerentes;Ambos sexos;Valor absoluto;2020T3;22,8
1 Directores y gerentes;Ambos sexos;Valor absoluto;2020T2;33,4
