Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
total;de 1 año a menos de 2 años;varones;2000TII;153,2
total;de 1 año a menos de 2 años;varones;2000TI;155,1
total;de 1 año a menos de 2 años;varones;1999TIV;157,4
total;de 1 año a menos de 2 años;varones;1999TIII;160,6
total;de 1 año a menos de 2 años;varones;1999TII;174,8
total;de 1 año a menos de 2 años;varones;1999TI;208,8
total;de 1 año a menos de 2 años;varones;1998TIV;232,3
total;de 1 año a menos de 2 años;varones;1998TIII;227,7
total;de 1 año a menos de 2 años;varones;1998TII;249,2
total;de 1 año a menos de 2 años;varones;1998TI;277,1
total;de 1 año a menos de 2 años;varones;1997TIV;293,7
total;de 1 año a menos de 2 años;varones;1997TIII;287,2
total;de 1 año a menos de 2 años;varones;1997TII;299,1
total;de 1 año a menos de 2 años;varones;1997TI;313,8
total;de 1 año a menos de 2 años;varones;1996TIV;330,8
total;de 1 año a menos de 2 años;varones;1996TIII;324,3
total;de 1 año a menos de 2 años;varones;1996TII;318,4
total;de 1 año a menos de 2 años;varones;1996TI;334,4
total;de 1 año a menos de 2 años;mujeres;2001TIV;179,9
total;de 1 año a menos de 2 años;mujeres;2001TIII;165,6
total;de 1 año a menos de 2 años;mujeres;2001TII;178,7
total;de 1 año a menos de 2 años;mujeres;2001TI;174,2
total;de 1 año a menos de 2 años;mujeres;2000TIV;245,4
total;de 1 año a menos de 2 años;mujeres;2000TIII;249,7
total;de 1 año a menos de 2 años;mujeres;2000TII;250,8
total;de 1 año a menos de 2 años;mujeres;2000TI;262,5
total;de 1 año a menos de 2 años;mujeres;1999TIV;263,3
total;de 1 año a menos de 2 años;mujeres;1999TIII;250,4
total;de 1 año a menos de 2 años;mujeres;1999TII;250,4
total;de 1 año a menos de 2 años;mujeres;1999TI;275,6
total;de 1 año a menos de 2 años;mujeres;1998TIV;312,1
total;de 1 año a menos de 2 años;mujeres;1998TIII;323,7
total;de 1 año a menos de 2 años;mujeres;1998TII;311,2
total;de 1 año a menos de 2 años;mujeres;1998TI;312,1
