Sexo;Grupo de edad (5);Periodo;Total
varones;de 20 a 24 años;2001TII;556,4
varones;de 20 a 24 años;2001TI;573,8
varones;de 20 a 24 años;2000TIV;524,5
varones;de 20 a 24 años;2000TIII;506,4
varones;de 20 a 24 años;2000TII;561,1
varones;de 20 a 24 años;2000TI;559,9
varones;de 20 a 24 años;1999TIV;551,2
varones;de 20 a 24 años;1999TIII;520,4
varones;de 20 a 24 años;1999TII;557,2
varones;de 20 a 24 años;1999TI;552,3
varones;de 20 a 24 años;1998TIV;576,1
varones;de 20 a 24 años;1998TIII;551,9
varones;de 20 a 24 años;1998TII;585,4
varones;de 20 a 24 años;1998TI;582,0
varones;de 20 a 24 años;1997TIV;577,7
varones;de 20 a 24 años;1997TIII;573,2
varones;de 20 a 24 años;1997TII;585,1
varones;de 20 a 24 años;1997TI;572,5
varones;de 20 a 24 años;1996TIV;568,1
varones;de 20 a 24 años;1996TIII;547,4
varones;de 20 a 24 años;1996TII;571,5
varones;de 20 a 24 años;1996TI;544,5
varones;de 25 a 54 años;2001TIV;749,5
varones;de 25 a 54 años;2001TIII;753,0
varones;de 25 a 54 años;2001TII;741,8
varones;de 25 a 54 años;2001TI;752,6
varones;de 25 a 54 años;2000TIV;616,4
varones;de 25 a 54 años;2000TIII;619,4
varones;de 25 a 54 años;2000TII;603,1
varones;de 25 a 54 años;2000TI;595,9
varones;de 25 a 54 años;1999TIV;602,2
varones;de 25 a 54 años;1999TIII;601,3
varones;de 25 a 54 años;1999TII;615,5
varones;de 25 a 54 años;1999TI;616,6
varones;de 25 a 54 años;1998TIV;587,4
varones;de 25 a 54 años;1998TIII;600,0
varones;de 25 a 54 años;1998TII;613,4
varones;de 25 a 54 años;1998TI;613,0
varones;de 25 a 54 años;1997TIV;599,5
varones;de 25 a 54 años;1997TIII;602,9
varones;de 25 a 54 años;1997TII;600,7
varones;de 25 a 54 años;1997TI;594,0
varones;de 25 a 54 años;1996TIV;581,3
varones;de 25 a 54 años;1996TIII;572,2
varones;de 25 a 54 años;1996TII;576,4
varones;de 25 a 54 años;1996TI;583,3
varones;de 55 y más años;2001TIV;3.567,2
varones;de 55 y más años;2001TIII;3.562,3
varones;de 55 y más años;2001TII;3.542,5
varones;de 55 y más años;2001TI;3.543,0
varones;de 55 y más años;2000TIV;3.515,0
varones;de 55 y más años;2000TIII;3.509,1
varones;de 55 y más años;2000TII;3.501,1
varones;de 55 y más años;2000TI;3.513,9
varones;de 55 y más años;1999TIV;3.503,8
varones;de 55 y más años;1999TIII;3.499,3
varones;de 55 y más años;1999TII;3.491,5
varones;de 55 y más años;1999TI;3.467,4
varones;de 55 y más años;1998TIV;3.449,4
varones;de 55 y más años;1998TIII;3.417,6
varones;de 55 y más años;1998TII;3.410,1
varones;de 55 y más años;1998TI;3.400,4
varones;de 55 y más años;1997TIV;3.378,4
varones;de 55 y más años;1997TIII;3.375,8
varones;de 55 y más años;1997TII;3.363,9
varones;de 55 y más años;1997TI;3.358,0
varones;de 55 y más años;1996TIV;3.327,8
varones;de 55 y más años;1996TIII;3.315,1
