Situación de inactividad;Sexo;Periodo;Total
labores del hogar;mujeres;1999TIII;5.322,4
labores del hogar;mujeres;1999TII;5.287,2
labores del hogar;mujeres;1999TI;5.326,7
labores del hogar;mujeres;1998TIV;5.424,3
labores del hogar;mujeres;1998TIII;5.527,1
labores del hogar;mujeres;1998TII;5.422,4
labores del hogar;mujeres;1998TI;5.414,9
labores del hogar;mujeres;1997TIV;5.423,8
labores del hogar;mujeres;1997TIII;5.536,9
labores del hogar;mujeres;1997TII;5.394,8
labores del hogar;mujeres;1997TI;5.399,2
labores del hogar;mujeres;1996TIV;5.453,0
labores del hogar;mujeres;1996TIII;5.568,7
labores del hogar;mujeres;1996TII;5.450,9
labores del hogar;mujeres;1996TI;5.480,2
incapacidad permanente;ambos sexos;2001TIV;835,5
incapacidad permanente;ambos sexos;2001TIII;834,7
incapacidad permanente;ambos sexos;2001TII;856,0
incapacidad permanente;ambos sexos;2001TI;849,3
incapacidad permanente;ambos sexos;2000TIV;856,4
incapacidad permanente;ambos sexos;2000TIII;833,1
incapacidad permanente;ambos sexos;2000TII;805,8
incapacidad permanente;ambos sexos;2000TI;776,2
incapacidad permanente;ambos sexos;1999TIV;788,3
incapacidad permanente;ambos sexos;1999TIII;755,5
incapacidad permanente;ambos sexos;1999TII;748,8
incapacidad permanente;ambos sexos;1999TI;730,0
incapacidad permanente;ambos sexos;1998TIV;669,5
incapacidad permanente;ambos sexos;1998TIII;652,2
incapacidad permanente;ambos sexos;1998TII;644,8
incapacidad permanente;ambos sexos;1998TI;638,1
incapacidad permanente;ambos sexos;1997TIV;643,4
incapacidad permanente;ambos sexos;1997TIII;645,8
incapacidad permanente;ambos sexos;1997TII;663,1
incapacidad permanente;ambos sexos;1997TI;672,9
incapacidad permanente;ambos sexos;1996TIV;650,9
incapacidad permanente;ambos sexos;1996TIII;629,1
incapacidad permanente;ambos sexos;1996TII;666,7
incapacidad permanente;ambos sexos;1996TI;682,1
incapacidad permanente;varones;2001TIV;451,1
incapacidad permanente;varones;2001TIII;439,8
incapacidad permanente;varones;2001TII;453,3
incapacidad permanente;varones;2001TI;459,2
incapacidad permanente;varones;2000TIV;470,8
incapacidad permanente;varones;2000TIII;454,5
incapacidad permanente;varones;2000TII;431,7
incapacidad permanente;varones;2000TI;435,3
incapacidad permanente;varones;1999TIV;441,6
incapacidad permanente;varones;1999TIII;420,5
incapacidad permanente;varones;1999TII;412,4
incapacidad permanente;varones;1999TI;401,9
incapacidad permanente;varones;1998TIV;389,3
incapacidad permanente;varones;1998TIII;378,3
incapacidad permanente;varones;1998TII;370,3
incapacidad permanente;varones;1998TI;371,1
incapacidad permanente;varones;1997TIV;369,4
incapacidad permanente;varones;1997TIII;371,3
incapacidad permanente;varones;1997TII;384,8
incapacidad permanente;varones;1997TI;376,9
incapacidad permanente;varones;1996TIV;367,8
incapacidad permanente;varones;1996TIII;347,5
incapacidad permanente;varones;1996TII;362,7
incapacidad permanente;varones;1996TI;380,1
incapacidad permanente;mujeres;2001TIV;384,4
incapacidad permanente;mujeres;2001TIII;394,9
incapacidad permanente;mujeres;2001TII;402,7
incapacidad permanente;mujeres;2001TI;390,1
incapacidad permanente;mujeres;2000TIV;385,6
incapacidad permanente;mujeres;2000TIII;378,6
incapacidad permanente;mujeres;2000TII;374,1
incapacidad permanente;mujeres;2000TI;340,9
incapacidad permanente;mujeres;1999TIV;346,6
incapacidad permanente;mujeres;1999TIII;334,9
incapacidad permanente;mujeres;1999TII;336,4
incapacidad permanente;mujeres;1999TI;328,1
incapacidad permanente;mujeres;1998TIV;280,2
incapacidad permanente;mujeres;1998TIII;273,9
incapacidad permanente;mujeres;1998TII;274,4
incapacidad permanente;mujeres;1998TI;267,1
incapacidad permanente;mujeres;1997TIV;274,0
incapacidad permanente;mujeres;1997TIII;274,5
incapacidad permanente;mujeres;1997TII;278,3
incapacidad permanente;mujeres;1997TI;296,0
incapacidad permanente;mujeres;1996TIV;283,0
incapacidad permanente;mujeres;1996TIII;281,6
incapacidad permanente;mujeres;1996TII;304,0
incapacidad permanente;mujeres;1996TI;302,0
otra;ambos sexos;2001TIV;559,1
otra;ambos sexos;2001TIII;666,8
otra;ambos sexos;2001TII;541,0
otra;ambos sexos;2001TI;573,1
otra;ambos sexos;2000TIV;389,4
otra;ambos sexos;2000TIII;501,7
otra;ambos sexos;2000TII;422,1
otra;ambos sexos;2000TI;414,1
otra;ambos sexos;1999TIV;424,2
otra;ambos sexos;1999TIII;497,3
otra;ambos sexos;1999TII;476,8
otra;ambos sexos;1999TI;539,9
otra;ambos sexos;1998TIV;368,3
otra;ambos sexos;1998TIII;861,4
otra;ambos sexos;1998TII;382,6
otra;ambos sexos;1998TI;405,1
otra;ambos sexos;1997TIV;410,5
otra;ambos sexos;1997TIII;921,2
otra;ambos sexos;1997TII;420,7
otra;ambos sexos;1997TI;418,0
otra;ambos sexos;1996TIV;436,0
otra;ambos sexos;1996TIII;876,6
otra;ambos sexos;1996TII;398,8
otra;ambos sexos;1996TI;421,4
otra;varones;2001TIV;385,4
otra;varones;2001TIII;433,9
otra;varones;2001TII;389,6
otra;varones;2001TI;407,3
otra;varones;2000TIV;263,1
otra;varones;2000TIII;309,6
otra;varones;2000TII;270,2
otra;varones;2000TI;274,8
otra;varones;1999TIV;288,6
otra;varones;1999TIII;321,8
otra;varones;1999TII;322,4
otra;varones;1999TI;356,1
otra;varones;1998TIV;265,2
otra;varones;1998TIII;530,0
otra;varones;1998TII;279,7
otra;varones;1998TI;303,7
otra;varones;1997TIV;313,4
otra;varones;1997TIII;588,3
otra;varones;1997TII;309,7
otra;varones;1997TI;323,5
otra;varones;1996TIV;349,0
otra;varones;1996TIII;589,3
otra;varones;1996TII;317,5
otra;varones;1996TI;338,3
otra;mujeres;2001TIV;173,7
otra;mujeres;2001TIII;232,9
otra;mujeres;2001TII;151,4
otra;mujeres;2001TI;165,8
otra;mujeres;2000TIV;126,3
otra;mujeres;2000TIII;192,1
otra;mujeres;2000TII;151,9
otra;mujeres;2000TI;139,3
otra;mujeres;1999TIV;135,5
otra;mujeres;1999TIII;175,5
otra;mujeres;1999TII;154,4
otra;mujeres;1999TI;183,8
otra;mujeres;1998TIV;103,1
otra;mujeres;1998TIII;331,3
otra;mujeres;1998TII;103,0
otra;mujeres;1998TI;101,5
otra;mujeres;1997TIV;97,2
otra;mujeres;1997TIII;332,9
otra;mujeres;1997TII;111,0
otra;mujeres;1997TI;94,5
otra;mujeres;1996TIV;87,0
otra;mujeres;1996TIII;287,3
otra;mujeres;1996TII;81,3
otra;mujeres;1996TI;83,1
