fecha,tasa_paro_total,ratio_asalariados,share_empleo_publico,tasa_autoempleo,share_labores_hogar,share_estudiantes,brecha_genero_empleo,dummy_2020Q2
1982-10-01,16.14727859900482,-0.1900928977417209,0.32880760689520017,0.11805077855986923,-0.4364952560485662,-0.36184328929087783,-1.6340789123324626,0
1983-01-01,16.784994299122012,0.14843504348132797,0.22740034225223837,-0.09989953156092213,-0.25690858666128236,-0.02155831891088056,-1.7574197901734294,0
1983-04-01,16.374337153283257,-0.19725793800623137,0.021551237778982824,0.24575237111096015,-0.5631221319647111,0.4061931896146245,-1.750576792644729,0
1983-07-01,16.644457391201296,0.04739527009574829,0.5853030423027796,-0.026846465031542976,-0.4922117141545357,0.3698059175339541,-1.7605922833927323,0
1983-10-01,17.392661057873767,-0.6475940404784524,0.2917119807346715,0.4052762163969774,-0.12383313171310562,-0.3668233744018412,-1.3676550438287052,0
1984-01-01,18.942805401538603,0.10582845447832767,0.40119999734072564,-0.051945834387563394,-0.18241222195786833,-0.020015374966821042,-1.6808999363002428,0
1984-04-01,18.985021128780183,-0.48838764654165345,-0.6838922383777266,0.48991356229599603,-0.42725768902656114,0.12726340990648666,-2.3237204844617523,0
1984-07-01,19.251198173716748,-0.09020737101906207,-2.3634145335904577e-05,0.035043689994942895,-0.23048855276986302,0.246266457254805,-1.8670769212227754,0
1984-10-01,20.30256521466569,-0.35632915281242106,0.13382455342823363,0.28961814652628703,-0.2098952375756582,-0.21662985737428997,-1.5339635807472405,0
1985-01-01,20.680475752643748,0.09855663014263882,0.38509086194715536,-0.2595757894960897,-0.46912438071764484,0.1355612474752821,-1.4912356130422992,0
1985-04-01,20.6791208389996,0.3046110848262771,-0.2622668891289841,-0.1456132461958255,-0.8280911661712764,0.4701447288346614,-0.9789178708573516,0
1985-07-01,20.44430614344776,0.14043792037767844,0.2551682505961139,-0.023006637799088736,-0.36887192527467505,0.486318697071912,-1.3028678596859393,0
1985-10-01,20.58154141741648,0.31924641749778004,0.7325001607041095,-0.30463176265383396,-0.3500411876420131,-0.0986128240817763,-0.9374408076779588,0
1986-01-01,20.718555557261915,0.29297452051426376,0.4046951981579383,-0.39547214721826407,-0.4271401940373991,0.2408613202236971,-0.7575411048656662,0
1986-04-01,20.09247786770194,0.5269967862233642,-0.15589261294156387,-0.4695461996322372,-0.20419449804187906,0.19405527160941105,-0.1536774452262577,0
1986-07-01,19.659331077899218,0.344338046034423,0.0736279393211241,-0.3095374153205519,-0.13328933434637236,0.20393053340349176,0.21169851467715972,0
1986-10-01,19.681370139262267,0.5417119475871743,0.06899997850999995,-0.6482154132512719,-0.2853542317206532,-0.1605000381305235,-0.07514443782800129,0
1987-01-01,20.00485741212933,0.07612433560092313,-0.09985833392511623,0.0032484392368914428,-0.3576502865381954,0.07882485674479334,0.39378428587316705,0
1987-04-01,19.218399762408463,-0.05890200649162125,-0.775469795038056,0.14022118780938087,-0.5454455853860836,0.09596346830054614,0.0776085652815155,0
1987-07-01,18.91651383405901,-1.1768857350694333,-0.8333009425564377,1.3905642309601127,-2.9570854785342178,-0.8084071038512288,-0.22583253329879938,0
1987-10-01,18.69997253063878,0.3800860146963885,-0.1253724312854647,-0.28346485137459965,0.5859574675212684,-2.00297344052686,-0.7512979039092755,0
