fecha,tasa_paro_total,ed_activo_total,credito_privado_share,crecimiento_credito_yoy,ed_pasivo_depositos_total,crecimiento_depositos_yoy,ed_pasivo_sector_privado_share,dummy_2020Q2
1982-10-01,16.14727859900482,10.473986856888295,-0.7482208571245721,1.8203546100558299,14699.020320218173,3.282430526605774,-0.5478532404400767,0
1983-01-01,16.784994299122012,4.733709585891188,1.431196126701451,-1.2751076155126606,-6637.4144012006,-5.48664463296067,1.2924541478706146,0
1983-04-01,16.374337153283257,3.5994247743610597,-1.2806203560959517,0.8417286590832296,-4297.02419052925,-2.743797638544754,-0.97567553837888,0
1983-07-01,16.644457391201296,3.6466737551882344,-0.45538525155828324,-0.5556620341520491,-606.3981164598372,-1.2146512265380105,0.006383478009482246,0
1983-10-01,17.392661057873767,2.2489811138773685,-0.7093151771863972,-1.3197254202515163,7226.037790797767,-1.2435604882566342,-0.013302984420590747,0
1984-01-01,18.942805401538603,4.242930198920858,-0.36263814223094215,-1.7134412681804156,10586.856885302812,2.860005526143994,0.14641556560835056,0
1984-04-01,18.985021128780183,4.667665276993493,-2.8181350788749313,-3.0447330365480645,-4899.631305879797,-0.08556853265719866,-0.4148583604888927,0
1984-07-01,19.251198173716748,6.841266470022189,-1.505602218824201,-0.4259998813639134,18215.603770618676,3.1617793241129677,-0.6537917101436079,0
1984-10-01,20.30256521466569,9.613228196860923,-3.680312465889692,-4.543277142564538,25995.693006668705,3.050497360568616,-2.0955613983955743,0
1985-01-01,20.680475752643748,9.687545415540644,0.2335321620953792,1.2949214757045446,10038.546304403688,-0.23218898932546495,1.081331563701852,0
1985-04-01,20.6791208389996,8.18976201544741,-1.6550523856635309,0.45004028016126796,-5360.969926623395,-0.011043957236502422,-0.4571861557344903,0
1985-07-01,20.44430614344776,7.093136909076803,0.060252939948810535,2.4071965755748552,11727.70520735078,-1.268483971356126,0.08287203762913009,0
1985-10-01,20.58154141741648,3.5142158135849977,-0.5619007035583721,3.9093401193759814,486.85570009297226,-4.176859594696181,0.2549712700185012,0
1986-01-01,20.718555557261915,2.9171034141654006,0.9277397832724645,1.266669633216777,7682.493464142317,-0.39462637640952414,0.6248789450607148,0
1986-04-01,20.09247786770194,1.2575321283981422,-1.0850144966150808,-0.2234102223022228,-11665.916741649387,-0.9410530461214872,-0.9058571976469381,0
1986-07-01,19.659331077899218,1.319839851469462,0.19270023411020532,0.4172647454668056,15813.216981668607,0.5885468575345776,-0.5389223750667895,0
1986-10-01,19.681370139262267,-1.0478745343378892,0.29896610659874767,-0.07947739563530791,-18604.33174641605,-2.8520014886589284,1.8272809290360357,0
1987-01-01,20.00485741212933,1.18340604742726,0.4181675898343187,0.885054508564076,20368.815083455876,1.8842885488217997,0.41801694006811374,0
1987-04-01,19.218399762408463,1.4482005087037564,-0.09855332405945205,2.9352337799708916,-12551.213595247711,-0.11768870732580261,1.6218179192394615,0
1987-07-01,18.91651383405901,3.795113097701708,-0.25373921770304975,1.1494565033881132,26995.241126725916,1.623180873345409,-0.6686503579843475,0
1987-10-01,18.69997253063878,6.3645096853462535,0.2696511038029996,2.503645486823669,3077.582642338355,3.3373317999995322,0.9415781097882672,0
1988-01-01,18.90106774746992,6.550670783307644,0.9266369879776732,1.596466113417284,26280.85352759715,0.6948363559873938,0.573941704032336,0
1988-04-01,18.52193275606496,7.52965199194735,-0.21848989304186972,0.6681094730509365,-299.6655462436611,1.9464873451376707,-0.47254039939097936,0
1988-07-01,17.92768669964438,6.245331795199771,0.08252249202669049,-0.35073528386331176,21167.250998138217,-1.1585760678265,0.3457333234354252,0
1988-10-01,17.223199122377135,5.329813507006742,0.5386001170748074,-0.21849435335379397,-1599.1006565906573,-0.6989203525022969,0.10627268133528389,0
1989-01-01,17.124754243759966,5.691783655579319,0.9365214750645166,0.31380326994476704,24860.152474727016,-0.43030705421471804,0.7041864907402697,0
1989-04-01,16.149795645549244,7.602344090141044,-0.517562146889162,1.16762168097706,13793.051937856246,1.941491635355729,-0.8640519427154771,0
1989-07-01,15.460959567413358,7.998412375039776,1.0426891116838704,3.0671021427455276,29067.92748787976,0.829581716546457,-0.2653289599922033,0
1989-10-01,15.739003655367242,10.603055791507554,-0.36140167070411877,0.13611553984011948,12353.938013555482,1.8883793721260034,-1.3674945823033653,0
1990-01-01,15.581655660822207,8.153148765979301,1.130497976915244,-2.068539864075092,11906.859140568064,-2.025375764201808,0.07918903604748095,0
1990-04-01,15.076603119762757,4.764798872422005,0.05300097463838682,-1.9531860749062222,-13706.009730503429,-3.6558523513252617,0.10468032289685425,0
1990-07-01,14.687220952688474,5.515167856130532,-0.32527506442509235,-2.870599940514084,34130.95565368584,0.44170236005565133,0.6200924539251247,0
1990-10-01,14.89662443075278,3.340290149276548,-0.13463949830439503,-1.611876833437953,-9634.062404072029,-2.7425847178522926,-0.852963305223895,0
1991-01-01,14.893487410109213,3.674538479858014,0.5012955092477469,-1.2759538385137326,23956.687387754326,1.3983076921217923,0.3158332399575272,0
1991-04-01,14.653109869415564,10.065437794893551,-0.9816310272632123,3.6748525735063042,42959.6043676883,6.940349186723771,-3.1463845705869034,0
1991-07-01,15.059162190126235,5.338762690849053,0.8914503237353202,-1.5417962167031174,-2962.2959353862097,-4.759842735643383,1.897698878462677,0
1991-10-01,15.585073031997291,5.333393388518792,0.2156851399905264,0.8914552338603166,-3255.6458776525687,0.8229177984814262,-0.40744348448147605,0
1992-01-01,16.005741870609487,6.127421166492475,1.7687357391564476,4.008419635153637,14408.479836889193,-1.2897264182686996,-0.07915480815232456,0
1992-04-01,16.276440578037754,-0.9593533795387299,-0.08721203672535438,-5.127327888697919,-22899.48054334114,-7.464084507681445,-0.7274368720388651,0
1992-07-01,16.779736121514965,-0.19368155474615012,0.7249496636299071,0.2730883373887272,3118.741037747124,0.6607662860904194,0.8486572096881986,0
1992-10-01,18.407604614482707,3.1137876198368497,-1.0081046040801027,0.46887238228816663,35677.15140571061,4.275669207344024,-3.1867442730955275,0
1993-01-01,19.935594328686605,5.496526490053522,-0.797975344146252,-3.88448481188406,51689.56793482299,3.981711564899726,-1.966605570991696,0
1993-04-01,20.376650918047368,7.476757963450287,-0.44333510497028783,1.0427599676258614,-12314.878754237201,1.3600759424348805,0.6131603604401974,0
1993-07-01,21.02332341965288,15.243262429096482,-3.2393371286400807,-2.755947812428672,88338.98690970184,9.392169487158064,-3.8365397541762505,0
1993-10-01,21.879214340393894,13.130185927092452,-0.574740930812851,-1.0449165869452215,12084.74892682,-3.194950982049585,-0.8622557690110426,0
1994-01-01,22.517374906351733,13.338040799349148,-1.472316369734969,-1.8644296321833065,58530.669530784944,-0.08519719914310286,-1.3799511011140737,0
1994-04-01,22.17058262057446,8.838428333448856,1.5128203526477293,1.0175560218969038,-62230.67108970205,-4.910035699660465,2.162051362925318,0
1994-07-01,21.748825181227943,5.406306015785889,0.09218715023406787,5.13770939553182,39008.10653398093,-5.436449078609185,-0.8318206361718694,0
1994-10-01,21.80160466355874,3.4943958156675503,0.13411366498105792,0.011623798873072744,-7473.173366212519,-1.8606652720927874,0.2563902739274724,0
1995-01-01,21.367218543757417,2.6545996083944035,-0.8058359173402394,1.0448683702039663,53373.00549806538,-0.5855391249032227,-1.0305877649353121,0
1995-04-01,20.580429046966405,6.897324972406138,-0.18189408545377717,-0.49179719973018177,-9764.488814317621,4.990081095952492,-0.1777784114117864,0
