fecha,tasa_paro_total,ipi_constantes_2025_total_industria,ipi_constantes_2025_bienes_equipo,ipi_constantes_2025_bienes_intermedios,dummy_2020Q2
1987-01-01,20.00485741212933,1.853402064883758,-1.4947863962339047,5.590746790852208,0
1987-04-01,19.218399762408463,4.618793846249081,1.8979645460711625,2.832219995984908,0
1987-07-01,18.91651383405901,2.3938872606021233,2.6540109129878475,2.368337434510459,0
1987-10-01,18.69997253063878,7.663747720023184,5.498695263090592,7.715382382350078,0
1988-01-01,18.90106774746992,4.261531584790879,10.332525654052716,2.8697763790964226,0
1988-04-01,18.52193275606496,5.0980160211742565,9.89505562052113,3.455113384066544,0
1988-07-01,17.92768669964438,4.058222306609327,10.633657961455455,2.0771374122946495,0
1988-10-01,17.223199122377135,0.9390067163669746,3.136382752746125,1.5104913053707758,0
1989-01-01,17.124754243759966,2.0433282394185515,-1.8990896716442052,4.1362244128796855,0
1989-04-01,16.149795645549244,4.330514793815166,4.767114765996117,8.421827707927832,0
1989-07-01,15.460959567413358,6.062004028024015,5.957967398409347,8.141249350291169,0
1989-10-01,15.739003655367242,5.043908492156923,4.472351042580991,7.276987391275025,0
1990-01-01,15.581655660822207,2.5445206407719745,-0.7009924278374768,5.865923760292646,0
1990-04-01,15.076603119762757,3.113748230058655,1.4154272454769856,2.8127484873200936,0
1990-07-01,14.687220952688474,-1.3590934616146022,-7.580005568944492,-0.8984972731196361,0
1990-10-01,14.89662443075278,-1.1188350485017873,-4.366234453559148,-3.545277415502579,0
1991-01-01,14.893487410109213,-0.5692969529561442,-5.041842199585512,-3.359292920870516,0
1991-04-01,14.653109869415564,-4.106180686336069,-16.716484600095516,-3.3004165767679394,0
1991-07-01,15.059162190126235,-0.5673180074106665,-5.915827311969846,-0.1725525905983516,0
1991-10-01,15.585073031997291,-0.1412932351555929,-1.9248063087991096,-0.5331128659805451,0
1992-01-01,16.005741870609487,1.9230321901033243,1.8405058997937873,2.84449168774783,0
1992-04-01,16.276440578037754,2.056959327916763,3.4715605834959806,1.5718002759832927,0
1992-07-01,16.779736121514965,-2.2818885233748976,-6.359578291800205,-1.8160906624186346,0
1992-10-01,18.407604614482707,-1.5583419609647375,-2.921126412865205,0.8033411128854029,0
1993-01-01,19.935594328686605,-9.072829113387538,-15.571729759490793,-9.306531988791766,0
1993-04-01,20.376650918047368,-9.543313399926511,-16.69855176113001,-9.460258667594912,0
1993-07-01,21.02332341965288,-6.338669746365156,-12.514298180445982,-5.679989766997218,0
1993-10-01,21.879214340393894,-3.9805084019538195,-14.19868348397223,-2.5504484304932795,0
1994-01-01,22.517374906351733,1.412743375524439,-8.85142958938272,4.98516254597392,0
1994-04-01,22.17058262057446,4.8658610450429185,-2.269060573865167,8.25171327470624,0
1994-07-01,21.748825181227943,7.880644076499421,2.0498390928543886,11.81139455539535,0
1994-10-01,21.80160466355874,7.99247080204617,4.493049998518139,12.213594094525938,0
