fecha,tasa_paro,pib_pm,credito_privado
2016-07-01,18.9108161219872,355959.0916919829,1558609.958532936
2016-10-01,18.63104999142703,366535.95421982976,1521746.222541732
2017-01-01,18.75002754116854,350224.31962434005,1524768.39639056
2017-04-01,17.222671993523296,371656.1768647111,1504808.5071984536
2017-07-01,16.380827798726123,366374.7329902313,1493857.16849244
2017-10-01,16.545940935906277,378046.7409952452,1476232.9833333257
2018-01-01,16.744815904509423,359194.0825801848,1453510.9052961469
2018-04-01,15.284529346331382,380942.5878592388,1429029.80993366
2018-07-01,14.553251072022402,373646.0490389101,1412959.0997790892
2018-10-01,14.448880357166283,387643.3239114107,1399476.8013386123
2019-01-01,14.695097107157409,369238.199268999,1402501.8421127405
2019-04-01,14.024440537431357,387942.2478402857,1404235.8631672882
2019-07-01,13.921961825481729,380361.44156650006,1390083.1303873437
2019-10-01,13.782665768519957,393330.0363736129,1370877.5540984904
2020-01-01,14.407918484146071,353954.9038906313,1395356.5369232146
2020-04-01,15.32636790563908,303861.797697871,1443452.1068869063
2020-07-01,16.25734722573996,346828.7892030706,1430296.0631212085
2020-10-01,16.1280951782207,358747.5713523327,1425854.670993969
2021-01-01,16.14137707090211,341532.3480049071,1414000.4597312603
2021-04-01,15.39062332367772,362779.8063336232,1401586.5197470586
2021-07-01,14.710636510583056,365939.4697551417,1372074.5212076483
2021-10-01,13.44248297649796,384259.041482904,1336508.7388155886
2022-01-01,13.731344558633824,367509.757714466,1281551.1819209072
2022-04-01,12.688385257119128,389652.2835884797,1270418.917118265
2022-07-01,12.7288483543111,388677.4575490467,1267857.4643075843
2022-10-01,12.99030869688015,401328.7226209456,1257183.061194454
2023-01-01,13.376293528683275,383026.1933064602,1227862.133585498
2023-04-01,11.668453375217103,397287.2847364855,1215198.9610130112
2023-07-01,11.89145885542911,395013.4859570951,1182173.1367965017
2023-10-01,11.79687016762541,409914.3495815313,1177574.035816591
2024-01-01,12.291201466078364,393743.485319708,1157633.9573677909
2024-04-01,11.273731587561375,412578.7604732261,1160606.264672896
2024-07-01,11.205960019693128,409167.551031742,1159582.3491939774
2024-10-01,10.61406593766102,424525.1513319965,1149109.0991422243
2025-01-01,11.359175062921,404753.9068413166,1149967.2156342112
2025-04-01,10.28571658783811,423911.62445403176,1162176.5252485855
2025-07-01,10.452674567905184,420217.8518004184,1157289.245064609
2025-10-01,9.932078074128723,437461.0247056178,1155072.9373671117
