Situación de inactividad;Sexo;Periodo;Total
otra;ambos sexos;1977TIV;104,8
otra;ambos sexos;1977TIII;98,2
otra;ambos sexos;1977TII;91,3
otra;ambos sexos;1977TI;102,6
otra;ambos sexos;1976TIV;102,5
otra;ambos sexos;1976TIII;105,2
otra;varones;1995TIV;357,3
otra;varones;1995TIII;620,5
otra;varones;1995TII;342,2
otra;varones;1995TI;353,0
otra;varones;1994TIV;359,5
otra;varones;1994TIII;484,4
otra;varones;1994TII;337,7
otra;varones;1994TI;340,7
otra;varones;1993TIV;348,1
otra;varones;1993TIII;431,6
otra;varones;1993TII;338,1
otra;varones;1993TI;371,2
otra;varones;1992TIV;379,2
otra;varones;1992TIII;445,9
otra;varones;1992TII;346,0
otra;varones;1992TI;333,4
otra;varones;1991TIV;241,7
otra;varones;1991TIII;296,3
otra;varones;1991TII;228,9
otra;varones;1991TI;231,4
otra;varones;1990TIV;214,5
otra;varones;1990TIII;297,0
otra;varones;1990TII;218,7
otra;varones;1990TI;211,9
otra;varones;1989TIV;215,2
otra;varones;1989TIII;262,1
otra;varones;1989TII;227,3
otra;varones;1989TI;232,6
otra;varones;1988TIV;237,4
otra;varones;1988TIII;305,2
otra;varones;1988TII;227,5
otra;varones;1988TI;231,5
otra;varones;1987TIV;245,2
otra;varones;1987TIII;319,2
otra;varones;1987TII;270,0
otra;varones;1987TI;139,7
otra;varones;1986TIV;142,4
otra;varones;1986TIII;142,7
otra;varones;1986TII;132,6
otra;varones;1986TI;133,7
otra;varones;1985TIV;155,8
otra;varones;1985TIII;140,8
otra;varones;1985TII;136,4
otra;varones;1985TI;140,1
otra;varones;1984TIV;133,3
otra;varones;1984TIII;149,8
otra;varones;1984TII;139,2
otra;varones;1984TI;146,1
otra;varones;1983TIV;128,8
otra;varones;1983TIII;122,3
otra;varones;1983TII;116,5
otra;varones;1983TI;119,2
otra;varones;1982TIV;121,2
otra;varones;1982TIII;125,3
otra;varones;1982TII;117,3
otra;varones;1982TI;112,2
otra;varones;1981TIV;108,1
otra;varones;1981TIII;96,0
otra;varones;1981TII;85,5
otra;varones;1981TI;94,2
otra;varones;1980TIV;90,8
otra;varones;1980TIII;89,7
otra;varones;1980TII;80,7
otra;varones;1980TI;84,7
otra;varones;1979TIV;79,5
otra;varones;1979TIII;79,4
otra;varones;1979TII;79,7
otra;varones;1979TI;80,1
otra;varones;1978TIV;74,3
otra;varones;1978TIII;69,2
otra;varones;1978TII;66,0
otra;varones;1978TI;62,6
otra;varones;1977TIV;62,5
otra;varones;1977TIII;49,7
otra;varones;1977TII;48,2
otra;varones;1977TI;55,5
otra;varones;1976TIV;52,6
otra;varones;1976TIII;44,8
otra;mujeres;1995TIV;87,1
otra;mujeres;1995TIII;315,9
otra;mujeres;1995TII;76,7
otra;mujeres;1995TI;75,4
otra;mujeres;1994TIV;85,9
otra;mujeres;1994TIII;175,3
otra;mujeres;1994TII;81,2
otra;mujeres;1994TI;66,3
otra;mujeres;1993TIV;67,2
otra;mujeres;1993TIII;153,8
otra;mujeres;1993TII;96,1
otra;mujeres;1993TI;84,9
otra;mujeres;1992TIV;89,3
otra;mujeres;1992TIII;180,4
otra;mujeres;1992TII;111,9
otra;mujeres;1992TI;101,5
otra;mujeres;1991TIV;92,1
otra;mujeres;1991TIII;151,0
otra;mujeres;1991TII;103,9
otra;mujeres;1991TI;85,8
otra;mujeres;1990TIV;83,6
otra;mujeres;1990TIII;174,8
otra;mujeres;1990TII;100,9
otra;mujeres;1990TI;89,9
otra;mujeres;1989TIV;88,1
otra;mujeres;1989TIII;132,8
otra;mujeres;1989TII;105,2
otra;mujeres;1989TI;91,3
otra;mujeres;1988TIV;100,0
otra;mujeres;1988TIII;155,7
otra;mujeres;1988TII;128,7
otra;mujeres;1988TI;109,9
otra;mujeres;1987TIV;113,4
otra;mujeres;1987TIII;205,7
otra;mujeres;1987TII;203,3
otra;mujeres;1987TI;49,0
otra;mujeres;1986TIV;47,7
otra;mujeres;1986TIII;54,8
otra;mujeres;1986TII;55,5
otra;mujeres;1986TI;52,1
otra;mujeres;1985TIV;60,4
otra;mujeres;1985TIII;65,9
otra;mujeres;1985TII;63,2
otra;mujeres;1985TI;59,5
otra;mujeres;1984TIV;61,2
otra;mujeres;1984TIII;70,8
otra;mujeres;1984TII;65,3
otra;mujeres;1984TI;55,8
otra;mujeres;1983TIV;55,2
otra;mujeres;1983TIII;72,8
otra;mujeres;1983TII;62,5
otra;mujeres;1983TI;52,5
otra;mujeres;1982TIV;53,2
otra;mujeres;1982TIII;73,1
otra;mujeres;1982TII;56,8
otra;mujeres;1982TI;54,3
otra;mujeres;1981TIV;52,2
otra;mujeres;1981TIII;57,7
otra;mujeres;1981TII;51,2
otra;mujeres;1981TI;43,1
otra;mujeres;1980TIV;48,2
otra;mujeres;1980TIII;60,9
otra;mujeres;1980TII;51,2
otra;mujeres;1980TI;47,9
otra;mujeres;1979TIV;43,5
otra;mujeres;1979TIII;58,4
otra;mujeres;1979TII;49,5
otra;mujeres;1979TI;50,9
otra;mujeres;1978TIV;45,1
otra;mujeres;1978TIII;54,7
otra;mujeres;1978TII;44,2
otra;mujeres;1978TI;40,4
otra;mujeres;1977TIV;42,3
otra;mujeres;1977TIII;48,5
otra;mujeres;1977TII;43,1
otra;mujeres;1977TI;47,1
otra;mujeres;1976TIV;49,9
otra;mujeres;1976TIII;60,4
