Situación de inactividad;Sexo;Periodo;Total
total;mujeres;1982TIV;10.230,4
total;mujeres;1982TIII;10.226,1
total;mujeres;1982TII;10.281,7
total;mujeres;1982TI;10.255,9
total;mujeres;1981TIV;10.196,5
total;mujeres;1981TIII;10.204,6
total;mujeres;1981TII;10.187,3
total;mujeres;1981TI;10.129,4
total;mujeres;1980TIV;10.054,5
total;mujeres;1980TIII;10.034,7
total;mujeres;1980TII;9.988,8
total;mujeres;1980TI;9.900,0
total;mujeres;1979TIV;9.865,9
total;mujeres;1979TIII;9.846,1
total;mujeres;1979TII;9.852,0
total;mujeres;1979TI;9.763,7
total;mujeres;1978TIV;9.750,4
total;mujeres;1978TIII;9.747,6
total;mujeres;1978TII;9.721,4
total;mujeres;1978TI;9.635,9
total;mujeres;1977TIV;9.603,4
total;mujeres;1977TIII;9.624,5
total;mujeres;1977TII;9.631,0
total;mujeres;1977TI;9.523,4
total;mujeres;1976TIV;9.469,4
total;mujeres;1976TIII;9.421,2
estudiante;ambos sexos;1995TIV;2.961,8
estudiante;ambos sexos;1995TIII;2.298,4
estudiante;ambos sexos;1995TII;3.007,1
estudiante;ambos sexos;1995TI;2.952,9
estudiante;ambos sexos;1994TIV;2.864,3
estudiante;ambos sexos;1994TIII;2.505,9
estudiante;ambos sexos;1994TII;2.847,2
estudiante;ambos sexos;1994TI;2.809,4
estudiante;ambos sexos;1993TIV;2.745,1
estudiante;ambos sexos;1993TIII;2.512,7
estudiante;ambos sexos;1993TII;2.820,0
estudiante;ambos sexos;1993TI;2.772,7
estudiante;ambos sexos;1992TIV;2.647,6
estudiante;ambos sexos;1992TIII;2.345,0
estudiante;ambos sexos;1992TII;2.664,2
estudiante;ambos sexos;1992TI;2.582,2
estudiante;ambos sexos;1991TIV;2.522,5
estudiante;ambos sexos;1991TIII;2.263,3
estudiante;ambos sexos;1991TII;2.503,2
estudiante;ambos sexos;1991TI;2.463,8
estudiante;ambos sexos;1990TIV;2.387,9
estudiante;ambos sexos;1990TIII;2.129,8
estudiante;ambos sexos;1990TII;2.390,3
estudiante;ambos sexos;1990TI;2.376,0
estudiante;ambos sexos;1989TIV;2.299,9
estudiante;ambos sexos;1989TIII;2.102,4
estudiante;ambos sexos;1989TII;2.291,8
estudiante;ambos sexos;1989TI;2.176,4
estudiante;ambos sexos;1988TIV;2.103,4
estudiante;ambos sexos;1988TIII;1.841,2
estudiante;ambos sexos;1988TII;2.101,6
estudiante;ambos sexos;1988TI;2.054,4
estudiante;ambos sexos;1987TIV;1.969,7
