Sexo;Grupos de edad (4);Relación con la actividad económica;Periodo;Total
Ambos sexos;Total;Parados que buscan primer empleo;1993TIV;759,4
Ambos sexos;Total;Parados que buscan primer empleo;1993TIII;737,5
Ambos sexos;Total;Parados que buscan primer empleo;1993TII;669,9
Ambos sexos;Total;Parados que buscan primer empleo;1993TI;650,6
Ambos sexos;Total;Parados que buscan primer empleo;1992TIV;660,5
Ambos sexos;Total;Parados que buscan primer empleo;1992TIII;622,4
Ambos sexos;Total;Parados que buscan primer empleo;1992TII;602,9
Ambos sexos;Total;Parados que buscan primer empleo;1992TI;638,3
Ambos sexos;Total;Parados que buscan primer empleo;1991TIV;637,7
Ambos sexos;Total;Parados que buscan primer empleo;1991TIII;644,1
Ambos sexos;Total;Parados que buscan primer empleo;1991TII;615,7
Ambos sexos;Total;Parados que buscan primer empleo;1991TI;625,2
Ambos sexos;Total;Parados que buscan primer empleo;1990TIV;664,9
Ambos sexos;Total;Parados que buscan primer empleo;1990TIII;718,0
Ambos sexos;Total;Parados que buscan primer empleo;1990TII;701,5
Ambos sexos;Total;Parados que buscan primer empleo;1990TI;757,5
Ambos sexos;Total;Parados que buscan primer empleo;1989TIV;769,4
Ambos sexos;Total;Parados que buscan primer empleo;1989TIII;810,9
Ambos sexos;Total;Parados que buscan primer empleo;1989TII;830,4
Ambos sexos;Total;Parados que buscan primer empleo;1989TI;878,7
Ambos sexos;Total;Parados que buscan primer empleo;1988TIV;928,4
Ambos sexos;Total;Parados que buscan primer empleo;1988TIII;1.012,7
Ambos sexos;Total;Parados que buscan primer empleo;1988TII;1.019,3
Ambos sexos;Total;Parados que buscan primer empleo;1988TI;1.018,6
Ambos sexos;Total;Parados que buscan primer empleo;1987TIV;1.037,8
Ambos sexos;Total;Parados que buscan primer empleo;1987TIII;1.051,3
Ambos sexos;Total;Parados que buscan primer empleo;1987TII;1.073,3
Ambos sexos;Total;Parados que buscan primer empleo;1987TI;1.207,9
Ambos sexos;Total;Parados que buscan primer empleo;1986TIV;1.199,3
Ambos sexos;Total;Parados que buscan primer empleo;1986TIII;1.185,1
