Sexo;Edad;Estado civil;Periodo;Total
Mujeres;De 20 a 24 años;Casados/Casadas;2023T2;41,4
Mujeres;De 20 a 24 años;Casados/Casadas;2023T1;37,7
Mujeres;De 20 a 24 años;Casados/Casadas;2022T4;36,2
Mujeres;De 20 a 24 años;Casados/Casadas;2022T3;29,7
Mujeres;De 20 a 24 años;Casados/Casadas;2022T2;24,5
Mujeres;De 20 a 24 años;Casados/Casadas;2022T1;29,4
Mujeres;De 20 a 24 años;Casados/Casadas;2021T4;19,4
Mujeres;De 20 a 24 años;Casados/Casadas;2021T3;25
Mujeres;De 20 a 24 años;Casados/Casadas;2021T2;24,1
Mujeres;De 20 a 24 años;Casados/Casadas;2021T1;25,1
Mujeres;De 20 a 24 años;Casados/Casadas;2020T4;35,7
Mujeres;De 20 a 24 años;Casados/Casadas;2020T3;44,4
Mujeres;De 20 a 24 años;Casados/Casadas;2020T2;40,9
Mujeres;De 20 a 24 años;Casados/Casadas;2020T1;46,9
Mujeres;De 20 a 24 años;Casados/Casadas;2019T4;38,3
Mujeres;De 20 a 24 años;Casados/Casadas;2019T3;47,4
Mujeres;De 20 a 24 años;Casados/Casadas;2019T2;43,3
Mujeres;De 20 a 24 años;Casados/Casadas;2019T1;39
Mujeres;De 20 a 24 años;Casados/Casadas;2018T4;39,9
Mujeres;De 20 a 24 años;Casados/Casadas;2018T3;40
Mujeres;De 20 a 24 años;Casados/Casadas;2018T2;39,1
Mujeres;De 20 a 24 años;Casados/Casadas;2018T1;34
Mujeres;De 20 a 24 años;Casados/Casadas;2017T4;37,7
Mujeres;De 20 a 24 años;Casados/Casadas;2017T3;41
Mujeres;De 20 a 24 años;Casados/Casadas;2017T2;46,1
Mujeres;De 20 a 24 años;Casados/Casadas;2017T1;48
Mujeres;De 20 a 24 años;Casados/Casadas;2016T4;52,6
Mujeres;De 20 a 24 años;Casados/Casadas;2016T3;51,1
Mujeres;De 20 a 24 años;Casados/Casadas;2016T2;47,9
Mujeres;De 20 a 24 años;Casados/Casadas;2016T1;54,2
Mujeres;De 20 a 24 años;Casados/Casadas;2015T4;53,8
Mujeres;De 20 a 24 años;Casados/Casadas;2015T3;43,6
Mujeres;De 20 a 24 años;Casados/Casadas;2015T2;47,7
Mujeres;De 20 a 24 años;Casados/Casadas;2015T1;48,4
Mujeres;De 20 a 24 años;Casados/Casadas;2014T4;51,8
Mujeres;De 20 a 24 años;Casados/Casadas;2014T3;51
Mujeres;De 20 a 24 años;Casados/Casadas;2014T2;56,4
Mujeres;De 20 a 24 años;Casados/Casadas;2014T1;65,4
Mujeres;De 20 a 24 años;Casados/Casadas;2013T4;63,4
Mujeres;De 20 a 24 años;Casados/Casadas;2013T3;59,3
Mujeres;De 20 a 24 años;Casados/Casadas;2013T2;64,8
Mujeres;De 20 a 24 años;Casados/Casadas;2013T1;75,6
Mujeres;De 20 a 24 años;Casados/Casadas;2012T4;85,2
Mujeres;De 20 a 24 años;Casados/Casadas;2012T3;85,6
Mujeres;De 20 a 24 años;Casados/Casadas;2012T2;77,3
Mujeres;De 20 a 24 años;Casados/Casadas;2012T1;75,4
Mujeres;De 20 a 24 años;Casados/Casadas;2011T4;81,6
Mujeres;De 20 a 24 años;Casados/Casadas;2011T3;90
Mujeres;De 20 a 24 años;Casados/Casadas;2011T2;90,4
Mujeres;De 20 a 24 años;Casados/Casadas;2011T1;100,6
Mujeres;De 20 a 24 años;Casados/Casadas;2010T4;108,6
Mujeres;De 20 a 24 años;Casados/Casadas;2010T3;107,3
Mujeres;De 20 a 24 años;Casados/Casadas;2010T2;89,1
Mujeres;De 20 a 24 años;Casados/Casadas;2010T1;90,4
Mujeres;De 20 a 24 años;Casados/Casadas;2009T4;106,1
Mujeres;De 20 a 24 años;Casados/Casadas;2009T3;110,5
Mujeres;De 20 a 24 años;Casados/Casadas;2009T2;118
Mujeres;De 20 a 24 años;Casados/Casadas;2009T1;115,8
Mujeres;De 20 a 24 años;Casados/Casadas;2008T4;121,2
Mujeres;De 20 a 24 años;Casados/Casadas;2008T3;127,4
Mujeres;De 20 a 24 años;Casados/Casadas;2008T2;123,1
Mujeres;De 20 a 24 años;Casados/Casadas;2008T1;123,5
Mujeres;De 20 a 24 años;Casados/Casadas;2007T4;126,3
Mujeres;De 20 a 24 años;Casados/Casadas;2007T3;127,3
Mujeres;De 20 a 24 años;Casados/Casadas;2007T2;129,2
Mujeres;De 20 a 24 años;Casados/Casadas;2007T1;110,4
Mujeres;De 20 a 24 años;Casados/Casadas;2006T4;107,8
Mujeres;De 20 a 24 años;Casados/Casadas;2006T3;116,2
Mujeres;De 20 a 24 años;Casados/Casadas;2006T2;117
Mujeres;De 20 a 24 años;Casados/Casadas;2006T1;119,5
Mujeres;De 20 a 24 años;Casados/Casadas;2005T4;110,4
Mujeres;De 20 a 24 años;Casados/Casadas;2005T3;107,5
Mujeres;De 20 a 24 años;Casados/Casadas;2005T2;119
Mujeres;De 20 a 24 años;Casados/Casadas;2005T1;124,1
Mujeres;De 20 a 24 años;Casados/Casadas;2004T4;143,8
Mujeres;De 20 a 24 años;Casados/Casadas;2004T3;132,7
Mujeres;De 20 a 24 años;Casados/Casadas;2004T2;131,5
Mujeres;De 20 a 24 años;Casados/Casadas;2004T1;138,1
Mujeres;De 20 a 24 años;Casados/Casadas;2003T4;139,6
Mujeres;De 20 a 24 años;Casados/Casadas;2003T3;143,4
Mujeres;De 20 a 24 años;Casados/Casadas;2003T2;152,1
Mujeres;De 20 a 24 años;Casados/Casadas;2003T1;150,6
Mujeres;De 20 a 24 años;Casados/Casadas;2002T4;135,5
Mujeres;De 20 a 24 años;Casados/Casadas;2002T3;138,3
Mujeres;De 20 a 24 años;Casados/Casadas;2002T2;134,9
Mujeres;De 20 a 24 años;Casados/Casadas;2002T1;133,4
Mujeres;De 20 a 24 años;Viudos/Viudas;2025T4;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2025T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2025T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2025T1;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2024T4;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2024T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2024T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2024T1;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2023T4;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2023T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2023T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2023T1;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2022T4;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2022T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2022T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2022T1;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2021T4;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2021T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2021T2;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2021T1;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2020T4;0,7
Mujeres;De 20 a 24 años;Viudos/Viudas;2020T3;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2020T2;0,3
Mujeres;De 20 a 24 años;Viudos/Viudas;2020T1;0,3
Mujeres;De 20 a 24 años;Viudos/Viudas;2019T4;0,3
Mujeres;De 20 a 24 años;Viudos/Viudas;2019T3;0,5
Mujeres;De 20 a 24 años;Viudos/Viudas;2019T2;1,2
Mujeres;De 20 a 24 años;Viudos/Viudas;2019T1;1,2
Mujeres;De 20 a 24 años;Viudos/Viudas;2018T4;0,9
Mujeres;De 20 a 24 años;Viudos/Viudas;2018T3;0,3
Mujeres;De 20 a 24 años;Viudos/Viudas;2018T2;0,3
Mujeres;De 20 a 24 años;Viudos/Viudas;2018T1;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2017T4;..
Mujeres;De 20 a 24 años;Viudos/Viudas;2017T3;..
