Sexo;Nivel de formación alcanzado;Edad;Periodo;Total
Ambos sexos;Total;De 30 a 34 años;2019T4;2.766,0
Ambos sexos;Total;De 30 a 34 años;2019T3;2.771,9
Ambos sexos;Total;De 30 a 34 años;2019T2;2.778,2
Ambos sexos;Total;De 30 a 34 años;2019T1;2.785,2
Ambos sexos;Total;De 30 a 34 años;2018T4;2.794,6
Ambos sexos;Total;De 30 a 34 años;2018T3;2.804,3
Ambos sexos;Total;De 30 a 34 años;2018T2;2.815,2
Ambos sexos;Total;De 30 a 34 años;2018T1;2.827,8
Ambos sexos;Total;De 30 a 34 años;2017T4;2.846,6
Ambos sexos;Total;De 30 a 34 años;2017T3;2.867,5
Ambos sexos;Total;De 30 a 34 años;2017T2;2.894,4
Ambos sexos;Total;De 30 a 34 años;2017T1;2.921,8
Ambos sexos;Total;De 30 a 34 años;2016T4;2.952,7
Ambos sexos;Total;De 30 a 34 años;2016T3;2.987,8
Ambos sexos;Total;De 30 a 34 años;2016T2;3.024,1
Ambos sexos;Total;De 30 a 34 años;2016T1;3.062,1
Ambos sexos;Total;De 30 a 34 años;2015T4;3.102,2
Ambos sexos;Total;De 30 a 34 años;2015T3;3.162,1
Ambos sexos;Total;De 30 a 34 años;2015T2;3.205,0
Ambos sexos;Total;De 30 a 34 años;2015T1;3.241,8
Ambos sexos;Total;De 30 a 34 años;2014T4;3.280,9
Ambos sexos;Total;De 30 a 34 años;2014T3;3.321,3
Ambos sexos;Total;De 30 a 34 años;2014T2;3.366,4
Ambos sexos;Total;De 30 a 34 años;2014T1;3.405,6
Ambos sexos;Total;De 35 a 39 años;2025T4;3.049,8
Ambos sexos;Total;De 35 a 39 años;2025T3;3.047,6
Ambos sexos;Total;De 35 a 39 años;2025T2;3.041,9
Ambos sexos;Total;De 35 a 39 años;2025T1;3.039,8
Ambos sexos;Total;De 35 a 39 años;2024T4;3.041,2
Ambos sexos;Total;De 35 a 39 años;2024T3;3.040,4
Ambos sexos;Total;De 35 a 39 años;2024T2;3.044,0
Ambos sexos;Total;De 35 a 39 años;2024T1;3.047,2
Ambos sexos;Total;De 35 a 39 años;2023T4;3.052,5
Ambos sexos;Total;De 35 a 39 años;2023T3;3.061,0
Ambos sexos;Total;De 35 a 39 años;2023T2;3.066,8
Ambos sexos;Total;De 35 a 39 años;2023T1;3.068,7
Ambos sexos;Total;De 35 a 39 años;2022T4;3.074,1
Ambos sexos;Total;De 35 a 39 años;2022T3;3.084,2
Ambos sexos;Total;De 35 a 39 años;2022T2;3.094,9
Ambos sexos;Total;De 35 a 39 años;2022T1;3.106,2
Ambos sexos;Total;De 35 a 39 años;2021T4;3.126,6
Ambos sexos;Total;De 35 a 39 años;2021T3;3.154,0
Ambos sexos;Total;De 35 a 39 años;2021T2;3.184,9
Ambos sexos;Total;De 35 a 39 años;2021T1;3.218,6
Ambos sexos;Total;De 35 a 39 años;2020T4;3.199,4
Ambos sexos;Total;De 35 a 39 años;2020T3;3.232,1
Ambos sexos;Total;De 35 a 39 años;2020T2;3.266,2
Ambos sexos;Total;De 35 a 39 años;2020T1;3.297,5
Ambos sexos;Total;De 35 a 39 años;2019T4;3.326,4
Ambos sexos;Total;De 35 a 39 años;2019T3;3.354,5
Ambos sexos;Total;De 35 a 39 años;2019T2;3.380,1
Ambos sexos;Total;De 35 a 39 años;2019T1;3.407,8
Ambos sexos;Total;De 35 a 39 años;2018T4;3.438,9
Ambos sexos;Total;De 35 a 39 años;2018T3;3.470,3
Ambos sexos;Total;De 35 a 39 años;2018T2;3.505,3
Ambos sexos;Total;De 35 a 39 años;2018T1;3.541,6
Ambos sexos;Total;De 35 a 39 años;2017T4;3.575,6
Ambos sexos;Total;De 35 a 39 años;2017T3;3.605,8
Ambos sexos;Total;De 35 a 39 años;2017T2;3.638,5
Ambos sexos;Total;De 35 a 39 años;2017T1;3.674,3
Ambos sexos;Total;De 35 a 39 años;2016T4;3.708,6
Ambos sexos;Total;De 35 a 39 años;2016T3;3.740,6
Ambos sexos;Total;De 35 a 39 años;2016T2;3.773,8
Ambos sexos;Total;De 35 a 39 años;2016T1;3.808,6
