Sexo;Edad;Estudios reglados;Periodo;Total
Ambos sexos;Total;No cursa estudios;2008T4;32.587,6
Ambos sexos;Total;No cursa estudios;2008T3;34.021,5
Ambos sexos;Total;No cursa estudios;2008T2;32.240,8
Ambos sexos;Total;No cursa estudios;2008T1;32.320,4
Ambos sexos;Total;No cursa estudios;2007T4;32.211,5
Ambos sexos;Total;No cursa estudios;2007T3;33.532,4
Ambos sexos;Total;No cursa estudios;2007T2;31.686,6
Ambos sexos;Total;No cursa estudios;2007T1;31.685,6
Ambos sexos;Total;No cursa estudios;2006T4;31.630,4
Ambos sexos;Total;No cursa estudios;2006T3;32.865,2
Ambos sexos;Total;No cursa estudios;2006T2;31.168,4
Ambos sexos;Total;No cursa estudios;2006T1;30.975,6
Ambos sexos;Total;No cursa estudios;2005T4;30.938,8
Ambos sexos;Total;No cursa estudios;2005T3;32.515,4
Ambos sexos;Total;No cursa estudios;2005T2;30.532,1
Ambos sexos;Total;No cursa estudios;2005T1;30.602,5
Ambos sexos;Total;Cursa estudios: Total;2025T4;8.433,1
Ambos sexos;Total;Cursa estudios: Total;2025T3;7.076,9
Ambos sexos;Total;Cursa estudios: Total;2025T2;8.656,9
Ambos sexos;Total;Cursa estudios: Total;2025T1;8.559,2
Ambos sexos;Total;Cursa estudios: Total;2024T4;8.554,1
Ambos sexos;Total;Cursa estudios: Total;2024T3;6.912,3
Ambos sexos;Total;Cursa estudios: Total;2024T2;8.398,3
Ambos sexos;Total;Cursa estudios: Total;2024T1;8.369,4
Ambos sexos;Total;Cursa estudios: Total;2023T4;8.301,1
Ambos sexos;Total;Cursa estudios: Total;2023T3;6.769,4
Ambos sexos;Total;Cursa estudios: Total;2023T2;8.218,8
Ambos sexos;Total;Cursa estudios: Total;2023T1;8.126,4
Ambos sexos;Total;Cursa estudios: Total;2022T4;8.076,5
Ambos sexos;Total;Cursa estudios: Total;2022T3;6.446,8
Ambos sexos;Total;Cursa estudios: Total;2022T2;7.728,9
Ambos sexos;Total;Cursa estudios: Total;2022T1;7.661,0
Ambos sexos;Total;Cursa estudios: Total;2021T4;7.575,8
Ambos sexos;Total;Cursa estudios: Total;2021T3;6.249,1
Ambos sexos;Total;Cursa estudios: Total;2021T2;7.431,7
Ambos sexos;Total;Cursa estudios: Total;2021T1;7.213,5
Ambos sexos;Total;Cursa estudios: Total;2020T4;6.667,4
Ambos sexos;Total;Cursa estudios: Total;2020T3;5.370,2
Ambos sexos;Total;Cursa estudios: Total;2020T2;6.039,9
Ambos sexos;Total;Cursa estudios: Total;2020T1;6.034,6
Ambos sexos;Total;Cursa estudios: Total;2019T4;6.381,6
Ambos sexos;Total;Cursa estudios: Total;2019T3;4.932,9
Ambos sexos;Total;Cursa estudios: Total;2019T2;6.194,7
Ambos sexos;Total;Cursa estudios: Total;2019T1;6.034,0
Ambos sexos;Total;Cursa estudios: Total;2018T4;6.112,9
Ambos sexos;Total;Cursa estudios: Total;2018T3;4.878,4
Ambos sexos;Total;Cursa estudios: Total;2018T2;6.078,4
Ambos sexos;Total;Cursa estudios: Total;2018T1;5.925,1
Ambos sexos;Total;Cursa estudios: Total;2017T4;5.786,8
Ambos sexos;Total;Cursa estudios: Total;2017T3;4.510,2
Ambos sexos;Total;Cursa estudios: Total;2017T2;5.886,1
Ambos sexos;Total;Cursa estudios: Total;2017T1;5.838,5
Ambos sexos;Total;Cursa estudios: Total;2016T4;5.698,9
Ambos sexos;Total;Cursa estudios: Total;2016T3;4.455,7
Ambos sexos;Total;Cursa estudios: Total;2016T2;5.676,7
Ambos sexos;Total;Cursa estudios: Total;2016T1;5.598,2
Ambos sexos;Total;Cursa estudios: Total;2015T4;5.824,3
Ambos sexos;Total;Cursa estudios: Total;2015T3;4.484,6
Ambos sexos;Total;Cursa estudios: Total;2015T2;5.843,8
Ambos sexos;Total;Cursa estudios: Total;2015T1;5.753,2
Ambos sexos;Total;Cursa estudios: Total;2014T4;5.888,8
Ambos sexos;Total;Cursa estudios: Total;2014T3;4.468,7
Ambos sexos;Total;Cursa estudios: Total;2014T2;5.921,7
Ambos sexos;Total;Cursa estudios: Total;2014T1;5.936,9
Ambos sexos;Total;Cursa estudios: Total;2013T4;6.301,9
Ambos sexos;Total;Cursa estudios: Total;2013T3;4.824,8
Ambos sexos;Total;Cursa estudios: Total;2013T2;6.539,2
Ambos sexos;Total;Cursa estudios: Total;2013T1;6.322,7
Ambos sexos;Total;Cursa estudios: Total;2012T4;6.216,4
Ambos sexos;Total;Cursa estudios: Total;2012T3;4.780,0
Ambos sexos;Total;Cursa estudios: Total;2012T2;6.466,4
Ambos sexos;Total;Cursa estudios: Total;2012T1;6.425,6
Ambos sexos;Total;Cursa estudios: Total;2011T4;6.346,4
Ambos sexos;Total;Cursa estudios: Total;2011T3;4.703,0
Ambos sexos;Total;Cursa estudios: Total;2011T2;6.269,6
Ambos sexos;Total;Cursa estudios: Total;2011T1;6.352,6
Ambos sexos;Total;Cursa estudios: Total;2010T4;6.391,0
Ambos sexos;Total;Cursa estudios: Total;2010T3;4.696,3
Ambos sexos;Total;Cursa estudios: Total;2010T2;6.277,3
Ambos sexos;Total;Cursa estudios: Total;2010T1;6.266,7
Ambos sexos;Total;Cursa estudios: Total;2009T4;6.189,0
Ambos sexos;Total;Cursa estudios: Total;2009T3;4.501,8
Ambos sexos;Total;Cursa estudios: Total;2009T2;6.151,6
Ambos sexos;Total;Cursa estudios: Total;2009T1;5.995,5
Ambos sexos;Total;Cursa estudios: Total;2008T4;5.958,9
Ambos sexos;Total;Cursa estudios: Total;2008T3;4.426,4
Ambos sexos;Total;Cursa estudios: Total;2008T2;6.100,9
Ambos sexos;Total;Cursa estudios: Total;2008T1;5.904,1
Ambos sexos;Total;Cursa estudios: Total;2007T4;5.889,7
Ambos sexos;Total;Cursa estudios: Total;2007T3;4.384,0
Ambos sexos;Total;Cursa estudios: Total;2007T2;6.057,3
Ambos sexos;Total;Cursa estudios: Total;2007T1;5.885,3
Ambos sexos;Total;Cursa estudios: Total;2006T4;5.758,2
Ambos sexos;Total;Cursa estudios: Total;2006T3;4.344,3
Ambos sexos;Total;Cursa estudios: Total;2006T2;5.887,3
Ambos sexos;Total;Cursa estudios: Total;2006T1;5.941,8
Ambos sexos;Total;Cursa estudios: Total;2005T4;5.857,6
Ambos sexos;Total;Cursa estudios: Total;2005T3;4.135,2
Ambos sexos;Total;Cursa estudios: Total;2005T2;5.987,1
Ambos sexos;Total;Cursa estudios: Total;2005T1;5.748,9
Ambos sexos;Total;Cursa estudios: Sólo reglados;2025T4;3.951,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2025T3;3.579,8
Ambos sexos;Total;Cursa estudios: Sólo reglados;2025T2;4.044,5
Ambos sexos;Total;Cursa estudios: Sólo reglados;2025T1;4.040,4
Ambos sexos;Total;Cursa estudios: Sólo reglados;2024T4;3.907,5
Ambos sexos;Total;Cursa estudios: Sólo reglados;2024T3;3.482,5
Ambos sexos;Total;Cursa estudios: Sólo reglados;2024T2;3.942,4
Ambos sexos;Total;Cursa estudios: Sólo reglados;2024T1;3.847,9
Ambos sexos;Total;Cursa estudios: Sólo reglados;2023T4;3.819,5
Ambos sexos;Total;Cursa estudios: Sólo reglados;2023T3;3.427,4
Ambos sexos;Total;Cursa estudios: Sólo reglados;2023T2;3.814,9
Ambos sexos;Total;Cursa estudios: Sólo reglados;2023T1;3.846,6
Ambos sexos;Total;Cursa estudios: Sólo reglados;2022T4;3.794,7
Ambos sexos;Total;Cursa estudios: Sólo reglados;2022T3;3.347,5
Ambos sexos;Total;Cursa estudios: Sólo reglados;2022T2;3.717,0
Ambos sexos;Total;Cursa estudios: Sólo reglados;2022T1;3.683,2
Ambos sexos;Total;Cursa estudios: Sólo reglados;2021T4;3.697,0
Ambos sexos;Total;Cursa estudios: Sólo reglados;2021T3;3.372,0
Ambos sexos;Total;Cursa estudios: Sólo reglados;2021T2;3.669,9
Ambos sexos;Total;Cursa estudios: Sólo reglados;2021T1;3.725,9
