Sexo;Nivel de formación alcanzado;Edad;Periodo;Total
Ambos sexos;Total;De 25 a 29 años;2017T4;2.101,7
Ambos sexos;Total;De 25 a 29 años;2017T3;2.117,8
Ambos sexos;Total;De 25 a 29 años;2017T2;2.121,6
Ambos sexos;Total;De 25 a 29 años;2017T1;2.102,5
Ambos sexos;Total;De 25 a 29 años;2016T4;2.123,2
Ambos sexos;Total;De 25 a 29 años;2016T3;2.151,6
Ambos sexos;Total;De 25 a 29 años;2016T2;2.141,8
Ambos sexos;Total;De 25 a 29 años;2016T1;2.145,3
Ambos sexos;Total;De 25 a 29 años;2015T4;2.173,5
Ambos sexos;Total;De 25 a 29 años;2015T3;2.195,7
Ambos sexos;Total;De 25 a 29 años;2015T2;2.211,1
Ambos sexos;Total;De 25 a 29 años;2015T1;2.247
Ambos sexos;Total;De 25 a 29 años;2014T4;2.290,8
Ambos sexos;Total;De 25 a 29 años;2014T3;2.314,6
Ambos sexos;Total;De 25 a 29 años;2014T2;2.332,6
Ambos sexos;Total;De 25 a 29 años;2014T1;2.344,5
Ambos sexos;Total;De 30 a 34 años;2025T4;2.560,5
Ambos sexos;Total;De 30 a 34 años;2025T3;2.540,1
Ambos sexos;Total;De 30 a 34 años;2025T2;2.531
Ambos sexos;Total;De 30 a 34 años;2025T1;2.525,7
Ambos sexos;Total;De 30 a 34 años;2024T4;2.500,4
Ambos sexos;Total;De 30 a 34 años;2024T3;2.498,1
Ambos sexos;Total;De 30 a 34 años;2024T2;2.516,7
Ambos sexos;Total;De 30 a 34 años;2024T1;2.502,4
Ambos sexos;Total;De 30 a 34 años;2023T4;2.507,6
Ambos sexos;Total;De 30 a 34 años;2023T3;2.511,4
Ambos sexos;Total;De 30 a 34 años;2023T2;2.507,7
Ambos sexos;Total;De 30 a 34 años;2023T1;2.471,5
Ambos sexos;Total;De 30 a 34 años;2022T4;2.430,9
Ambos sexos;Total;De 30 a 34 años;2022T3;2.437,6
Ambos sexos;Total;De 30 a 34 años;2022T2;2.427,5
Ambos sexos;Total;De 30 a 34 años;2022T1;2.405,2
Ambos sexos;Total;De 30 a 34 años;2021T4;2.384,7
Ambos sexos;Total;De 30 a 34 años;2021T3;2.403,7
Ambos sexos;Total;De 30 a 34 años;2021T2;2.419,5
Ambos sexos;Total;De 30 a 34 años;2021T1;2.400,3
Ambos sexos;Total;De 30 a 34 años;2020T4;2.411
Ambos sexos;Total;De 30 a 34 años;2020T3;2.400
Ambos sexos;Total;De 30 a 34 años;2020T2;2.291,7
Ambos sexos;Total;De 30 a 34 años;2020T1;2.413,9
Ambos sexos;Total;De 30 a 34 años;2019T4;2.445,8
Ambos sexos;Total;De 30 a 34 años;2019T3;2.451,9
Ambos sexos;Total;De 30 a 34 años;2019T2;2.480,8
Ambos sexos;Total;De 30 a 34 años;2019T1;2.466,7
Ambos sexos;Total;De 30 a 34 años;2018T4;2.483,9
Ambos sexos;Total;De 30 a 34 años;2018T3;2.490,9
Ambos sexos;Total;De 30 a 34 años;2018T2;2.503,5
Ambos sexos;Total;De 30 a 34 años;2018T1;2.492
Ambos sexos;Total;De 30 a 34 años;2017T4;2.536,1
Ambos sexos;Total;De 30 a 34 años;2017T3;2.527,5
Ambos sexos;Total;De 30 a 34 años;2017T2;2.568,5
Ambos sexos;Total;De 30 a 34 años;2017T1;2.598,8
Ambos sexos;Total;De 30 a 34 años;2016T4;2.642
Ambos sexos;Total;De 30 a 34 años;2016T3;2.685
Ambos sexos;Total;De 30 a 34 años;2016T2;2.719,9
Ambos sexos;Total;De 30 a 34 años;2016T1;2.769,9
Ambos sexos;Total;De 30 a 34 años;2015T4;2.798
Ambos sexos;Total;De 30 a 34 años;2015T3;2.852,6
Ambos sexos;Total;De 30 a 34 años;2015T2;2.935,9
Ambos sexos;Total;De 30 a 34 años;2015T1;2.963,8
Ambos sexos;Total;De 30 a 34 años;2014T4;2.991,6
Ambos sexos;Total;De 30 a 34 años;2014T3;3.003,1
Ambos sexos;Total;De 30 a 34 años;2014T2;3.061,1
Ambos sexos;Total;De 30 a 34 años;2014T1;3.107,1
Ambos sexos;Total;De 35 a 39 años;2025T4;2.727
Ambos sexos;Total;De 35 a 39 años;2025T3;2.682,6
Ambos sexos;Total;De 35 a 39 años;2025T2;2.701,1
Ambos sexos;Total;De 35 a 39 años;2025T1;2.715,6
Ambos sexos;Total;De 35 a 39 años;2024T4;2.702,3
Ambos sexos;Total;De 35 a 39 años;2024T3;2.711
Ambos sexos;Total;De 35 a 39 años;2024T2;2.706,2
Ambos sexos;Total;De 35 a 39 años;2024T1;2.692,9
Ambos sexos;Total;De 35 a 39 años;2023T4;2.735,3
Ambos sexos;Total;De 35 a 39 años;2023T3;2.748,5
Ambos sexos;Total;De 35 a 39 años;2023T2;2.733,7
Ambos sexos;Total;De 35 a 39 años;2023T1;2.733,2
Ambos sexos;Total;De 35 a 39 años;2022T4;2.751,4
Ambos sexos;Total;De 35 a 39 años;2022T3;2.743
Ambos sexos;Total;De 35 a 39 años;2022T2;2.720,1
Ambos sexos;Total;De 35 a 39 años;2022T1;2.752,6
Ambos sexos;Total;De 35 a 39 años;2021T4;2.788,1
Ambos sexos;Total;De 35 a 39 años;2021T3;2.809,3
Ambos sexos;Total;De 35 a 39 años;2021T2;2.819
Ambos sexos;Total;De 35 a 39 años;2021T1;2.838,6
Ambos sexos;Total;De 35 a 39 años;2020T4;2.843,9
Ambos sexos;Total;De 35 a 39 años;2020T3;2.838,8
Ambos sexos;Total;De 35 a 39 años;2020T2;2.769,6
Ambos sexos;Total;De 35 a 39 años;2020T1;2.934
Ambos sexos;Total;De 35 a 39 años;2019T4;2.977
Ambos sexos;Total;De 35 a 39 años;2019T3;2.983,6
Ambos sexos;Total;De 35 a 39 años;2019T2;3.029
Ambos sexos;Total;De 35 a 39 años;2019T1;3.049,9
Ambos sexos;Total;De 35 a 39 años;2018T4;3.083,1
Ambos sexos;Total;De 35 a 39 años;2018T3;3.084,8
Ambos sexos;Total;De 35 a 39 años;2018T2;3.144,9
Ambos sexos;Total;De 35 a 39 años;2018T1;3.172,1
Ambos sexos;Total;De 35 a 39 años;2017T4;3.221,2
Ambos sexos;Total;De 35 a 39 años;2017T3;3.252,2
Ambos sexos;Total;De 35 a 39 años;2017T2;3.278,4
Ambos sexos;Total;De 35 a 39 años;2017T1;3.334,2
Ambos sexos;Total;De 35 a 39 años;2016T4;3.371,9
Ambos sexos;Total;De 35 a 39 años;2016T3;3.391,4
Ambos sexos;Total;De 35 a 39 años;2016T2;3.445,8
Ambos sexos;Total;De 35 a 39 años;2016T1;3.473,4
Ambos sexos;Total;De 35 a 39 años;2015T4;3.504,9
Ambos sexos;Total;De 35 a 39 años;2015T3;3.496,7
Ambos sexos;Total;De 35 a 39 años;2015T2;3.546,4
Ambos sexos;Total;De 35 a 39 años;2015T1;3.544,5
Ambos sexos;Total;De 35 a 39 años;2014T4;3.581,4
Ambos sexos;Total;De 35 a 39 años;2014T3;3.579,8
Ambos sexos;Total;De 35 a 39 años;2014T2;3.615,9
Ambos sexos;Total;De 35 a 39 años;2014T1;3.610
Ambos sexos;Total;De 40 a 44 años;2025T4;3.114,5
Ambos sexos;Total;De 40 a 44 años;2025T3;3.120,6
Ambos sexos;Total;De 40 a 44 años;2025T2;3.144
Ambos sexos;Total;De 40 a 44 años;2025T1;3.138
Ambos sexos;Total;De 40 a 44 años;2024T4;3.141,2
Ambos sexos;Total;De 40 a 44 años;2024T3;3.175
Ambos sexos;Total;De 40 a 44 años;2024T2;3.205,2
Ambos sexos;Total;De 40 a 44 años;2024T1;3.232,9
Ambos sexos;Total;De 40 a 44 años;2023T4;3.251,3
Ambos sexos;Total;De 40 a 44 años;2023T3;3.269
Ambos sexos;Total;De 40 a 44 años;2023T2;3.291
Ambos sexos;Total;De 40 a 44 años;2023T1;3.323,7
Ambos sexos;Total;De 40 a 44 años;2022T4;3.361,6
Ambos sexos;Total;De 40 a 44 años;2022T3;3.347,3
Ambos sexos;Total;De 40 a 44 años;2022T2;3.369,4
Ambos sexos;Total;De 40 a 44 años;2022T1;3.379,7
Ambos sexos;Total;De 40 a 44 años;2021T4;3.426,9
Ambos sexos;Total;De 40 a 44 años;2021T3;3.460,4
Ambos sexos;Total;De 40 a 44 años;2021T2;3.471,6
Ambos sexos;Total;De 40 a 44 años;2021T1;3.425
Ambos sexos;Total;De 40 a 44 años;2020T4;3.453,4
Ambos sexos;Total;De 40 a 44 años;2020T3;3.437
Ambos sexos;Total;De 40 a 44 años;2020T2;3.350,6
Ambos sexos;Total;De 40 a 44 años;2020T1;3.503,2
Ambos sexos;Total;De 40 a 44 años;2019T4;3.547,6
Ambos sexos;Total;De 40 a 44 años;2019T3;3.523,8
Ambos sexos;Total;De 40 a 44 años;2019T2;3.538
Ambos sexos;Total;De 40 a 44 años;2019T1;3.534,9
Ambos sexos;Total;De 40 a 44 años;2018T4;3.556
Ambos sexos;Total;De 40 a 44 años;2018T3;3.554,7
Ambos sexos;Total;De 40 a 44 años;2018T2;3.546,8
Ambos sexos;Total;De 40 a 44 años;2018T1;3.558,4
Ambos sexos;Total;De 40 a 44 años;2017T4;3.540,1
Ambos sexos;Total;De 40 a 44 años;2017T3;3.509
Ambos sexos;Total;De 40 a 44 años;2017T2;3.540,1
Ambos sexos;Total;De 40 a 44 años;2017T1;3.543,9
Ambos sexos;Total;De 40 a 44 años;2016T4;3.529
Ambos sexos;Total;De 40 a 44 años;2016T3;3.505,2
Ambos sexos;Total;De 40 a 44 años;2016T2;3.514,8
Ambos sexos;Total;De 40 a 44 años;2016T1;3.496,5
Ambos sexos;Total;De 40 a 44 años;2015T4;3.468,2
Ambos sexos;Total;De 40 a 44 años;2015T3;3.427,2
Ambos sexos;Total;De 40 a 44 años;2015T2;3.477,7
Ambos sexos;Total;De 40 a 44 años;2015T1;3.448,2
Ambos sexos;Total;De 40 a 44 años;2014T4;3.457,2
Ambos sexos;Total;De 40 a 44 años;2014T3;3.406,5
Ambos sexos;Total;De 40 a 44 años;2014T2;3.406
Ambos sexos;Total;De 40 a 44 años;2014T1;3.377,1
Ambos sexos;Total;De 45 a 49 años;2025T4;3.565,3
Ambos sexos;Total;De 45 a 49 años;2025T3;3.603
Ambos sexos;Total;De 45 a 49 años;2025T2;3.603,1
Ambos sexos;Total;De 45 a 49 años;2025T1;3.594,4
Ambos sexos;Total;De 45 a 49 años;2024T4;3.606,7
Ambos sexos;Total;De 45 a 49 años;2024T3;3.601,7
Ambos sexos;Total;De 45 a 49 años;2024T2;3.619,8
Ambos sexos;Total;De 45 a 49 años;2024T1;3.609,2
Ambos sexos;Total;De 45 a 49 años;2023T4;3.610,3
Ambos sexos;Total;De 45 a 49 años;2023T3;3.576,1
Ambos sexos;Total;De 45 a 49 años;2023T2;3.583,1
Ambos sexos;Total;De 45 a 49 años;2023T1;3.566,3
Ambos sexos;Total;De 45 a 49 años;2022T4;3.566,7
Ambos sexos;Total;De 45 a 49 años;2022T3;3.530,3
Ambos sexos;Total;De 45 a 49 años;2022T2;3.514,9
Ambos sexos;Total;De 45 a 49 años;2022T1;3.518
Ambos sexos;Total;De 45 a 49 años;2021T4;3.510,4
Ambos sexos;Total;De 45 a 49 años;2021T3;3.459,7
Ambos sexos;Total;De 45 a 49 años;2021T2;3.439,2
Ambos sexos;Total;De 45 a 49 años;2021T1;3.421,5
Ambos sexos;Total;De 45 a 49 años;2020T4;3.412,6
Ambos sexos;Total;De 45 a 49 años;2020T3;3.364,5
Ambos sexos;Total;De 45 a 49 años;2020T2;3.260,2
Ambos sexos;Total;De 45 a 49 años;2020T1;3.342,8
Ambos sexos;Total;De 45 a 49 años;2019T4;3.353,9
Ambos sexos;Total;De 45 a 49 años;2019T3;3.326,2
Ambos sexos;Total;De 45 a 49 años;2019T2;3.340,8
Ambos sexos;Total;De 45 a 49 años;2019T1;3.314
Ambos sexos;Total;De 45 a 49 años;2018T4;3.278,3
Ambos sexos;Total;De 45 a 49 años;2018T3;3.255,4
Ambos sexos;Total;De 45 a 49 años;2018T2;3.284,1
Ambos sexos;Total;De 45 a 49 años;2018T1;3.256
Ambos sexos;Total;De 45 a 49 años;2017T4;3.235,1
Ambos sexos;Total;De 45 a 49 años;2017T3;3.208
Ambos sexos;Total;De 45 a 49 años;2017T2;3.203,1
Ambos sexos;Total;De 45 a 49 años;2017T1;3.214,5
Ambos sexos;Total;De 45 a 49 años;2016T4;3.213,6
Ambos sexos;Total;De 45 a 49 años;2016T3;3.198
Ambos sexos;Total;De 45 a 49 años;2016T2;3.217,2
Ambos sexos;Total;De 45 a 49 años;2016T1;3.197,6
Ambos sexos;Total;De 45 a 49 años;2015T4;3.188,3
Ambos sexos;Total;De 45 a 49 años;2015T3;3.158,8
