Método de búsqueda de empleo;Sexo;Periodo;Total
Ha contactado con empresas o empleadores directamente;Mujeres;2021T3;670
Ha contactado con empresas o empleadores directamente;Mujeres;2021T2;657,8
Ha contactado con empresas o empleadores directamente;Mujeres;2021T1;673
Ha preguntado a familiares o amigos;Ambos sexos;2025T4;1.363,9
Ha preguntado a familiares o amigos;Ambos sexos;2025T3;1.426,1
Ha preguntado a familiares o amigos;Ambos sexos;2025T2;1.469,2
Ha preguntado a familiares o amigos;Ambos sexos;2025T1;1.504,5
Ha preguntado a familiares o amigos;Ambos sexos;2024T4;1.423,3
Ha preguntado a familiares o amigos;Ambos sexos;2024T3;1.463,8
Ha preguntado a familiares o amigos;Ambos sexos;2024T2;1.528,5
Ha preguntado a familiares o amigos;Ambos sexos;2024T1;1.622,2
Ha preguntado a familiares o amigos;Ambos sexos;2023T4;1.596
Ha preguntado a familiares o amigos;Ambos sexos;2023T3;1.598,6
Ha preguntado a familiares o amigos;Ambos sexos;2023T2;1.632,2
Ha preguntado a familiares o amigos;Ambos sexos;2023T1;1.799,5
Ha preguntado a familiares o amigos;Ambos sexos;2022T4;1.760,9
Ha preguntado a familiares o amigos;Ambos sexos;2022T3;1.736,2
Ha preguntado a familiares o amigos;Ambos sexos;2022T2;1.733,9
Ha preguntado a familiares o amigos;Ambos sexos;2022T1;1.854,6
Ha preguntado a familiares o amigos;Ambos sexos;2021T4;1.838,2
Ha preguntado a familiares o amigos;Ambos sexos;2021T3;1.989,3
Ha preguntado a familiares o amigos;Ambos sexos;2021T2;2.095
Ha preguntado a familiares o amigos;Ambos sexos;2021T1;2.183,5
Ha preguntado a familiares o amigos;Hombres;2025T4;630,3
Ha preguntado a familiares o amigos;Hombres;2025T3;655,3
Ha preguntado a familiares o amigos;Hombres;2025T2;704,7
Ha preguntado a familiares o amigos;Hombres;2025T1;717,4
Ha preguntado a familiares o amigos;Hombres;2024T4;685,8
Ha preguntado a familiares o amigos;Hombres;2024T3;693,7
Ha preguntado a familiares o amigos;Hombres;2024T2;721,1
Ha preguntado a familiares o amigos;Hombres;2024T1;752,4
Ha preguntado a familiares o amigos;Hombres;2023T4;746
Ha preguntado a familiares o amigos;Hombres;2023T3;744,4
Ha preguntado a familiares o amigos;Hombres;2023T2;741
Ha preguntado a familiares o amigos;Hombres;2023T1;818,2
Ha preguntado a familiares o amigos;Hombres;2022T4;822
Ha preguntado a familiares o amigos;Hombres;2022T3;773,5
Ha preguntado a familiares o amigos;Hombres;2022T2;794,2
Ha preguntado a familiares o amigos;Hombres;2022T1;869,8
Ha preguntado a familiares o amigos;Hombres;2021T4;856,8
Ha preguntado a familiares o amigos;Hombres;2021T3;938,5
Ha preguntado a familiares o amigos;Hombres;2021T2;981,2
Ha preguntado a familiares o amigos;Hombres;2021T1;1.011,7
Ha preguntado a familiares o amigos;Mujeres;2025T4;733,6
Ha preguntado a familiares o amigos;Mujeres;2025T3;770,8
Ha preguntado a familiares o amigos;Mujeres;2025T2;764,5
Ha preguntado a familiares o amigos;Mujeres;2025T1;787,1
Ha preguntado a familiares o amigos;Mujeres;2024T4;737,5
Ha preguntado a familiares o amigos;Mujeres;2024T3;770
Ha preguntado a familiares o amigos;Mujeres;2024T2;807,4
Ha preguntado a familiares o amigos;Mujeres;2024T1;869,7
Ha preguntado a familiares o amigos;Mujeres;2023T4;850
Ha preguntado a familiares o amigos;Mujeres;2023T3;854,2
Ha preguntado a familiares o amigos;Mujeres;2023T2;891,2
Ha preguntado a familiares o amigos;Mujeres;2023T1;981,3
Ha preguntado a familiares o amigos;Mujeres;2022T4;938,9
Ha preguntado a familiares o amigos;Mujeres;2022T3;962,8
Ha preguntado a familiares o amigos;Mujeres;2022T2;939,7
Ha preguntado a familiares o amigos;Mujeres;2022T1;984,8
Ha preguntado a familiares o amigos;Mujeres;2021T4;981,5
Ha preguntado a familiares o amigos;Mujeres;2021T3;1.050,7
Ha preguntado a familiares o amigos;Mujeres;2021T2;1.113,8
Ha preguntado a familiares o amigos;Mujeres;2021T1;1.171,8
Ha puesto o contestado anuncios de empleo;Ambos sexos;2025T4;785,2
Ha puesto o contestado anuncios de empleo;Ambos sexos;2025T3;810,1
Ha puesto o contestado anuncios de empleo;Ambos sexos;2025T2;774
Ha puesto o contestado anuncios de empleo;Ambos sexos;2025T1;864,6
Ha puesto o contestado anuncios de empleo;Ambos sexos;2024T4;822,3
Ha puesto o contestado anuncios de empleo;Ambos sexos;2024T3;791,9
Ha puesto o contestado anuncios de empleo;Ambos sexos;2024T2;839,1
Ha puesto o contestado anuncios de empleo;Ambos sexos;2024T1;953,5
Ha puesto o contestado anuncios de empleo;Ambos sexos;2023T4;899,8
Ha puesto o contestado anuncios de empleo;Ambos sexos;2023T3;882,6
