Nivel de formación alcanzado;Sexo;Unidad;Periodo;Total
Total;Mujeres;Valor absoluto;2018T2;194,5
Total;Mujeres;Valor absoluto;2018T1;191,5
Total;Mujeres;Valor absoluto;2017T4;213,7
Total;Mujeres;Valor absoluto;2017T3;214,8
Total;Mujeres;Valor absoluto;2017T2;216,1
Total;Mujeres;Valor absoluto;2017T1;213,7
Total;Mujeres;Valor absoluto;2016T4;240,3
Total;Mujeres;Valor absoluto;2016T3;266,2
Total;Mujeres;Valor absoluto;2016T2;273,9
Total;Mujeres;Valor absoluto;2016T1;245,4
Total;Mujeres;Valor absoluto;2015T4;262
Total;Mujeres;Valor absoluto;2015T3;301
Total;Mujeres;Valor absoluto;2015T2;302,3
Total;Mujeres;Valor absoluto;2015T1;275,4
Total;Mujeres;Valor absoluto;2014T4;309,4
Total;Mujeres;Valor absoluto;2014T3;317,7
Total;Mujeres;Valor absoluto;2014T2;294,7
Total;Mujeres;Valor absoluto;2014T1;279
Total;Mujeres;Porcentaje;2025T4;100
Total;Mujeres;Porcentaje;2025T3;100
Total;Mujeres;Porcentaje;2025T2;100
Total;Mujeres;Porcentaje;2025T1;100
Total;Mujeres;Porcentaje;2024T4;100
Total;Mujeres;Porcentaje;2024T3;100
Total;Mujeres;Porcentaje;2024T2;100
Total;Mujeres;Porcentaje;2024T1;100
Total;Mujeres;Porcentaje;2023T4;100
Total;Mujeres;Porcentaje;2023T3;100
Total;Mujeres;Porcentaje;2023T2;100
Total;Mujeres;Porcentaje;2023T1;100
Total;Mujeres;Porcentaje;2022T4;100
Total;Mujeres;Porcentaje;2022T3;100
Total;Mujeres;Porcentaje;2022T2;100
Total;Mujeres;Porcentaje;2022T1;100
Total;Mujeres;Porcentaje;2021T4;100
Total;Mujeres;Porcentaje;2021T3;100
Total;Mujeres;Porcentaje;2021T2;100
Total;Mujeres;Porcentaje;2021T1;100
Total;Mujeres;Porcentaje;2020T4;100
Total;Mujeres;Porcentaje;2020T3;100
Total;Mujeres;Porcentaje;2020T2;100
Total;Mujeres;Porcentaje;2020T1;100
Total;Mujeres;Porcentaje;2019T4;100
Total;Mujeres;Porcentaje;2019T3;100
Total;Mujeres;Porcentaje;2019T2;100
Total;Mujeres;Porcentaje;2019T1;100
Total;Mujeres;Porcentaje;2018T4;100
Total;Mujeres;Porcentaje;2018T3;100
Total;Mujeres;Porcentaje;2018T2;100
Total;Mujeres;Porcentaje;2018T1;100
Total;Mujeres;Porcentaje;2017T4;100
Total;Mujeres;Porcentaje;2017T3;100
Total;Mujeres;Porcentaje;2017T2;100
Total;Mujeres;Porcentaje;2017T1;100
Total;Mujeres;Porcentaje;2016T4;100
Total;Mujeres;Porcentaje;2016T3;100
Total;Mujeres;Porcentaje;2016T2;100
Total;Mujeres;Porcentaje;2016T1;100
Total;Mujeres;Porcentaje;2015T4;100
Total;Mujeres;Porcentaje;2015T3;100
Total;Mujeres;Porcentaje;2015T2;100
Total;Mujeres;Porcentaje;2015T1;100
Total;Mujeres;Porcentaje;2014T4;100
Total;Mujeres;Porcentaje;2014T3;100
Total;Mujeres;Porcentaje;2014T2;100
Total;Mujeres;Porcentaje;2014T1;100
Analfabetos;Ambos sexos;Valor absoluto;2025T4;3,4
Analfabetos;Ambos sexos;Valor absoluto;2025T3;2,4
Analfabetos;Ambos sexos;Valor absoluto;2025T2;0,6
Analfabetos;Ambos sexos;Valor absoluto;2025T1;4,4
Analfabetos;Ambos sexos;Valor absoluto;2024T4;0,7
Analfabetos;Ambos sexos;Valor absoluto;2024T3;5,8
Analfabetos;Ambos sexos;Valor absoluto;2024T2;1,5
Analfabetos;Ambos sexos;Valor absoluto;2024T1;1,4
Analfabetos;Ambos sexos;Valor absoluto;2023T4;1,6
Analfabetos;Ambos sexos;Valor absoluto;2023T3;2,2
Analfabetos;Ambos sexos;Valor absoluto;2023T2;1,6
Analfabetos;Ambos sexos;Valor absoluto;2023T1;4,9
Analfabetos;Ambos sexos;Valor absoluto;2022T4;8,8
Analfabetos;Ambos sexos;Valor absoluto;2022T3;0,8
Analfabetos;Ambos sexos;Valor absoluto;2022T2;0,6
Analfabetos;Ambos sexos;Valor absoluto;2022T1;1,4
Analfabetos;Ambos sexos;Valor absoluto;2021T4;2,2
Analfabetos;Ambos sexos;Valor absoluto;2021T3;2,5
Analfabetos;Ambos sexos;Valor absoluto;2021T2;1,5
Analfabetos;Ambos sexos;Valor absoluto;2021T1;2,3
Analfabetos;Ambos sexos;Valor absoluto;2020T4;4,3
Analfabetos;Ambos sexos;Valor absoluto;2020T3;3,9
Analfabetos;Ambos sexos;Valor absoluto;2020T2;1,3
Analfabetos;Ambos sexos;Valor absoluto;2020T1;3,2
Analfabetos;Ambos sexos;Valor absoluto;2019T4;3,1
Analfabetos;Ambos sexos;Valor absoluto;2019T3;3,6
Analfabetos;Ambos sexos;Valor absoluto;2019T2;2
Analfabetos;Ambos sexos;Valor absoluto;2019T1;2,8
Analfabetos;Ambos sexos;Valor absoluto;2018T4;4,7
Analfabetos;Ambos sexos;Valor absoluto;2018T3;4,3
Analfabetos;Ambos sexos;Valor absoluto;2018T2;4,4
Analfabetos;Ambos sexos;Valor absoluto;2018T1;3,6
Analfabetos;Ambos sexos;Valor absoluto;2017T4;2,5
Analfabetos;Ambos sexos;Valor absoluto;2017T3;3,5
Analfabetos;Ambos sexos;Valor absoluto;2017T2;4,7
Analfabetos;Ambos sexos;Valor absoluto;2017T1;6,2
Analfabetos;Ambos sexos;Valor absoluto;2016T4;4,4
Analfabetos;Ambos sexos;Valor absoluto;2016T3;5
Analfabetos;Ambos sexos;Valor absoluto;2016T2;3,7
Analfabetos;Ambos sexos;Valor absoluto;2016T1;8,2
Analfabetos;Ambos sexos;Valor absoluto;2015T4;7,9
Analfabetos;Ambos sexos;Valor absoluto;2015T3;7,4
Analfabetos;Ambos sexos;Valor absoluto;2015T2;7,4
Analfabetos;Ambos sexos;Valor absoluto;2015T1;8,2
Analfabetos;Ambos sexos;Valor absoluto;2014T4;8,1
Analfabetos;Ambos sexos;Valor absoluto;2014T3;5,8
Analfabetos;Ambos sexos;Valor absoluto;2014T2;5,2
Analfabetos;Ambos sexos;Valor absoluto;2014T1;7,1
Analfabetos;Ambos sexos;Porcentaje;2025T4;1,4
Analfabetos;Ambos sexos;Porcentaje;2025T3;0,8
Analfabetos;Ambos sexos;Porcentaje;2025T2;0,2
Analfabetos;Ambos sexos;Porcentaje;2025T1;1,7
Analfabetos;Ambos sexos;Porcentaje;2024T4;0,3
Analfabetos;Ambos sexos;Porcentaje;2024T3;1,8
Analfabetos;Ambos sexos;Porcentaje;2024T2;0,5
Analfabetos;Ambos sexos;Porcentaje;2024T1;0,5
Analfabetos;Ambos sexos;Porcentaje;2023T4;0,5
Analfabetos;Ambos sexos;Porcentaje;2023T3;0,7
Analfabetos;Ambos sexos;Porcentaje;2023T2;0,5
Analfabetos;Ambos sexos;Porcentaje;2023T1;1,5
Analfabetos;Ambos sexos;Porcentaje;2022T4;2,7
Analfabetos;Ambos sexos;Porcentaje;2022T3;0,2
Analfabetos;Ambos sexos;Porcentaje;2022T2;0,2
Analfabetos;Ambos sexos;Porcentaje;2022T1;0,4
Analfabetos;Ambos sexos;Porcentaje;2021T4;0,7
Analfabetos;Ambos sexos;Porcentaje;2021T3;0,7
Analfabetos;Ambos sexos;Porcentaje;2021T2;0,4
Analfabetos;Ambos sexos;Porcentaje;2021T1;0,7
Analfabetos;Ambos sexos;Porcentaje;2020T4;1,4
Analfabetos;Ambos sexos;Porcentaje;2020T3;1,1
Analfabetos;Ambos sexos;Porcentaje;2020T2;0,5
Analfabetos;Ambos sexos;Porcentaje;2020T1;1
Analfabetos;Ambos sexos;Porcentaje;2019T4;1
Analfabetos;Ambos sexos;Porcentaje;2019T3;1
Analfabetos;Ambos sexos;Porcentaje;2019T2;0,6
Analfabetos;Ambos sexos;Porcentaje;2019T1;0,9
Analfabetos;Ambos sexos;Porcentaje;2018T4;1,4
Analfabetos;Ambos sexos;Porcentaje;2018T3;1,2
