fecha,año,trimestre,mes,periodo,USD_heur,CAD_heur,GBP_heur,CHF_heur,SEK_heur,DKK_heur,NOK_heur,JPY_heur
1998-10-31,1998,4,10,1998Q4,0.8439832795615316,0.5445049437618183,1.416206852789316,0.6267955291642767,0.10823627455554098,0.13438631020850048,0.1145709358079514,0.0072600457412470105
1998-11-01,1998,4,11,1998Q4,0.8439832795615316,0.5445049437618183,1.416206852789316,0.6267955291642767,0.10823627455554098,0.13438631020850048,0.1145709358079514,0.0072600457412470105
1998-11-02,1998,4,11,1998Q4,0.8439832795615316,0.5445049437618183,1.416206852789316,0.6267955291642767,0.10823627455554098,0.13438631020850048,0.1145709358079514,0.0072600457412470105
1998-11-03,1998,4,11,1998Q4,0.849771010719943,0.5579976820125248,1.4072217511750724,0.625749746459757,0.10845864151417511,0.13439231702808627,0.11502169947159767,0.0073828929968848805
1998-11-04,1998,4,11,1998Q4,0.853154730143687,0.5612852006157275,1.4114588975158386,0.6227386791182522,0.10870505867794454,0.1344043421306539,0.11483538489387418,0.007294424007783013
1998-11-05,1998,4,11,1998Q4,0.8483586286063544,0.5584965231596493,1.404288864195352,0.6235620719373457,0.10902359206693137,0.13441635576982539,0.11516594338542864,0.0072139482155528034
1998-11-06,1998,4,11,1998Q4,0.8484968313104111,0.5573786127665159,1.4099443536157077,0.620929663497666,0.1092760160502865,0.13445241961413215,0.11525609153279943,0.007182755856076476
1998-11-07,1998,4,11,1998Q4,0.8484968313104111,0.5573786127665159,1.4099443536157077,0.620929663497666,0.1092760160502865,0.13445241961413215,0.11525609153279943,0.007182755856076476
1998-11-08,1998,4,11,1998Q4,0.8484968313104111,0.5573786127665159,1.4099443536157077,0.620929663497666,0.1092760160502865,0.13445241961413215,0.11525609153279943,0.007182755856076476
1998-11-09,1998,4,11,1998Q4,0.8484968313104111,0.5573786127665159,1.4099443536157077,0.620929663497666,0.1092760160502865,0.13445241961413215,0.11525609153279943,0.007182755856076476
1998-11-10,1998,4,11,1998Q4,0.8609317732174263,0.560209383813279,1.4291466426630415,0.6184835123187291,0.1083684933668043,0.13443438769197874,0.11510584079938273,0.007026312137520444
1998-11-11,1998,4,11,1998Q4,0.8607755042010277,0.5573185445706585,1.4287139682385295,0.6185977335980275,0.10770737638369537,0.13442838087239303,0.11493755814381262,0.00704169830784103
1998-11-12,1998,4,11,1998Q4,0.8622059526269582,0.5560083242436122,1.4291046407795258,0.6214104383324487,0.10698014999495478,0.13441034895023962,0.11477528230782826,0.006960561765456389
1998-11-13,1998,4,11,1998Q4,0.8628610169368968,0.5585205504379923,1.438390266787395,0.6207613808420959,0.10664358468381457,0.1344043421306539,0.11523805961064607,0.007081364868291719
1998-11-14,1998,4,11,1998Q4,0.8628610169368968,0.5585205504379923,1.438390266787395,0.6207613808420959,0.10664358468381457,0.1344043421306539,0.11523805961064607,0.007081364868291719
1998-11-15,1998,4,11,1998Q4,0.8628610169368968,0.5585205504379923,1.438390266787395,0.6207613808420959,0.10664358468381457,0.1344043421306539,0.11523805961064607,0.007081364868291719
1998-11-16,1998,4,11,1998Q4,0.8524034650132073,0.5499020482328179,1.4267546445675454,0.6199319812034169,0.10558581126691567,0.1344043421306539,0.11474522528310725,0.007034786797030653
1998-11-17,1998,4,11,1998Q4,0.851874589768154,0.5479367177422483,1.4287620227952154,0.620671232694725,0.10637914706128793,0.13442838087239303,0.1145709358079514,0.007085391730093401
1998-11-18,1998,4,11,1998Q4,0.8519106306856684,0.550863643755968,1.4261836757318074,0.6209236566780802,0.10630701937267437,0.13442838087239303,0.11494356496339836,0.007040556095048046
1998-11-19,1998,4,11,1998Q4,0.855877332584322,0.5511100609197372,1.4301684439428028,0.6220054344465299,0.10657146845859718,0.13442236258941115,0.11499766072985852,0.007191049852463268
1998-11-20,1998,4,11,1998Q4,0.8624222898392142,0.5582380923567084,1.4313643971369663,0.620671232694725,0.10693207251147652,0.13442236258941115,0.11543038100795529,0.007154628350196418
1998-11-21,1998,4,11,1998Q4,0.8624222898392142,0.5582380923567084,1.4313643971369663,0.620671232694725,0.10693207251147652,0.13442236258941115,0.11543038100795529,0.007154628350196418
1998-11-22,1998,4,11,1998Q4,0.8624222898392142,0.5582380923567084,1.4313643971369663,0.620671232694725,0.10693207251147652,0.13442236258941115,0.11543038100795529,0.007154628350196418
1998-11-23,1998,4,11,1998Q4,0.8728979997824149,0.56406787125222,1.4432523974865863,0.6199560084817599,0.10738283617512281,0.13442236258941115,0.11625377382704859,0.007197961363273644
1998-11-24,1998,4,11,1998Q4,0.8728378398793881,0.5625052727954031,1.4448932221587716,0.6192528437615508,0.10771940148626302,0.13443438769197874,0.11622371680232754,0.007223083625217444
1998-11-25,1998,4,11,1998Q4,0.868901217932248,0.56076233219026,1.4461132943384472,0.6195353018428346,0.10712439390878575,0.13441034895023962,0.11609149799106422,0.007148498184468035
1998-11-26,1998,4,11,1998Q4,0.8709085961599177,0.5707511229183383,1.4443162006498629,0.6187600094340119,0.10677581495847406,0.13443438769197874,0.11599533156071153,0.007122834850225672
1998-11-27,1998,4,11,1998Q4,0.8709266624722596,0.5670489044957959,1.4429519648001299,0.6196554840881341,0.10676979667549216,0.1344764583558713,0.11586911956903394,0.007098012929261156
1998-11-28,1998,4,11,1998Q4,0.8709266624722596,0.5670489044957959,1.4429519648001299,0.6196554840881341,0.10676979667549216,0.1344764583558713,0.11586911956903394,0.007098012929261156
1998-11-29,1998,4,11,1998Q4,0.8709266624722596,0.5670489044957959,1.4429519648001299,0.6196554840881341,0.10676979667549216,0.1344764583558713,0.11586911956903394,0.007098012929261156
1998-11-30,1998,4,11,1998Q4,0.869496214046329,0.5660813021530602,1.4327588046453823,0.6204067492186138,0.1073227335890769,0.13448848345843895,0.11617563931884925,0.007067902255846111
1998-12-01,1998,4,12,1998Q4,0.8599041026788331,0.5641279853016621,1.421249371490418,0.6240248721669557,0.10598848598368754,0.13448848345843895,0.11536427160232363,0.007044342684066297
1998-12-02,1998,4,12,1998Q4,0.8580890343850763,0.5582861469133944,1.4211652760162177,0.6242893097894823,0.10601252472542669,0.13450049709761042,0.11526209835238518,0.007082867490259848
1998-12-03,1998,4,12,1998Q4,0.8578365645481366,0.5582320855371226,1.4282992684191897,0.625701691903071,0.10657146845859718,0.13448848345843895,0.11526811663536708,0.007215390769325076
1998-12-04,1998,4,12,1998Q4,0.8568209076487149,0.5594641255023851,1.4256668141259257,0.6254191879682025,0.1067938354172313,0.13449449027802465,0.11522002768849265,0.007217794872766911
1998-12-05,1998,4,12,1998Q4,0.8568209076487149,0.5594641255023851,1.4256668141259257,0.6254191879682025,0.1067938354172313,0.13449449027802465,0.11522002768849265,0.007217794872766911
1998-12-06,1998,4,12,1998Q4,0.8568209076487149,0.5594641255023851,1.4256668141259257,0.6254191879682025,0.1067938354172313,0.13449449027802465,0.11522002768849265,0.007217794872766911
1998-12-07,1998,4,12,1998Q4,0.8578967244511633,0.5592537951097147,1.4211051161131907,0.6246078546418653,0.10534540092273201,0.13450049709761042,0.1150637701354902,0.007156311176752119
1998-12-08,1998,4,12,1998Q4,0.8578967244511633,0.5592537951097147,1.4211051161131907,0.6246078546418653,0.10534540092273201,0.13450049709761042,0.1150637701354902,0.007156311176752119
1998-12-09,1998,4,12,1998Q4,0.8531727047488596,0.5522159118201144,1.4145601588582986,0.6271020603774883,0.10610267287279748,0.13444641279454642,0.11294219355531435,0.007240092095362027
1998-12-10,1998,4,12,1998Q4,0.8492480964408908,0.5524623289838839,1.41314777674471,0.6300049132592802,0.10542954225051707,0.13430817570030118,0.11282198838322251,0.007228853381770682
1998-12-11,1998,4,12,1998Q4,0.8464413985260554,0.5487480969221702,1.4175351394287043,0.6328537047648005,0.10464221327573055,0.13432620762245456,0.1101775433775791,0.007185400232301744
1998-12-12,1998,4,12,1998Q4,0.8464413985260554,0.5487480969221702,1.4175351394287043,0.6328537047648005,0.10464221327573055,0.13432620762245456,0.1101775433775791,0.007185400232301744
1998-12-13,1998,4,12,1998Q4,0.8464413985260554,0.5487480969221702,1.4175351394287043,0.6328537047648005,0.10464221327573055,0.13432620762245456,0.1101775433775791,0.007185400232301744
1998-12-14,1998,4,12,1998Q4,0.8445422347580983,0.548940406856083,1.422631673652493,0.6330881082893984,0.10524322767279357,0.13439231702808627,0.10898152140303881,0.007299412419254259
1998-12-15,1998,4,12,1998Q4,0.8473609463121052,0.5493430930362511,1.4299220267790334,0.6330700878306412,0.10512302250070173,0.13438631020850048,0.10820621753081995,0.00728348517663511
1998-12-16,1998,4,12,1998Q4,0.8509430283429327,0.552666698410553,1.4285636601881317,0.6329078119946567,0.10575409392248578,0.13441635576982539,0.11035183285273496,0.0073268782579081915
1998-12-17,1998,4,12,1998Q4,0.8510331764903034,0.5536282939337032,1.4267546445675454,0.6329739328636848,0.10551368357830211,0.1344764583558713,0.11088673784416629,0.007333309223151711
1998-12-18,1998,4,12,1998Q4,0.8488213829823799,0.5509297646249957,1.4287379955168724,0.630858386029887,0.10617480056141104,0.1344584264337179,0.11082663525812038,0.007375259750652522
1998-12-19,1998,4,12,1998Q4,0.8488213829823799,0.5509297646249957,1.4287379955168724,0.630858386029887,0.10617480056141104,0.1344584264337179,0.11082663525812038,0.007375259750652522
1998-12-20,1998,4,12,1998Q4,0.8488213829823799,0.5509297646249957,1.4287379955168724,0.630858386029887,0.10617480056141104,0.1344584264337179,0.11082663525812038,0.007375259750652522
1998-12-21,1998,4,12,1998Q4,0.8522291296844667,0.5502506271831297,1.4348142374297381,0.6296503274893828,0.10626494870878184,0.13441635576982539,0.11105502049973641,0.007378625403763923
1998-12-22,1998,4,12,1998Q4,0.8555947827958689,0.5523181194602413,1.437825258917658,0.6286526451951336,0.1068599562862591,0.13444039451156448,0.11154784336387907,0.0072977896608944146
1998-12-23,1998,4,12,1998Q4,0.8560936697965781,0.5519274469192449,1.4348142374297381,0.6271741422125171,0.10713041219176765,0.13442236258941115,0.11160193913033925,0.00736738669017258
1998-12-24,1998,4,12,1998Q4,0.8560936697965781,0.5519274469192449,1.4348142374297381,0.6271741422125171,0.10713041219176765,0.13442236258941115,0.11160193913033925,0.00736738669017258
1998-12-25,1998,4,12,1998Q4,0.8560936697965781,0.5519274469192449,1.4348142374297381,0.6271741422125171,0.10713041219176765,0.13442236258941115,0.11160193913033925,0.00736738669017258
1998-12-26,1998,4,12,1998Q4,0.8560936697965781,0.5519274469192449,1.4348142374297381,0.6271741422125171,0.10713041219176765,0.13442236258941115,0.11160193913033925,0.00736738669017258
1998-12-27,1998,4,12,1998Q4,0.8560936697965781,0.5519274469192449,1.4348142374297381,0.6271741422125171,0.10713041219176765,0.13442236258941115,0.11160193913033925,0.00736738669017258
1998-12-28,1998,4,12,1998Q4,0.8599100636448341,0.5547822452443508,1.439315775539446,0.6251607571652616,0.10660753230290396,0.1344043421306539,0.11225703783046627,0.007379947821144479
