fecha,año,trimestre,pib_pm,demanda_nacional,consumo_privado_nacional,consumo_privado_interior,consumo_publico,fbcf,variacion_existencias,exportacion_bienes_servicios,exportacion_bienes,exportacion_servicios,importacion_bienes_servicios,importacion_bienes,importacion_servicios,tasa_inversion,apertura_comercial,saldo_comercial_pct_pib,consumo_publico_pct_pib,pib_index_base
1998-10-01,1998,4,270610.00430524326,276994.26965374494,161686.8795361141,165918.22671786151,46902.73028939066,64979.97565580827,2830.5877669224765,65670.36291603326,47262.45838813948,18407.9045278938,72054.62826453493,59683.97864645076,12370.649618084171,24.012407014528563,50.89427182640921,-2.3592126111126053,17.332223326261513,196.59573710499112
1999-01-01,1999,1,252592.7649890116,257950.673794452,156971.6656051714,160111.45754570892,41633.17491456328,61364.91135869518,-2637.712132798802,63299.71176065977,46684.45640884896,16615.25535181081,68657.62056610016,57104.405561598,11553.215004502164,24.294009910127357,52.2411369670467,-2.1211647949114747,16.482330725654165,183.50637459947137
1999-04-01,1999,2,268729.8852725468,272363.4555409485,154427.6335849149,162234.8751838362,47135.929570688095,65809.78921674051,4387.199657403495,72432.75606151609,48994.88206355927,23437.873997956827,76066.32632991776,63374.84854798937,12691.47778192839,24.489196335567957,55.259608450628996,-1.3521273470259896,17.540263347666997,195.22984751777113
1999-07-01,1999,3,263964.8265203539,265512.6410121303,157516.82660112003,168766.0888840424,41110.314963451,64720.36946841942,1484.4536646276729,72973.56978187985,44533.60993883018,28439.95984304968,74521.38427365627,60114.94248937942,14406.441784276853,24.518558143362686,55.87674539818396,-0.5863714920582668,15.574163991989684,191.76807514116948
1999-10-01,1999,4,281906.7383699022,291750.3962052996,167608.46790424632,172133.53261523423,48572.10496561016,72106.34697171717,2836.819697198386,72970.8846391362,52869.94006380621,20100.94457532999,82814.5424745336,68358.8335920014,14455.7088825322,25.578085642317376,55.26133501259446,-3.4918136020151134,17.229848866498738,204.80271291884745
2000-01-01,2000,1,267742.44784728915,279216.1283772719,169329.1488543188,172845.83890740282,43163.97221250654,69234.1819221879,-3190.812431713007,71773.23911115888,53334.14225700523,18439.09685415365,83246.91964114163,69748.26693985876,13498.65270128288,25.858500390523297,57.89898463941682,-4.285342358760736,16.12145274668055,194.51248309895752
2000-04-01,2000,2,283389.0874767181,289649.5802484181,163080.7907247305,171465.81425636532,48100.35080068765,72923.08284100778,4845.878924175774,83876.33520283418,57407.57032148341,26468.76488135076,90136.82797453416,75496.53164849647,14640.296326037687,25.732495026647346,61.404327430802866,-2.2091509688827777,16.973254414617976,205.87962622827808
2000-07-01,2000,3,276775.267732258,280739.5013632009,163920.01558668813,176014.76002134007,44120.38756828457,70807.55263564299,1123.4317627232856,82078.44711096451,50556.171077218736,31522.27603374577,86042.68074190745,69875.71388671747,16166.966855189978,25.583049098209003,60.74282909392974,-1.4322933054761917,15.940870703434735,201.07474559912356
2000-10-01,2000,4,294788.07602103776,306098.08875444054,173271.79235322127,178057.78562950602,51322.28639599514,78594.74253602633,2236.317430707649,83250.59789138168,60002.14325377238,23248.454637609306,94560.61062478446,77878.98397091469,16681.626653869767,26.66143881966832,60.318317795010316,-3.8366588248961713,17.409892248264644,214.1608890030056
2001-01-01,2001,1,279388.55138412234,289399.5003608711,174584.90834120073,177876.01830656608,44200.899111589446,73290.55185492316,-3348.17153539207,79182.99810091892,58848.93979374584,20334.05830717309,89193.94707766765,74310.94698951884,14883.00008814881,26.232482144251623,60.2662293585146,-3.583163636145202,15.82058351804797,202.97327269579063
2001-04-01,2001,2,294045.36765043484,299992.6783095705,169158.50746198624,177564.70622557122,49675.87018060653,76015.6261558428,4504.629698124017,85468.01850316368,57673.92017346652,27794.098329697157,91415.3291622993,75697.43670601227,15717.89245628702,25.85166593959447,60.15512132663295,-2.0225826737749744,16.893947548822428,213.6213180438772
