fecha,año,mes,ed_pasivo_total,ed_pasivo_depositos_total,ed_pasivo_depositos_esp,ed_pasivo_depositos_sector_publico,ed_pasivo_sector_privado,ed_pasivo_deposito_resto_mundo,ed_pasivo_deuda_emitida,ed_pasivo_patrimonio_ajustes,ec_efc_pasivo_obra_social,ed_pasivo_periodificacion_otros,depositos_share,crecimiento_depositos_yoy,deuda_emitida_share
1990-10-01,1990,12,,873105.0256075141,139363.8296505296,28358.951212480017,607223.4943050559,98158.75043944844,11479.493788918864,,2120.161104266587,69030.16039593326,,4.144720215945585,
1991-01-01,1991,3,,916064.6299752024,174342.0503264642,27367.630837113,608277.9471907908,106077.00412068624,11424.894064089924,,2387.183766022481,67527.73982735162,,11.085069402669356,
1991-04-01,1991,6,,913102.3340398162,150399.18433770302,27171.55578233223,623638.8797647232,111892.71415505774,12928.094906036004,,2644.3660815398166,70473.76127998436,,6.325226667025974,
1991-07-01,1991,9,,909846.6881621636,161264.9840148463,24516.021174050034,617708.1982866623,106357.48710721788,12497.566547259885,,2454.627399465343,66598.51522116672,,7.1481444655074,
1991-10-01,1991,12,,924255.1679990528,164993.24325165717,26118.57547509469,626758.7331739109,106384.61849928976,13064.917847159088,,2228.3925825284086,66117.0181602746,,5.8584180472387,
1992-01-01,1992,3,,901355.6874557117,162340.10036007568,25872.28997001292,604673.2739737959,108470.02081251152,12891.031288060529,,2267.315923325337,75532.51652057575,,-1.605666460442745,
1992-04-01,1992,6,,904474.4284934588,151510.6776727013,27310.89811705362,614441.3647323106,111211.49030726,12766.330497973096,,2648.975912474664,82565.14434618574,,-0.9449001743523255,
1992-07-01,1992,9,,940151.5798991694,186300.7541300776,26237.84463571944,608717.8847787506,118895.09406598662,12839.357526178008,,2446.431947824517,75676.81489727386,,3.3307690329916984,
1992-10-01,1992,12,,991841.1478339924,217156.19121741864,24062.80267297321,622679.6128756966,127942.541067904,12196.833721553116,,2233.291053478339,74461.26065009886,,7.312480597891424,
1993-01-01,1993,3,,979526.2690797552,210778.74018936304,22260.27178393364,620954.3771884316,125532.87991802696,12823.913661994322,,2298.547140392122,72881.61825008872,,8.672556540326305,
1993-04-01,1993,6,,1067865.255989457,253374.67731426813,25635.29094337551,635986.3327517132,152868.95498010016,12718.627156914426,,2537.2300170444564,81416.510406563,,18.06472602748437,
