fecha,año,mes,trimestre,periodo,ipi_corrientes_total_industria,ipi_corrientes_energia,ipi_corrientes_bienes_equipo,ipi_corrientes_bienes_intermedios,ipi_corrientes_bienes_consumo
1987-08-01,1987,8,3,1987T3,22.9199971,20.6422986,11.446829600000001,26.345020799999997,32.8639906
1987-09-01,1987,9,3,1987T3,42.4052352,21.0526218,71.7891872,42.662487,45.2916017
1987-10-01,1987,10,4,1987T4,44.16204940000001,23.4790752,75.0496824,46.65731199999999,47.164806
1987-11-01,1987,11,4,1987T4,43.796272800000004,24.9828978,74.65496800000001,46.011552300000005,45.0085192
1987-12-01,1987,12,4,1987T4,40.055169,26.486422200000003,69.7382766,41.9234266,38.6616924
1988-01-01,1988,1,1,1988T1,39.359241600000004,27.567840300000004,60.89990220000001,42.1773264,39.597844
1988-02-01,1988,2,1,1988T1,42.222826,25.727360000000004,70.2284415,44.0055438,43.642501700000004
1988-03-01,1988,3,1,1988T1,45.317459199999995,26.2433325,75.374786,47.761514,47.325616
1988-04-01,1988,4,2,1988T2,41.87984130000001,23.6958855,69.74812800000001,45.1598432,43.4074947
1988-05-01,1988,5,2,1988T2,44.46523200000001,22.4390717,77.4097818,48.166436000000004,45.96081960000001
1988-06-01,1988,6,2,1988T2,44.2750548,21.6897855,77.264214,48.306152700000005,46.199499499999995
1988-07-01,1988,7,3,1988T3,44.14685130000001,21.860023800000004,76.40949049999999,45.4018188,45.433960000000006
1988-08-01,1988,8,3,1988T3,25.010450800000005,20.838594000000004,12.709977700000001,29.383177900000007,35.715756000000006
1988-09-01,1988,9,3,1988T3,44.9020797,21.1110347,78.162292,45.387767999999994,47.0948696
1988-10-01,1988,10,4,1988T4,45.0964314,21.8941903,77.0394235,49.0454836,44.00295920000001
1988-11-01,1988,11,4,1988T4,47.493975600000006,24.175621200000002,79.6948803,50.863975,46.905773999999994
1988-12-01,1988,12,4,1988T4,42.482127199999994,27.3082436,67.8682194,45.72715300000001,40.4264003
1989-01-01,1989,1,1,1989T1,45.5853994,29.1444477,72.419352,50.0546488,42.9988985
1989-02-01,1989,2,1,1989T1,45.0131649,25.3459586,74.9309748,49.842958200000005,42.8950368
1989-03-01,1989,3,1,1989T1,47.323912,24.759026200000005,78.3084316,53.410470399999994,45.982419699999994
1989-04-01,1989,4,2,1989T2,46.761581400000004,24.1720938,78.5337224,52.58836149999999,46.168714900000005
1989-05-01,1989,5,2,1989T2,48.0428512,22.3763458,82.60472850000001,53.61671679999999,48.840034599999996
1989-06-01,1989,6,2,1989T2,49.500839299999996,22.5489907,86.33532269999999,54.4444275,50.8023633
1989-07-01,1989,7,3,1989T3,48.3330792,24.471276,80.9753976,50.52577399999999,49.117639200000006
1989-08-01,1989,8,3,1989T3,27.8506592,23.39143,16.705310400000002,33.7047392,37.484128000000005
1989-09-01,1989,9,3,1989T3,48.7235546,22.234271399999997,83.207908,49.8968784,51.420798
1989-10-01,1989,10,4,1989T4,49.9056138,24.324465,81.5309517,55.209635799999994,51.682414
1989-11-01,1989,11,4,1989T4,50.6710512,25.568599,85.16184240000001,54.92526,50.755194
1989-12-01,1989,12,4,1989T4,43.18142400000001,28.600209899999996,65.28365620000001,47.443104299999995,42.1278135
1990-01-01,1990,1,1,1990T1,49.145092,31.8734576,77.163372,52.379602199999994,48.3195186
1990-02-01,1990,2,1,1990T1,46.386654,25.7912868,77.3874206,50.254376699999995,46.5385945
1990-03-01,1990,3,1,1990T1,50.793236,27.2805876,83.7805652,55.3328128,51.821265000000004
1990-04-01,1990,4,2,1990T2,44.966416,25.439870999999997,70.75698,49.9095296,46.44668839999999
1990-05-01,1990,5,2,1990T2,50.281925099999995,23.73559,84.07139,54.72699539999999,52.6367864
1990-06-01,1990,6,2,1990T2,50.145545999999996,23.9337493,82.7396694,54.64637439999999,52.8134552
1990-07-01,1990,7,3,1990T3,48.77910539999999,22.9759248,82.32545999999998,48.749476,51.715806199999996
1990-08-01,1990,8,3,1990T3,28.091773,23.374136399999998,16.8938448,32.566001699999994,38.698254199999994
1990-09-01,1990,9,3,1990T3,48.509673400000004,24.8186744,80.724375,47.1799474,51.7943718
1990-10-01,1990,10,4,1990T4,50.4199557,26.9495772,79.4233025,52.7927808,53.645576600000005
1990-11-01,1990,11,4,1990T4,51.9635974,29.723584799999998,85.08074219999999,53.1967471,53.681936400000005
1990-12-01,1990,12,4,1990T4,44.0015862,34.1525871,65.2961763,45.7979544,43.601853600000005
1991-01-01,1991,1,1,1991T1,49.6639287,34.8265775,71.8141739,51.62319,50.327940600000005
1991-02-01,1991,2,1,1991T1,47.3085328,31.0205035,70.8894018,49.7154375,49.1895279
1991-03-01,1991,3,1,1991T1,46.096621999999996,28.716898,64.2638772,50.2595984,49.1751744
1991-04-01,1991,4,2,1991T2,48.671051,26.728504199999996,75.45523899999999,51.344981,53.5368808
1991-05-01,1991,5,2,1991T2,49.5805401,26.173617,75.53853,53.7191925,55.106438399999995
1991-06-01,1991,6,2,1991T2,48.8010132,25.861520799999997,81.4104672,51.5400894,51.8779982
1991-07-01,1991,7,3,1991T3,49.881487500000006,25.986947999999998,81.9411138,48.975376000000004,53.1107472
1991-08-01,1991,8,3,1991T3,28.152149999999995,25.615854199999998,19.9474019,29.44049,39.4804007
1991-09-01,1991,9,3,1991T3,49.242496900000006,26.1114282,80.97465419999999,47.6244736,53.022600000000004
1991-10-01,1991,10,4,1991T4,53.5930848,27.7305792,83.82419100000001,55.764633599999996,60.53014499999999
1991-11-01,1991,11,4,1991T4,50.880211200000005,28.3089241,80.07157939999999,52.262327,56.618331000000005
1991-12-01,1991,12,4,1991T4,45.6305037,28.002340800000002,77.968503,44.696916,48.257131
1992-01-01,1992,1,1,1992T1,48.3724134,32.173575299999996,70.0798684,49.381201999999995,52.647017999999996
1992-02-01,1992,2,1,1992T1,48.805521,29.6716068,73.38207,50.0497635,53.7956117
1992-03-01,1992,3,1,1992T1,50.322975,30.1798458,76.0144224,52.061032399999995,55.167126999999994
1992-04-01,1992,4,2,1992T2,47.604787200000004,27.798019700000005,72.1360458,49.4488944,52.3123873
1992-05-01,1992,5,2,1992T2,48.578755199999996,27.249718799999997,73.76842319999999,51.058682100000006,53.484080999999996
1992-06-01,1992,6,2,1992T2,49.866967100000004,26.1566448,77.44864360000001,51.931125,56.05779640000001
1992-07-01,1992,7,3,1992T3,50.6591271,28.3335952,78.3881988,50.98899780000001,57.930780000000006
1992-08-01,1992,8,3,1992T3,28.530137500000002,25.606152,31.0818584,26.4663984,33.7097981
1992-09-01,1992,9,3,1992T3,47.915778,27.8763606,72.15440840000001,48.710625900000004,54.340153599999994
1992-10-01,1992,10,4,1992T4,48.89926659999999,29.598321599999995,70.8737366,49.58029119999999,55.883594
1992-11-01,1992,11,4,1992T4,47.3084092,28.2693103,70.885017,48.1102088,53.24388
1992-12-01,1992,12,4,1992T4,42.174144,27.671452200000004,66.0051315,40.3593296,47.280404
1993-01-01,1993,1,1,1993T1,43.20015699999999,31.6145788,56.956739999999996,42.9573045,48.960923699999995
1993-02-01,1993,2,1,1993T1,44.3100896,28.6993692,61.5627426,45.2218801,50.1736612
1993-03-01,1993,3,1,1993T1,48.2034798,30.117010800000003,68.1333956,49.1132524,55.0383075
1993-04-01,1993,4,2,1993T2,44.433860800000005,27.4450528,61.5459126,46.492612799999996,50.05850869999999
1993-05-01,1993,5,2,1993T2,46.9744989,28.5052065,65.6196362,48.9109586,53.33471
1993-06-01,1993,6,2,1993T2,47.841126,27.2871231,71.8681977,48.77439029999999,54.577265399999995
1993-07-01,1993,7,3,1993T3,48.414678300000006,27.488129999999998,67.6784292,49.783544400000004,57.389985
1993-08-01,1993,8,3,1993T3,28.350657,27.035806800000003,25.1176008,25.7772424,36.110772600000004
1993-09-01,1993,9,3,1993T3,48.6140603,28.392621999999996,66.4590276,49.438098,58.1322613
1993-10-01,1993,10,4,1993T4,48.68457,30.238827999999994,64.45014800000001,51.1453467,55.870817800000005
1993-11-01,1993,11,4,1993T4,49.9492318,30.167272799999996,67.0703964,52.3808128,57.732916800000005
1993-12-01,1993,12,4,1993T4,46.2822685,31.182516,61.8305744,45.3700935,54.7372848
1994-01-01,1994,1,1,1994T1,46.331129999999995,33.3972038,53.641489,47.998152,53.9223951
1994-02-01,1994,2,1,1994T1,48.571731,30.570579100000003,63.21469859999999,50.4200649,56.6064696
1994-03-01,1994,3,1,1994T1,53.0021816,31.8270708,69.6490534,56.219548800000005,61.1184204
1994-04-01,1994,4,2,1994T2,49.7243167,30.1530068,65.2156432,53.2076462,56.556341599999996
1994-05-01,1994,5,2,1994T2,52.440559,29.102954200000003,68.92547280000001,57.44071520000001,60.3266664
1994-06-01,1994,6,2,1994T2,54.390609,29.90421,73.9995713,58.5197339,62.694145799999994
1994-07-01,1994,7,3,1994T3,53.1056842,31.294095,71.9369805,55.89411,61.45838680000001
1994-08-01,1994,8,3,1994T3,33.303556,29.5713036,27.233224600000003,32.892103199999994,41.9891745
1994-09-01,1994,9,3,1994T3,54.5597283,30.612657600000002,71.48695500000001,58.7757469,63.8947934
1994-10-01,1994,10,4,1994T4,54.57373199999999,30.277774799999996,71.034543,59.5916414,63.3129723
1994-11-01,1994,11,4,1994T4,57.4463875,30.922959799999997,76.3263171,62.917888000000005,66.49376360000001
1994-12-01,1994,12,4,1994T4,52.8796378,32.657229799999996,71.44706670000001,56.916969,58.28486840000001
1995-01-01,1995,1,1,1995T1,56.0493825,34.815609,72.22203499999999,62.972487,60.2762288
1995-02-01,1995,2,1,1995T1,55.2362928,30.6826432,74.119216,62.61844040000001,60.267669000000005
1995-03-01,1995,3,1,1995T1,62.4620647,33.062242499999996,84.78547439999998,72.4019584,67.33445069999999
1995-04-01,1995,4,2,1995T2,53.572156400000004,29.821068,72.59835779999999,62.6845492,55.924719499999995
1995-05-01,1995,5,2,1995T2,61.7442252,31.587008,85.19314049999998,72.36862599999999,65.96532389999999
1995-06-01,1995,6,2,1995T2,62.23744799999999,31.238971100000004,86.5909443,71.89643,67.7475147
1995-07-01,1995,7,3,1995T3,58.6917845,30.6306816,81.20016340000001,67.7404949,63.3059685
1995-08-01,1995,8,3,1995T3,37.275670399999996,29.828874799999998,31.438094100000004,40.4359381,44.177196
1995-09-01,1995,9,3,1995T3,58.634467,30.7169434,77.94223720000001,66.9322365,65.42976
1995-10-01,1995,10,4,1995T4,59.956050399999995,31.056076799999996,81.39727829999998,68.06624,66.5861688
1995-11-01,1995,11,4,1995T4,61.0593984,31.703014200000002,84.2011926,67.3627976,69.6163278
1995-12-01,1995,12,4,1995T4,52.57976099999999,33.2545824,71.19625230000001,55.5881232,58.265503100000004
1996-01-01,1996,1,1,1996T1,57.3006208,35.229845600000004,74.5818744,64.524618,60.9508822
1996-02-01,1996,2,1,1996T1,57.300421,33.421481,80.3313456,63.183546,61.38401449999999
1996-03-01,1996,3,1,1996T1,59.4771573,33.159903400000005,84.6933246,66.580186,62.989226099999996
1996-04-01,1996,4,2,1996T2,54.980447999999996,29.703915000000002,80.2204947,61.7191245,57.86683639999999
1996-05-01,1996,5,2,1996T2,60.74998540000001,30.546876800000003,88.8939414,68.06978760000001,65.95478200000001
1996-06-01,1996,6,2,1996T2,59.3368635,30.5487635,87.09273000000002,65.490864,64.9925094
1996-07-01,1996,7,3,1996T3,61.5783168,31.162844299999996,90.5362455,66.501015,69.5618281
1996-08-01,1996,8,3,1996T3,37.031404800000004,29.291683199999998,34.070983500000004,38.2301712,45.004507999999994
1996-09-01,1996,9,3,1996T3,58.566328000000006,30.62213,84.6940215,64.3347072,64.41674880000001
1996-10-01,1996,10,4,1996T4,64.415514,33.1461243,92.74256310000001,71.1450124,71.2945512
1996-11-01,1996,11,4,1996T4,61.033074500000005,34.7798286,87.37686869999999,65.8809514,66.7831836
1996-12-01,1996,12,4,1996T4,54.458864000000005,34.6894761,77.9876438,56.4358234,59.385372000000004
1997-01-01,1997,1,1,1997T1,59.4808432,38.0821086,80.3657604,63.788549999999994,64.272256
1997-02-01,1997,2,1,1997T1,57.3596734,32.069193,80.15403380000001,61.38077680000001,65.15663160000001
1997-03-01,1997,3,1,1997T1,59.8340992,32.698221399999994,84.591027,65.8810854,65.4621048
1997-04-01,1997,4,2,1997T2,65.21806529999999,33.6672,93.87175500000001,72.7561512,71.1193692
1997-05-01,1997,5,2,1997T2,62.881434,33.212018400000005,90.66831029999999,70.263192,67.7080472
1997-06-01,1997,6,2,1997T2,64.3686426,32.3828512,96.9374445,70.737403,70.0894632
1997-07-01,1997,7,3,1997T3,67.4947108,33.8668288,101.1811827,73.845592,74.55362039999999
1997-08-01,1997,8,3,1997T3,40.601444,32.959479,39.3533306,42.84316,46.551737200000005
1997-09-01,1997,9,3,1997T3,65.7623997,34.1611358,97.2266209,72.74391179999999,70.8936607
1997-10-01,1997,10,4,1997T4,71.048556,34.2578736,105.58562099999999,79.25923949999999,77.7594565
1997-11-01,1997,11,4,1997T4,65.68763849999999,35.0696259,97.4562872,73.0661438,69.6099789
1997-12-01,1997,12,4,1997T4,60.6908928,36.6186496,85.7457392,64.68200099999999,66.3091482
1998-01-01,1998,1,1,1998T1,62.536449600000005,34.6705632,88.0717146,68.864059,67.8808641
1998-02-01,1998,2,1,1998T1,64.4426728,31.629895,95.16437,70.9172427,71.47326199999999
1998-03-01,1998,3,1,1998T1,68.41713179999999,32.8727428,102.2972392,77.25553740000001,73.7180925
1998-04-01,1998,4,2,1998T2,63.383488199999995,30.8844318,94.0156864,71.61949299999999,67.81196729999999
1998-05-01,1998,5,2,1998T2,66.35101230000001,30.219673300000004,100.2604512,75.688221,71.268582
1998-06-01,1998,6,2,1998T2,69.6649552,30.798306000000004,108.35486879999999,77.9523855,75.695202
1998-07-01,1998,7,3,1998T3,71.0636453,32.8963464,105.526608,77.9917648,80.4509126
1998-08-01,1998,8,3,1998T3,42.914487799999996,30.8389842,43.0102128,45.244585900000004,50.8270586
1998-09-01,1998,9,3,1998T3,67.07308599999999,30.454498799999996,102.01558560000001,74.1066964,74.733921
1998-10-01,1998,10,4,1998T4,69.01273599999999,31.145027699999996,105.33142559999999,76.44693889999999,76.57894859999999
1998-11-01,1998,11,4,1998T4,67.933992,32.284713,104.85782800000001,74.40661279999999,74.316937
1998-12-01,1998,12,4,1998T4,62.2708284,35.152990599999995,91.1901216,64.80409350000001,69.02549950000001
1999-01-01,1999,1,1,1999T1,62.682699899999996,34.906486199999996,89.8218816,66.6962985,69.1244884
1999-02-01,1999,2,1,1999T1,63.456007799999995,30.516971999999996,97.3637531,68.13318,70.5248984
1999-03-01,1999,3,1,1999T1,69.01273599999999,30.2731638,106.60503059999999,75.72015999999999,77.02695
1999-04-01,1999,4,2,1999T2,64.260911,29.038894,94.62612419999999,71.18777879999999,72.52245
1999-05-01,1999,5,2,1999T2,68.07165119999999,30.7791039,102.3981038,76.86445499999999,73.7340354
1999-06-01,1999,6,2,1999T2,70.9384,31.4139811,108.779447,78.676833,78.1715025
1999-07-01,1999,7,3,1999T3,72.55070359999999,35.05172580000001,112.7268548,78.94790710000001,79.0277448
1999-08-01,1999,8,3,1999T3,46.102729499999995,33.9699222,43.5379208,48.6139014,56.079792000000005
1999-09-01,1999,9,3,1999T3,71.5503632,36.5124333,108.6974784,77.5234032,77.7106376
1999-10-01,1999,10,4,1999T4,70.6863244,35.873293999999994,103.89273299999999,78.8284674,76.201704
1999-11-01,1999,11,4,1999T4,73.741654,38.7612855,111.69903599999999,79.669566,80.0629382
1999-12-01,1999,12,4,1999T4,67.9955339,41.845504999999996,95.8254906,71.00243400000001,75.4873678
2000-01-01,2000,1,1,2000T1,68.7615264,46.0854669,95.56224920000001,73.8965321,71.2349504
2000-02-01,2000,2,1,2000T1,73.214886,42.298587,112.49893879999999,79.8851808,74.64593599999999
2000-03-01,2000,3,1,2000T1,80.23062030000001,43.8892248,123.12830149999998,87.95182239999998,83.5360752
2000-04-01,2000,4,2,2000T2,67.7206032,39.819416000000004,99.0764074,75.75048,69.0344768
2000-05-01,2000,5,2,2000T2,78.91505400000001,41.46498750000001,122.33290399999998,89.1792778,79.44812639999999
2000-06-01,2000,6,2,2000T2,78.95178720000001,42.5660256,122.8747188,88.0893016,80.18708799999999
