fecha,año,trimestre,IPRI_total_industria_2021,IPRI_industrias_extractivas_2021,IPRI_industria_manufacturera_2021,IPRI_suministro_energia_electrica_gas_vapor_aire_acondicionado_2021,IPRI_energia_2021,IPRI_bienes_equipo_2021,IPRI_bienes_intermedios_2021,IPRI_bienes_consumo_2021,IPRI_bienes_consumo_duradero_2021,IPRI_bienes_consumo_no_duradero_2021,IPRI_total_industria_2025,IPRI_industrias_extractivas_2025,IPRI_industria_manufacturera_2025,IPRI_suministro_energia_electrica_gas_vapor_aire_acondicionado_2025,IPRI_energia_2025,IPRI_bienes_equipo_2025,IPRI_bienes_intermedios_2025,IPRI_bienes_consumo_2025,IPRI_bienes_consumo_duradero_2025,IPRI_bienes_consumo_no_duradero_2025,prima_energia,spread_equipo_consumo,ipri_yoy
1993-01-01,1993.0,1.0,50.12,65.50333333333333,53.833333333333336,42.663333333333334,35.28666666666667,66.75666666666667,51.24333333333333,57.096666666666664,60.69,56.52,39.94606908735878,54.24519512784238,45.284076968911016,32.14920405664228,26.522686843885452,59.03533660046429,44.958837205901695,45.943807416348164,53.96425501644981,45.244051311813315,-14.83333333333333,9.660000000000004,1.7114036211751522
1993-04-01,1993.0,2.0,50.35,65.71666666666665,54.080000000000005,42.63,35.39333333333334,67.06333333333333,51.45333333333334,57.38333333333333,60.99,56.833333333333336,40.12938105643485,54.421862599634245,45.4915705723599,32.12408552858803,26.602861223160374,59.30653303364164,45.143082749645394,46.17447864279489,54.231008625033354,45.49487348822936,-14.956666666666665,9.680000000000005,1.7925140486803048
1993-07-01,1993.0,3.0,50.873333333333335,65.95666666666666,54.71,42.64666666666667,35.74666666666666,67.42,52.10666666666666,58.093333333333334,61.20666666666667,57.61333333333334,40.546482203463,54.620613505400094,46.02152045143879,32.13664479261516,26.868438854508554,59.62194627657616,45.716291107959115,46.74579226178503,54.423664009010345,46.11926060824377,-15.126666666666667,9.326666666666668,2.753652460782334
1993-10-01,1993.0,4.0,51.24,65.47666666666667,55.126666666666665,42.67666666666667,35.836666666666666,67.48,52.48,58.723333333333336,61.34,58.32333333333333,40.83871867590312,54.2231116938684,46.372016403210544,32.15925146786399,26.936085987021773,59.67500644828478,46.043838741281235,47.25273251525514,54.54222116838081,46.68761298671843,-15.403333333333336,8.75666666666667,3.2647730054130726
1994-01-01,1994.0,1.0,52.083333333333336,65.98333333333333,56.00333333333333,43.51333333333334,36.50333333333334,68.25,53.31,59.79666666666666,62.419999999999995,59.419999999999995,41.51086256251536,54.64269693937408,47.10945988573832,32.789726522025816,27.437175857490047,60.355945318545274,46.77204731893488,48.1164085026487,55.502534159281545,47.565490604174585,-15.579999999999998,8.453333333333333,3.9170845153641296
1994-04-01,1994.0,2.0,52.47,66.76666666666667,56.47666666666667,43.51333333333333,36.593333333333334,68.72333333333334,53.98666666666666,60.06,62.69333333333333,59.68,41.819039206179475,55.291397812359826,47.50762328695104,32.78972652202581,27.50482299000326,60.774531117579876,47.36572740433123,48.32830416415209,55.74557633599099,47.773619644179384,-15.876666666666667,8.663333333333334,4.210353705845822
1994-07-01,1994.0,3.0,52.949999999999996,66.79666666666667,57.026666666666664,43.54,36.733333333333334,69.16333333333334,54.803333333333335,60.53333333333334,62.906666666666666,60.18,42.20160331555562,55.31624167558056,47.97027794328975,32.80982134446922,27.610051862801598,61.16363904344302,48.08223785222338,48.709179910145515,55.93526779098372,48.173867798034784,-16.216666666666665,8.629999999999995,4.082179944862189
1994-10-01,1994.0,4.0,53.723333333333336,66.84666666666666,57.93,43.55666666666667,36.77,69.66333333333334,56.32,61.083333333333336,63.20333333333334,60.806666666666665,42.81795660288385,55.35764811428177,48.73015316673093,32.82238060849635,27.637611805677352,61.605807141014786,49.41290011259449,49.15174679809562,56.19905747058301,48.67551215086686,-16.953333333333337,8.58,4.845971420808759
1995-01-01,1995.0,1.0,55.45333333333334,67.71666666666665,59.9,44.28666666666667,37.67333333333333,70.88,59.300000000000004,62.47333333333333,64.42,62.19,44.19678141376036,56.07812014768296,50.38729802670779,33.372476372884556,28.316588580161852,62.68174951177273,52.027432114290725,50.2702340240059,57.28089154983848,49.782865376533444,-17.78,8.406666666666665,6.469005675218095
1995-04-01,1995.0,2.0,56.25666666666667,68.09333333333335,60.846666666666664,44.330000000000005,37.56666666666667,71.62666666666667,60.81333333333333,63.18333333333334,65.25666666666666,62.870000000000005,44.8370449579246,56.390048652565476,51.183624829133215,33.40513045935509,28.23641420088693,63.34205387081323,53.35516984222147,50.841547642996055,58.02483772488811,50.327202865776776,-18.69,8.443333333333333,7.21715624366465
1995-07-01,1995.0,3.0,56.526666666666664,68.52333333333333,61.173333333333325,44.300000000000004,37.053333333333335,71.92666666666668,61.25666666666667,63.68333333333334,65.72,63.39000000000001,45.052237269448675,56.74614402539595,51.45841365532228,33.38252378410626,27.850575000626364,63.607354729356295,53.7441326567915,51.24388117749615,58.43682385370048,50.74346094578638,-19.473333333333333,8.243333333333338,6.754958883699058
1995-10-01,1995.0,4.0,56.50333333333333,69.01,61.123333333333335,44.27333333333333,37.24666666666666,72.23666666666666,60.48666666666667,64.20666666666666,65.98666666666666,63.96666666666667,45.03364040302066,57.14916669542114,51.41635414110967,33.36242896166285,27.99589106306216,63.88149894985077,53.06856566306461,51.66499027693959,58.67393817244139,51.20508048323294,-19.256666666666664,8.029999999999996,5.177773205085981
1996-01-01,1996.0,1.0,57.03,69.84666666666668,61.72333333333333,44.303333333333335,37.95,73.31333333333333,60.20666666666667,65.33333333333333,66.55333333333333,65.22,45.45339824525282,57.84203443635486,51.921068311661,33.38503563691169,28.52454087640619,64.83363425328864,52.82290493807303,52.57158184134648,59.17780609976585,52.20836918889711,-19.08,7.980000000000004,2.8486491225884722
1996-04-01,1996.0,2.0,57.1,69.84666666666666,61.79666666666666,44.35,38.18333333333334,73.67333333333333,59.81,65.70333333333333,66.95666666666666,65.56,45.509188844536844,57.84203443635485,51.98275559917283,33.420201576187644,28.699922331070084,65.1519952835403,52.47488557766827,52.86930865687655,59.5364415068615,52.480537933518775,-18.916666666666668,7.970000000000003,1.4993776915812014
1996-07-01,1996.0,3.0,57.00666666666667,70.14333333333333,61.673333333333325,44.41,38.096666666666664,73.97666666666667,59.10999999999999,65.96333333333332,67.18,65.82,45.43480137882481,58.08771263931542,51.87900879744839,33.4654149266853,28.634780647909206,65.4202439294005,51.86073376518929,53.078522094816606,59.73502474880703,52.688666973523574,-18.91,8.013333333333335,0.8493647997640593
1996-10-01,1996.0,4.0,57.37,70.23,62.09666666666667,44.42666666666667,39.843333333333334,74.03,59.18,66.14666666666666,67.34,65.98,45.72438115606092,58.15948379973086,52.235112684448495,33.47797419071242,29.94763610853607,65.46740852647483,51.92214894643718,53.226044390799984,59.87729334005158,52.81674638275731,-17.526666666666664,7.88333333333333,1.5342284923888376
1997-01-01,1997.0,1.0,57.416666666666664,69.98333333333333,62.29666666666666,43.19333333333333,39.22666666666667,74.50333333333333,59.343333333333334,66.2,67.96,65.95,45.76157488891693,57.955212035471526,52.40335074129894,32.54858865270495,29.484127978352916,65.88599432550943,52.06545103601562,53.26895996781332,60.42858413112422,52.792731493525984,-18.19,8.303333333333333,0.6781570456436681
1997-04-01,1997.0,2.0,57.51,70.55,62.4,43.22,38.22,74.61333333333333,59.85666666666666,66.49333333333333,68.04333333333334,66.32,45.835962354628954,58.42448500741866,52.490273737338335,32.568683475148354,28.727482273945835,65.98327130697521,52.51582903183353,53.50499564138671,60.50268235573075,53.088915127378975,-19.29,8.120000000000005,0.7181394403629193
1997-07-01,1997.0,3.0,57.826666666666675,70.87333333333333,62.74666666666667,43.31333333333333,38.43,74.53,60.53333333333333,66.72666666666667,68.04333333333334,66.58,46.08834839900906,58.6922466443532,52.78188636921244,32.63901535370028,28.885325583143338,65.90957662404658,53.10950911722987,53.69275129082009,60.50268235573075,53.297044167383774,-19.396666666666672,7.803333333333337,1.4383297421568075
1997-10-01,1997.0,4.0,58.00666666666666,70.22666666666667,62.94,43.39333333333334,38.906666666666666,74.78,60.51,66.93666666666667,68.23,66.81666666666668,46.23180994002511,58.156723370484116,52.94451649083454,32.69929982103049,29.24360484052815,66.13066067283246,53.08903739014725,53.86173137531014,60.66866237884941,53.48649496020866,-19.099999999999998,7.843333333333338,1.109947865986416
1998-01-01,1998.0,1.0,57.666666666666664,70.30666666666667,62.723333333333336,41.88333333333333,36.77,75.14,60.416666666666664,66.91,68.71333333333332,66.65666666666665,45.96082702921701,58.22297367240606,52.76225859591322,31.561430500172694,27.637611805677352,66.44902170308414,53.007150481816716,53.84027358680347,61.09843208156733,53.35841555097493,-20.896666666666665,8.230000000000004,0.4354279482788585
1998-04-01,1998.0,2.0,57.51,70.06666666666666,62.54666666666666,41.61,36.01,75.33333333333333,60.06666666666666,67.04333333333334,69.52666666666666,66.71,45.835962354628954,58.024222766640214,52.61364831236199,31.35545857012779,27.06636935334353,66.61999336747856,52.700074575577226,53.947562529336814,61.82163075372714,53.40110868738617,-21.5,8.290000000000006,0.0
