fecha,año,trimestre,pib_pm,vab_agricultura,vab_industria,vab_construccion,vab_servicios,impuestos_netos
1993-10-01,1993,4,198612.85103897404,7119.728081143024,46908.63744449422,15975.882535538021,117513.96256981192,11094.640407986873
1994-01-01,1994,1,200188.124346818,7038.150533804207,47031.71474836512,16011.115933561377,117923.70948333037,12183.433647756914
1994-04-01,1994,2,201732.6253004562,6842.762376699743,47349.86537334951,16019.432728587108,119059.35947935656,12461.205342463276
1994-07-01,1994,3,203163.11099227055,6649.228321129074,47947.27140257967,16108.422373555566,120465.5096080253,11992.679286980943
1994-10-01,1994,4,204689.88244306442,6505.941928138138,48780.31686746284,16322.035818462355,121418.65653955184,11662.931289449221
1995-01-01,1995,1,219647.05333883516,7313.375315257211,48296.48293590795,18400.291116871653,128775.84666683483,16861.057303963524
1995-04-01,1995,2,233688.2976375897,10198.0072250245,45967.19687474683,21009.337997780425,139017.99982713725,17495.75571290072
1995-07-01,1995,3,225967.7435749343,7562.510845715993,42569.81224860993,18455.504780750765,139385.24513509116,17994.670564766475
1995-10-01,1995,4,242691.12287519145,10625.521799032336,45568.55288612449,21278.812368866696,148947.71961480947,16270.516206358458
1996-01-01,1996,1,224871.91640123614,8823.004985550835,48680.123144165234,18015.41740769371,130591.3615842835,18762.009279542875
1996-04-01,1996,2,238652.07092859014,12380.087068863892,46815.89454047466,20698.653782688463,141392.40332269148,17365.032213871633
1996-07-01,1996,3,233029.09709204314,8590.889741482766,44477.79373724531,18697.362245129083,142693.76653957777,18569.28482860822
1996-10-01,1996,4,249481.50202119918,11624.778822070562,47424.642772959814,21185.362527899655,151548.40498068996,17698.312917579184
1997-01-01,1997,1,230670.42709453419,8920.369903730478,49774.944525443236,18155.064028224966,134343.30806617995,19476.74057095557
1997-04-01,1997,2,246543.73082054462,11750.61641123198,49279.643640350005,21118.22746791852,144822.85118603453,19572.39211500959
1997-07-01,1997,3,241567.34614371933,8872.723014982632,46730.561754504626,18975.49783855617,146558.67677351533,20429.886762160564
1997-10-01,1997,4,261190.66248715654,12520.315874854352,49409.697176531896,21937.209661499623,157730.16493888677,19593.274835383905
1998-01-01,1998,1,242081.68617641312,8986.627363085545,51573.73061927866,19284.65590813438,139883.41191233633,22353.260373578225
1998-04-01,1998,2,257259.65944073015,12741.759795676886,50656.39904920071,22325.651251917407,150353.5008319068,21182.348512028337
1998-07-01,1998,3,252178.29349811983,8888.37566024431,47969.481294787816,20483.035106323674,152084.63960096694,22752.76183579709
1998-10-01,1998,4,270610.00430524326,11722.048955188588,49226.42846262163,23547.655999410923,163501.87130707403,22611.9995809481
1999-01-01,1999,1,252592.7649890116,9435.51410114704,51970.63952746953,20945.693693557314,144875.12852300913,25365.789143828588
1999-04-01,1999,2,268729.8852725468,11458.755424203973,51537.48407359639,24864.386769996,157160.43729789057,23708.821706859864
1999-07-01,1999,3,263964.8265203539,8454.144650989307,49595.23487334112,22364.561674158864,159669.28441483015,23881.60090703446
1999-10-01,1999,4,281906.7383699022,11325.976012594307,50968.66728802432,25767.483044327015,169261.20829103712,24583.40373391943
2000-01-01,2000,1,267742.44784728915,9532.356090371462,54045.147976360175,23522.439215326143,152528.1534124045,28114.35115282684
2000-04-01,2000,2,283389.0874767181,11489.17003099915,53864.94572915958,27422.280734294505,164192.64588902073,26420.04509324415
2000-07-01,2000,3,276775.267732258,8923.009178963399,50883.62095534583,24518.680502101844,167851.1558788842,24598.80121696273
2000-10-01,2000,4,294788.07602103776,12073.7168483305,52484.96597903533,27882.049559121475,179172.51966273013,23174.823971820308
2001-01-01,2001,1,279388.55138412234,9260.757159044331,55129.868053180006,25409.181476609494,160483.98741871244,29104.757276576078
2001-04-01,2001,2,294045.36765043484,12187.822067853294,54728.58537084697,29843.17175007161,172855.16918540976,24430.619276253223
2001-07-01,2001,3,287367.1275837885,9227.484479863697,51680.26304033765,26557.84332460589,175370.66528581225,24530.871453168973
2001-10-01,2001,4,305893.59420873097,12167.726849509434,52640.75367655048,30592.812891123667,185332.94776132103,25159.35303022636
2002-01-01,2002,1,286629.5319371686,9770.618376825947,54393.91458470309,27702.500923501066,164812.06149284026,29950.436559298287
2002-04-01,2002,2,303227.13822744304,11530.581285002494,54115.47740198192,31613.276528618335,179723.75283781727,26244.05017402299
2002-07-01,2002,3,294745.4699878458,8837.723652441413,51306.64677806332,28080.32544220484,180092.70478455242,26428.0693305838
2002-10-01,2002,4,314240.6273834415,11590.596350615542,53149.942440663974,32515.072722521425,193382.86486293928,23602.151006701282
2003-01-01,2003,1,297222.75518176134,8601.887206699519,54892.68014061742,29276.926272820227,171994.15874821632,32457.102813407833
2003-04-01,2003,2,310963.03046204743,11928.167895939454,53625.41368096127,33126.98818845321,184781.6197966887,27500.840900004827
2003-07-01,2003,3,303092.50316255627,8795.143134568232,51569.909376764575,29736.987891794324,185622.99896891988,27367.463790509246
2003-10-01,2003,4,322802.0541171741,12842.727784420555,52464.45937039164,33671.855805221065,196516.24485663322,27306.766300507654
2004-01-01,2004,1,304970.5771056596,8805.929868016234,54451.07169280227,29888.106793414707,178043.725904598,33781.742846828376
2004-04-01,2004,2,321050.7757288503,12242.986022239831,53204.61634112743,34066.73279676943,191033.1302753401,30503.31029337345
2004-07-01,2004,3,313541.8884390927,8011.09618853753,51605.39438455239,30993.30987789896,192045.96988228717,30886.118105816688
2004-10-01,2004,4,332953.53800963215,10589.772655763682,52543.3595875922,36434.0690627638,203907.0935391896,29479.243164322867
2005-01-01,2005,1,314613.8562342034,8335.127592721652,54171.17350826017,32600.596056766226,183037.9135205259,36469.04555592945
2005-04-01,2005,2,333213.60523623606,10377.340248422657,53897.86858928951,36759.04037226173,197146.80367949893,35032.55234676327
2005-07-01,2005,3,324750.6836512433,7643.5838076579985,52321.33313133386,34650.91326138293,199249.9081666294,30884.945284239067
2005-10-01,2005,4,345127.2746615151,9969.143890159752,53917.50480340409,39206.35744819226,209368.84725266308,32665.421267095884
2006-01-01,2006,1,329422.69082694495,7329.035831835719,55667.25180807726,34649.61541751615,191132.1950491923,40644.59272032355
