fecha,año,mes,ed_activo_total,ed_activo_creditos_esp,ed_activo_credito_sector_publico,ed_activo_credito_sector_privado,ed_activo_creditos_resto_mundo,ed_activo_renta_fija_esp,ed_activo_renta_fija_resto_mundo,ed_activo_acciones_esp,ed_activo_acciones_resto_mundo,ed_activo_efectivo,ed_activo_otros_residual
1996-12-01,1996,12,1466399.6576305476,270168.6978500839,72202.67710431601,560721.8474979793,175258.2147302501,220529.37522403538,12464.253488981241,44808.220354316,9544.863890041177,7145.06250922678,93556.44498131768
1997-01-01,1997,1,1471861.563596259,275398.4669647582,71134.42405949665,568057.7748517336,168753.07527885493,219163.58853512772,15218.737173091544,45453.43171251521,9779.486112872566,6109.227707458941,92793.35120034976
1997-02-01,1997,2,1462008.6669192666,271234.5692728276,69789.34399258105,569463.9757514078,165825.55835698525,214916.57465123272,15085.974922424291,45645.36915260235,10141.61028241516,5906.516653553494,93999.1719540405
1997-03-01,1997,3,1469510.4904879467,265115.0269988213,69489.1697155133,575992.4293374525,165712.54476847907,217187.6343530418,15502.585557224333,46407.67107939163,10787.048567756654,6977.979216235741,96338.40475007604
1997-04-01,1997,4,1465803.4298295956,259764.57891812376,71161.4401496503,580894.4500527596,159507.68073977498,218012.76895012925,14280.344419226092,47392.308389577316,11481.224731298465,6238.283221453551,97070.35025760224
1997-05-01,1997,5,1479643.5141031197,259989.28441232728,70209.0992624108,584812.9243116366,164835.10282233945,222394.95141384544,13826.885527364504,48625.18204520267,11509.911646880217,5952.489495331713,97487.68701480188
1997-06-01,1997,6,1515741.402879328,272179.72753423936,74672.37085256608,592960.9134916492,167887.77421819014,225891.93189508055,15267.896178105077,49492.70170122231,11921.141787579718,6901.194982842395,98565.74638824783
1997-07-01,1997,7,1528486.2547148813,277436.9093509244,71337.15908649038,608104.5657968633,173553.3693375133,214936.115447189,14654.33068404304,49313.76005273527,12229.671244999245,7011.598983596,99908.77473052737
1997-08-01,1997,8,1499851.9025229327,277053.1636541943,66338.18631661133,606119.2678088789,160619.37614853648,209354.29806446136,15825.981373038623,49468.97229960017,11815.06953119342,6294.151733026553,96963.43368078605
1997-09-01,1997,9,1512993.9623014266,284972.4415876877,66350.37978506007,606776.6892190691,170545.97850893394,205335.68384966216,15485.213536111112,49157.88592267268,11860.845057394896,6344.205162950451,96164.64157530031
1997-10-01,1997,10,1507039.1185128416,278157.60291983327,65682.63234559928,614776.7706869931,162982.79278011413,205396.42797803393,15821.282763480023,50620.49041559027,12256.029649444277,6006.224348528087,95338.86652921297
1997-11-01,1997,11,1528351.1338517838,278232.8815213611,67562.21088978414,626696.9685361265,165044.6796360366,207448.49389851597,17243.0080835332,50153.82927222306,12871.25858589417,6627.773933855495,96470.03329500825
1997-12-01,1997,12,1536074.701332187,293026.93859362387,65912.10684594109,630553.9242092988,161290.73630404394,201015.90132344147,16803.383677866645,50560.158926072654,13413.934566975631,7422.183112834504,96075.43377208851
1998-01-01,1998,1,1568023.4019372857,295082.0924058166,61323.30451935123,646076.7801786354,171438.78075193884,206988.24844149887,17059.315172147653,51868.42663016405,13981.23011442953,6330.328430574198,97874.893402088
1998-02-01,1998,2,1600367.3813192928,302021.09177104203,61270.00001222156,652411.6355679474,181397.53055591267,214717.01573161158,18714.02707658095,51518.973412131854,13918.004522835998,6089.6366593287485,98309.46600968007
1998-03-01,1998,3,1567952.7707638596,276987.6902905334,58587.74259425433,651352.5612283697,175142.76414035415,214703.0933190003,19685.651575612672,52095.73303728332,14191.292014345487,6367.172363045427,98839.06830674685
1998-04-01,1998,4,1550046.798432069,269347.810539052,58101.484886868384,655788.3498081309,168136.73868329855,209931.3334404531,18918.773008235206,53019.355216164855,14196.372808168131,6480.421110895812,96126.1589308019
1998-05-01,1998,5,1552049.0739106503,264733.21222752304,57974.723430894606,663056.2199508781,164326.09111796663,210840.31738240545,18225.262332725513,54421.146226295015,14126.24144726853,6467.848433239058,97878.01513541974
1998-06-01,1998,6,1596560.5322231853,271862.1821805266,58398.46813664089,680064.4531949941,174124.5094573416,212424.795731144,20910.108653153824,57009.434282728354,15173.439872805715,7286.174221734603,99306.96649211545
1998-07-01,1998,7,1611583.0768341855,275842.931010375,58708.45675274196,690013.2296581814,179845.9766550689,208107.39195979695,21193.88010804802,56473.83526193123,16416.22027263969,7064.3974802875355,97916.75955398695
1998-08-01,1998,8,1588448.4151886916,279392.9521995935,56710.28155698447,682142.05068592,172473.23635938653,199011.96470062822,21612.8880838507,55782.03988957871,17490.911181781223,6911.963739320028,96920.13053939393
1998-09-01,1998,9,1591253.9515434634,255542.38489612253,55273.558572673544,696924.9567154725,181042.43027090098,200646.3612848227,23171.659056019198,52115.0086822378,17567.189236484486,6729.6090903249615,102240.7937384047
1998-10-01,1998,10,1607606.9515535077,265455.52662407677,55619.862291321995,706356.5111451623,168367.5284174667,211196.00131953467,23536.947939844897,53666.210337296885,16352.694794350069,6599.98791720827,100455.67702226734
1998-11-01,1998,11,1634730.3506003474,282325.5410053223,53421.75487440864,725445.2467320373,166728.05881338703,203667.39613642078,24804.93819511384,53689.34974704317,15887.515515782081,7231.019483700474,101529.52447468214
1998-12-01,1998,12,1629213.200094722,277659.8719317042,55401.13156258293,729143.704298946,159817.75333300163,199089.49317241635,26193.187511609907,56272.54365494619,16482.952130325815,8531.820923337757,100620.7415758514
1999-01-01,1999,1,1645325.2736421851,266352.18485384836,54735.8435746548,733537.9638904228,166384.55212624848,207542.0118571533,29423.20412136456,55489.78806720034,16318.913596871324,7000.262230023499,108540.54932439773
1999-02-01,1999,2,1641476.9474590425,256899.6945466088,54235.02028996622,738510.2491481575,152925.70564907513,214707.97941581026,33410.506957905156,56922.70529851731,16798.599356576626,6796.12254227833,110270.36239320313
1999-03-01,1999,3,1644335.142893854,263355.0382733119,52690.63531014323,736631.8872785005,162181.6519557878,205381.14784573225,35769.01016935838,56645.41075328852,17194.34386915376,7866.134592407191,106619.88099338644
1999-04-01,1999,4,1606611.8008410512,248020.90357812727,52823.4615922528,742806.6177832385,131291.15033278725,201972.45875094653,39357.616671945536,57409.82925495121,17590.94096523227,6731.485318770932,108607.3384388379
1999-05-01,1999,5,1631514.5036487184,251410.16108264163,52914.139029270416,753765.9459871122,135941.1768053007,203260.04328185524,42581.997046781704,60165.144035241,17818.232674421142,7284.24293865589,106373.4226134775
1999-06-01,1999,6,1668316.1135027297,248215.85673871744,54157.18909925025,784173.0972286724,138472.36460299898,203120.46400924443,43954.32097983695,64305.24213226088,17952.671615482603,7759.70830277333,106205.19325698793
1999-07-01,1999,7,1664883.8775927078,247747.97908883006,52883.34142610176,785395.0811295302,138039.98108912003,201187.30363706872,42696.91856465642,64649.669955603065,19814.89781280806,7691.528931973035,104777.17595701653
1999-08-01,1999,8,1643696.9999414694,243602.4150562933,51198.34665809036,777608.1959581409,133338.14606932015,200444.97593591225,43325.29078143043,63464.87717447316,21021.008432448038,7640.314552612586,102053.42932274827
1999-09-01,1999,9,1675680.0176643133,246953.05643491572,50502.97390923498,791851.7459272799,144505.95518747298,202496.0959836479,42361.262276725254,62488.68305427892,21164.487047939776,7568.817868390721,105786.93632171156
1999-10-01,1999,10,1689175.367980218,242225.72197438026,51266.319112568475,806513.6765459789,141162.12320402137,203491.3313164457,43306.06924308158,62295.11353833959,21811.47937936005,7295.873424618047,109807.65658712888
1999-11-01,1999,11,1727579.7672144605,254862.53297190648,51192.683684352516,808165.7200256474,160079.53660971223,202739.98140316547,43151.77920751799,62747.0597752518,22787.156714244604,7993.07756147482,113860.23561320144
1999-12-01,1999,12,1745099.874449112,264599.4638796376,52166.6839086807,813771.7162348875,152163.69891125913,205816.71677632144,40777.38761674545,67552.63025418993,23388.28052102134,12300.61679064604,112562.68137161582
2000-01-01,2000,1,1722362.632828705,237320.4286189677,51773.256935501144,823442.9366375642,148497.36802584236,204146.90506978155,41694.30133181039,68796.89781321387,23642.23105643204,7822.799981867503,115225.50554779412
2000-02-01,2000,2,1710725.9449321358,232675.84344625036,52000.13513362561,822357.0928667665,142160.97837510693,203520.76794061877,40971.80543427431,68092.97285329341,24552.18987261192,7454.1205790561735,116940.03481583264
2000-03-01,2000,3,1744826.068036531,236011.3319008805,51770.615688298785,835148.4465770734,156245.63677573844,201338.1974491977,41685.57700124255,69848.02842161318,28848.598065712868,7308.203980225789,116621.43577687448
2000-04-01,2000,4,1759563.6228772101,238214.37224748978,54496.93949607553,856386.177300382,148401.96676035924,194124.92259234906,38347.84283541933,70488.91509227833,30869.230835277904,8027.792618264745,120205.46309931412
2000-05-01,2000,5,1757217.269594875,231869.50895284483,53331.470255012,853627.3261819498,153997.81941518426,201406.53416973742,38265.742600345904,70041.50285694622,32228.688739693636,7729.6800804390805,114718.9999222081
2000-06-01,2000,6,1773236.4310609514,218360.30392690736,51003.834737999714,872243.9302178349,152660.0937831503,202577.82155500422,36822.82525154842,71816.40475724943,40109.402954075165,7971.270308136261,119670.54178459317
2000-07-01,2000,7,1773429.9543602562,220400.67154869178,51217.511009514485,878117.9847280328,140170.2497960683,199147.4642964181,37145.00418577725,76643.09838512664,41981.11424898559,8644.505875996922,119962.34496449561
2000-08-01,2000,8,1760857.9762848685,216134.30068486137,49443.021870245226,864464.798484743,147681.7158998537,196215.35537992895,37412.09196352933,77532.63682942037,43466.111758603874,8414.733742510798,120093.20613856765
2000-09-01,2000,9,1802064.2805924823,216234.0876798569,49096.8783477974,886027.76741266,160575.75806017235,198763.4703478322,39375.94444191218,76095.60416860064,44351.23762889106,7959.228553397724,123584.30395136189
