fecha,año,trimestre,periodo,IPRI_total_industria_2021,IPRI_industrias_extractivas_2021,IPRI_industria_manufacturera_2021,IPRI_suministro_energia_electrica_gas_vapor_aire_acondicionado_2021,IPRI_energia_2021,IPRI_bienes_equipo_2021,IPRI_bienes_intermedios_2021,IPRI_bienes_consumo_2021,IPRI_bienes_consumo_duradero_2021,IPRI_bienes_consumo_no_duradero_2021,IPRI_total_industria_2025,IPRI_industrias_extractivas_2025,IPRI_industria_manufacturera_2025,IPRI_suministro_energia_electrica_gas_vapor_aire_acondicionado_2025,IPRI_energia_2025,IPRI_bienes_equipo_2025,IPRI_bienes_intermedios_2025,IPRI_bienes_consumo_2025,IPRI_bienes_consumo_duradero_2025,IPRI_bienes_consumo_no_duradero_2025
1979-04-01,1979,2,1979Q2,19.63,24.38,21.65,9.95,10.54,23.9,23.13,21.88,24.88,21.32,15.64527805636179,20.189779510713915,18.211769654060493,7.497880624195423,7.922230852103325,21.13563506393014,20.29333060376972,17.6061154697244,22.122765938528115,17.06658128039384
1979-05-01,1979,2,1979Q2,19.76,24.46,21.8,9.95,10.54,24.07,23.34,22.12,24.96,21.56,15.748889169317831,20.256029812635866,18.337948196698328,7.497880624195423,7.922230852103325,21.28597221710454,20.477576147513414,17.79923556628445,22.193900234150394,17.25870039424443
1979-06-01,1979,2,1979Q2,20.1,24.46,22.17,9.95,11.23,24.82,23.48,22.28,25.28,21.71,16.01987208012593,20.256029812635866,18.64918860187165,7.497880624195423,8.440858868037985,21.94922436346218,20.60040651000921,17.927982297324483,22.478437416639498,17.37877484040105
1979-07-01,1979,3,1979Q3,20.51,25.19,22.55,9.95,12.34,24.9,23.69,22.43,25.53,21.87,16.34664559021805,20.86056381767365,18.96884090988749,7.497880624195423,9.27517350236765,22.01997125907366,20.784652053752907,18.048682357674515,22.700732090459116,17.506854249634774
1979-08-01,1979,3,1979Q3,20.86,25.27,22.92,11.27,12.82,25.31,24.11,22.67,25.69,22.11,16.62559858663815,20.926814119595598,19.280081315060812,8.492574335143962,9.635958209104805,22.382549099082503,21.153143141240292,18.241802454234563,22.84300068170367,17.698973363485358
1979-09-01,1979,3,1979Q3,21.2,25.27,23.22,11.27,12.82,25.9,24.53,23.06,26.5,22.34,16.896581497446252,20.926814119595598,19.532438400336478,8.492574335143962,9.635958209104805,22.90430745421718,21.52163422872768,18.55562261114464,23.563235424879224,17.88308751425884
1979-10-01,1979,4,1979Q4,21.4,25.27,23.52,11.37,12.87,25.98,24.81,23.46,28.04,22.58,17.055983209686314,20.926814119595598,19.784795485612143,8.567929919306728,9.673539949389923,22.975054349828664,21.767294953719272,18.87748943874472,24.93257061560805,18.075206628109424
1979-11-01,1979,4,1979Q4,21.47,25.27,23.6,11.41,12.87,26.14,25.02,23.54,27.96,22.65,17.111773808970334,20.926814119595598,19.85209070835232,8.598072152971836,9.673539949389923,23.116548141051627,21.951540497462968,18.941862804264737,24.861436319985774,18.131241369649178
1979-12-01,1979,4,1979Q4,21.68,25.43,23.82,11.41,12.87,26.39,25.23,23.77,29.01,22.73,17.279145606822397,21.059314723439496,20.037152570887805,8.598072152971836,9.673539949389923,23.337632189837507,22.13578604120666,19.126936230134785,25.795073950028165,18.195281074266042
1980-01-01,1980,1,1980Q1,22.16,25.6,24.34,11.41,12.92,26.73,25.64,24.64,31.76,23.13,17.661709716198537,21.20009661502364,20.47457151869896,8.598072152971836,9.711121689675045,23.638306496186303,22.495503531372922,19.82699658016496,28.240315362043926,18.515479597350353
1980-02-01,1980,1,1980Q1,23.11,28.27,25.32,13.28,15.57,27.06,26.48,25.19,34.03,23.36,18.418867849338817,23.41120044166868,21.298937997266133,10.0072215768156,11.702953924786412,23.930137440583664,23.232485706347695,20.26956346811507,30.258751000326033,18.699593748123835
1980-03-01,1980,1,1980Q1,23.32,28.11,25.62,13.28,15.57,27.14,26.83,25.27,33.79,23.6,18.58623964719088,23.27869983782478,21.5512950825418,10.0072215768156,11.702953924786412,24.000884336195146,23.539561612587185,20.333936833635086,30.0453481134592,18.891712861974426
1980-04-01,1980,2,1980Q2,23.39,28.75,25.62,13.33,15.57,27.39,27.04,25.27,32.9,23.67,18.6420302464749,23.808702253200373,21.5512950825418,10.044899368896983,11.702953924786412,24.221968384981025,23.723807156330878,20.333936833635086,29.253979074661373,18.947747603514177
1980-05-01,1980,2,1980Q2,23.52,29.08,25.77,13.33,15.62,27.64,27.18,25.27,32.25,23.83,18.745641359430937,24.08198474862841,21.67747362517963,10.044899368896983,11.74053566507153,24.44305243376691,23.84663751882668,20.333936833635086,28.676012922730376,19.0758270127479
1980-06-01,1980,2,1980Q2,23.66,29.89,25.92,13.33,15.62,28.14,27.39,25.27,32.66,23.83,18.85722255799898,24.752769055588146,21.803652167817464,10.044899368896983,11.74053566507153,24.885220531338668,24.03088306257037,20.333936833635086,29.040576187794542,19.0758270127479
1980-07-01,1980,3,1980Q3,24.07,29.89,26.44,13.33,17.16,28.3,27.46,25.5,33.55,23.83,19.1839960680911,24.752769055588146,22.241071115628618,10.044899368896983,12.898053265853232,25.026714322561634,24.09229824381827,20.51901025950513,29.83194522659237,19.0758270127479
1980-08-01,1980,3,1980Q3,24.34,30.37,26.59,15.06,17.74,28.39,27.88,25.66,33.71,23.99,19.39918837961518,25.15027086711984,22.36724965826645,11.348550974912872,13.334001453160624,25.10630458012455,24.460789331305655,20.64775699054516,29.974213817836926,19.203906421981625
1980-09-01,1980,3,1980Q3,24.62,30.37,26.89,15.06,17.74,28.63,28.23,25.9,33.95,24.22,19.62235077675126,25.15027086711984,22.619606743542114,11.348550974912872,13.334001453160624,25.318545266958992,24.76786523754515,20.840877087105213,30.187616704703764,19.388020572755103
1980-10-01,1980,4,1980Q4,24.82,30.62,27.19,15.06,17.64,28.8,28.65,26.29,34.68,24.61,19.781752488991323,25.35730306062593,22.87196382881778,11.348550974912872,13.258837972590385,25.468882420133394,25.136356325032533,21.15469724401529,30.83671715225703,19.70021413276231
1980-11-01,1980,4,1980Q4,24.96,30.7,27.27,15.06,17.64,29.05,28.72,26.45,34.52,24.85,19.893333687559362,25.423553362547874,22.939259051557954,11.348550974912872,13.258837972590385,25.689966468919273,25.197771506280432,21.28344397505532,30.694448561012482,19.892333246612896
1980-12-01,1980,4,1980Q4,25.16,30.78,27.57,15.06,17.64,29.55,28.93,26.69,34.36,25.16,20.05273539979942,25.48980366446983,23.19161613683362,11.348550974912872,13.258837972590385,26.132134566491033,25.382017050024125,21.47656407161537,30.552179969767927,20.14048710200324
1981-01-01,1981,1,1981Q1,25.92,30.86,28.31,15.2,19.07,30.71,29.35,27.16,34.6,25.56,20.658461906311647,25.556053966391772,23.81409694718026,11.454048792740746,14.333675744744824,27.157964552857518,25.750508137511513,21.854757594045466,30.76558285663476,20.460685625087553
1981-02-01,1981,1,1981Q1,26.19,34.67,28.54,16.16,19.6,30.96,29.7,27.24,34.52,25.79,20.87365421783573,28.71122459542459,24.00757071255827,12.17746240070332,14.732042191767095,27.379048601643397,26.057584043751003,21.91913095956548,30.694448561012482,20.64479977586103
1981-03-01,1981,1,1981Q1,26.39,35.15,28.76,16.16,19.6,31.12,30.05,27.47,34.76,25.95,21.033055930075786,29.108726406956283,24.192632575093757,12.17746240070332,14.732042191767095,27.52054239286636,26.364659949990493,22.104204385435526,30.90785144787931,20.772879185094755
1981-04-01,1981,2,1981Q2,27.35,35.48,29.74,17.39,23.14,31.37,30.47,27.79,35.17,26.34,21.79818414882807,29.38200890238432,25.016999053660932,13.104336085905368,17.3928294039536,27.74162644165224,26.73315103747788,22.36169784751559,31.27241471294348,21.08507274510196
1981-05-01,1981,2,1981Q2,27.49,35.48,29.96,17.39,23.14,31.46,30.81,27.94,35.09,26.5,21.909765347396107,29.38200890238432,25.202060916196416,13.104336085905368,17.3928294039536,27.821216699215157,27.031453346396244,22.48239790786562,31.201280417321207,21.213152154335685
1981-06-01,1981,2,1981Q2,27.76,35.56,30.26,17.39,23.2,32.29,31.02,28.1,35.25,26.73,22.12495765892019,29.44825920430627,25.454418001472085,13.104336085905368,17.437927492295742,28.555215741184277,27.21569889013994,22.611144638905657,31.34354900856576,21.397266305109166
1981-07-01,1981,3,1981Q3,27.97,36.37,30.49,17.39,23.3,32.53,31.23,28.42,35.01,27.12,22.29232945677225,30.119043511266003,25.647891766850094,13.104336085905368,17.513090972865985,28.767456428018722,27.399944433883633,22.86863810098572,31.130146121698925,21.709459865116372
