fecha,año,trimestre,IPC_2021,IPC_1986,IPC_2001,IPC_2025,inflacion_yoy,inflacion_qoq,diferencial_bases_2021_2025
1987-04-01,1987.0,2.0,40.449999999999996,104.44100180738447,54.778133887058196,31.90880943459483,5.644078405062729,0.04134791810230798,-8.541190565405168
1987-07-01,1987.0,3.0,40.96666666666667,105.77502366812979,55.47781338870584,32.31637972403548,4.623337063182927,0.6317808020590121,-8.650286942631192
1987-10-01,1987.0,4.0,41.443333333333335,107.00576641707549,56.12332415474203,32.69239618461619,4.637315369069861,0.24270726115511362,-8.750937148717137
1988-01-01,1988.0,1.0,41.949999999999996,108.31396849987091,56.80946147248681,33.09207801684186,4.405143451051148,0.5432679990402756,-8.857921983158143
1988-04-01,1988.0,2.0,42.096666666666664,108.69265857646958,57.008080169728714,33.207775389328226,4.070933660705507,0.016280765723338437,-8.888891277338436
1988-07-01,1988.0,3.0,43.169999999999995,111.46398140975988,58.46160790863541,34.05446979706944,5.377434857970212,1.0551004249511091,-9.115530202930563
1988-10-01,1988.0,4.0,43.71333333333333,112.86685601170497,59.19739990069066,34.48307597241669,5.4771383480016675,0.29061987265421124,-9.230257360916639
1989-01-01,1989.0,1.0,44.56333333333333,115.0615371374473,60.348485532433536,35.15359483569001,6.2301462824046885,0.6192205374376666,-9.40973849764332
1989-04-01,1989.0,2.0,45.00666666666667,116.2062139598933,60.94885568546022,35.503316438887474,6.912462816931911,0.3193315264469125,-9.5033502277792
1989-07-01,1989.0,3.0,46.156666666666666,119.1754884241329,62.506206834288825,36.410489018610185,6.920301790233485,0.9731572709808253,-9.746177648056479
1989-10-01,1989.0,4.0,46.81333333333333,120.87098717617694,63.39547691057646,36.92849770906056,7.092243911878216,0.3143387942742419,-9.884835624272782
1990-01-01,1990.0,1.0,47.68,123.10870126516913,64.5691328488241,37.6121640010255,6.9936765298690275,0.6631339529842665,-10.0678359989745
1990-04-01,1990.0,2.0,48.050000000000004,124.0640330493158,65.07019365322981,37.904036917979774,6.762436795002148,0.1737560890744616,-10.145963082020229
1990-07-01,1990.0,3.0,49.10999999999999,126.80092951200622,66.5056651469327,38.740213382767664,6.398218294286344,0.9402933020494553,-10.369786617232336
1990-10-01,1990.0,4.0,49.97,129.02143041569843,67.67029296257844,39.41862070325596,6.7434650066107755,0.34963955559406124,-10.55137929674404
1991-01-01,1991.0,1.0,50.626666666666665,130.7169291677425,68.55956303886607,39.93662939370633,6.181674436690398,0.44576859259290263,-10.690037272960337
1991-04-01,1991.0,2.0,50.96666666666667,131.59480161803944,69.01999729156324,40.20483693901566,6.069985289027343,0.26225016702787024,-10.761829727651012
1991-07-01,1991.0,3.0,52.02,134.31448489542993,70.44644066266422,41.0357544323269,5.926234710651819,0.8157430714670566,-10.984245567673101
1991-10-01,1991.0,4.0,52.75333333333333,136.20793527842326,71.43953414887375,41.614241294758784,5.570091197797662,0.27323960115361867,-11.139092038574551
1992-01-01,1992.0,1.0,53.94333333333333,139.28048885446253,73.05105403331379,42.552967703341416,6.551166305467393,0.8713006274527461,-11.390365629991914
1992-04-01,1992.0,2.0,54.23,140.02065582235994,73.4392633051957,42.77910347683752,6.4032067564404755,0.049299301909688786,-11.450896523162482
1992-07-01,1992.0,3.0,54.923333333333325,141.81082709355368,74.37818805579381,43.32603651040947,5.580207732771858,0.6835887495699596,-11.597296822923854
1992-10-01,1992.0,4.0,55.50666666666667,143.3169808072984,75.1681487834605,43.786196514616655,5.219223187197468,0.14428824818838817,-11.720470152050012
1993-01-01,1993.0,1.0,56.22666666666667,145.17600481969188,76.14318602446622,44.35416543409523,4.234097051078526,0.4362083911596537,-11.872501232571437
1993-04-01,1993.0,2.0,56.76333333333333,146.56166623633703,76.86994989391957,44.77751263796583,4.671379022995695,0.3242739020862991,-11.985820695367506
1993-07-01,1993.0,3.0,57.446666666666665,148.32601772958085,77.79533246061483,45.31655721432281,4.595986863088915,0.5070623134071953,-12.130109452343852
1993-10-01,1993.0,4.0,58.15,150.1420087787245,78.7477993951158,45.87137870510975,4.7619980474587456,0.33930058584945577,-12.278621294890248
1994-01-01,1994.0,1.0,59.03666666666667,152.43136242361652,79.94853970116917,46.57082191150465,4.997642786750848,0.45561920587557925,-12.46584475516201
1994-04-01,1994.0,2.0,59.51,153.65349857991222,80.58953640590441,46.94420888634705,4.839011761036012,0.23612888899854725,-12.56579111365295
1994-07-01,1994.0,3.0,60.14000000000001,155.28014459075655,81.44269399178442,47.44118169089081,4.688846669489795,0.4456267767516768,-12.698818309109193
1994-10-01,1994.0,4.0,60.68666666666667,156.6916257853516,82.18300004514063,47.87241735197639,4.362336428590607,0.28078596450734256,-12.814249314690281
1995-01-01,1995.0,1.0,61.85,159.69532662019108,83.75840743917304,48.79010787465241,4.7649905593106405,0.7014304764551079,-13.059892125347588
1995-04-01,1995.0,2.0,62.56,161.52853085463465,84.7199024962759,49.350188336916005,5.125281926250924,0.22484661356637256,-13.20981166308399
1995-07-01,1995.0,3.0,62.81666666666666,162.19123848868233,85.06748521644926,49.55265873876717,4.451285005577454,0.22853440743981768,-13.2640079278995
1995-10-01,1995.0,4.0,63.336666666666666,163.53386694207765,85.77167877939785,49.96285851394614,4.36675180295439,0.2584429957604402,-13.37380815272053
1996-01-01,1996.0,1.0,64.11,165.53059643687064,86.81894100121882,50.57289920523794,3.6548185323642977,0.41290366339333434,-13.537100794762063
1996-04-01,1996.0,2.0,64.81333333333333,167.3465874860143,87.77140793571978,51.12772069602487,3.6018597635943284,0.27428753217766016,-13.68561263730846
1996-07-01,1996.0,3.0,65.11333333333333,168.1211808245116,88.1776734528055,51.364374412474284,3.6563226939104596,0.22055366142156677,-13.748958920859051
1996-10-01,1996.0,4.0,65.44,168.96462690420864,88.62005146029884,51.6220640148303,3.321149299407781,0.14792464433606156,-13.817935985169697
1997-01-01,1997.0,1.0,65.74,169.73922024270593,89.02631697738457,51.858717731279704,2.5431841275271205,0.091535377851093,-13.881282268720293
1997-04-01,1997.0,2.0,65.83333333333333,169.98020483690507,89.15271069381124,51.93234333195286,1.5738768906154554,0.05576061277589769,-13.900990001380483
1997-07-01,1997.0,3.0,66.29,171.15930802995092,89.77113709204173,52.292582878103616,1.806754240731756,0.3732163884525204,-13.997417121896381
1997-10-01,1997.0,4.0,66.72666666666667,172.286771667097,90.3624791224665,52.63704550982442,1.966126328268573,0.14501613798328186,-14.089621156842247
1998-01-01,1998.0,1.0,66.95333333333333,172.87201996729496,90.66943529093128,52.81585054003063,1.8456386006755476,0.015140182699661478,-14.137482793302697
1998-04-01,1998.0,2.0,67.16333333333334,173.41423530424308,90.95382115289128,52.98150814154522,2.020248718538394,0.14924145255569657,-14.181825191788116
1998-07-01,1998.0,3.0,67.60666666666667,174.55891212668905,91.55419130591798,53.33122974474268,1.9871347467686078,0.23753606299526572,-14.27543692192399
1998-10-01,1998.0,4.0,67.72333333333334,174.86014286943796,91.71218345145128,53.423261745584114,1.4938576509309742,0.06409086131257864,-14.30007158774922
1999-01-01,1999.0,1.0,68.20666666666666,176.10809880368365,92.3667223400894,53.80453717764149,1.8721630976362553,0.28924072732173417,-14.402129489025176
1999-04-01,1999.0,2.0,68.67666666666666,177.3216283673294,93.00320498352369,54.17529466674555,2.2532722046513687,0.13150501217995547,-14.501371999921114
1999-07-01,1999.0,3.0,69.22333333333334,178.73310956192446,93.74351103687991,54.60653032783114,2.3911138371147445,0.3482465488633772,-14.616803005502193
1999-10-01,1999.0,4.0,69.56333333333333,179.6109820122214,94.20394528957706,54.874737873140454,2.7168169031141165,0.19192741166176677,-14.688595460192873
