fecha,año,trimestre,periodo,parados_ambos_sexos_total,diferencia_parados_ambos_sexos_total,parados_ambos_sexos_menos_de_25,diferencia_parados_ambos_sexos_menos_de_25,parados_ambos_sexos_25_o_mas,diferencia_parados_ambos_sexos_25_o_mas,parados_hombres_total,diferencia_parados_hombres_total,parados_hombres_menos_de_25,diferencia_parados_hombres_menos_de_25,parados_hombres_25_o_mas,diferencia_parados_hombres_25_o_mas,parados_mujeres_total,diferencia_parados_mujeres_total,parados_mujeres_menos_de_25,diferencia_parados_mujeres_menos_de_25,parados_mujeres_25_o_mas,diferencia_parados_mujeres_25_o_mas,tasa_paro_ambos_sexos_total,tasa_paro_ambos_sexos_25_o_mas,tasa_paro_ambos_sexos_menos_de_25,tasa_paro_hombres_total,tasa_paro_hombres_25_o_mas,tasa_paro_hombres_menos_de_25,tasa_paro_mujeres_total,tasa_paro_mujeres_25_o_mas,tasa_paro_mujeres_menos_de_25,brecha_genero_paro,tasa_paro_juvenil_ratio,ratio_paro_juvenil,brecha_genero_parados,ratio_feminizacion_paro,indice_relativo_paro
1995-01-01,1995,1,1995Q1,3358.526424000206,-435.5735759997938,1063.7647736486597,-114.6352263513404,2294.7616503515465,-321.03834964845373,1664.8463572694843,-192.65364273051568,504.7720832857731,-53.327916714226944,1160.0742739837112,-139.32572601628883,1693.6800667307216,-242.91993326927832,558.9926903628865,-61.30730963711346,1134.687376367835,-181.7126236321651,21.367218543757417,17.469840357303124,41.1902456233757,16.924078353670026,13.758201750743424,35.919882654007274,28.799772270687814,24.12387153832473,47.48119944502361,11.875693917017792,2.357791758878693,31.67355677320091,28.833709461237277,50.429261316141364,115.28385751179435
1995-04-01,1995,2,1995Q2,3237.8460594820617,-430.2539405179382,998.4455375958762,-108.95446240412387,2239.4005218861857,-321.2994781138141,1600.402120910928,-190.39787908907192,467.0961583773196,-49.70384162268033,1133.3059625336084,-140.7940374663915,1637.4439385711337,-239.85606142886627,531.3493792185566,-59.250620781443445,1106.094559352577,-180.5054406474228,20.580429046966405,16.9673399857253,39.39658277785668,16.280294351346207,13.396517178644268,34.07729390080769,27.742265710248216,23.34224938424992,45.65840280622543,11.461971358902009,2.3219068404948096,30.83672043863603,37.04181766020565,50.57201326097219,111.14141639590444
1995-07-01,1995,3,1995Q3,3252.37492535464,-437.3250746453605,1029.5540113729896,-115.84598862701046,2222.820913981649,-321.37908601835034,1598.994754661031,-191.705245338969,476.1369869070103,-52.36301309298972,1122.8577677540206,-139.3422322459794,1653.3801706936083,-245.6198293063917,553.4170244659794,-63.58297553402065,1099.9631462276288,-182.0368537723712,20.51172455315163,16.752716305821615,39.78562130898744,16.16469639355584,13.223380466167177,33.999172498192955,27.72090516324907,23.025928537207054,46.61072089949104,11.556208769693232,2.374875845964265,31.65545286144176,54.38541603257727,50.83608774020183,111.64013026371653
1995-10-01,1995,4,1995Q4,3265.9152452639173,-444.4847547360828,998.4438248,-114.1561752,2267.4714204639176,-330.32857953608254,1620.070955921649,-195.72904407835065,466.3011998824742,-51.19880011752582,1153.769756039175,-144.430243960825,1645.844289342268,-248.75571065773192,532.1426249175257,-62.9573750824743,1113.7016644247424,-185.8983355752576,20.597456499645645,16.98624062696317,39.82713194140496,16.405996221653346,13.5526042179118,34.2490480304186,27.51767433448082,23.03129458776939,46.45737929962586,11.111678112827471,2.344670184301123,30.571639182856874,25.773333420618883,50.3945805614214,112.10491157373703
1996-01-01,1996,1,1996Q1,3279.634908645361,-455.6650913546391,1004.3351638901032,-117.36483610989694,2275.299744755258,-338.20025524474204,1648.0773724123712,-204.6226275876288,474.4968899292783,-53.90311007072171,1173.580482483093,-150.81951751690713,1631.55753623299,-251.04246376700985,529.8382739608248,-63.46172603917512,1101.7192622721652,-187.4807377278348,20.61841981500606,16.946335888056378,40.50007752590331,16.628807739990055,13.716493216479378,35.01830103492296,27.213228121003677,22.62062469254828,47.099319689364215,10.58442038101362,2.389901734123386,30.623383146782622,-16.519836179381173,49.74814519543268,112.57584897862793
1996-04-01,1996,2,1996Q2,3188.9233623224736,-452.97663767752647,953.0767140969072,-113.2232859030928,2235.8466482255667,-339.8533517744331,1583.767215586804,-198.63278441319608,454.7387530474227,-51.86124695257735,1129.0284625393813,-146.67153746061877,1605.15614673567,-254.34385326433,498.3379610494845,-61.36203895051551,1106.8181856861854,-193.08181431381468,19.96068289336109,16.510404271266726,39.15557420919325,15.9280363410543,13.116755494367508,34.04398891699132,26.607343437944557,22.430571225131583,45.37200558681522,10.679307096890254,2.371569682114702,29.887099996118664,21.38893114886605,50.33536289083612,109.46210930213411
1996-07-01,1996,3,1996Q3,3158.40358392866,-450.5964160713402,980.5237331849482,-115.77626681505171,2177.879850743712,-334.82014925628846,1532.6189892329896,-193.28101076701049,452.6697162138143,-51.53028378618569,1079.9492730191753,-141.85072698082467,1625.78459469567,-257.31540530432994,527.854016971134,-64.145983028866,1097.930577724536,-193.2694222754642,19.537076639740764,15.972271213441292,38.744795424625295,15.267229395565405,12.474796422667689,32.764884095342914,26.532226027577437,22.054191873822315,45.9261471380398,11.264996632012028,2.425753664389322,31.044915797787283,93.16560546268033,51.47488443112127,108.41449575397175
1996-10-01,1996,4,1996Q4,3140.160568197113,-458.7394318028869,951.5633975286598,-114.93660247134017,2188.5971706684536,-344.0028293315463,1537.5664669599998,-198.1335330400002,449.2638096008248,-51.93619039917519,1088.302657359175,-146.1973426408249,1602.5941012371136,-260.60589876288645,502.299587927835,-63.00041207216498,1100.2945133092785,-197.6054866907216,19.378132327929897,15.933644601178583,38.54256977041248,15.305920995267677,12.515695759555925,33.27722781737697,26.020387012795027,21.83039782301675,44.89629718743107,10.71446601752735,2.418942478958113,30.30301721402065,65.02763427711375,51.03541893582927,107.78829099608984
1997-01-01,1997,1,1997Q1,3095.616787379381,-456.6832126206191,915.9006651752576,-112.79933482474236,2179.716122204124,-343.9838777958762,1517.4629739628865,-198.5370260371137,435.53401293814426,-51.86598706185572,1081.928961024742,-146.871038975258,1578.153813416495,-258.1461865835049,480.3666522371134,-60.93334776288657,1097.7871611793817,-197.31283882061825,19.082693263481712,15.801438081134531,37.725529872080365,15.10896169873702,12.416371519748374,32.75100566693075,25.542033282228072,21.60748603168432,43.75056849480478,10.433071583491053,2.3874744613986234,29.587017001242604,60.69083945360853,50.98027055062244,106.25929338447904
1997-04-01,1997,2,1997Q2,3016.197452916701,-453.7025470832991,873.0827040651545,-108.91729593484548,2143.1147488515467,-344.6852511484535,1458.371176420619,-195.52882357938145,410.5282738548454,-50.57172614515463,1047.842902565773,-144.85709743422672,1557.8262764960823,-258.1737235039175,462.5544302103092,-58.34556978969079,1095.271846285773,-199.82815371422657,18.51370897129391,15.426509988328077,36.39083853788253,14.481945429983774,11.973236196540466,31.132979778654164,25.03929433491742,21.30517700177832,42.807138379903904,10.557348904933647,2.3589806485988327,28.94647043816288,99.4551000754634,51.64868351008136,103.53316707728386
1997-07-01,1997,3,1997Q3,2971.37746124701,-455.92253875299,874.0372958797939,-111.56270412020616,2097.3401653672163,-344.3598346327836,1388.9884581962883,-188.11154180371136,398.9383030839175,-49.761696916082485,990.050155112371,-138.34984488762905,1582.3890030507214,-267.81099694927866,475.0989927958763,-61.70100720412364,1107.2900102548451,-206.10998974515496,18.09919803974216,15.03411438199324,35.43580295095566,13.708265880852982,11.26304869192559,29.7218684765082,25.17847744387345,21.457486896424747,42.2573528785624,11.470211563020472,2.357026297032705,29.41522264603108,193.40054485443306,53.254392068607594,101.99468832767371
1997-10-01,1997,4,1997Q4,2943.3586147294845,-463.4413852705157,851.3976743562887,-111.90232564371128,2091.960940373196,-351.6390596268038,1379.5658478127834,-192.1341521872166,387.2822672098969,-49.11773279010311,992.2835806028868,-143.11641939711342,1563.792766916701,-271.30723308329857,464.11540714639176,-62.78459285360822,1099.6773597703095,-208.62264022969043,17.862506795017826,14.890714912525407,35.04851348015141,13.578316011699574,11.235242986922964,29.156624067819315,24.752592831130936,21.07962989278744,42.15722698889226,11.174276819431364,2.3537159690479443,28.92605984522678,184.22691910391768,53.129535731425804,101.03292108163133
1998-01-01,1998,1,1998Q1,2829.3473818461857,-453.0526181538144,813.5834045950514,-106.6165954049486,2015.7639772511343,-346.5360227488659,1328.4062157150515,-191.09378428494847,376.7780673620618,-48.62193263793819,951.6281483529898,-142.57185164701025,1500.941166131134,-261.858833868866,436.8053372329896,-58.19466276701036,1064.1358288981444,-203.8641711018556,17.186884124741443,14.314102238142905,34.187287928142034,13.067396599214174,10.755378348434396,28.58975171475778,23.837928863764663,20.329522868984075,41.13411261037399,10.77053226455049,2.388364101315617,28.75516134269019,172.53495041608244,53.04902380533246,97.11940275033669
1998-04-01,1998,2,1998Q2,2728.989965925773,-448.0100340742265,778.4582597979381,-104.44174020206184,1950.5317061278352,-343.66829387216467,1239.594225173196,-181.00577482680387,354.6798460762887,-46.920153923711325,884.9143790969073,-134.18562090309274,1489.3957407525772,-267.00425924742285,423.77841372164943,-57.42158627835056,1065.6173270309278,-209.5826729690723,16.49615323010078,13.773743319825796,32.68006802923335,12.1300583770066,9.94574762276866,26.831473914144183,23.551498163648887,20.244192775435703,39.9723676917754,11.421439786642289,2.3726351849605014,28.525508320579572,249.8015155793812,54.576812643109875,93.67456159781699
1998-07-01,1998,3,1998Q3,2702.4688979643297,-447.5311020356703,783.2538860993815,-106.74611390061852,1919.2150118649483,-340.78498813505166,1203.872945764742,-173.7270542352578,356.31147700247425,-47.48852299752576,847.5614687622679,-126.1385312377322,1498.5959521995878,-273.80404780041226,426.9424090969072,-59.1575909030928,1071.6535431026805,-214.64645689731947,16.134076309935455,13.448908180100174,31.585952561261195,11.63007991376937,9.450256002128228,25.76717672135988,23.42033382105672,20.213190492357928,38.9211325550264,11.790253907287353,2.348588609445464,28.982901031326495,294.72300643484573,55.45284733261593,92.76420668797351
1998-10-01,1998,4,1998Q4,2646.40283548,-451.39716451999993,752.6445350956701,-105.55546490432994,1893.75830038433,-345.9416996156697,1178.7030516771133,-174.3969483228866,333.6346878441237,-45.165312155876336,845.0683638329897,-129.2316361670103,1467.699783802887,-277.0002161971131,419.0098472515464,-60.3901527484536,1048.6899365513405,-216.5100634486596,15.782080508469882,13.201376107042284,31.05809034562049,11.393165315005218,9.390829265037056,24.771762329508476,22.85140177503515,19.615283663942197,38.92660851453804,11.458236460029932,2.35264036823044,28.440285998981587,288.99673212577363,55.46018029173847,90.83969839394842
1999-01-01,1999,1,1999Q1,2458.030776852577,-430.6692231474226,694.928312463299,-99.77168753670104,1763.102464389278,-330.9975356107218,1111.035733959381,-169.1642660406187,316.47131382,-43.628686180000045,794.5644201393814,-125.43557986061865,1346.9950428931957,-261.50495710680434,378.456998643299,-56.143001356701006,968.5380442498968,-205.2619557501032,14.64653992068178,12.265229165806032,28.866002317312745,10.741145776875896,8.828920857117167,23.543971707045305,20.92063616238739,18.01851445976388,35.59077517016011,10.179490385511492,2.3534825095472045,28.27174984981801,235.95930893381455,54.79976311028847,84.37369073927533
1999-04-01,1999,2,1999Q2,2260.32082078433,-401.5791792156701,626.2864125138144,-91.41358748618563,1634.0344082705155,-310.1655917294845,978.1935922762888,-149.80640772371123,274.3181168849485,-38.38188311505149,703.8754753913403,-111.32452460865976,1282.1272285080413,-251.7727714919588,351.968295628866,-53.031704371134026,930.1589328791752,-198.94106712082464,13.385196834676789,11.267621923022228,26.261740222414424,9.423019160933269,7.779111912603407,20.586445573154897,19.707366695657967,17.055998556672847,33.44853181369677,10.2843475347247,2.3307260752826573,27.7078548653325,303.93363623175253,56.72324108677387,77.587152976417
1999-07-01,1999,3,1999Q3,2256.217430295877,-402.78256970412303,635.4167818237114,-94.18321817628862,1620.8006484721654,-308.59935152783464,956.3826098876292,-145.31739011237084,271.865813328866,-38.83418667113398,684.5167965587632,-106.4832034412368,1299.8348204082477,-257.4651795917523,363.5509684948454,-55.1490315051546,936.283851913402,-202.21614808659783,13.190383695837308,11.097041405142791,25.424636487917603,9.094130094300116,7.503513649909935,19.504446606634907,19.728738723243257,17.075862365057066,32.887118366710325,10.63460862894314,2.291118466597309,28.16292318690153,343.45221052061845,57.61123918973489,77.44630111918414
1999-10-01,1999,4,1999Q4,2266.58282676866,-412.7171732313405,626.4064641369073,-94.09353586309273,1640.1763626317525,-318.6236373682475,971.6769058919588,-151.52309410804128,268.2331467204124,-39.866853279587644,703.4437591715464,-111.5562408284536,1294.9059208767007,-261.1940791232992,358.17331741649485,-54.12668258350516,936.732603460206,-207.067396539794,13.157624845342117,11.096460923362152,25.616685406260643,9.244137649416295,7.671356775569266,19.993032176948027,19.28347722484834,16.69358545744684,32.44989815978154,10.039339575432043,2.308545542870164,27.636601528034156,323.229014984742,57.13031553860202,77.80210087751934
