fecha,año,trimestre,periodo,inactivos_estudiantes_ambos_sexos,inactivos_estudiantes_hombres,inactivos_estudiantes_mujeres,inactivos_incapacidad_permanente_ambos_sexos,inactivos_incapacidad_permanente_hombres,inactivos_incapacidad_permanente_mujeres,inactivos_labores_hogar_ambos_sexos,inactivos_labores_hogar_hombres,inactivos_labores_hogar_mujeres,inactivos_otra_causa_ambos_sexos,inactivos_otra_causa_hombres,inactivos_otra_causa_mujeres,inactivos_pensionistas_ambos_sexos,inactivos_pensionistas_hombres,inactivos_pensionistas_mujeres,inactivos_total_ambos_sexos,inactivos_total_hombres,inactivos_total_mujeres,share_labores_hogar,share_pensionistas,share_estudiantes,ratio_feminizacion_inactividad
1992-07-01,1992,3,1992Q3,2345.0,1091.2,1253.8,567.4,311.4,256.1,6003.4,18.1,5985.3,1106.0569191657748,769.531878156908,336.5250410088669,5539.6,2895.9,2643.7,15561.456919165776,5086.231878156908,10475.225041008867,38.57865000163386,35.598209272920506,15.069283115206616,67.31519481384413
1992-10-01,1992,4,1992Q4,2647.6,1226.9,1420.6,579.2,310.0,269.2,5891.4,16.8,5874.6,946.5942191344328,686.5315971744315,260.0626219600006,5571.1,2925.5,2645.6,15635.794219134434,5165.631597174432,10470.16262196,37.67893026367889,35.63042543232195,16.93294221511292,66.96278088098046
1993-01-01,1993,1,1993Q1,2772.7,1283.4,1489.2,590.8,323.9,266.9,5873.8,17.3,5856.4,956.8451571179407,689.5519928084525,267.393164309486,5579.0,2940.9,2638.1,15773.04515711794,5255.151992808453,10517.993164309486,37.23948002107454,35.37046869787443,17.578723527262312,66.68291618151397
1993-04-01,1993,2,1993Q2,2820.0,1304.3,1515.7,586.6,320.7,265.9,5799.8,14.2,5785.5,948.1304317896931,665.892561649485,282.23787014020456,5606.4,2949.1,2657.3,15760.830431789693,5254.192561649485,10506.737870140205,36.79882240406424,35.57172970208382,17.892458219156033,66.66318283435974
1993-07-01,1993,3,1993Q3,2512.7,1182.4,1330.2,580.7,321.7,259.0,5872.6,23.4,5849.2,1111.11173340474,761.2201092451556,349.7916241595893,5627.9,2954.3,2673.6,15704.91173340474,5243.120109245156,10461.791624159589,37.39339704475278,35.835285772598866,15.999453181614667,66.61477505732869
1993-10-01,1993,4,1993Q4,2745.1,1273.1,1472.0,581.4,329.2,252.2,5761.4,17.4,5744.0,969.7333440997924,690.3782723797927,279.45507172000106,5695.9,2998.0,2697.9,15753.533344099793,5308.078272379793,10445.55507172,36.572112897820666,36.156333157686795,17.42529717009885,66.30568862155329
1994-01-01,1994,1,1994Q1,2809.4,1296.8,1512.6,590.4,333.0,257.4,5722.6,19.8,5702.9,980.6377331183523,695.2697320150521,285.36800110330006,5742.6,3028.1,2714.5,15845.837733118353,5372.969732015052,10472.7680011033,36.11421558381585,36.24043169391901,17.72957698619024,66.0920190494805
1994-04-01,1994,2,1994Q2,2847.2,1324.7,1522.6,611.0,350.1,260.9,5627.3,21.9,5605.5,1008.352712952163,699.1231590131968,309.2295539389699,5768.8,3022.7,2746.1,15862.652712952164,5418.323159013196,10444.32955393897,35.47515098407973,36.36718337336897,17.94907857798088,65.84226322632009
1994-07-01,1994,3,1994Q3,2505.9,1182.7,1323.2,591.0,342.8,248.1,5737.1,27.2,5709.9,1243.328541123711,838.0476782216487,405.28086290206267,5825.2,3068.5,2756.7,15902.42854112371,5459.247678221649,10443.280862902062,36.076879610959104,36.63088304365601,15.757970510728835,65.67056827406968
1994-10-01,1994,4,1994Q4,2864.3,1352.2,1512.1,627.6,368.3,259.3,5613.1,25.4,5587.7,1028.1105503059794,701.8955573492804,326.0149929567,5831.4,3066.5,2764.9,15964.41055030598,5514.29555734928,10450.0149929567,35.1600830003236,36.52749960059272,17.9417836378876,65.45860505548991
1995-01-01,1995,1,1995Q1,2952.9,1389.5,1563.5,653.2,383.1,270.1,5582.8,29.8,5553.0,1010.2735759997948,692.1536427305155,318.4199332692791,5820.8,3063.5,2757.3,16020.073575999795,5557.853642730515,10462.319933269278,34.848778774423224,36.33441489757159,18.43249961363372,65.30715715179973
1995-04-01,1995,2,1995Q2,3007.1,1414.7,1592.5,665.2,380.5,284.7,5556.8,25.1,5531.6,1002.1539405179392,685.3978790890717,316.55606142886535,5847.1,3094.0,2753.1,16078.25394051794,5599.697879089072,10478.456061428866,34.56096676018164,36.36651107534158,18.702901516077997,65.1720097978569
1995-07-01,1995,3,1995Q3,2298.4,1080.6,1217.8,680.0,390.2,289.8,5658.7,29.0,5629.7,1543.1250746453593,981.50524533897,561.5198293063917,5847.2,3091.9,2755.3,16027.42507464536,5573.20524533897,10454.119829306392,35.30635753182712,36.482466601887275,14.340419557699022,65.22685339329908
1995-10-01,1995,4,1995Q4,2961.8,1390.9,1570.8,672.8,381.2,291.6,5543.5,31.9,5511.6,1050.9847547360828,715.129044078353,335.8557106577315,5871.4,3106.2,2765.2,16100.384754736082,5625.329044078353,10475.05571065773,34.430854196632325,36.467451489150726,18.39583367179321,65.06090301709338
1996-01-01,1996,1,1996Q1,3017.5,1397.0,1620.4,682.1,380.1,302.0,5516.3,36.2,5480.2,1039.7650913546372,705.6226275876277,334.14246376701124,5899.0,3124.9,2774.1,16154.765091354637,5643.922627587628,10510.84246376701,34.146581326348695,36.51554180231876,18.678699336920975,65.06341877661829
1996-04-01,1996,2,1996Q2,3090.6,1437.0,1653.6,666.7,362.7,304.0,5491.9,41.0,5450.9,1005.776637677526,670.1327844131965,335.6438532643322,5935.0,3155.5,2779.5,16189.976637677526,5666.332784413196,10523.643853264331,33.921605465564284,36.658484028865054,19.089589004146646,65.0009823286191
1996-07-01,1996,3,1996Q3,2386.0,1114.0,1272.0,629.1,347.5,281.6,5620.5,51.8,5568.7,1479.0964160713388,934.4810107670098,544.5154053043286,5990.0,3177.9,2812.1,16104.59641607134,5625.68101076701,10478.91540530433,34.89997423587161,37.19435026650137,14.815646032699878,65.0678547575837
1996-10-01,1996,4,1996Q4,2980.2,1392.7,1587.5,650.9,367.8,283.0,5501.9,49.0,5453.0,1040.0394318028866,692.5335330400003,347.70589876288795,5997.9,3171.3,2826.5,16170.939431802886,5673.3335330400005,10497.705898762888,34.0233789335676,37.090609517738436,18.429356022068408,64.91670460043218
1997-01-01,1997,1,1997Q1,3072.9,1430.6,1642.2,672.9,376.9,296.0,5439.9,40.7,5399.2,1023.6832126206172,670.9370260371134,352.64618658350446,6049.1,3211.0,2838.1,16258.383212620618,5730.137026037113,10528.146186583504,33.459046504558096,37.206036546760494,18.900403316946377,64.75558365480403
