fecha,año,mes,ed_pasivo_total,ed_pasivo_depositos_total,ed_pasivo_depositos_esp,ed_pasivo_depositos_sector_publico,ed_pasivo_sector_privado,ed_pasivo_deposito_resto_mundo,ed_pasivo_deuda_emitida,ed_pasivo_patrimonio_ajustes,ec_efc_pasivo_obra_social,ed_pasivo_periodificacion_otros
2010-04-01,2010,4,4244968.779729625,3024749.3691576435,371605.723443274,101079.01681363345,1862491.790666658,689572.8382340784,542028.0611395616,358760.2255346704,5086.538499679966,314344.5853980691
2010-05-01,2010,5,4286105.6950593665,3071990.183746594,425447.67747293774,90873.83896460883,1874674.4534008517,680994.2139081958,520012.94151037786,361353.6327763438,5209.6058760510905,327539.33115
2010-06-01,2010,6,4275218.137024227,3074265.0197307407,436236.2623633514,93412.66870284773,1903739.0631743174,640877.0254902241,505562.66559257783,361061.6100433535,5219.561225799596,329109.2804317554
2010-07-01,2010,7,4254000.946825995,3049836.795823887,425662.63790103,103224.97704306756,1892087.3289332106,628861.8519465792,502287.1957712936,367916.99457652896,5230.992084774256,328728.96856951114
2010-08-01,2010,8,4284553.491907564,3038772.2945412006,404499.8231771531,94398.0997459012,1882971.230106542,656903.1415116043,500061.44964268594,374761.3809634568,5166.68052874481,365791.6862314755
2010-09-01,2010,9,4232858.87878668,3010086.4729357385,345929.6521999682,98818.09859120655,1902571.5892549478,662767.1328896161,499955.7523321631,370598.9974840676,5003.410316602832,347214.2457181084
2010-10-01,2010,10,4197522.399403533,2991893.0887037963,343319.51260361105,117434.66280919877,1867291.344069241,663847.569221745,502059.6579026622,365280.69960205595,4835.452398023195,333453.5007969953
2010-11-01,2010,11,4153467.6672617705,2964623.590755977,324794.92895480763,115129.5576236238,1864939.5777933318,659759.5263842143,501526.7617487943,361652.9909727116,4635.576570960471,321028.7472133271
2010-12-01,2010,12,4121109.109953257,2965559.4814714952,311961.7338256643,99467.96363600832,1894713.3968116725,659416.38719815,498686.67959880136,356571.74554882746,4250.838625403856,296040.36470872845
2011-01-01,2011,1,4119084.2583646458,2948100.0397274545,296851.8180836221,97578.0620312336,1872581.686363727,681088.4732488714,498820.28252881893,358452.91492104984,4193.633930656169,309517.38725666667
2011-02-01,2011,2,4108568.5673950408,2949693.4271523543,304088.83157638676,114770.44285509072,1872622.489811655,658211.6629092221,506017.2409065221,359964.9721162053,4092.2654480968868,288800.66177186224
2011-03-01,2011,3,4089433.6837541633,2946600.937971586,298437.3771310626,111035.72317795067,1872944.7934131192,664183.0442494536,505408.8654901124,353784.7801045223,4204.121169858451,279434.9790180839
2011-04-01,2011,4,4033798.626932308,2904177.633084498,313444.7536428608,101488.58276207853,1826236.698383095,663007.5982964637,496539.842858347,349525.7982590974,4718.964493575247,278836.38823679066
2011-05-01,2011,5,4101980.72485982,2942263.000459563,323815.16791845753,98328.59636696658,1831465.245365861,688653.9908082776,494338.2609307198,382500.2873744473,4694.876401079691,278184.2996940103
2011-06-01,2011,6,4163200.9082108177,2978182.05165794,325311.5156326331,96978.11394001648,1854934.5345632017,700957.8875220884,487839.2579855061,409544.8642595768,4655.555039465555,282979.17926832975
2011-07-01,2011,7,4185266.5138411843,2967119.2479839786,337690.2171230459,108480.89374013872,1826255.4991112174,694692.6380095766,483613.9728440832,423591.8504699503,4539.8461648721395,306401.59637830005
2011-08-01,2011,8,4177244.8306853473,2932406.64779286,349046.8292017113,74976.8181100455,1821736.187789215,686646.8126918881,479711.86552716885,432639.8957351618,4461.289264166064,328025.13236599107
2011-09-01,2011,9,4191535.5655232337,2918131.853938241,336465.7087924961,87875.13816356368,1813445.5682968027,680345.4386853791,470664.28826116555,440829.90821480146,4352.804990923156,357556.71011810214
2011-10-01,2011,10,4141734.543537791,2876213.33127684,364623.8265791117,82086.56975148398,1769262.3062736928,660240.6286725515,470965.47559848026,441986.88567019755,4247.324913161397,348321.5260791117
2011-11-01,2011,11,4117949.5929528847,2860298.9885272905,371375.49931393337,92949.2310121802,1752164.045158954,643810.213042223,470238.9284276832,435712.0121884109,4097.741671185404,347601.9221383141
2011-12-01,2011,12,4194472.082218848,2897620.32190988,438860.65921350406,85780.75134157081,1752982.2220230582,619996.6893317469,475710.5467325664,451843.51084872236,3900.1273821897585,365397.5753454901
2012-01-01,2012,1,4268092.615980622,2911955.6400084146,447024.56087287696,94241.89805285641,1747223.988442769,623465.1926399125,487278.6873187339,472616.93312045804,3890.4821787956766,392350.8733542203
2012-02-01,2012,2,4283771.937840257,2953251.7522316966,505886.19098884315,93738.06949709512,1748472.9720242415,605154.5197215166,481730.4907000257,474898.6101484062,3774.9692992030846,370116.1154609254
2012-03-01,2012,3,4327079.840750281,3019160.3013574206,619569.1892811767,92500.7273206261,1745539.390302906,561550.9944527118,476431.30514326936,469470.58082657546,3773.4299482688184,358244.22347474727
2012-04-01,2012,4,4206728.405100675,2918756.1637184727,602128.1216872481,83246.8382320709,1684012.9750282029,549368.2287709508,458073.941160279,461608.98467060336,3675.15045505137,364614.1650962681
2012-05-01,2012,5,4290031.391160152,2961590.621474707,645907.8591853691,99577.41588526325,1680525.0134288378,535580.3329752369,449079.21359718574,456936.679838385,4217.847796525116,418207.0284533488
2012-06-01,2012,6,4304893.650685701,3003406.00217183,720993.9893814806,85402.51529080345,1689693.0804402225,507316.41705932294,433794.4365671047,472449.4588136434,4197.08295879232,391046.67017433053
2012-07-01,2012,7,4276393.4736074,2942764.9196082866,750112.9951496405,77115.46319279275,1635451.1027782874,480085.3584875659,437820.4987055562,474416.6245880015,4119.306830632091,417272.1238749241
2012-08-01,2012,8,4198383.7364985645,2875622.625481819,752498.5924974567,68344.06727598711,1608302.4608405267,446477.5048678485,433906.62258501205,476037.98890967463,4041.748325946817,408774.75119611196
2012-09-01,2012,9,4174885.743001397,2861856.955597706,705573.791762419,91403.6971949626,1614942.8922593766,449936.5743809477,421461.8410345886,484074.3476806983,3926.8158347132176,403565.78285369085
2012-10-01,2012,10,4098579.5433605975,2811537.8532542037,685159.0434137819,83082.81769602413,1600863.5192338296,442432.47291056765,410583.38289066363,481957.78202029964,3829.464254673128,390671.06094075757
2012-11-01,2012,11,4097187.7597619575,2813236.793207764,683871.899112547,92066.19241926618,1620407.854783051,416890.84689289954,403013.7575550603,481173.8125756585,3685.9188456129923,396077.477577862
2012-12-01,2012,12,4085145.0262492336,2790863.975534043,657452.7309211282,84480.04985274618,1636087.6606675657,412843.5340926027,406983.85851355764,488290.35896034143,2605.7062761256807,396401.1269651657
2013-01-01,2013,1,4045221.4654717324,2761175.1506404122,591216.3286447724,84977.00013617684,1650885.073232107,434096.7486273556,406926.1986593324,493820.0324236919,2240.9192657127105,381059.16448258323
2013-02-01,2013,2,4041957.9506752975,2779586.301322726,575303.139037176,104161.8216158811,1652903.6612010156,447217.67946865305,393937.9309630241,483132.26196967874,2179.2275792304613,383122.2288406385
2013-03-01,2013,3,4052393.357423721,2797791.9836146175,558719.0143611776,109160.38916863594,1669929.4762011915,459983.1038836125,386270.5581740453,482276.74055426766,2133.5226843902683,383920.5523964004
2013-04-01,2013,4,4008645.267649563,2742967.453972084,550753.5931264405,95953.88978531692,1637792.7338281097,458467.2372322174,373257.6008340205,487831.94756328233,2105.4777049721833,402482.78757520363
2013-05-01,2013,5,3923304.0943753347,2694232.6489799703,508636.8475569906,108158.11773235003,1638313.846923748,439123.8367668815,348219.169222583,510352.14318750624,2053.042714427367,368447.0902708478
