fecha,año,mes,trimestre,periodo,ipi_constantes_2025_total_industria,ipi_constantes_2025_energia,ipi_constantes_2025_bienes_equipo,ipi_constantes_2025_bienes_intermedios,ipi_constantes_2025_bienes_consumo
1988-08-01,1988,8,3,1988T3,69.21130171666667,93.31659400000001,24.878547458333326,66.19975578333333,90.21495074999999
1988-09-01,1988,9,3,1988T3,123.90205677499998,94.53660136666666,152.7835236666666,101.83508169999999,118.57202025000001
1988-10-01,1988,10,4,1988T4,124.05638384999997,98.04362363333333,150.58865704166664,109.43857631666665,110.78743425000002
1988-11-01,1988,11,4,1988T4,130.0814132333333,108.2600212,155.564140375,112.57070091666668,117.73813499999999
1988-12-01,1988,12,4,1988T4,116.1769201833333,122.28811026666665,132.29584025,100.79104016666668,101.47426574999999
1989-01-01,1989,1,1,1989T1,123.74647500833333,128.6914859,140.34481533333332,109.58788793333333,106.89514125000001
1989-02-01,1989,2,1,1989T1,121.27473242499998,111.91871286666667,144.002926375,108.39567456666667,105.64369199999997
1989-03-01,1989,3,1,1989T1,127.1454347333333,109.32702873333335,149.85703483333333,115.99916918333331,112.73358074999999
1989-04-01,1989,4,2,1989T2,125.44658221666666,106.73534459999999,149.85703483333333,114.06153751666666,113.01195675
1989-05-01,1989,5,2,1989T2,128.69121486666666,98.80596193333334,157.17438770833334,116.4471040333333,118.98834149999996
1989-06-01,1989,6,2,1989T2,132.39882874166665,99.56830023333333,164.051862625,118.08725225000002,123.57533174999999
1989-07-01,1989,7,3,1989T3,128.53563309999996,103.68599139999999,153.22340162499998,109.58788793333332,119.12752950000001
1989-08-01,1989,8,3,1989T3,73.84613273333332,99.11063116666666,31.61015025,72.90966026666666,90.77046000000001
1989-09-01,1989,9,3,1989T3,128.99986901666668,94.99427043333331,157.02738479166663,107.65025626666667,124.13208374999998
1989-10-01,1989,10,4,1989T4,131.93459282499998,103.22832233333331,153.22340162499998,119.42877723333334,123.99289574999997
1989-11-01,1989,11,4,1989T4,133.7890271083333,107.04001383333332,159.80800150000002,119.130154,121.76837324999998
1989-12-01,1989,12,4,1989T4,114.01383175,119.54342629999998,122.34374279166667,103.17660668333332,100.77832574999998
1990-01-01,1990,1,1,1990T1,128.99986901666665,129.7598238666667,143.4183070833333,113.91222589999998,115.23523650000001
1990-02-01,1990,2,1,1990T1,121.4290595,105.51533723333333,142.68555408333333,109.29040448333332,110.64824624999999
1990-03-01,1990,3,1,1990T1,133.32604588333334,114.20705819999999,154.24676808333328,120.17419553333333,123.01982250000002
1990-04-01,1990,4,2,1990T2,118.03135446666667,107.0400138333333,130.09984283333333,108.39567456666666,110.09273699999997
1990-05-01,1990,5,2,1990T2,131.625938675,101.24597666666665,153.95502383333329,118.3847357,124.409217
1990-06-01,1990,6,2,1990T2,131.625938675,102.61765343333332,151.32027924999997,118.68335893333331,124.826781
1990-07-01,1990,7,3,1990T3,128.22697894999996,100.02596929999999,150.14990987499993,106.15941966666668,122.04674925
1990-08-01,1990,8,3,1990T3,73.53747858333332,98.34829286666665,30.73265591666666,70.82271698333332,91.32596925
1990-09-01,1990,9,3,1990T3,125.90956344166666,98.65429253333332,146.05192087499995,102.87912323333332,122.04674924999999
1990-10-01,1990,10,4,1990T4,129.92708615833334,103.68599139999999,143.12543204166664,114.65764420000001,126.21741825000001
1990-11-01,1990,11,4,1990T4,134.09768125833332,114.3587276,152.9305265833333,115.99916918333332,126.4945515
1990-12-01,1990,12,4,1990T4,113.550850525,131.58916969999999,117.36825945833331,99.5988268,102.586527
1991-01-01,1991,1,1,1991T1,127.45534357499996,129.6068240333333,127.90497620833331,112.71887275,117.87608025
1991-02-01,1991,2,1,1991T1,121.58464126666667,118.62808816666667,125.27136241666665,108.99178124999999,114.54053925000001
1991-03-01,1991,3,1,1991T1,118.95731691666666,115.42573513333333,113.56314549999998,110.33330623333335,113.84584199999999
1991-04-01,1991,4,2,1991T2,125.60090929166667,107.95535196666665,133.17333458333331,112.86818436666667,123.57533175
1991-05-01,1991,5,2,1991T2,127.763997725,105.3623374,133.3203375,118.08725225,126.63373949999999
1991-06-01,1991,6,2,1991T2,125.75523636666667,104.29532986666665,143.12543204166664,113.91222590000001,118.70996549999998
1991-07-01,1991,7,3,1991T3,128.38130602500001,104.29532986666666,143.85705424999995,108.09705133333335,121.35205199999997
