fecha,año,trimestre,pib_pm,vab_agricultura,vab_industria,vab_construccion,vab_servicios,impuestos_netos
2009-01-01,2009,1,258858.0,5228.0,38874.0,25791.0,166998.0,21967.0
2009-04-01,2009,2,273102.0,7253.0,39456.0,29495.0,182441.0,14457.0
2009-07-01,2009,3,261523.0,4914.0,38236.0,26380.0,178013.0,13980.0
2009-10-01,2009,4,279507.0,6743.0,39315.0,28363.0,188067.0,17019.0
2010-01-01,2010,1,258497.0,5688.0,39501.0,21142.0,168041.0,24125.0
2010-04-01,2010,2,274672.0,7826.0,39140.0,23390.0,182196.0,22120.0
2010-07-01,2010,3,262797.0,4973.0,38092.0,21297.0,176653.0,21782.0
2010-10-01,2010,4,281179.0,7552.0,41174.0,23856.0,189235.0,19362.0
2011-01-01,2011,1,259859.0,5512.0,41082.0,17930.0,170141.0,25194.0
2011-04-01,2011,2,273834.0,7432.0,39300.0,20270.0,185116.0,21716.0
2011-07-01,2011,3,260659.0,4999.0,38024.0,17674.0,179378.0,20584.0
2011-10-01,2011,4,274338.0,7305.0,39944.0,19682.0,191208.0,16199.0
2012-01-01,2012,1,253430.0,5146.0,39229.0,15088.0,169960.0,24007.0
2012-04-01,2012,2,263824.0,6477.0,37315.0,17058.0,183036.0,19938.0
2012-07-01,2012,3,254494.0,5206.0,36031.0,15150.0,176640.0,21467.0
2012-10-01,2012,4,264216.0,8011.0,38491.0,17111.0,183088.0,17515.0
2013-01-01,2013,1,248047.0,5313.0,37813.0,12557.0,166557.0,25807.0
2013-04-01,2013,2,260643.0,7333.0,36759.0,14555.0,179410.0,22586.0
2013-07-01,2013,3,252520.0,5526.0,36388.0,13296.0,175304.0,22006.0
2013-10-01,2013,4,264442.0,8592.0,38924.0,15125.0,184189.0,17612.0
2014-01-01,2014,1,249575.0,5697.0,37587.0,12096.0,166917.0,27278.0
2014-04-01,2014,2,262465.0,6989.0,37231.0,14647.0,181178.0,22420.0
2014-07-01,2014,3,256469.0,5581.0,36498.0,13365.0,177427.0,23598.0
2014-10-01,2014,4,270440.0,7987.0,39729.0,15282.0,188282.0,19160.0
2015-01-01,2015,1,259359.0,6044.0,39852.0,12954.0,173209.0,27300.0
2015-04-01,2015,2,274602.0,7708.0,38640.0,15663.0,187432.0,25159.0
2015-07-01,2015,3,268782.0,6209.0,38011.0,14182.0,185410.0,24970.0
2015-10-01,2015,4,284369.0,9644.0,41159.0,16125.0,195694.0,21747.0
2016-01-01,2016,1,268209.0,6791.0,40764.0,13808.0,179600.0,27246.0
2016-04-01,2016,2,284198.0,8431.0,39089.0,16453.0,193914.0,26311.0
2016-07-01,2016,3,277911.0,6616.0,38833.0,14932.0,191550.0,25980.0
2016-10-01,2016,4,292649.0,9776.0,41847.0,16551.0,200445.0,24030.0
2017-01-01,2017,1,278500.0,6923.0,43019.0,14129.0,184848.0,29581.0
2017-04-01,2017,2,296216.0,8471.0,40682.0,17162.0,202338.0,27563.0
2017-07-01,2017,3,289397.0,6804.0,40216.0,15486.0,199635.0,27256.0
2017-10-01,2017,4,305911.0,10603.0,44740.0,17456.0,208610.0,24502.0
2018-01-01,2018,1,288568.0,7109.0,43738.0,14734.0,192304.0,30683.0
2018-04-01,2018,2,307152.0,8819.0,42194.0,17783.0,208869.0,29487.0
2018-07-01,2018,3,299180.0,6434.0,41551.0,16113.0,206603.0,28479.0
2018-10-01,2018,4,317376.0,10385.0,44659.0,18514.0,218036.0,25782.0
2019-01-01,2019,1,301178.0,6551.0,44702.0,16507.0,201126.0,32292.0
2019-04-01,2019,2,317802.0,7997.0,43365.0,19979.0,217205.0,29256.0
2019-07-01,2019,3,308032.0,6651.0,42650.0,17407.0,212460.0,28864.0
2019-10-01,2019,4,326698.0,10392.0,45974.0,19881.0,225121.0,25330.0
2020-01-01,2020,1,290779.0,6198.0,41623.0,15149.0,197045.0,30764.0
2020-04-01,2020,2,252148.0,8570.0,33626.0,15191.0,175881.0,18880.0
2020-07-01,2020,3,283890.0,6278.0,41729.0,15746.0,194723.0,25414.0
2020-10-01,2020,4,302397.0,10399.0,46513.0,17614.0,204679.0,23192.0
2021-01-01,2021,1,284971.0,6987.0,44984.0,14278.0,188416.0,30306.0
2021-04-01,2021,2,306581.0,8048.0,43632.0,17734.0,208797.0,28370.0
2021-07-01,2021,3,307204.0,7127.0,44014.0,15364.0,210393.0,30306.0
2021-10-01,2021,4,336718.0,12039.0,52832.0,18168.0,225782.0,27897.0
2022-01-01,2022,1,320480.0,6544.0,54734.0,15563.0,206883.0,36756.0
2022-04-01,2022,2,344225.0,7360.0,50789.0,19729.0,233844.0,32503.0
2022-07-01,2022,3,342446.0,6288.0,52773.0,17399.0,234815.0,31171.0
2022-10-01,2022,4,368712.0,12411.0,60645.0,20374.0,254564.0,20718.0
2023-01-01,2023,1,356176.0,8688.0,59214.0,17337.0,234395.0,36542.0
2023-04-01,2023,2,376132.0,9071.0,52260.0,21590.0,259984.0,33227.0
2023-07-01,2023,3,369727.0,7282.0,50962.0,18445.0,259625.0,33413.0
2023-10-01,2023,4,395726.0,13994.0,57661.0,21447.0,274796.0,27828.0
2024-01-01,2024,1,377737.0,10501.0,57537.0,18465.0,252784.0,38450.0
2024-04-01,2024,2,401519.0,10172.0,53265.0,22776.0,279082.0,36224.0
2024-07-01,2024,3,394243.0,8214.0,53954.0,18981.0,277538.0,35556.0
2024-10-01,2024,4,420831.0,15005.0,62558.0,22621.0,289130.0,31517.0
2025-01-01,2025,1,396920.0,10804.0,62304.0,19197.0,261999.0,42616.0
2025-04-01,2025,2,423131.0,10690.0,56148.0,24589.0,292407.0,39297.0
2025-07-01,2025,3,416572.0,8438.0,56692.0,20927.0,291104.0,39411.0
2025-10-01,2025,4,450529.0,15323.0,64942.0,25470.0,307775.0,37019.0
