fecha,año,mes,ed_activo_total,ed_activo_creditos_esp,ed_activo_credito_sector_publico,ed_activo_credito_sector_privado,ed_activo_creditos_resto_mundo,ed_activo_renta_fija_esp,ed_activo_renta_fija_resto_mundo,ed_activo_acciones_esp,ed_activo_acciones_resto_mundo,ed_activo_efectivo,ed_activo_otros_residual,credito_privado_share,crecimiento_credito_yoy
1982-10-01,1982,12,706649.0999976534,127668.91303032493,4898.332811552347,354471.507557852,58188.03070162456,77885.00467608303,466.788139530686,10284.166748375452,1029.3475235559567,6143.130167779784,65613.8740645307,50.16230934972239,1.1547752625882035
1983-01-01,1983,3,712745.0965647823,134926.59547428018,6378.537329792837,348401.84142011934,56756.698517819525,79443.25156776684,236.26915967345505,10010.426204792837,1260.1659841116573,5529.493303897472,69801.81315142204,48.88168899362644,1.996503921671433
1983-04-01,1983,6,722163.6859489027,135800.32342926957,7271.0942692901235,349717.1800725309,56887.81986505487,76865.1475769033,248.05739197530863,10137.656967849794,1379.7312098765435,6670.57019015775,77186.10062868657,48.426303742068164,1.440841887519384
1983-07-01,1983,9,727941.3327245733,148500.48796738038,7831.491727333556,347351.6824952325,56603.7669057377,76259.66366008698,269.5283169120107,9868.016492137838,1369.3349857811977,6102.063245817999,73785.30116928738,47.71698856488176,0.12111646726786773
1983-10-01,1983,12,736631.7280618564,154015.76217141244,8349.24282311776,348827.16983083973,58385.11332657657,75153.12123914092,300.2448265765765,12518.372199967824,2190.695760939511,6450.6751794562415,70441.33070382882,47.35435042265082,-1.592324800912548
1984-01-01,1984,3,746013.6519506105,141631.31085801503,8251.814122964934,332246.2465266906,55788.23749882592,109292.64378318722,333.1635645742016,12391.511218221664,2163.6997589229804,5573.63834791797,78341.38627128991,44.536215343775886,-4.6370578374606115
1984-04-01,1984,6,771568.8280544013,150789.76177000615,8594.727251308093,332010.79739281314,59002.6589572176,115012.707514466,401.9766601261927,11671.755676208064,2152.210935749461,6427.717019544475,85504.52268044013,43.030613124951685,-5.063057718824526
1984-07-01,1984,9,797919.9941786572,167239.5913568639,8352.184693601683,313983.9167280715,63329.577742415146,140292.94870216283,632.0058638480024,11380.808398843496,2109.1880526434365,6033.264781616101,84566.5040506158,39.350300659061986,-9.606334861389065
1984-10-01,1984,12,807993.2612631305,163960.75159036583,8477.753303850692,319834.70174461487,65103.160930141625,145264.1014123635,809.4791267335495,11681.6382169519,2074.8349809678366,6780.149825022128,84006.68265100323,39.58383282115737,-8.311413385684519
1985-01-01,1985,3,807110.3946481136,160186.7497495713,10804.286422977992,306127.12945813086,66973.7012586453,160578.95006237496,843.1506050300085,11619.891634967133,2111.5538207344957,5894.974964132609,81970.006671549,37.92878043549384,-7.861373105523251
