Sexo;Ocupación;Situación profesional;Periodo;Total
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2006T3;259,0
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2006T2;286,1
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2006T1;279,0
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2005T4;265,9
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2005T3;286,4
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2005T2;312,9
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2005T1;363,3
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2004T4;251,6
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2004T3;264,4
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2004T2;257,7
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2004T1;263,8
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2003T4;271,9
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2003T3;276,6
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2003T2;281,7
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2003T1;262,5
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2002T4;269,5
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2002T3;288,0
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2002T2;293,0
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2002T1;281,4
Ambos sexos;Total;Asalariados : Total;2010T4;15.554,7
Ambos sexos;Total;Asalariados : Total;2010T3;15.705,1
Ambos sexos;Total;Asalariados : Total;2010T2;15.619,9
Ambos sexos;Total;Asalariados : Total;2010T1;15.489,6
Ambos sexos;Total;Asalariados : Total;2009T4;15.724,6
Ambos sexos;Total;Asalariados : Total;2009T3;15.863,8
Ambos sexos;Total;Asalariados : Total;2009T2;15.923,1
Ambos sexos;Total;Asalariados : Total;2009T1;16.013,0
Ambos sexos;Total;Asalariados : Total;2008T4;16.477,2
Ambos sexos;Total;Asalariados : Total;2008T3;16.920,1
Ambos sexos;Total;Asalariados : Total;2008T2;17.037,5
Ambos sexos;Total;Asalariados : Total;2008T1;17.010,1
Ambos sexos;Total;Asalariados : Total;2007T4;17.095,0
Ambos sexos;Total;Asalariados : Total;2007T3;17.094,6
