Sexo;Situación profesional;Periodo;Total
ambos sexos;asalariados sector público;1978TII;1.484,9
ambos sexos;asalariados sector público;1978TI;1.406,4
ambos sexos;asalariados sector público;1977TIV;1.392,9
ambos sexos;asalariados sector público;1977TIII;1.376,2
ambos sexos;asalariados sector público;1977TII;1.381,7
ambos sexos;asalariados sector público;1977TI;1.367,3
ambos sexos;asalariados sector público;1976TIV;1.373,7
ambos sexos;asalariados sector público;1976TIII;1.358,1
ambos sexos;asalariados sector privado;1995TIV;7.182,4
ambos sexos;asalariados sector privado;1995TIII;7.171,1
ambos sexos;asalariados sector privado;1995TII;7.107,5
ambos sexos;asalariados sector privado;1995TI;7.010,9
ambos sexos;asalariados sector privado;1994TIV;6.983,0
ambos sexos;asalariados sector privado;1994TIII;6.925,5
ambos sexos;asalariados sector privado;1994TII;6.852,5
ambos sexos;asalariados sector privado;1994TI;6.730,7
ambos sexos;asalariados sector privado;1993TIV;6.822,1
ambos sexos;asalariados sector privado;1993TIII;6.867,0
ambos sexos;asalariados sector privado;1993TII;6.868,8
ambos sexos;asalariados sector privado;1993TI;6.897,3
ambos sexos;asalariados sector privado;1992TIV;7.083,8
ambos sexos;asalariados sector privado;1992TIII;7.239,8
ambos sexos;asalariados sector privado;1992TII;7.261,7
ambos sexos;asalariados sector privado;1992TI;7.240,0
ambos sexos;asalariados sector privado;1991TIV;7.461,3
ambos sexos;asalariados sector privado;1991TIII;7.530,5
ambos sexos;asalariados sector privado;1991TII;7.542,8
ambos sexos;asalariados sector privado;1991TI;7.529,8
ambos sexos;asalariados sector privado;1990TIV;7.526,2
ambos sexos;asalariados sector privado;1990TIII;7.473,7
ambos sexos;asalariados sector privado;1990TII;7.390,2
ambos sexos;asalariados sector privado;1990TI;7.280,5
ambos sexos;asalariados sector privado;1989TIV;7.214,7
ambos sexos;asalariados sector privado;1989TIII;7.199,6
ambos sexos;asalariados sector privado;1989TII;7.083,8
ambos sexos;asalariados sector privado;1989TI;7.007,2
ambos sexos;asalariados sector privado;1988TIV;6.910,0
ambos sexos;asalariados sector privado;1988TIII;6.889,6
ambos sexos;asalariados sector privado;1988TII;6.696,0
ambos sexos;asalariados sector privado;1988TI;6.624,2
ambos sexos;asalariados sector privado;1987TIV;6.603,3
ambos sexos;asalariados sector privado;1987TIII;6.504,8
