Sexo;Situación profesional;Periodo;Total
mujeres;empresario con o sin asalariados;1997TII;687,8
mujeres;empresario con o sin asalariados;1997TI;670,6
mujeres;empresario con o sin asalariados;1996TIV;677,6
mujeres;empresario con o sin asalariados;1996TIII;688,2
mujeres;empresario con o sin asalariados;1996TII;695,0
mujeres;empresario con o sin asalariados;1996TI;689,2
mujeres;miembro de cooperativa;2001TIV;28,5
mujeres;miembro de cooperativa;2001TIII;29,8
mujeres;miembro de cooperativa;2001TII;30,3
mujeres;miembro de cooperativa;2001TI;28,5
mujeres;miembro de cooperativa;2000TIV;26,5
mujeres;miembro de cooperativa;2000TIII;29,1
mujeres;miembro de cooperativa;2000TII;30,2
mujeres;miembro de cooperativa;2000TI;30,8
mujeres;miembro de cooperativa;1999TIV;32,1
mujeres;miembro de cooperativa;1999TIII;29,5
mujeres;miembro de cooperativa;1999TII;29,3
mujeres;miembro de cooperativa;1999TI;28,1
mujeres;miembro de cooperativa;1998TIV;27,9
mujeres;miembro de cooperativa;1998TIII;24,8
mujeres;miembro de cooperativa;1998TII;27,6
mujeres;miembro de cooperativa;1998TI;26,7
mujeres;miembro de cooperativa;1997TIV;29,3
mujeres;miembro de cooperativa;1997TIII;31,1
mujeres;miembro de cooperativa;1997TII;31,6
mujeres;miembro de cooperativa;1997TI;30,2
mujeres;miembro de cooperativa;1996TIV;31,7
mujeres;miembro de cooperativa;1996TIII;26,6
mujeres;miembro de cooperativa;1996TII;26,1
mujeres;miembro de cooperativa;1996TI;27,1
mujeres;ayuda familiar;2001TIV;190,3
mujeres;ayuda familiar;2001TIII;193,2
mujeres;ayuda familiar;2001TII;197,8
mujeres;ayuda familiar;2001TI;214,3
mujeres;ayuda familiar;2000TIV;206,9
mujeres;ayuda familiar;2000TIII;208,4
mujeres;ayuda familiar;2000TII;209,1
mujeres;ayuda familiar;2000TI;210,5
mujeres;ayuda familiar;1999TIV;215,6
mujeres;ayuda familiar;1999TIII;208,4
mujeres;ayuda familiar;1999TII;215,9
mujeres;ayuda familiar;1999TI;216,7
mujeres;ayuda familiar;1998TIV;221,3
mujeres;ayuda familiar;1998TIII;233,4
mujeres;ayuda familiar;1998TII;230,1
mujeres;ayuda familiar;1998TI;245,6
mujeres;ayuda familiar;1997TIV;229,8
mujeres;ayuda familiar;1997TIII;237,7
mujeres;ayuda familiar;1997TII;241,0
mujeres;ayuda familiar;1997TI;244,8
mujeres;ayuda familiar;1996TIV;252,2
mujeres;ayuda familiar;1996TIII;258,5
mujeres;ayuda familiar;1996TII;257,3
mujeres;ayuda familiar;1996TI;283,8
mujeres;asalariados sector público;2001TIV;1.226,8
mujeres;asalariados sector público;2001TIII;1.225,3
mujeres;asalariados sector público;2001TII;1.194,7
mujeres;asalariados sector público;2001TI;1.179,5
mujeres;asalariados sector público;2000TIV;1.192,8
mujeres;asalariados sector público;2000TIII;1.168,3
mujeres;asalariados sector público;2000TII;1.147,2
mujeres;asalariados sector público;2000TI;1.130,9
mujeres;asalariados sector público;1999TIV;1.094,3
mujeres;asalariados sector público;1999TIII;1.126,3
mujeres;asalariados sector público;1999TII;1.099,7
mujeres;asalariados sector público;1999TI;1.093,3
mujeres;asalariados sector público;1998TIV;1.074,2
mujeres;asalariados sector público;1998TIII;1.075,6
mujeres;asalariados sector público;1998TII;1.068,8
mujeres;asalariados sector público;1998TI;1.080,0
mujeres;asalariados sector público;1997TIV;1.086,7
mujeres;asalariados sector público;1997TIII;1.093,0
mujeres;asalariados sector público;1997TII;1.068,0
mujeres;asalariados sector público;1997TI;1.034,6
mujeres;asalariados sector público;1996TIV;1.026,7
mujeres;asalariados sector público;1996TIII;1.017,9
mujeres;asalariados sector público;1996TII;1.005,7
mujeres;asalariados sector público;1996TI;963,1
mujeres;asalariados sector privado;2001TIV;3.898,1
mujeres;asalariados sector privado;2001TIII;3.850,4
mujeres;asalariados sector privado;2001TII;3.764,6
mujeres;asalariados sector privado;2001TI;3.731,2
mujeres;asalariados sector privado;2000TIV;3.677,6
mujeres;asalariados sector privado;2000TIII;3.609,8
mujeres;asalariados sector privado;2000TII;3.566,0
mujeres;asalariados sector privado;2000TI;3.444,3
mujeres;asalariados sector privado;1999TIV;3.385,4
mujeres;asalariados sector privado;1999TIII;3.221,7
mujeres;asalariados sector privado;1999TII;3.185,7
mujeres;asalariados sector privado;1999TI;3.058,4
mujeres;asalariados sector privado;1998TIV;2.923,7
mujeres;asalariados sector privado;1998TIII;2.837,7
mujeres;asalariados sector privado;1998TII;2.800,7
mujeres;asalariados sector privado;1998TI;2.751,9
mujeres;asalariados sector privado;1997TIV;2.720,1
mujeres;asalariados sector privado;1997TIII;2.650,4
mujeres;asalariados sector privado;1997TII;2.619,0
mujeres;asalariados sector privado;1997TI;2.605,0
mujeres;asalariados sector privado;1996TIV;2.556,3
mujeres;asalariados sector privado;1996TIII;2.495,4
mujeres;asalariados sector privado;1996TII;2.427,2
mujeres;asalariados sector privado;1996TI;2.384,3
mujeres;otra situación;2001TIV;8,2
mujeres;otra situación;2001TIII;5,8
mujeres;otra situación;2001TII;6,0
mujeres;otra situación;2001TI;6,5
mujeres;otra situación;2000TIV;6,3
mujeres;otra situación;2000TIII;4,9
mujeres;otra situación;2000TII;7,1
mujeres;otra situación;2000TI;4,8
mujeres;otra situación;1999TIV;7,7
mujeres;otra situación;1999TIII;7,4
mujeres;otra situación;1999TII;5,9
mujeres;otra situación;1999TI;7,3
mujeres;otra situación;1998TIV;10,8
mujeres;otra situación;1998TIII;13,6
mujeres;otra situación;1998TII;14,3
mujeres;otra situación;1998TI;14,0
mujeres;otra situación;1997TIV;16,2
mujeres;otra situación;1997TIII;12,1
mujeres;otra situación;1997TII;16,3
mujeres;otra situación;1997TI;15,3
mujeres;otra situación;1996TIV;11,9
mujeres;otra situación;1996TIII;15,2
mujeres;otra situación;1996TII;16,4
mujeres;otra situación;1996TI;16,4
