Comunidades y Ciudades Autónomas;Proporción de parados;Periodo;Total
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2017T1;30,61
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2016T4;29,8
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2016T3;32,07
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2016T2;32,96
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2016T1;31,61
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2015T4;32,21
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2015T3;34,4
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2015T2;37,1
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2015T1;37,41
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2014T4;37,26
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2014T3;40,51
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2014T2;40,31
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2014T1;39,2
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2013T4;39,35
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2013T3;40,7
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2013T2;40,35
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2013T1;39,88
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2012T4;38,52
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2012T3;38,43
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2012T2;38,39
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2012T1;38,22
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2011T4;36,51
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2011T3;34,39
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2011T2;35,05
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2011T1;33,71
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2010T4;34,92
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2010T3;34,45
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2010T2;35,77
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2010T1;34,52
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2009T4;32,48
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2009T3;30,37
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2009T2;31,09
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2009T1;32,01
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2008T4;26,36
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2008T3;20,59
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2008T2;18,85
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2008T1;17,26
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2007T4;12,19
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2007T3;12,44
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2007T2;11,73
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2007T1;12,23
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2006T4;14,24
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2006T3;14,52
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2006T2;13,12
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2006T1;14,34
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2005T4;12,51
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2005T3;13,38
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2005T2;13,59
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2005T1;15,01
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2004T4;12,38
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2004T3;13,42
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2004T2;14,61
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2004T1;14,68
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2003T4;14,03
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2003T3;13,38
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2003T2;13,9
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2003T1;12,52
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2002T4;13,27
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2002T3;13,11
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2002T2;13,18
05 Canarias;Al menos la mitad de los activos son parados (Porcentaje);2002T1;13,13
05 Canarias;Todos los activos son ocupados (Porcentaje);2025T4;81,28
05 Canarias;Todos los activos son ocupados (Porcentaje);2025T3;79,35
05 Canarias;Todos los activos son ocupados (Porcentaje);2025T2;80,6
05 Canarias;Todos los activos son ocupados (Porcentaje);2025T1;80,21
05 Canarias;Todos los activos son ocupados (Porcentaje);2024T4;81,67
05 Canarias;Todos los activos son ocupados (Porcentaje);2024T3;78,7
05 Canarias;Todos los activos son ocupados (Porcentaje);2024T2;79,68
05 Canarias;Todos los activos son ocupados (Porcentaje);2024T1;77,96
05 Canarias;Todos los activos son ocupados (Porcentaje);2023T4;75,91
05 Canarias;Todos los activos son ocupados (Porcentaje);2023T3;77,28
05 Canarias;Todos los activos son ocupados (Porcentaje);2023T2;77,83
05 Canarias;Todos los activos son ocupados (Porcentaje);2023T1;74,71
05 Canarias;Todos los activos son ocupados (Porcentaje);2022T4;78,13
05 Canarias;Todos los activos son ocupados (Porcentaje);2022T3;74,85
05 Canarias;Todos los activos son ocupados (Porcentaje);2022T2;74,62
05 Canarias;Todos los activos son ocupados (Porcentaje);2022T1;72,3
05 Canarias;Todos los activos son ocupados (Porcentaje);2021T4;73,51
05 Canarias;Todos los activos son ocupados (Porcentaje);2021T3;67,62
05 Canarias;Todos los activos son ocupados (Porcentaje);2021T2;66,41
05 Canarias;Todos los activos son ocupados (Porcentaje);2021T1;65,24
05 Canarias;Todos los activos son ocupados (Porcentaje);2020T4;66,06
05 Canarias;Todos los activos son ocupados (Porcentaje);2020T3;66,11
05 Canarias;Todos los activos son ocupados (Porcentaje);2020T2;71,3
05 Canarias;Todos los activos son ocupados (Porcentaje);2020T1;73,23
05 Canarias;Todos los activos son ocupados (Porcentaje);2019T4;72,88
05 Canarias;Todos los activos son ocupados (Porcentaje);2019T3;69,39
05 Canarias;Todos los activos son ocupados (Porcentaje);2019T2;69,72
05 Canarias;Todos los activos son ocupados (Porcentaje);2019T1;69,33
05 Canarias;Todos los activos son ocupados (Porcentaje);2018T4;71,55
05 Canarias;Todos los activos son ocupados (Porcentaje);2018T3;71,93
05 Canarias;Todos los activos son ocupados (Porcentaje);2018T2;71,61
05 Canarias;Todos los activos son ocupados (Porcentaje);2018T1;71,06
05 Canarias;Todos los activos son ocupados (Porcentaje);2017T4;68,94
05 Canarias;Todos los activos son ocupados (Porcentaje);2017T3;69,14
05 Canarias;Todos los activos son ocupados (Porcentaje);2017T2;65,55
05 Canarias;Todos los activos son ocupados (Porcentaje);2017T1;64,93
05 Canarias;Todos los activos son ocupados (Porcentaje);2016T4;65,64
05 Canarias;Todos los activos son ocupados (Porcentaje);2016T3;63,68
05 Canarias;Todos los activos son ocupados (Porcentaje);2016T2;62,82
05 Canarias;Todos los activos son ocupados (Porcentaje);2016T1;64,01
05 Canarias;Todos los activos son ocupados (Porcentaje);2015T4;62,9
05 Canarias;Todos los activos son ocupados (Porcentaje);2015T3;61,42
05 Canarias;Todos los activos son ocupados (Porcentaje);2015T2;58,51
05 Canarias;Todos los activos son ocupados (Porcentaje);2015T1;59,02
05 Canarias;Todos los activos son ocupados (Porcentaje);2014T4;59,26
05 Canarias;Todos los activos son ocupados (Porcentaje);2014T3;55,87
05 Canarias;Todos los activos son ocupados (Porcentaje);2014T2;55,74
05 Canarias;Todos los activos son ocupados (Porcentaje);2014T1;57,23
05 Canarias;Todos los activos son ocupados (Porcentaje);2013T4;56,82
05 Canarias;Todos los activos son ocupados (Porcentaje);2013T3;55,1
05 Canarias;Todos los activos son ocupados (Porcentaje);2013T2;56,12
05 Canarias;Todos los activos son ocupados (Porcentaje);2013T1;56
05 Canarias;Todos los activos son ocupados (Porcentaje);2012T4;56,86
05 Canarias;Todos los activos son ocupados (Porcentaje);2012T3;56,57
05 Canarias;Todos los activos son ocupados (Porcentaje);2012T2;57,11
05 Canarias;Todos los activos son ocupados (Porcentaje);2012T1;57,49
05 Canarias;Todos los activos son ocupados (Porcentaje);2011T4;58,8
05 Canarias;Todos los activos son ocupados (Porcentaje);2011T3;61,03
05 Canarias;Todos los activos son ocupados (Porcentaje);2011T2;60,33
05 Canarias;Todos los activos son ocupados (Porcentaje);2011T1;61,48
05 Canarias;Todos los activos son ocupados (Porcentaje);2010T4;60,99
05 Canarias;Todos los activos son ocupados (Porcentaje);2010T3;61,12
05 Canarias;Todos los activos son ocupados (Porcentaje);2010T2;59,88
05 Canarias;Todos los activos son ocupados (Porcentaje);2010T1;61,76
05 Canarias;Todos los activos son ocupados (Porcentaje);2009T4;63,43
05 Canarias;Todos los activos son ocupados (Porcentaje);2009T3;64,28
05 Canarias;Todos los activos son ocupados (Porcentaje);2009T2;64,38
05 Canarias;Todos los activos son ocupados (Porcentaje);2009T1;63,87
05 Canarias;Todos los activos son ocupados (Porcentaje);2008T4;69,47
05 Canarias;Todos los activos son ocupados (Porcentaje);2008T3;74,51
05 Canarias;Todos los activos son ocupados (Porcentaje);2008T2;76,25
05 Canarias;Todos los activos son ocupados (Porcentaje);2008T1;78,44
05 Canarias;Todos los activos son ocupados (Porcentaje);2007T4;82,92
05 Canarias;Todos los activos son ocupados (Porcentaje);2007T3;83,03
05 Canarias;Todos los activos son ocupados (Porcentaje);2007T2;83,86
05 Canarias;Todos los activos son ocupados (Porcentaje);2007T1;83,35
05 Canarias;Todos los activos son ocupados (Porcentaje);2006T4;81,79
05 Canarias;Todos los activos son ocupados (Porcentaje);2006T3;80,82
05 Canarias;Todos los activos son ocupados (Porcentaje);2006T2;82,37
05 Canarias;Todos los activos son ocupados (Porcentaje);2006T1;81,31
05 Canarias;Todos los activos son ocupados (Porcentaje);2005T4;83,12
05 Canarias;Todos los activos son ocupados (Porcentaje);2005T3;83,2
05 Canarias;Todos los activos son ocupados (Porcentaje);2005T2;81,39
05 Canarias;Todos los activos son ocupados (Porcentaje);2005T1;79,92
05 Canarias;Todos los activos son ocupados (Porcentaje);2004T4;83,6
05 Canarias;Todos los activos son ocupados (Porcentaje);2004T3;82,3
05 Canarias;Todos los activos son ocupados (Porcentaje);2004T2;81,19
05 Canarias;Todos los activos son ocupados (Porcentaje);2004T1;80,65
05 Canarias;Todos los activos son ocupados (Porcentaje);2003T4;81,36
05 Canarias;Todos los activos son ocupados (Porcentaje);2003T3;82,49
05 Canarias;Todos los activos son ocupados (Porcentaje);2003T2;82,54
05 Canarias;Todos los activos son ocupados (Porcentaje);2003T1;83,08
05 Canarias;Todos los activos son ocupados (Porcentaje);2002T4;82,59
05 Canarias;Todos los activos son ocupados (Porcentaje);2002T3;82,87
05 Canarias;Todos los activos son ocupados (Porcentaje);2002T2;82,74
05 Canarias;Todos los activos son ocupados (Porcentaje);2002T1;82,8
06 Cantabria;Todos los activos son parados (Porcentaje);2025T4;4,27
06 Cantabria;Todos los activos son parados (Porcentaje);2025T3;4,46
06 Cantabria;Todos los activos son parados (Porcentaje);2025T2;4,6
06 Cantabria;Todos los activos son parados (Porcentaje);2025T1;5,26
06 Cantabria;Todos los activos son parados (Porcentaje);2024T4;5,07
06 Cantabria;Todos los activos son parados (Porcentaje);2024T3;4,22
06 Cantabria;Todos los activos son parados (Porcentaje);2024T2;5,03
06 Cantabria;Todos los activos son parados (Porcentaje);2024T1;4,3
06 Cantabria;Todos los activos son parados (Porcentaje);2023T4;4,74
06 Cantabria;Todos los activos son parados (Porcentaje);2023T3;4,96
06 Cantabria;Todos los activos son parados (Porcentaje);2023T2;4,84
06 Cantabria;Todos los activos son parados (Porcentaje);2023T1;5,31
06 Cantabria;Todos los activos son parados (Porcentaje);2022T4;5,66
06 Cantabria;Todos los activos son parados (Porcentaje);2022T3;4,04
06 Cantabria;Todos los activos son parados (Porcentaje);2022T2;4,03
06 Cantabria;Todos los activos son parados (Porcentaje);2022T1;5,37
06 Cantabria;Todos los activos son parados (Porcentaje);2021T4;7,01
06 Cantabria;Todos los activos son parados (Porcentaje);2021T3;6,02
06 Cantabria;Todos los activos son parados (Porcentaje);2021T2;7,37
06 Cantabria;Todos los activos son parados (Porcentaje);2021T1;7,61
06 Cantabria;Todos los activos son parados (Porcentaje);2020T4;6,7
06 Cantabria;Todos los activos son parados (Porcentaje);2020T3;7,45
06 Cantabria;Todos los activos son parados (Porcentaje);2020T2;9,34
06 Cantabria;Todos los activos son parados (Porcentaje);2020T1;5,92
06 Cantabria;Todos los activos son parados (Porcentaje);2019T4;6,01
06 Cantabria;Todos los activos son parados (Porcentaje);2019T3;4,17
06 Cantabria;Todos los activos son parados (Porcentaje);2019T2;4,84
06 Cantabria;Todos los activos son parados (Porcentaje);2019T1;7,34
06 Cantabria;Todos los activos son parados (Porcentaje);2018T4;4,73
06 Cantabria;Todos los activos son parados (Porcentaje);2018T3;4,4
06 Cantabria;Todos los activos son parados (Porcentaje);2018T2;5,56
06 Cantabria;Todos los activos son parados (Porcentaje);2018T1;6,61
06 Cantabria;Todos los activos son parados (Porcentaje);2017T4;7,42
06 Cantabria;Todos los activos son parados (Porcentaje);2017T3;7,31
06 Cantabria;Todos los activos son parados (Porcentaje);2017T2;8,03
06 Cantabria;Todos los activos son parados (Porcentaje);2017T1;7,8
06 Cantabria;Todos los activos son parados (Porcentaje);2016T4;7,6
06 Cantabria;Todos los activos son parados (Porcentaje);2016T3;7,44
06 Cantabria;Todos los activos son parados (Porcentaje);2016T2;8,46
06 Cantabria;Todos los activos son parados (Porcentaje);2016T1;11,89
06 Cantabria;Todos los activos son parados (Porcentaje);2015T4;11,45
06 Cantabria;Todos los activos son parados (Porcentaje);2015T3;9,29
06 Cantabria;Todos los activos son parados (Porcentaje);2015T2;11,32
06 Cantabria;Todos los activos son parados (Porcentaje);2015T1;10,95
06 Cantabria;Todos los activos son parados (Porcentaje);2014T4;10,87
06 Cantabria;Todos los activos son parados (Porcentaje);2014T3;10,38
06 Cantabria;Todos los activos son parados (Porcentaje);2014T2;9,47
06 Cantabria;Todos los activos son parados (Porcentaje);2014T1;10,43
06 Cantabria;Todos los activos son parados (Porcentaje);2013T4;9,5
06 Cantabria;Todos los activos son parados (Porcentaje);2013T3;10,06
06 Cantabria;Todos los activos son parados (Porcentaje);2013T2;12,31
06 Cantabria;Todos los activos son parados (Porcentaje);2013T1;10,95
06 Cantabria;Todos los activos son parados (Porcentaje);2012T4;10,3
06 Cantabria;Todos los activos son parados (Porcentaje);2012T3;8,88
06 Cantabria;Todos los activos son parados (Porcentaje);2012T2;10
06 Cantabria;Todos los activos son parados (Porcentaje);2012T1;9,62
06 Cantabria;Todos los activos son parados (Porcentaje);2011T4;8,43
06 Cantabria;Todos los activos son parados (Porcentaje);2011T3;7,37
06 Cantabria;Todos los activos son parados (Porcentaje);2011T2;7,42
06 Cantabria;Todos los activos son parados (Porcentaje);2011T1;7,21
06 Cantabria;Todos los activos son parados (Porcentaje);2010T4;7,01
06 Cantabria;Todos los activos son parados (Porcentaje);2010T3;5,38
06 Cantabria;Todos los activos son parados (Porcentaje);2010T2;6,68
06 Cantabria;Todos los activos son parados (Porcentaje);2010T1;7,32
06 Cantabria;Todos los activos son parados (Porcentaje);2009T4;7
06 Cantabria;Todos los activos son parados (Porcentaje);2009T3;6,68
06 Cantabria;Todos los activos son parados (Porcentaje);2009T2;6,53
06 Cantabria;Todos los activos son parados (Porcentaje);2009T1;6,54
06 Cantabria;Todos los activos son parados (Porcentaje);2008T4;3,64
06 Cantabria;Todos los activos son parados (Porcentaje);2008T3;2,33
06 Cantabria;Todos los activos son parados (Porcentaje);2008T2;2,72
06 Cantabria;Todos los activos son parados (Porcentaje);2008T1;2,71
06 Cantabria;Todos los activos son parados (Porcentaje);2007T4;2,22
06 Cantabria;Todos los activos son parados (Porcentaje);2007T3;2,64
06 Cantabria;Todos los activos son parados (Porcentaje);2007T2;2,5
06 Cantabria;Todos los activos son parados (Porcentaje);2007T1;3,14
06 Cantabria;Todos los activos son parados (Porcentaje);2006T4;2,2
06 Cantabria;Todos los activos son parados (Porcentaje);2006T3;2,09
06 Cantabria;Todos los activos son parados (Porcentaje);2006T2;2,56
06 Cantabria;Todos los activos son parados (Porcentaje);2006T1;2,34
06 Cantabria;Todos los activos son parados (Porcentaje);2005T4;2,36
06 Cantabria;Todos los activos son parados (Porcentaje);2005T3;2,24
06 Cantabria;Todos los activos son parados (Porcentaje);2005T2;3,97
06 Cantabria;Todos los activos son parados (Porcentaje);2005T1;4,22
06 Cantabria;Todos los activos son parados (Porcentaje);2004T4;4,51
06 Cantabria;Todos los activos son parados (Porcentaje);2004T3;3,57
06 Cantabria;Todos los activos son parados (Porcentaje);2004T2;4,38
06 Cantabria;Todos los activos son parados (Porcentaje);2004T1;4,67
06 Cantabria;Todos los activos son parados (Porcentaje);2003T4;5,04
06 Cantabria;Todos los activos son parados (Porcentaje);2003T3;4,73
06 Cantabria;Todos los activos son parados (Porcentaje);2003T2;3,41
06 Cantabria;Todos los activos son parados (Porcentaje);2003T1;3,64
06 Cantabria;Todos los activos son parados (Porcentaje);2002T4;4,04
06 Cantabria;Todos los activos son parados (Porcentaje);2002T3;4,11
06 Cantabria;Todos los activos son parados (Porcentaje);2002T2;4,26
06 Cantabria;Todos los activos son parados (Porcentaje);2002T1;4,67
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2025T4;8,36
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2025T3;8,43
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2025T2;8,71
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2025T1;8,85
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2024T4;10,17
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2024T3;8,8
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2024T2;10,73
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2024T1;10,13
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2023T4;9,5
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2023T3;8,97
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2023T2;10,18
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2023T1;11,42
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2022T4;13,38
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2022T3;10,7
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2022T2;9,42
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2022T1;12,21
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2021T4;12,91
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2021T3;11,18
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2021T2;15,45
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2021T1;14,56
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2020T4;14,81
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2020T3;14,26
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2020T2;17,18
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2020T1;13,55
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2019T4;13,69
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2019T3;10,32
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2019T2;10,59
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2019T1;15,23
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2018T4;11,66
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2018T3;11,22
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2018T2;14,22
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2018T1;15,25
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2017T4;17,73
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2017T3;15,97
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2017T2;18,89
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2017T1;17,93
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2016T4;15,86
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2016T3;15,33
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2016T2;18,32
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2016T1;24,09
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2015T4;21,84
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2015T3;20,27
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2015T2;23,65
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2015T1;22,95
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2014T4;21,32
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2014T3;22,87
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2014T2;23,56
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2014T1;26,07
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2013T4;23,89
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2013T3;24,42
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2013T2;27,1
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2013T1;24,05
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2012T4;23
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2012T3;20,68
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2012T2;21,75
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2012T1;23,77
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2011T4;19,42
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2011T3;17,76
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2011T2;18,05
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2011T1;18,75
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2010T4;16,35
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2010T3;14,68
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2010T2;16,67
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2010T1;17,48
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2009T4;15,01
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2009T3;13,13
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2009T2;14,31
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2009T1;15,55
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2008T4;10,47
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2008T3;7,27
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2008T2;7,83
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2008T1;7,68
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2007T4;6,08
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2007T3;7,34
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2007T2;7,68
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2007T1;8,63
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2006T4;7,2
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2006T3;8,09
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2006T2;8
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2006T1;8,91
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2005T4;9,71
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2005T3;8,83
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2005T2;11,15
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2005T1;12,53
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2004T4;14,27
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2004T3;10,74
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2004T2;12,1
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2004T1;13,05
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2003T4;12,23
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2003T3;12,96
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2003T2;11,96
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2003T1;12,52
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2002T4;12,28
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2002T3;11,29
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2002T2;11,36
06 Cantabria;Al menos la mitad de los activos son parados (Porcentaje);2002T1;11,72
06 Cantabria;Todos los activos son ocupados (Porcentaje);2025T4;89,49
06 Cantabria;Todos los activos son ocupados (Porcentaje);2025T3;88,38
06 Cantabria;Todos los activos son ocupados (Porcentaje);2025T2;89,25
06 Cantabria;Todos los activos son ocupados (Porcentaje);2025T1;88,58
06 Cantabria;Todos los activos son ocupados (Porcentaje);2024T4;87,25
06 Cantabria;Todos los activos son ocupados (Porcentaje);2024T3;89,09
06 Cantabria;Todos los activos son ocupados (Porcentaje);2024T2;87,13
06 Cantabria;Todos los activos son ocupados (Porcentaje);2024T1;88,11
06 Cantabria;Todos los activos son ocupados (Porcentaje);2023T4;88,64
06 Cantabria;Todos los activos son ocupados (Porcentaje);2023T3;88,12
06 Cantabria;Todos los activos son ocupados (Porcentaje);2023T2;88,12
06 Cantabria;Todos los activos son ocupados (Porcentaje);2023T1;85,82
06 Cantabria;Todos los activos son ocupados (Porcentaje);2022T4;84,9
06 Cantabria;Todos los activos son ocupados (Porcentaje);2022T3;87,56
06 Cantabria;Todos los activos son ocupados (Porcentaje);2022T2;87,35
06 Cantabria;Todos los activos son ocupados (Porcentaje);2022T1;84,38
06 Cantabria;Todos los activos son ocupados (Porcentaje);2021T4;83,36
06 Cantabria;Todos los activos son ocupados (Porcentaje);2021T3;86,24
06 Cantabria;Todos los activos son ocupados (Porcentaje);2021T2;82,4
06 Cantabria;Todos los activos son ocupados (Porcentaje);2021T1;83,09
06 Cantabria;Todos los activos son ocupados (Porcentaje);2020T4;82,92
06 Cantabria;Todos los activos son ocupados (Porcentaje);2020T3;82,58
06 Cantabria;Todos los activos son ocupados (Porcentaje);2020T2;80,09
06 Cantabria;Todos los activos son ocupados (Porcentaje);2020T1;83,8
06 Cantabria;Todos los activos son ocupados (Porcentaje);2019T4;84,29
06 Cantabria;Todos los activos son ocupados (Porcentaje);2019T3;87,5
06 Cantabria;Todos los activos son ocupados (Porcentaje);2019T2;87,42
06 Cantabria;Todos los activos son ocupados (Porcentaje);2019T1;82,38
06 Cantabria;Todos los activos son ocupados (Porcentaje);2018T4;85,64
06 Cantabria;Todos los activos son ocupados (Porcentaje);2018T3;86,65
06 Cantabria;Todos los activos son ocupados (Porcentaje);2018T2;83,14
