Edad;Sexo;Unidad;Periodo;Total
De 40 a 44 años;Ambos sexos;Valor absoluto;2002T4;632,6
De 40 a 44 años;Ambos sexos;Valor absoluto;2002T3;662,3
De 40 a 44 años;Ambos sexos;Valor absoluto;2002T2;659,4
De 40 a 44 años;Ambos sexos;Valor absoluto;2002T1;662,2
De 40 a 44 años;Ambos sexos;Porcentaje;2026T1;2,0
De 40 a 44 años;Ambos sexos;Porcentaje;2025T4;1,9
De 40 a 44 años;Ambos sexos;Porcentaje;2025T3;2,0
De 40 a 44 años;Ambos sexos;Porcentaje;2025T2;2,0
De 40 a 44 años;Ambos sexos;Porcentaje;2025T1;2,2
De 40 a 44 años;Ambos sexos;Porcentaje;2024T4;2,3
De 40 a 44 años;Ambos sexos;Porcentaje;2024T3;2,3
De 40 a 44 años;Ambos sexos;Porcentaje;2024T2;2,2
De 40 a 44 años;Ambos sexos;Porcentaje;2024T1;2,2
De 40 a 44 años;Ambos sexos;Porcentaje;2023T4;2,3
De 40 a 44 años;Ambos sexos;Porcentaje;2023T3;2,4
De 40 a 44 años;Ambos sexos;Porcentaje;2023T2;2,4
De 40 a 44 años;Ambos sexos;Porcentaje;2023T1;2,3
De 40 a 44 años;Ambos sexos;Porcentaje;2022T4;2,2
De 40 a 44 años;Ambos sexos;Porcentaje;2022T3;2,4
De 40 a 44 años;Ambos sexos;Porcentaje;2022T2;2,4
De 40 a 44 años;Ambos sexos;Porcentaje;2022T1;2,5
De 40 a 44 años;Ambos sexos;Porcentaje;2021T4;2,3
De 40 a 44 años;Ambos sexos;Porcentaje;2021T3;2,3
De 40 a 44 años;Ambos sexos;Porcentaje;2021T2;2,4
De 40 a 44 años;Ambos sexos;Porcentaje;2021T1;2,8
De 40 a 44 años;Ambos sexos;Porcentaje;2020T4;2,6
De 40 a 44 años;Ambos sexos;Porcentaje;2020T3;2,8
De 40 a 44 años;Ambos sexos;Porcentaje;2020T2;3,2
De 40 a 44 años;Ambos sexos;Porcentaje;2020T1;2,6
De 40 a 44 años;Ambos sexos;Porcentaje;2019T4;2,4
De 40 a 44 años;Ambos sexos;Porcentaje;2019T3;2,6
De 40 a 44 años;Ambos sexos;Porcentaje;2019T2;2,6
De 40 a 44 años;Ambos sexos;Porcentaje;2019T1;2,6
De 40 a 44 años;Ambos sexos;Porcentaje;2018T4;2,5
De 40 a 44 años;Ambos sexos;Porcentaje;2018T3;2,5
De 40 a 44 años;Ambos sexos;Porcentaje;2018T2;2,6
De 40 a 44 años;Ambos sexos;Porcentaje;2018T1;2,5
De 40 a 44 años;Ambos sexos;Porcentaje;2017T4;2,6
De 40 a 44 años;Ambos sexos;Porcentaje;2017T3;2,7
De 40 a 44 años;Ambos sexos;Porcentaje;2017T2;2,5
De 40 a 44 años;Ambos sexos;Porcentaje;2017T1;2,5
De 40 a 44 años;Ambos sexos;Porcentaje;2016T4;2,5
De 40 a 44 años;Ambos sexos;Porcentaje;2016T3;2,6
De 40 a 44 años;Ambos sexos;Porcentaje;2016T2;2,6
De 40 a 44 años;Ambos sexos;Porcentaje;2016T1;2,6
De 40 a 44 años;Ambos sexos;Porcentaje;2015T4;2,8
De 40 a 44 años;Ambos sexos;Porcentaje;2015T3;3,0
De 40 a 44 años;Ambos sexos;Porcentaje;2015T2;2,6
De 40 a 44 años;Ambos sexos;Porcentaje;2015T1;2,8
De 40 a 44 años;Ambos sexos;Porcentaje;2014T4;2,7
De 40 a 44 años;Ambos sexos;Porcentaje;2014T3;2,9
De 40 a 44 años;Ambos sexos;Porcentaje;2014T2;2,9
De 40 a 44 años;Ambos sexos;Porcentaje;2014T1;2,9
De 40 a 44 años;Ambos sexos;Porcentaje;2013T4;2,8
De 40 a 44 años;Ambos sexos;Porcentaje;2013T3;3,0
De 40 a 44 años;Ambos sexos;Porcentaje;2013T2;3,0
De 40 a 44 años;Ambos sexos;Porcentaje;2013T1;3,0
De 40 a 44 años;Ambos sexos;Porcentaje;2012T4;3,0
De 40 a 44 años;Ambos sexos;Porcentaje;2012T3;3,2
De 40 a 44 años;Ambos sexos;Porcentaje;2012T2;3,1
De 40 a 44 años;Ambos sexos;Porcentaje;2012T1;3,0
De 40 a 44 años;Ambos sexos;Porcentaje;2011T4;3,2
De 40 a 44 años;Ambos sexos;Porcentaje;2011T3;3,3
De 40 a 44 años;Ambos sexos;Porcentaje;2011T2;3,3
De 40 a 44 años;Ambos sexos;Porcentaje;2011T1;3,3
De 40 a 44 años;Ambos sexos;Porcentaje;2010T4;3,3
De 40 a 44 años;Ambos sexos;Porcentaje;2010T3;3,6
De 40 a 44 años;Ambos sexos;Porcentaje;2010T2;3,3
De 40 a 44 años;Ambos sexos;Porcentaje;2010T1;3,4
De 40 a 44 años;Ambos sexos;Porcentaje;2009T4;3,3
De 40 a 44 años;Ambos sexos;Porcentaje;2009T3;3,6
De 40 a 44 años;Ambos sexos;Porcentaje;2009T2;3,6
De 40 a 44 años;Ambos sexos;Porcentaje;2009T1;3,6
De 40 a 44 años;Ambos sexos;Porcentaje;2008T4;3,6
De 40 a 44 años;Ambos sexos;Porcentaje;2008T3;4,0
De 40 a 44 años;Ambos sexos;Porcentaje;2008T2;3,8
De 40 a 44 años;Ambos sexos;Porcentaje;2008T1;3,8
De 40 a 44 años;Ambos sexos;Porcentaje;2007T4;3,9
De 40 a 44 años;Ambos sexos;Porcentaje;2007T3;4,1
De 40 a 44 años;Ambos sexos;Porcentaje;2007T2;3,8
De 40 a 44 años;Ambos sexos;Porcentaje;2007T1;3,8
De 40 a 44 años;Ambos sexos;Porcentaje;2006T4;4,0
De 40 a 44 años;Ambos sexos;Porcentaje;2006T3;4,1
De 40 a 44 años;Ambos sexos;Porcentaje;2006T2;4,1
De 40 a 44 años;Ambos sexos;Porcentaje;2006T1;4,0
De 40 a 44 años;Ambos sexos;Porcentaje;2005T4;4,1
De 40 a 44 años;Ambos sexos;Porcentaje;2005T3;4,2
De 40 a 44 años;Ambos sexos;Porcentaje;2005T2;4,0
De 40 a 44 años;Ambos sexos;Porcentaje;2005T1;4,1
De 40 a 44 años;Ambos sexos;Porcentaje;2004T4;4,0
De 40 a 44 años;Ambos sexos;Porcentaje;2004T3;4,1
De 40 a 44 años;Ambos sexos;Porcentaje;2004T2;4,0
De 40 a 44 años;Ambos sexos;Porcentaje;2004T1;4,0
De 40 a 44 años;Ambos sexos;Porcentaje;2003T4;3,9
De 40 a 44 años;Ambos sexos;Porcentaje;2003T3;4,0
De 40 a 44 años;Ambos sexos;Porcentaje;2003T2;4,0
De 40 a 44 años;Ambos sexos;Porcentaje;2003T1;4,1
De 40 a 44 años;Ambos sexos;Porcentaje;2002T4;4,0
De 40 a 44 años;Ambos sexos;Porcentaje;2002T3;4,2
De 40 a 44 años;Ambos sexos;Porcentaje;2002T2;4,2
De 40 a 44 años;Ambos sexos;Porcentaje;2002T1;4,2
De 40 a 44 años;Hombres;Valor absoluto;2026T1;103,3
De 40 a 44 años;Hombres;Valor absoluto;2025T4;98,5
De 40 a 44 años;Hombres;Valor absoluto;2025T3;102,3
De 40 a 44 años;Hombres;Valor absoluto;2025T2;94,6
De 40 a 44 años;Hombres;Valor absoluto;2025T1;131,4
De 40 a 44 años;Hombres;Valor absoluto;2024T4;128,0
De 40 a 44 años;Hombres;Valor absoluto;2024T3;119,2
De 40 a 44 años;Hombres;Valor absoluto;2024T2;118,5
De 40 a 44 años;Hombres;Valor absoluto;2024T1;115,6
De 40 a 44 años;Hombres;Valor absoluto;2023T4;120,4
De 40 a 44 años;Hombres;Valor absoluto;2023T3;117,9
De 40 a 44 años;Hombres;Valor absoluto;2023T2;116,4
De 40 a 44 años;Hombres;Valor absoluto;2023T1;122,3
De 40 a 44 años;Hombres;Valor absoluto;2022T4;107,0
De 40 a 44 años;Hombres;Valor absoluto;2022T3;119,2
De 40 a 44 años;Hombres;Valor absoluto;2022T2;112,9
De 40 a 44 años;Hombres;Valor absoluto;2022T1;122,4
De 40 a 44 años;Hombres;Valor absoluto;2021T4;119,3
De 40 a 44 años;Hombres;Valor absoluto;2021T3;115,7
De 40 a 44 años;Hombres;Valor absoluto;2021T2;119,6
De 40 a 44 años;Hombres;Valor absoluto;2021T1;158,0
De 40 a 44 años;Hombres;Valor absoluto;2020T4;139,5
De 40 a 44 años;Hombres;Valor absoluto;2020T3;138,0
De 40 a 44 años;Hombres;Valor absoluto;2020T2;185,2
De 40 a 44 años;Hombres;Valor absoluto;2020T1;133,3
De 40 a 44 años;Hombres;Valor absoluto;2019T4;115,4
De 40 a 44 años;Hombres;Valor absoluto;2019T3;131,3
De 40 a 44 años;Hombres;Valor absoluto;2019T2;118,0
De 40 a 44 años;Hombres;Valor absoluto;2019T1;128,2
De 40 a 44 años;Hombres;Valor absoluto;2018T4;121,7
De 40 a 44 años;Hombres;Valor absoluto;2018T3;107,9
De 40 a 44 años;Hombres;Valor absoluto;2018T2;109,8
De 40 a 44 años;Hombres;Valor absoluto;2018T1;114,2
De 40 a 44 años;Hombres;Valor absoluto;2017T4;116,4
De 40 a 44 años;Hombres;Valor absoluto;2017T3;124,8
De 40 a 44 años;Hombres;Valor absoluto;2017T2;119,8
De 40 a 44 años;Hombres;Valor absoluto;2017T1;111,7
De 40 a 44 años;Hombres;Valor absoluto;2016T4;110,0
De 40 a 44 años;Hombres;Valor absoluto;2016T3;117,1
De 40 a 44 años;Hombres;Valor absoluto;2016T2;109,0
De 40 a 44 años;Hombres;Valor absoluto;2016T1;106,7
De 40 a 44 años;Hombres;Valor absoluto;2015T4;112,7
De 40 a 44 años;Hombres;Valor absoluto;2015T3;102,9
De 40 a 44 años;Hombres;Valor absoluto;2015T2;102,8
De 40 a 44 años;Hombres;Valor absoluto;2015T1;113,5
De 40 a 44 años;Hombres;Valor absoluto;2014T4;107,1
De 40 a 44 años;Hombres;Valor absoluto;2014T3;115,4
De 40 a 44 años;Hombres;Valor absoluto;2014T2;117,1
De 40 a 44 años;Hombres;Valor absoluto;2014T1;129,7
De 40 a 44 años;Hombres;Valor absoluto;2013T4;117,8
De 40 a 44 años;Hombres;Valor absoluto;2013T3;126,6
De 40 a 44 años;Hombres;Valor absoluto;2013T2;131,4
De 40 a 44 años;Hombres;Valor absoluto;2013T1;124,4
De 40 a 44 años;Hombres;Valor absoluto;2012T4;126,6
De 40 a 44 años;Hombres;Valor absoluto;2012T3;129,8
De 40 a 44 años;Hombres;Valor absoluto;2012T2;119,0
De 40 a 44 años;Hombres;Valor absoluto;2012T1;120,7
De 40 a 44 años;Hombres;Valor absoluto;2011T4;115,5
De 40 a 44 años;Hombres;Valor absoluto;2011T3;118,5
De 40 a 44 años;Hombres;Valor absoluto;2011T2;114,8
De 40 a 44 años;Hombres;Valor absoluto;2011T1;116,3
De 40 a 44 años;Hombres;Valor absoluto;2010T4;113,8
De 40 a 44 años;Hombres;Valor absoluto;2010T3;114,2
De 40 a 44 años;Hombres;Valor absoluto;2010T2;100,9
De 40 a 44 años;Hombres;Valor absoluto;2010T1;117,6
De 40 a 44 años;Hombres;Valor absoluto;2009T4;123,2
De 40 a 44 años;Hombres;Valor absoluto;2009T3;136,0
De 40 a 44 años;Hombres;Valor absoluto;2009T2;128,4
De 40 a 44 años;Hombres;Valor absoluto;2009T1;116,7
De 40 a 44 años;Hombres;Valor absoluto;2008T4;123,0
De 40 a 44 años;Hombres;Valor absoluto;2008T3;128,9
De 40 a 44 años;Hombres;Valor absoluto;2008T2;113,1
De 40 a 44 años;Hombres;Valor absoluto;2008T1;119,8
De 40 a 44 años;Hombres;Valor absoluto;2007T4;123,9
De 40 a 44 años;Hombres;Valor absoluto;2007T3;124,0
De 40 a 44 años;Hombres;Valor absoluto;2007T2;109,2
De 40 a 44 años;Hombres;Valor absoluto;2007T1;116,7
De 40 a 44 años;Hombres;Valor absoluto;2006T4;123,2
De 40 a 44 años;Hombres;Valor absoluto;2006T3;127,7
De 40 a 44 años;Hombres;Valor absoluto;2006T2;122,4
De 40 a 44 años;Hombres;Valor absoluto;2006T1;105,8
De 40 a 44 años;Hombres;Valor absoluto;2005T4;118,3
De 40 a 44 años;Hombres;Valor absoluto;2005T3;115,5
De 40 a 44 años;Hombres;Valor absoluto;2005T2;105,6
De 40 a 44 años;Hombres;Valor absoluto;2005T1;102,3
De 40 a 44 años;Hombres;Valor absoluto;2004T4;101,9
De 40 a 44 años;Hombres;Valor absoluto;2004T3;101,2
De 40 a 44 años;Hombres;Valor absoluto;2004T2;97,4
De 40 a 44 años;Hombres;Valor absoluto;2004T1;97,8
De 40 a 44 años;Hombres;Valor absoluto;2003T4;84,1
De 40 a 44 años;Hombres;Valor absoluto;2003T3;84,9
De 40 a 44 años;Hombres;Valor absoluto;2003T2;82,2
De 40 a 44 años;Hombres;Valor absoluto;2003T1;92,0
De 40 a 44 años;Hombres;Valor absoluto;2002T4;89,8
De 40 a 44 años;Hombres;Valor absoluto;2002T3;93,1
De 40 a 44 años;Hombres;Valor absoluto;2002T2;96,9
De 40 a 44 años;Hombres;Valor absoluto;2002T1;95,1
De 40 a 44 años;Hombres;Porcentaje;2026T1;1,4
De 40 a 44 años;Hombres;Porcentaje;2025T4;1,3
De 40 a 44 años;Hombres;Porcentaje;2025T3;1,4
De 40 a 44 años;Hombres;Porcentaje;2025T2;1,3
De 40 a 44 años;Hombres;Porcentaje;2025T1;1,8
De 40 a 44 años;Hombres;Porcentaje;2024T4;1,7
De 40 a 44 años;Hombres;Porcentaje;2024T3;1,6
De 40 a 44 años;Hombres;Porcentaje;2024T2;1,6
De 40 a 44 años;Hombres;Porcentaje;2024T1;1,6
De 40 a 44 años;Hombres;Porcentaje;2023T4;1,7
De 40 a 44 años;Hombres;Porcentaje;2023T3;1,7
De 40 a 44 años;Hombres;Porcentaje;2023T2;1,6
De 40 a 44 años;Hombres;Porcentaje;2023T1;1,7
De 40 a 44 años;Hombres;Porcentaje;2022T4;1,5
De 40 a 44 años;Hombres;Porcentaje;2022T3;1,7
De 40 a 44 años;Hombres;Porcentaje;2022T2;1,6
De 40 a 44 años;Hombres;Porcentaje;2022T1;1,7
De 40 a 44 años;Hombres;Porcentaje;2021T4;1,7
De 40 a 44 años;Hombres;Porcentaje;2021T3;1,7
De 40 a 44 años;Hombres;Porcentaje;2021T2;1,7
De 40 a 44 años;Hombres;Porcentaje;2021T1;2,2
De 40 a 44 años;Hombres;Porcentaje;2020T4;2,0
De 40 a 44 años;Hombres;Porcentaje;2020T3;2,0
De 40 a 44 años;Hombres;Porcentaje;2020T2;2,5
De 40 a 44 años;Hombres;Porcentaje;2020T1;1,9
De 40 a 44 años;Hombres;Porcentaje;2019T4;1,7
De 40 a 44 años;Hombres;Porcentaje;2019T3;1,9
De 40 a 44 años;Hombres;Porcentaje;2019T2;1,7
De 40 a 44 años;Hombres;Porcentaje;2019T1;1,9
De 40 a 44 años;Hombres;Porcentaje;2018T4;1,8
De 40 a 44 años;Hombres;Porcentaje;2018T3;1,6
De 40 a 44 años;Hombres;Porcentaje;2018T2;1,6
De 40 a 44 años;Hombres;Porcentaje;2018T1;1,7
De 40 a 44 años;Hombres;Porcentaje;2017T4;1,7
De 40 a 44 años;Hombres;Porcentaje;2017T3;1,9
De 40 a 44 años;Hombres;Porcentaje;2017T2;1,8
De 40 a 44 años;Hombres;Porcentaje;2017T1;1,7
De 40 a 44 años;Hombres;Porcentaje;2016T4;1,7
De 40 a 44 años;Hombres;Porcentaje;2016T3;1,8
De 40 a 44 años;Hombres;Porcentaje;2016T2;1,7
De 40 a 44 años;Hombres;Porcentaje;2016T1;1,6
De 40 a 44 años;Hombres;Porcentaje;2015T4;1,7
De 40 a 44 años;Hombres;Porcentaje;2015T3;1,6
De 40 a 44 años;Hombres;Porcentaje;2015T2;1,6
De 40 a 44 años;Hombres;Porcentaje;2015T1;1,8
De 40 a 44 años;Hombres;Porcentaje;2014T4;1,7
De 40 a 44 años;Hombres;Porcentaje;2014T3;1,8
De 40 a 44 años;Hombres;Porcentaje;2014T2;1,8
De 40 a 44 años;Hombres;Porcentaje;2014T1;2,0
De 40 a 44 años;Hombres;Porcentaje;2013T4;1,8
De 40 a 44 años;Hombres;Porcentaje;2013T3;2,0
De 40 a 44 años;Hombres;Porcentaje;2013T2;2,1
De 40 a 44 años;Hombres;Porcentaje;2013T1;2,0
De 40 a 44 años;Hombres;Porcentaje;2012T4;2,0
De 40 a 44 años;Hombres;Porcentaje;2012T3;2,1
De 40 a 44 años;Hombres;Porcentaje;2012T2;1,9
De 40 a 44 años;Hombres;Porcentaje;2012T1;1,9
De 40 a 44 años;Hombres;Porcentaje;2011T4;1,9
De 40 a 44 años;Hombres;Porcentaje;2011T3;1,9
De 40 a 44 años;Hombres;Porcentaje;2011T2;1,9
De 40 a 44 años;Hombres;Porcentaje;2011T1;1,9
De 40 a 44 años;Hombres;Porcentaje;2010T4;1,9
De 40 a 44 años;Hombres;Porcentaje;2010T3;1,9
De 40 a 44 años;Hombres;Porcentaje;2010T2;1,7
De 40 a 44 años;Hombres;Porcentaje;2010T1;1,9
De 40 a 44 años;Hombres;Porcentaje;2009T4;2,0
De 40 a 44 años;Hombres;Porcentaje;2009T3;2,3
De 40 a 44 años;Hombres;Porcentaje;2009T2;2,2
De 40 a 44 años;Hombres;Porcentaje;2009T1;2,0
De 40 a 44 años;Hombres;Porcentaje;2008T4;2,1
De 40 a 44 años;Hombres;Porcentaje;2008T3;2,3
De 40 a 44 años;Hombres;Porcentaje;2008T2;2,0
De 40 a 44 años;Hombres;Porcentaje;2008T1;2,1
De 40 a 44 años;Hombres;Porcentaje;2007T4;2,2
De 40 a 44 años;Hombres;Porcentaje;2007T3;2,2
De 40 a 44 años;Hombres;Porcentaje;2007T2;1,9
De 40 a 44 años;Hombres;Porcentaje;2007T1;2,0
De 40 a 44 años;Hombres;Porcentaje;2006T4;2,2
De 40 a 44 años;Hombres;Porcentaje;2006T3;2,3
De 40 a 44 años;Hombres;Porcentaje;2006T2;2,2
De 40 a 44 años;Hombres;Porcentaje;2006T1;1,9
De 40 a 44 años;Hombres;Porcentaje;2005T4;2,1
De 40 a 44 años;Hombres;Porcentaje;2005T3;2,1
De 40 a 44 años;Hombres;Porcentaje;2005T2;1,9
De 40 a 44 años;Hombres;Porcentaje;2005T1;1,8
De 40 a 44 años;Hombres;Porcentaje;2004T4;1,8
De 40 a 44 años;Hombres;Porcentaje;2004T3;1,8
De 40 a 44 años;Hombres;Porcentaje;2004T2;1,7
De 40 a 44 años;Hombres;Porcentaje;2004T1;1,7
De 40 a 44 años;Hombres;Porcentaje;2003T4;1,5
De 40 a 44 años;Hombres;Porcentaje;2003T3;1,5
De 40 a 44 años;Hombres;Porcentaje;2003T2;1,5
De 40 a 44 años;Hombres;Porcentaje;2003T1;1,6
De 40 a 44 años;Hombres;Porcentaje;2002T4;1,6
De 40 a 44 años;Hombres;Porcentaje;2002T3;1,7
De 40 a 44 años;Hombres;Porcentaje;2002T2;1,7
De 40 a 44 años;Hombres;Porcentaje;2002T1;1,7
De 40 a 44 años;Mujeres;Valor absoluto;2026T1;238,6
De 40 a 44 años;Mujeres;Valor absoluto;2025T4;235,7
De 40 a 44 años;Mujeres;Valor absoluto;2025T3;245,2
De 40 a 44 años;Mujeres;Valor absoluto;2025T2;251,0
De 40 a 44 años;Mujeres;Valor absoluto;2025T1;245,4
De 40 a 44 años;Mujeres;Valor absoluto;2024T4;269,3
De 40 a 44 años;Mujeres;Valor absoluto;2024T3;265,5
De 40 a 44 años;Mujeres;Valor absoluto;2024T2;260,7
De 40 a 44 años;Mujeres;Valor absoluto;2024T1;260,2
De 40 a 44 años;Mujeres;Valor absoluto;2023T4;265,4
De 40 a 44 años;Mujeres;Valor absoluto;2023T3;277,2
De 40 a 44 años;Mujeres;Valor absoluto;2023T2;280,9
De 40 a 44 años;Mujeres;Valor absoluto;2023T1;266,7
De 40 a 44 años;Mujeres;Valor absoluto;2022T4;266,9
De 40 a 44 años;Mujeres;Valor absoluto;2022T3;289,2
De 40 a 44 años;Mujeres;Valor absoluto;2022T2;289,2
De 40 a 44 años;Mujeres;Valor absoluto;2022T1;287,3
De 40 a 44 años;Mujeres;Valor absoluto;2021T4;267,0
De 40 a 44 años;Mujeres;Valor absoluto;2021T3;262,3
De 40 a 44 años;Mujeres;Valor absoluto;2021T2;273,7
De 40 a 44 años;Mujeres;Valor absoluto;2021T1;311,7
De 40 a 44 años;Mujeres;Valor absoluto;2020T4;283,2
De 40 a 44 años;Mujeres;Valor absoluto;2020T3;321,4
De 40 a 44 años;Mujeres;Valor absoluto;2020T2;378,6
De 40 a 44 años;Mujeres;Valor absoluto;2020T1;294,9
De 40 a 44 años;Mujeres;Valor absoluto;2019T4;279,6
De 40 a 44 años;Mujeres;Valor absoluto;2019T3;295,1
De 40 a 44 años;Mujeres;Valor absoluto;2019T2;301,8
De 40 a 44 años;Mujeres;Valor absoluto;2019T1;302,5
De 40 a 44 años;Mujeres;Valor absoluto;2018T4;289,6
De 40 a 44 años;Mujeres;Valor absoluto;2018T3;299,7
De 40 a 44 años;Mujeres;Valor absoluto;2018T2;300,5
De 40 a 44 años;Mujeres;Valor absoluto;2018T1;281,6
De 40 a 44 años;Mujeres;Valor absoluto;2017T4;291,9
De 40 a 44 años;Mujeres;Valor absoluto;2017T3;308,0
De 40 a 44 años;Mujeres;Valor absoluto;2017T2;278,0
De 40 a 44 años;Mujeres;Valor absoluto;2017T1;279,5
De 40 a 44 años;Mujeres;Valor absoluto;2016T4;290,1
De 40 a 44 años;Mujeres;Valor absoluto;2016T3;297,9
De 40 a 44 años;Mujeres;Valor absoluto;2016T2;290,0
De 40 a 44 años;Mujeres;Valor absoluto;2016T1;304,9
De 40 a 44 años;Mujeres;Valor absoluto;2015T4;320,3
De 40 a 44 años;Mujeres;Valor absoluto;2015T3;358,1
De 40 a 44 años;Mujeres;Valor absoluto;2015T2;301,6
De 40 a 44 años;Mujeres;Valor absoluto;2015T1;316,1
De 40 a 44 años;Mujeres;Valor absoluto;2014T4;307,2
De 40 a 44 años;Mujeres;Valor absoluto;2014T3;339,4
De 40 a 44 años;Mujeres;Valor absoluto;2014T2;329,0
De 40 a 44 años;Mujeres;Valor absoluto;2014T1;329,8
De 40 a 44 años;Mujeres;Valor absoluto;2013T4;308,9
De 40 a 44 años;Mujeres;Valor absoluto;2013T3;341,6
De 40 a 44 años;Mujeres;Valor absoluto;2013T2;333,2
De 40 a 44 años;Mujeres;Valor absoluto;2013T1;342,9
De 40 a 44 años;Mujeres;Valor absoluto;2012T4;338,9
De 40 a 44 años;Mujeres;Valor absoluto;2012T3;359,4
De 40 a 44 años;Mujeres;Valor absoluto;2012T2;361,2
De 40 a 44 años;Mujeres;Valor absoluto;2012T1;346,0
De 40 a 44 años;Mujeres;Valor absoluto;2011T4;372,5
De 40 a 44 años;Mujeres;Valor absoluto;2011T3;389,4
De 40 a 44 años;Mujeres;Valor absoluto;2011T2;389,2
De 40 a 44 años;Mujeres;Valor absoluto;2011T1;390,3
De 40 a 44 años;Mujeres;Valor absoluto;2010T4;399,1
De 40 a 44 años;Mujeres;Valor absoluto;2010T3;436,5
De 40 a 44 años;Mujeres;Valor absoluto;2010T2;411,4
De 40 a 44 años;Mujeres;Valor absoluto;2010T1;405,4
De 40 a 44 años;Mujeres;Valor absoluto;2009T4;392,8
De 40 a 44 años;Mujeres;Valor absoluto;2009T3;418,1
De 40 a 44 años;Mujeres;Valor absoluto;2009T2;426,3
De 40 a 44 años;Mujeres;Valor absoluto;2009T1;430,1
De 40 a 44 años;Mujeres;Valor absoluto;2008T4;429,7
De 40 a 44 años;Mujeres;Valor absoluto;2008T3;479,3
De 40 a 44 años;Mujeres;Valor absoluto;2008T2;467,3
De 40 a 44 años;Mujeres;Valor absoluto;2008T1;471,1
De 40 a 44 años;Mujeres;Valor absoluto;2007T4;482,5
De 40 a 44 años;Mujeres;Valor absoluto;2007T3;501,5
De 40 a 44 años;Mujeres;Valor absoluto;2007T2;473,8
De 40 a 44 años;Mujeres;Valor absoluto;2007T1;469,0
De 40 a 44 años;Mujeres;Valor absoluto;2006T4;492,3
De 40 a 44 años;Mujeres;Valor absoluto;2006T3;509,0
De 40 a 44 años;Mujeres;Valor absoluto;2006T2;506,9
De 40 a 44 años;Mujeres;Valor absoluto;2006T1;515,6
De 40 a 44 años;Mujeres;Valor absoluto;2005T4;513,2
De 40 a 44 años;Mujeres;Valor absoluto;2005T3;539,5
De 40 a 44 años;Mujeres;Valor absoluto;2005T2;504,1
De 40 a 44 años;Mujeres;Valor absoluto;2005T1;531,1
De 40 a 44 años;Mujeres;Valor absoluto;2004T4;516,7
De 40 a 44 años;Mujeres;Valor absoluto;2004T3;527,8
De 40 a 44 años;Mujeres;Valor absoluto;2004T2;525,9
De 40 a 44 años;Mujeres;Valor absoluto;2004T1;529,6
De 40 a 44 años;Mujeres;Valor absoluto;2003T4;524,5
De 40 a 44 años;Mujeres;Valor absoluto;2003T3;536,1
De 40 a 44 años;Mujeres;Valor absoluto;2003T2;540,3
De 40 a 44 años;Mujeres;Valor absoluto;2003T1;553,9
De 40 a 44 años;Mujeres;Valor absoluto;2002T4;542,8
De 40 a 44 años;Mujeres;Valor absoluto;2002T3;569,1
De 40 a 44 años;Mujeres;Valor absoluto;2002T2;562,6
De 40 a 44 años;Mujeres;Valor absoluto;2002T1;567,0
De 40 a 44 años;Mujeres;Porcentaje;2026T1;2,4
De 40 a 44 años;Mujeres;Porcentaje;2025T4;2,4
De 40 a 44 años;Mujeres;Porcentaje;2025T3;2,5
De 40 a 44 años;Mujeres;Porcentaje;2025T2;2,5
De 40 a 44 años;Mujeres;Porcentaje;2025T1;2,5
De 40 a 44 años;Mujeres;Porcentaje;2024T4;2,7
De 40 a 44 años;Mujeres;Porcentaje;2024T3;2,7
De 40 a 44 años;Mujeres;Porcentaje;2024T2;2,7
De 40 a 44 años;Mujeres;Porcentaje;2024T1;2,7
De 40 a 44 años;Mujeres;Porcentaje;2023T4;2,7
De 40 a 44 años;Mujeres;Porcentaje;2023T3;2,9
De 40 a 44 años;Mujeres;Porcentaje;2023T2;2,9
De 40 a 44 años;Mujeres;Porcentaje;2023T1;2,8
De 40 a 44 años;Mujeres;Porcentaje;2022T4;2,7
De 40 a 44 años;Mujeres;Porcentaje;2022T3;3,0
De 40 a 44 años;Mujeres;Porcentaje;2022T2;3,0
De 40 a 44 años;Mujeres;Porcentaje;2022T1;3,0
De 40 a 44 años;Mujeres;Porcentaje;2021T4;2,8
De 40 a 44 años;Mujeres;Porcentaje;2021T3;2,8
De 40 a 44 años;Mujeres;Porcentaje;2021T2;2,9
De 40 a 44 años;Mujeres;Porcentaje;2021T1;3,2
De 40 a 44 años;Mujeres;Porcentaje;2020T4;3,0
De 40 a 44 años;Mujeres;Porcentaje;2020T3;3,3
De 40 a 44 años;Mujeres;Porcentaje;2020T2;3,7
De 40 a 44 años;Mujeres;Porcentaje;2020T1;3,1
De 40 a 44 años;Mujeres;Porcentaje;2019T4;3,0
De 40 a 44 años;Mujeres;Porcentaje;2019T3;3,1
De 40 a 44 años;Mujeres;Porcentaje;2019T2;3,2
De 40 a 44 años;Mujeres;Porcentaje;2019T1;3,2
De 40 a 44 años;Mujeres;Porcentaje;2018T4;3,1
De 40 a 44 años;Mujeres;Porcentaje;2018T3;3,2
De 40 a 44 años;Mujeres;Porcentaje;2018T2;3,2
De 40 a 44 años;Mujeres;Porcentaje;2018T1;3,0
De 40 a 44 años;Mujeres;Porcentaje;2017T4;3,1
De 40 a 44 años;Mujeres;Porcentaje;2017T3;3,3
De 40 a 44 años;Mujeres;Porcentaje;2017T2;3,0
De 40 a 44 años;Mujeres;Porcentaje;2017T1;3,0
De 40 a 44 años;Mujeres;Porcentaje;2016T4;3,1
