Edad;Sexo;Unidad;Periodo;Total
Total;Hombres;Valor absoluto;2015T3;6.391,8
Total;Hombres;Valor absoluto;2015T2;6.407,5
Total;Hombres;Valor absoluto;2015T1;6.444,7
Total;Hombres;Valor absoluto;2014T4;6.391,8
Total;Hombres;Valor absoluto;2014T3;6.380,7
Total;Hombres;Valor absoluto;2014T2;6.413,2
Total;Hombres;Valor absoluto;2014T1;6.475,5
Total;Hombres;Valor absoluto;2013T4;6.380,9
Total;Hombres;Valor absoluto;2013T3;6.290,0
Total;Hombres;Valor absoluto;2013T2;6.361,0
Total;Hombres;Valor absoluto;2013T1;6.326,5
Total;Hombres;Valor absoluto;2012T4;6.308,5
Total;Hombres;Valor absoluto;2012T3;6.191,3
Total;Hombres;Valor absoluto;2012T2;6.207,6
Total;Hombres;Valor absoluto;2012T1;6.278,3
Total;Hombres;Valor absoluto;2011T4;6.203,8
Total;Hombres;Valor absoluto;2011T3;6.133,9
Total;Hombres;Valor absoluto;2011T2;6.175,0
Total;Hombres;Valor absoluto;2011T1;6.183,6
Total;Hombres;Valor absoluto;2010T4;6.133,6
Total;Hombres;Valor absoluto;2010T3;6.018,2
Total;Hombres;Valor absoluto;2010T2;5.995,5
Total;Hombres;Valor absoluto;2010T1;6.078,7
Total;Hombres;Valor absoluto;2009T4;6.052,8
Total;Hombres;Valor absoluto;2009T3;5.996,9
Total;Hombres;Valor absoluto;2009T2;5.906,3
Total;Hombres;Valor absoluto;2009T1;5.857,9
Total;Hombres;Valor absoluto;2008T4;5.833,7
Total;Hombres;Valor absoluto;2008T3;5.703,5
Total;Hombres;Valor absoluto;2008T2;5.709,3
Total;Hombres;Valor absoluto;2008T1;5.744,8
Total;Hombres;Valor absoluto;2007T4;5.741,1
Total;Hombres;Valor absoluto;2007T3;5.636,1
Total;Hombres;Valor absoluto;2007T2;5.657,0
Total;Hombres;Valor absoluto;2007T1;5.708,8
Total;Hombres;Valor absoluto;2006T4;5.670,4
Total;Hombres;Valor absoluto;2006T3;5.553,7
Total;Hombres;Valor absoluto;2006T2;5.596,2
Total;Hombres;Valor absoluto;2006T1;5.606,6
Total;Hombres;Valor absoluto;2005T4;5.576,9
Total;Hombres;Valor absoluto;2005T3;5.527,2
Total;Hombres;Valor absoluto;2005T2;5.547,1
Total;Hombres;Valor absoluto;2005T1;5.577,5
Total;Hombres;Valor absoluto;2004T4;5.599,1
Total;Hombres;Valor absoluto;2004T3;5.534,9
Total;Hombres;Valor absoluto;2004T2;5.595,6
Total;Hombres;Valor absoluto;2004T1;5.611,3
Total;Hombres;Valor absoluto;2003T4;5.548,2
Total;Hombres;Valor absoluto;2003T3;5.494,2
Total;Hombres;Valor absoluto;2003T2;5.557,9
Total;Hombres;Valor absoluto;2003T1;5.585,8
Total;Hombres;Valor absoluto;2002T4;5.584,0
Total;Hombres;Valor absoluto;2002T3;5.517,9
Total;Hombres;Valor absoluto;2002T2;5.584,5
Total;Hombres;Valor absoluto;2002T1;5.590,0
Total;Hombres;Porcentaje;2026T1;100,0
Total;Hombres;Porcentaje;2025T4;100,0
Total;Hombres;Porcentaje;2025T3;100,0
Total;Hombres;Porcentaje;2025T2;100,0
Total;Hombres;Porcentaje;2025T1;100,0
Total;Hombres;Porcentaje;2024T4;100,0
Total;Hombres;Porcentaje;2024T3;100,0
Total;Hombres;Porcentaje;2024T2;100,0
Total;Hombres;Porcentaje;2024T1;100,0
Total;Hombres;Porcentaje;2023T4;100,0
Total;Hombres;Porcentaje;2023T3;100,0
Total;Hombres;Porcentaje;2023T2;100,0
Total;Hombres;Porcentaje;2023T1;100,0
Total;Hombres;Porcentaje;2022T4;100,0
Total;Hombres;Porcentaje;2022T3;100,0
Total;Hombres;Porcentaje;2022T2;100,0
Total;Hombres;Porcentaje;2022T1;100,0
Total;Hombres;Porcentaje;2021T4;100,0
Total;Hombres;Porcentaje;2021T3;100,0
Total;Hombres;Porcentaje;2021T2;100,0
Total;Hombres;Porcentaje;2021T1;100,0
Total;Hombres;Porcentaje;2020T4;100,0
Total;Hombres;Porcentaje;2020T3;100,0
Total;Hombres;Porcentaje;2020T2;100,0
Total;Hombres;Porcentaje;2020T1;100,0
Total;Hombres;Porcentaje;2019T4;100,0
Total;Hombres;Porcentaje;2019T3;100,0
Total;Hombres;Porcentaje;2019T2;100,0
Total;Hombres;Porcentaje;2019T1;100,0
Total;Hombres;Porcentaje;2018T4;100,0
Total;Hombres;Porcentaje;2018T3;100,0
Total;Hombres;Porcentaje;2018T2;100,0
Total;Hombres;Porcentaje;2018T1;100,0
Total;Hombres;Porcentaje;2017T4;100,0
Total;Hombres;Porcentaje;2017T3;100,0
Total;Hombres;Porcentaje;2017T2;100,0
Total;Hombres;Porcentaje;2017T1;100,0
Total;Hombres;Porcentaje;2016T4;100,0
Total;Hombres;Porcentaje;2016T3;100,0
Total;Hombres;Porcentaje;2016T2;100,0
Total;Hombres;Porcentaje;2016T1;100,0
Total;Hombres;Porcentaje;2015T4;100,0
Total;Hombres;Porcentaje;2015T3;100,0
Total;Hombres;Porcentaje;2015T2;100,0
Total;Hombres;Porcentaje;2015T1;100,0
Total;Hombres;Porcentaje;2014T4;100,0
Total;Hombres;Porcentaje;2014T3;100,0
Total;Hombres;Porcentaje;2014T2;100,0
Total;Hombres;Porcentaje;2014T1;100,0
Total;Hombres;Porcentaje;2013T4;100,0
Total;Hombres;Porcentaje;2013T3;100,0
Total;Hombres;Porcentaje;2013T2;100,0
Total;Hombres;Porcentaje;2013T1;100,0
Total;Hombres;Porcentaje;2012T4;100,0
Total;Hombres;Porcentaje;2012T3;100,0
Total;Hombres;Porcentaje;2012T2;100,0
Total;Hombres;Porcentaje;2012T1;100,0
Total;Hombres;Porcentaje;2011T4;100,0
Total;Hombres;Porcentaje;2011T3;100,0
Total;Hombres;Porcentaje;2011T2;100,0
Total;Hombres;Porcentaje;2011T1;100,0
Total;Hombres;Porcentaje;2010T4;100,0
Total;Hombres;Porcentaje;2010T3;100,0
Total;Hombres;Porcentaje;2010T2;100,0
Total;Hombres;Porcentaje;2010T1;100,0
Total;Hombres;Porcentaje;2009T4;100,0
Total;Hombres;Porcentaje;2009T3;100,0
Total;Hombres;Porcentaje;2009T2;100,0
Total;Hombres;Porcentaje;2009T1;100,0
Total;Hombres;Porcentaje;2008T4;100,0
Total;Hombres;Porcentaje;2008T3;100,0
Total;Hombres;Porcentaje;2008T2;100,0
Total;Hombres;Porcentaje;2008T1;100,0
Total;Hombres;Porcentaje;2007T4;100,0
Total;Hombres;Porcentaje;2007T3;100,0
Total;Hombres;Porcentaje;2007T2;100,0
Total;Hombres;Porcentaje;2007T1;100,0
Total;Hombres;Porcentaje;2006T4;100,0
Total;Hombres;Porcentaje;2006T3;100,0
