Sexo;Sector económico;Periodo;Total
ambos sexos;construcción;1993TI;1.177,6
ambos sexos;construcción;1992TIV;1.226,0
ambos sexos;construcción;1992TIII;1.255,3
ambos sexos;construcción;1992TII;1.271,5
ambos sexos;construcción;1992TI;1.266,7
ambos sexos;construcción;1991TIV;1.329,8
ambos sexos;construcción;1991TIII;1.354,4
ambos sexos;construcción;1991TII;1.342,8
ambos sexos;construcción;1991TI;1.327,1
ambos sexos;construcción;1990TIV;1.313,0
ambos sexos;construcción;1990TIII;1.303,8
ambos sexos;construcción;1990TII;1.267,9
ambos sexos;construcción;1990TI;1.222,5
ambos sexos;construcción;1989TIV;1.224,8
ambos sexos;construcción;1989TIII;1.218,9
ambos sexos;construcción;1989TII;1.149,6
ambos sexos;construcción;1989TI;1.139,2
ambos sexos;construcción;1988TIV;1.141,2
ambos sexos;construcción;1988TIII;1.117,2
ambos sexos;construcción;1988TII;1.037,7
ambos sexos;construcción;1988TI;998,1
ambos sexos;construcción;1987TIV;1.015,1
ambos sexos;construcción;1987TIII;993,8
ambos sexos;construcción;1987TII;955,3
ambos sexos;construcción;1987TI;918,6
ambos sexos;construcción;1986TIV;920,2
ambos sexos;construcción;1986TIII;906,2
ambos sexos;construcción;1986TII;847,7
ambos sexos;construcción;1986TI;806,5
ambos sexos;construcción;1985TIV;839,8
ambos sexos;construcción;1985TIII;836,4
ambos sexos;construcción;1985TII;813,4
ambos sexos;construcción;1985TI;789,2
ambos sexos;construcción;1984TIV;841,0
ambos sexos;construcción;1984TIII;885,8
ambos sexos;construcción;1984TII;876,2
ambos sexos;construcción;1984TI;865,2
ambos sexos;construcción;1983TIV;966,8
ambos sexos;construcción;1983TIII;1.021,4
ambos sexos;construcción;1983TII;1.012,4
ambos sexos;construcción;1983TI;956,5
ambos sexos;construcción;1982TIV;1.002,9
ambos sexos;construcción;1982TIII;1.028,7
ambos sexos;construcción;1982TII;1.031,4
ambos sexos;construcción;1982TI;1.006,4
ambos sexos;construcción;1981TIV;1.031,3
ambos sexos;construcción;1981TIII;1.038,8
ambos sexos;construcción;1981TII;1.021,3
ambos sexos;construcción;1981TI;1.019,6
ambos sexos;construcción;1980TIV;1.064,3
ambos sexos;construcción;1980TIII;1.110,1
ambos sexos;construcción;1980TII;1.126,1
ambos sexos;construcción;1980TI;1.105,1
ambos sexos;construcción;1979TIV;1.145,8
ambos sexos;construcción;1979TIII;1.185,2
ambos sexos;construcción;1979TII;1.191,5
ambos sexos;construcción;1979TI;1.170,6
ambos sexos;construcción;1978TIV;1.213,6
ambos sexos;construcción;1978TIII;1.234,8
ambos sexos;construcción;1978TII;1.232,4
ambos sexos;construcción;1978TI;1.234,1
ambos sexos;construcción;1977TIV;1.281,3
ambos sexos;construcción;1977TIII;1.303,8
ambos sexos;construcción;1977TII;1.268,4
ambos sexos;construcción;1977TI;1.217,3
ambos sexos;construcción;1976TIV;1.261,3
ambos sexos;construcción;1976TIII;1.262,6
ambos sexos;servicios;1995TIV;7.738,9
ambos sexos;servicios;1995TIII;7.727,6
ambos sexos;servicios;1995TII;7.597,8
ambos sexos;servicios;1995TI;7.481,9
ambos sexos;servicios;1994TIV;7.419,3
ambos sexos;servicios;1994TIII;7.444,9
ambos sexos;servicios;1994TII;7.342,2
ambos sexos;servicios;1994TI;7.261,8
ambos sexos;servicios;1993TIV;7.332,8
ambos sexos;servicios;1993TIII;7.371,6
ambos sexos;servicios;1993TII;7.293,3
ambos sexos;servicios;1993TI;7.243,2
ambos sexos;servicios;1992TIV;7.344,2
ambos sexos;servicios;1992TIII;7.489,6
ambos sexos;servicios;1992TII;7.405,8
ambos sexos;servicios;1992TI;7.376,9
ambos sexos;servicios;1991TIV;7.431,5
ambos sexos;servicios;1991TIII;7.468,3
ambos sexos;servicios;1991TII;7.348,7
ambos sexos;servicios;1991TI;7.271,4
ambos sexos;servicios;1990TIV;7.241,1
ambos sexos;servicios;1990TIII;7.208,9
ambos sexos;servicios;1990TII;7.065,1
ambos sexos;servicios;1990TI;6.976,7
ambos sexos;servicios;1989TIV;6.990,3
ambos sexos;servicios;1989TIII;6.959,4
ambos sexos;servicios;1989TII;6.841,4
ambos sexos;servicios;1989TI;6.692,8
ambos sexos;servicios;1988TIV;6.617,4
ambos sexos;servicios;1988TIII;6.598,6
ambos sexos;servicios;1988TII;6.465,4
ambos sexos;servicios;1988TI;6.373,1
ambos sexos;servicios;1987TIV;6.356,0
ambos sexos;servicios;1987TIII;6.335,8
ambos sexos;servicios;1987TII;6.168,1
ambos sexos;servicios;1987TI;5.959,0
ambos sexos;servicios;1986TIV;5.937,9
ambos sexos;servicios;1986TIII;5.893,1
ambos sexos;servicios;1986TII;5.801,1
ambos sexos;servicios;1986TI;5.689,5
ambos sexos;servicios;1985TIV;5.618,9
ambos sexos;servicios;1985TIII;5.570,2
ambos sexos;servicios;1985TII;5.485,0
ambos sexos;servicios;1985TI;5.391,4
ambos sexos;servicios;1984TIV;5.420,8
ambos sexos;servicios;1984TIII;5.462,2
ambos sexos;servicios;1984TII;5.442,6
ambos sexos;servicios;1984TI;5.436,1
ambos sexos;servicios;1983TIV;5.521,9
ambos sexos;servicios;1983TIII;5.524,9
ambos sexos;servicios;1983TII;5.495,9
ambos sexos;servicios;1983TI;5.433,1
ambos sexos;servicios;1982TIV;5.495,9
ambos sexos;servicios;1982TIII;5.516,1
ambos sexos;servicios;1982TII;5.473,7
ambos sexos;servicios;1982TI;5.436,4
ambos sexos;servicios;1981TIV;5.396,9
ambos sexos;servicios;1981TIII;5.395,1
ambos sexos;servicios;1981TII;5.342,2
ambos sexos;servicios;1981TI;5.306,4
ambos sexos;servicios;1980TIV;5.315,3
ambos sexos;servicios;1980TIII;5.340,9
ambos sexos;servicios;1980TII;5.351,3
ambos sexos;servicios;1980TI;5.341,7
ambos sexos;servicios;1979TIV;5.386,1
ambos sexos;servicios;1979TIII;5.390,7
ambos sexos;servicios;1979TII;5.311,0
ambos sexos;servicios;1979TI;5.300,2
ambos sexos;servicios;1978TIV;5.283,5
ambos sexos;servicios;1978TIII;5.276,4
ambos sexos;servicios;1978TII;5.266,6
ambos sexos;servicios;1978TI;5.246,9
ambos sexos;servicios;1977TIV;5.282,8
ambos sexos;servicios;1977TIII;5.241,3
ambos sexos;servicios;1977TII;5.271,4
ambos sexos;servicios;1977TI;5.264,8
ambos sexos;servicios;1976TIV;5.232,1
ambos sexos;servicios;1976TIII;5.230,0
varones;total;1995TIV;8.254,8
varones;total;1995TIII;8.292,9
varones;total;1995TII;8.229,9
varones;total;1995TI;8.172,3
varones;total;1994TIV;8.130,4
