Sexo;Ocupación CNO-11;Tiempo que llevan trabajando en el empleo actual;Periodo;Total
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 3 a 5 meses;2012T4;67,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 3 a 5 meses;2012T3;73,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 3 a 5 meses;2012T2;82,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 3 a 5 meses;2012T1;78,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 3 a 5 meses;2011T4;100,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 3 a 5 meses;2011T3;111,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 3 a 5 meses;2011T2;104,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 3 a 5 meses;2011T1;107,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2025T4;161
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2025T3;178,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2025T2;157,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2025T1;144,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2024T4;182,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2024T3;151,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2024T2;144,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2024T1;153,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2023T4;167,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2023T3;153,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2023T2;149,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2023T1;153,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2022T4;152,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2022T3;146,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2022T2;148,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2022T1;141,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2021T4;144,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2021T3;116,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2021T2;125,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2021T1;121,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2020T4;122
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2020T3;132,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2020T2;130,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2020T1;139,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2019T4;159
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2019T3;152,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2019T2;161,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2019T1;152,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2018T4;165,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2018T3;169,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2018T2;165,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2018T1;147,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2017T4;153,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2017T3;142,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2017T2;142,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2017T1;145,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2016T4;153,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2016T3;142,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2016T2;149,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2016T1;147,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2015T4;144,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2015T3;131,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2015T2;133,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2015T1;132,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2014T4;119
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2014T3;115,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2014T2;99,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2014T1;101,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2013T4;101,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2013T3;85,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2013T2;81,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2013T1;77,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2012T4;93,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2012T3;97,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2012T2;102,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2012T1;115,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2011T4;122,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2011T3;133,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2011T2;128,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 6 a 11 meses;2011T1;135,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2025T4;232,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2025T3;248,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2025T2;249,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2025T1;245,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2024T4;220,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2024T3;219,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2024T2;213,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2024T1;213,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2023T4;231,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2023T3;239,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2023T2;227,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2023T1;227,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2022T4;204,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2022T3;176,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2022T2;186,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2022T1;158,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2021T4;160,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2021T3;163,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2021T2;171,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2021T1;198,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2020T4;190,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2020T3;193,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2020T2;197,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2020T1;213,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2019T4;206,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2019T3;220,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2019T2;214
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2019T1;221,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2018T4;209,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2018T3;193,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2018T2;206,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2018T1;206,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2017T4;199,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2017T3;208,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2017T2;205,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2017T1;184,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2016T4;189,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2016T3;197,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2016T2;196,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2016T1;192,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2015T4;169,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2015T3;173,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2015T2;160,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2015T1;143,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2014T4;139
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2014T3;135,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2014T2;120,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2014T1;115,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2013T4;106,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2013T3;102,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2013T2;101,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2013T1;112,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2012T4;124
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2012T3;139,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2012T2;151,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2012T1;138,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2011T4;153,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2011T3;142,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2011T2;157,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 1 a menos de 2 años;2011T1;164,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2025T4;183,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2025T3;179,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2025T2;159,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2025T1;163,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2024T4;178,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2024T3;175,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2024T2;172,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2024T1;153,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2023T4;168,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2023T3;161,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2023T2;143,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2023T1;129,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2022T4;135
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2022T3;136,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2022T2;135,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2022T1;143
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2021T4;149,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2021T3;144,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2021T2;161,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2021T1;141
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2020T4;166,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2020T3;143,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2020T2;143,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2020T1;146,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2019T4;163,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2019T3;149,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2019T2;142,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2019T1;135,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2018T4;150,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2018T3;155,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2018T2;148,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2018T1;134,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2017T4;144,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2017T3;133,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2017T2;138,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2017T1;137,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2016T4;133,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2016T3;120,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2016T2;109
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2016T1;107,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2015T4;101,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2015T3;96,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2015T2;91,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);De 2 a menos de 3 años;2015T1;96,7
