Sexo;Edad;Tipo de administración;Periodo;Total
Ambos sexos;Total;Central;2006T3;469
Ambos sexos;Total;Central;2006T2;477,6
Ambos sexos;Total;Central;2006T1;494,8
Ambos sexos;Total;Central;2005T4;490,5
Ambos sexos;Total;Central;2005T3;532,5
Ambos sexos;Total;Central;2005T2;520,9
Ambos sexos;Total;Central;2005T1;538,1
Ambos sexos;Total;Central;2004T4;499,9
Ambos sexos;Total;Central;2004T3;489,3
Ambos sexos;Total;Central;2004T2;484,5
Ambos sexos;Total;Central;2004T1;486,6
Ambos sexos;Total;Central;2003T4;499,6
Ambos sexos;Total;Central;2003T3;521,9
Ambos sexos;Total;Central;2003T2;511,6
Ambos sexos;Total;Central;2003T1;522
Ambos sexos;Total;Central;2002T4;527
Ambos sexos;Total;Central;2002T3;524
Ambos sexos;Total;Central;2002T2;512,7
Ambos sexos;Total;Central;2002T1;526,9
Ambos sexos;Total;Seguridad Social;2025T4;31,4
Ambos sexos;Total;Seguridad Social;2025T3;29,5
Ambos sexos;Total;Seguridad Social;2025T2;29,5
Ambos sexos;Total;Seguridad Social;2025T1;33,3
Ambos sexos;Total;Seguridad Social;2024T4;35,8
Ambos sexos;Total;Seguridad Social;2024T3;32,2
Ambos sexos;Total;Seguridad Social;2024T2;32,5
Ambos sexos;Total;Seguridad Social;2024T1;31
Ambos sexos;Total;Seguridad Social;2023T4;35,3
Ambos sexos;Total;Seguridad Social;2023T3;30,5
Ambos sexos;Total;Seguridad Social;2023T2;30,7
Ambos sexos;Total;Seguridad Social;2023T1;26,4
Ambos sexos;Total;Seguridad Social;2022T4;25,3
Ambos sexos;Total;Seguridad Social;2022T3;36
Ambos sexos;Total;Seguridad Social;2022T2;25,4
Ambos sexos;Total;Seguridad Social;2022T1;28,3
Ambos sexos;Total;Seguridad Social;2021T4;31,8
Ambos sexos;Total;Seguridad Social;2021T3;31,5
Ambos sexos;Total;Seguridad Social;2021T2;33,9
Ambos sexos;Total;Seguridad Social;2021T1;28,6
Ambos sexos;Total;Seguridad Social;2020T4;25,3
Ambos sexos;Total;Seguridad Social;2020T3;25,9
Ambos sexos;Total;Seguridad Social;2020T2;25,1
Ambos sexos;Total;Seguridad Social;2020T1;24,2
Ambos sexos;Total;Seguridad Social;2019T4;25,9
Ambos sexos;Total;Seguridad Social;2019T3;25,9
Ambos sexos;Total;Seguridad Social;2019T2;23
Ambos sexos;Total;Seguridad Social;2019T1;21,5
Ambos sexos;Total;Seguridad Social;2018T4;21,6
Ambos sexos;Total;Seguridad Social;2018T3;23,8
Ambos sexos;Total;Seguridad Social;2018T2;23,9
Ambos sexos;Total;Seguridad Social;2018T1;30
Ambos sexos;Total;Seguridad Social;2017T4;32,8
Ambos sexos;Total;Seguridad Social;2017T3;30,8
Ambos sexos;Total;Seguridad Social;2017T2;28
Ambos sexos;Total;Seguridad Social;2017T1;32,6
Ambos sexos;Total;Seguridad Social;2016T4;34,5
Ambos sexos;Total;Seguridad Social;2016T3;32,2
Ambos sexos;Total;Seguridad Social;2016T2;32,4
Ambos sexos;Total;Seguridad Social;2016T1;30,9
Ambos sexos;Total;Seguridad Social;2015T4;32,9
Ambos sexos;Total;Seguridad Social;2015T3;31,2
Ambos sexos;Total;Seguridad Social;2015T2;31,8
Ambos sexos;Total;Seguridad Social;2015T1;31,6
Ambos sexos;Total;Seguridad Social;2014T4;31
Ambos sexos;Total;Seguridad Social;2014T3;30,3
Ambos sexos;Total;Seguridad Social;2014T2;29,7
Ambos sexos;Total;Seguridad Social;2014T1;27,5
Ambos sexos;Total;Seguridad Social;2013T4;31,4
Ambos sexos;Total;Seguridad Social;2013T3;31,4
Ambos sexos;Total;Seguridad Social;2013T2;31,1
Ambos sexos;Total;Seguridad Social;2013T1;36,1
Ambos sexos;Total;Seguridad Social;2012T4;39,6
Ambos sexos;Total;Seguridad Social;2012T3;42,6
Ambos sexos;Total;Seguridad Social;2012T2;42,2
Ambos sexos;Total;Seguridad Social;2012T1;38
Ambos sexos;Total;Seguridad Social;2011T4;39,7
Ambos sexos;Total;Seguridad Social;2011T3;40,7
Ambos sexos;Total;Seguridad Social;2011T2;36
Ambos sexos;Total;Seguridad Social;2011T1;43,2
Ambos sexos;Total;Seguridad Social;2010T4;40,8
Ambos sexos;Total;Seguridad Social;2010T3;36,5
Ambos sexos;Total;Seguridad Social;2010T2;39,5
Ambos sexos;Total;Seguridad Social;2010T1;38,6
Ambos sexos;Total;Seguridad Social;2009T4;36
Ambos sexos;Total;Seguridad Social;2009T3;42,3
Ambos sexos;Total;Seguridad Social;2009T2;38,9
Ambos sexos;Total;Seguridad Social;2009T1;38,2
Ambos sexos;Total;Seguridad Social;2008T4;44,5
Ambos sexos;Total;Seguridad Social;2008T3;45,5
Ambos sexos;Total;Seguridad Social;2008T2;45,6
Ambos sexos;Total;Seguridad Social;2008T1;44,6
Ambos sexos;Total;Seguridad Social;2007T4;46,5
Ambos sexos;Total;Seguridad Social;2007T3;51,8
Ambos sexos;Total;Seguridad Social;2007T2;46,4
Ambos sexos;Total;Seguridad Social;2007T1;85,9
Ambos sexos;Total;Seguridad Social;2006T4;309,9
Ambos sexos;Total;Seguridad Social;2006T3;388,6
Ambos sexos;Total;Seguridad Social;2006T2;367,2
Ambos sexos;Total;Seguridad Social;2006T1;368,4
Ambos sexos;Total;Seguridad Social;2005T4;383,2
Ambos sexos;Total;Seguridad Social;2005T3;406,3
Ambos sexos;Total;Seguridad Social;2005T2;385
Ambos sexos;Total;Seguridad Social;2005T1;320,3
Ambos sexos;Total;Seguridad Social;2004T4;289,9
Ambos sexos;Total;Seguridad Social;2004T3;298,2
Ambos sexos;Total;Seguridad Social;2004T2;295,4
Ambos sexos;Total;Seguridad Social;2004T1;294,2
Ambos sexos;Total;Seguridad Social;2003T4;290,2
Ambos sexos;Total;Seguridad Social;2003T3;323,3
Ambos sexos;Total;Seguridad Social;2003T2;312,9
Ambos sexos;Total;Seguridad Social;2003T1;310,2
Ambos sexos;Total;Seguridad Social;2002T4;313
Ambos sexos;Total;Seguridad Social;2002T3;311,7
Ambos sexos;Total;Seguridad Social;2002T2;320,5
Ambos sexos;Total;Seguridad Social;2002T1;341,4
Ambos sexos;Total;Comunidad Autónoma;2025T4;2.122,1
Ambos sexos;Total;Comunidad Autónoma;2025T3;2.064,1
Ambos sexos;Total;Comunidad Autónoma;2025T2;2.073,9
Ambos sexos;Total;Comunidad Autónoma;2025T1;2.064,5
Ambos sexos;Total;Comunidad Autónoma;2024T4;2.113,2
Ambos sexos;Total;Comunidad Autónoma;2024T3;2.071,6
Ambos sexos;Total;Comunidad Autónoma;2024T2;2.117
Ambos sexos;Total;Comunidad Autónoma;2024T1;2.126,5
