Sector económico (4);Sexo;Periodo;Total
industria;ambos sexos;1991TIV;1,4
industria;ambos sexos;1991TIII;1,7
industria;ambos sexos;1991TII;0,7
industria;ambos sexos;1991TI;2,8
industria;ambos sexos;1990TIV;3,8
industria;ambos sexos;1990TIII;3,0
industria;ambos sexos;1990TII;4,5
industria;ambos sexos;1990TI;5,3
industria;ambos sexos;1989TIV;5,0
industria;ambos sexos;1989TIII;3,3
industria;ambos sexos;1989TII;5,5
industria;ambos sexos;1989TI;3,7
industria;ambos sexos;1988TIV;2,9
industria;ambos sexos;1988TIII;3,9
industria;ambos sexos;1988TII;7,4
industria;ambos sexos;1988TI;6,3
industria;ambos sexos;1987TIV;9,3
industria;ambos sexos;1987TIII;7,2
industria;ambos sexos;1987TII;11,4
industria;varones;1995TIV;2,2
industria;varones;1995TIII;3,9
industria;varones;1995TII;4,0
industria;varones;1995TI;3,8
industria;varones;1994TIV;4,1
industria;varones;1994TIII;2,1
industria;varones;1994TII;1,8
industria;varones;1994TI;2,5
industria;varones;1993TIV;3,5
industria;varones;1993TIII;2,8
industria;varones;1993TII;1,2
industria;varones;1993TI;2,0
industria;varones;1992TIV;0,7
industria;varones;1992TIII;1,2
industria;varones;1992TII;2,1
industria;varones;1992TI;1,0
industria;varones;1991TIV;0,2
industria;varones;1991TIII;0,8
industria;varones;1991TII;0,4
industria;varones;1991TI;1,3
industria;varones;1990TIV;2,3
industria;varones;1990TIII;1,5
industria;varones;1990TII;2,1
industria;varones;1990TI;2,1
industria;varones;1989TIV;2,5
industria;varones;1989TIII;1,9
industria;varones;1989TII;2,3
industria;varones;1989TI;1,6
industria;varones;1988TIV;1,3
industria;varones;1988TIII;1,0
industria;varones;1988TII;3,9
industria;varones;1988TI;2,2
industria;varones;1987TIV;5,9
industria;varones;1987TIII;3,8
industria;varones;1987TII;4,2
industria;mujeres;1995TIV;1,6
industria;mujeres;1995TIII;1,2
industria;mujeres;1995TII;1,6
industria;mujeres;1995TI;2,8
industria;mujeres;1994TIV;1,8
industria;mujeres;1994TIII;0,6
industria;mujeres;1994TII;0,7
industria;mujeres;1994TI;2,0
industria;mujeres;1993TIV;0,9
industria;mujeres;1993TIII;0,7
industria;mujeres;1993TII;1,5
industria;mujeres;1993TI;0,7
industria;mujeres;1992TIV;0,5
industria;mujeres;1992TIII;2,2
industria;mujeres;1992TII;2,2
industria;mujeres;1992TI;1,0
industria;mujeres;1991TIV;1,2
industria;mujeres;1991TIII;0,9
industria;mujeres;1991TII;0,4
industria;mujeres;1991TI;1,4
industria;mujeres;1990TIV;1,5
industria;mujeres;1990TIII;1,6
industria;mujeres;1990TII;2,3
industria;mujeres;1990TI;3,1
industria;mujeres;1989TIV;2,5
industria;mujeres;1989TIII;1,3
industria;mujeres;1989TII;3,2
industria;mujeres;1989TI;2,1
industria;mujeres;1988TIV;1,7
industria;mujeres;1988TIII;2,9
industria;mujeres;1988TII;3,5
industria;mujeres;1988TI;4,1
industria;mujeres;1987TIV;3,4
industria;mujeres;1987TIII;3,4
industria;mujeres;1987TII;7,2
construcción;ambos sexos;1995TIV;1,9
construcción;ambos sexos;1995TIII;3,0
construcción;ambos sexos;1995TII;3,3
construcción;ambos sexos;1995TI;2,9
construcción;ambos sexos;1994TIV;2,0
construcción;ambos sexos;1994TIII;0,5
construcción;ambos sexos;1994TII;0,8
construcción;ambos sexos;1994TI;0,8
construcción;ambos sexos;1993TIV;2,0
construcción;ambos sexos;1993TIII;1,2
construcción;ambos sexos;1993TII;0,7
construcción;ambos sexos;1993TI;2,1
construcción;ambos sexos;1992TIV;1,4
construcción;ambos sexos;1992TIII;1,4
construcción;ambos sexos;1992TII;1,3
construcción;ambos sexos;1992TI;2,0
construcción;ambos sexos;1991TIV;1,1
construcción;ambos sexos;1991TIII;1,5
construcción;ambos sexos;1991TII;1,5
construcción;ambos sexos;1991TI;0,9
construcción;ambos sexos;1990TIV;1,0
construcción;ambos sexos;1990TIII;0,8
construcción;ambos sexos;1990TII;2,7
construcción;ambos sexos;1990TI;0,2
construcción;ambos sexos;1989TIV;0,3
construcción;ambos sexos;1989TIII;0,7
construcción;ambos sexos;1989TII;1,4
construcción;ambos sexos;1989TI;1,9
construcción;ambos sexos;1988TIV;2,6
construcción;ambos sexos;1988TIII;3,5
construcción;ambos sexos;1988TII;2,4
construcción;ambos sexos;1988TI;1,6
construcción;ambos sexos;1987TIV;3,1
construcción;ambos sexos;1987TIII;2,7
construcción;ambos sexos;1987TII;2,9
construcción;varones;1995TIV;1,2
construcción;varones;1995TIII;3,0
construcción;varones;1995TII;2,7
construcción;varones;1995TI;2,3
construcción;varones;1994TIV;1,8
construcción;varones;1994TIII;0,5
construcción;varones;1994TII;0,8
construcción;varones;1994TI;0,5
construcción;varones;1993TIV;1,9
construcción;varones;1993TIII;1,1
construcción;varones;1993TII;0,7
construcción;varones;1993TI;2,1
construcción;varones;1992TIV;1,4
construcción;varones;1992TIII;1,4
construcción;varones;1992TII;1,1
construcción;varones;1992TI;1,4
construcción;varones;1991TIV;1,1
construcción;varones;1991TIII;1,5
construcción;varones;1991TII;1,5
construcción;varones;1991TI;0,9
construcción;varones;1990TIV;0,9
construcción;varones;1990TIII;0,8
construcción;varones;1990TII;2,5
construcción;varones;1990TI;0,1
construcción;varones;1989TIV;0,2
construcción;varones;1989TIII;0,5
construcción;varones;1989TII;1,3
construcción;varones;1989TI;1,9
construcción;varones;1988TIV;2,6
construcción;varones;1988TIII;3,5
construcción;varones;1988TII;2,0
construcción;varones;1988TI;1,6
construcción;varones;1987TIV;2,5
construcción;varones;1987TIII;2,1
construcción;varones;1987TII;2,1
construcción;mujeres;1995TIV;0,7
construcción;mujeres;1995TIII;0,0
construcción;mujeres;1995TII;0,6
construcción;mujeres;1995TI;0,6
construcción;mujeres;1994TIV;0,2
construcción;mujeres;1994TIII;0,0
construcción;mujeres;1994TII;0,0
construcción;mujeres;1994TI;0,3
construcción;mujeres;1993TIV;0,1
construcción;mujeres;1993TIII;0,1
construcción;mujeres;1993TII;0,0
construcción;mujeres;1993TI;0,0
construcción;mujeres;1992TIV;0,0
construcción;mujeres;1992TIII;0,0
construcción;mujeres;1992TII;0,2
construcción;mujeres;1992TI;0,7
construcción;mujeres;1991TIV;0,0
construcción;mujeres;1991TIII;0,0
construcción;mujeres;1991TII;0,0
construcción;mujeres;1991TI;0,0
construcción;mujeres;1990TIV;0,1
construcción;mujeres;1990TIII;0,1
construcción;mujeres;1990TII;0,2
construcción;mujeres;1990TI;0,1
construcción;mujeres;1989TIV;0,1
construcción;mujeres;1989TIII;0,2
construcción;mujeres;1989TII;0,2
construcción;mujeres;1989TI;0,0
construcción;mujeres;1988TIV;0,0
construcción;mujeres;1988TIII;0,0
construcción;mujeres;1988TII;0,4
construcción;mujeres;1988TI;0,0
construcción;mujeres;1987TIV;0,6
construcción;mujeres;1987TIII;0,6
construcción;mujeres;1987TII;0,8
servicios;ambos sexos;1995TIV;52,0
servicios;ambos sexos;1995TIII;49,6
servicios;ambos sexos;1995TII;52,6
servicios;ambos sexos;1995TI;47,8
servicios;ambos sexos;1994TIV;43,3
servicios;ambos sexos;1994TIII;48,1
servicios;ambos sexos;1994TII;45,7
servicios;ambos sexos;1994TI;40,3
servicios;ambos sexos;1993TIV;37,4
servicios;ambos sexos;1993TIII;31,5
servicios;ambos sexos;1993TII;36,5
servicios;ambos sexos;1993TI;29,3
servicios;ambos sexos;1992TIV;33,0
servicios;ambos sexos;1992TIII;25,7
servicios;ambos sexos;1992TII;30,4
servicios;ambos sexos;1992TI;31,5
servicios;ambos sexos;1991TIV;34,9
servicios;ambos sexos;1991TIII;26,3
servicios;ambos sexos;1991TII;31,0
servicios;ambos sexos;1991TI;32,9
servicios;ambos sexos;1990TIV;33,5
servicios;ambos sexos;1990TIII;35,3
servicios;ambos sexos;1990TII;36,6
servicios;ambos sexos;1990TI;37,5
servicios;ambos sexos;1989TIV;35,8
servicios;ambos sexos;1989TIII;34,7
servicios;ambos sexos;1989TII;41,5
servicios;ambos sexos;1989TI;43,2
servicios;ambos sexos;1988TIV;41,9
servicios;ambos sexos;1988TIII;53,1
servicios;ambos sexos;1988TII;50,5
servicios;ambos sexos;1988TI;47,0
servicios;ambos sexos;1987TIV;50,0
servicios;ambos sexos;1987TIII;55,5
servicios;ambos sexos;1987TII;73,1
servicios;varones;1995TIV;11,0
servicios;varones;1995TIII;12,1
servicios;varones;1995TII;12,4
servicios;varones;1995TI;11,9
servicios;varones;1994TIV;12,4
servicios;varones;1994TIII;15,2
servicios;varones;1994TII;12,4
servicios;varones;1994TI;9,5
servicios;varones;1993TIV;9,4
servicios;varones;1993TIII;5,1
servicios;varones;1993TII;9,0
servicios;varones;1993TI;6,8
servicios;varones;1992TIV;9,5
servicios;varones;1992TIII;7,8
servicios;varones;1992TII;8,5
servicios;varones;1992TI;7,9
servicios;varones;1991TIV;6,5
servicios;varones;1991TIII;6,5
servicios;varones;1991TII;7,3
servicios;varones;1991TI;8,9
servicios;varones;1990TIV;7,3
servicios;varones;1990TIII;6,9
servicios;varones;1990TII;8,3
servicios;varones;1990TI;8,5
servicios;varones;1989TIV;6,0
servicios;varones;1989TIII;7,3
servicios;varones;1989TII;10,5
servicios;varones;1989TI;10,3
servicios;varones;1988TIV;7,7
servicios;varones;1988TIII;11,0
servicios;varones;1988TII;15,0
servicios;varones;1988TI;12,4
servicios;varones;1987TIV;16,2
servicios;varones;1987TIII;14,8
servicios;varones;1987TII;20,8
servicios;mujeres;1995TIV;41,0
servicios;mujeres;1995TIII;37,5
servicios;mujeres;1995TII;40,1
servicios;mujeres;1995TI;35,8
servicios;mujeres;1994TIV;30,9
servicios;mujeres;1994TIII;32,9
servicios;mujeres;1994TII;33,3
servicios;mujeres;1994TI;30,7
servicios;mujeres;1993TIV;28,0
servicios;mujeres;1993TIII;26,4
servicios;mujeres;1993TII;27,5
servicios;mujeres;1993TI;22,5
servicios;mujeres;1992TIV;23,5
servicios;mujeres;1992TIII;18,0
servicios;mujeres;1992TII;21,9
servicios;mujeres;1992TI;23,7
servicios;mujeres;1991TIV;28,4
servicios;mujeres;1991TIII;19,8
servicios;mujeres;1991TII;23,7
servicios;mujeres;1991TI;23,9
servicios;mujeres;1990TIV;26,2
servicios;mujeres;1990TIII;28,5
servicios;mujeres;1990TII;28,2
servicios;mujeres;1990TI;29,1
servicios;mujeres;1989TIV;29,8
servicios;mujeres;1989TIII;27,4
servicios;mujeres;1989TII;31,0
servicios;mujeres;1989TI;32,8
servicios;mujeres;1988TIV;34,2
servicios;mujeres;1988TIII;42,2
servicios;mujeres;1988TII;35,6
servicios;mujeres;1988TI;34,7
servicios;mujeres;1987TIV;33,9
servicios;mujeres;1987TIII;40,7
servicios;mujeres;1987TII;52,4
