Sexo;Sector económico;Periodo;Total
mujeres;agricultura;1999TII;264,5
mujeres;agricultura;1999TI;276,0
mujeres;agricultura;1998TIV;262,5
mujeres;agricultura;1998TIII;247,5
mujeres;agricultura;1998TII;258,0
mujeres;agricultura;1998TI;305,5
mujeres;agricultura;1997TIV;270,3
mujeres;agricultura;1997TIII;258,7
mujeres;agricultura;1997TII;272,9
mujeres;agricultura;1997TI;307,6
mujeres;agricultura;1996TIV;268,4
mujeres;agricultura;1996TIII;261,3
mujeres;agricultura;1996TII;271,6
mujeres;agricultura;1996TI;304,2
mujeres;industria;2001TIV;772,5
mujeres;industria;2001TIII;777,3
mujeres;industria;2001TII;768,0
mujeres;industria;2001TI;778,0
mujeres;industria;2000TIV;776,9
mujeres;industria;2000TIII;750,0
mujeres;industria;2000TII;736,8
mujeres;industria;2000TI;713,1
mujeres;industria;1999TIV;698,9
mujeres;industria;1999TIII;664,6
mujeres;industria;1999TII;646,1
mujeres;industria;1999TI;639,8
mujeres;industria;1998TIV;634,6
mujeres;industria;1998TIII;630,2
mujeres;industria;1998TII;616,0
mujeres;industria;1998TI;585,7
mujeres;industria;1997TIV;605,1
mujeres;industria;1997TIII;596,2
mujeres;industria;1997TII;588,3
mujeres;industria;1997TI;569,5
mujeres;industria;1996TIV;585,7
mujeres;industria;1996TIII;576,9
mujeres;industria;1996TII;552,9
mujeres;industria;1996TI;548,8
mujeres;construcción;2001TIV;90,7
mujeres;construcción;2001TIII;84,5
mujeres;construcción;2001TII;88,4
mujeres;construcción;2001TI;85,1
mujeres;construcción;2000TIV;86,2
mujeres;construcción;2000TIII;85,3
mujeres;construcción;2000TII;83,7
mujeres;construcción;2000TI;74,5
mujeres;construcción;1999TIV;77,9
mujeres;construcción;1999TIII;65,1
mujeres;construcción;1999TII;60,7
mujeres;construcción;1999TI;55,0
mujeres;construcción;1998TIV;50,1
mujeres;construcción;1998TIII;50,2
mujeres;construcción;1998TII;50,1
mujeres;construcción;1998TI;47,6
mujeres;construcción;1997TIV;43,8
mujeres;construcción;1997TIII;44,2
mujeres;construcción;1997TII;50,0
mujeres;construcción;1997TI;55,1
mujeres;construcción;1996TIV;57,8
mujeres;construcción;1996TIII;56,9
mujeres;construcción;1996TII;50,8
mujeres;construcción;1996TI;51,2
mujeres;servicios;2001TIV;4.977,7
mujeres;servicios;2001TIII;4.939,7
mujeres;servicios;2001TII;4.822,1
mujeres;servicios;2001TI;4.720,4
mujeres;servicios;2000TIV;4.684,0
mujeres;servicios;2000TIII;4.650,0
mujeres;servicios;2000TII;4.574,4
mujeres;servicios;2000TI;4.453,7
mujeres;servicios;1999TIV;4.372,1
mujeres;servicios;1999TIII;4.313,4
mujeres;servicios;1999TII;4.252,4
mujeres;servicios;1999TI;4.120,7
mujeres;servicios;1998TIV;4.007,9
mujeres;servicios;1998TIII;3.972,3
mujeres;servicios;1998TII;3.910,5
mujeres;servicios;1998TI;3.856,7
mujeres;servicios;1997TIV;3.834,7
mujeres;servicios;1997TIII;3.803,2
mujeres;servicios;1997TII;3.752,5
mujeres;servicios;1997TI;3.668,3
mujeres;servicios;1996TIV;3.644,5
mujeres;servicios;1996TIII;3.606,7
mujeres;servicios;1996TII;3.552,2
mujeres;servicios;1996TI;3.459,6
